gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,subsMade,totalContest,blockedCross,wonCorners,handBall,attGoalLowLeft,goals,attFreekickTotal,attOboxBlocked,postScoringAtt,goalAssistOpenplay,attGoalHighRight,attOboxTarget,attOboxGoal,midfielderGoals,attSvLowLeft,freekickTotal,attPostLeft,attObxdRight,hitWoodwork,attMissHighLeft,goalAssist,accurateThroughBall,attSetpiece,attRfGoal,attAssistSetplay,punches,savedIbox,attIboxGoal,attOboxPost,goalAssistIntentional,attHdMiss,accurateCornersIntobox,forwardGoals,attHdGoal,goalsConcededIbox,attMissRight,attObxdLeft,attFreekickMiss,attRfTarget,shotFastbreak,attBxRight,totalFastbreak,freekickCross,attBxCentre,attFastbreak,attBxLeft,attOpenplay,attGoalLowCentre,cleanSheet,attSvHighLeft,attLgCentre,penaltyConceded,attFreekickTarget,attSvHighCentre,penaltyFaced,goalFastbreak,errorLeadToShot,foulThrowIn,attSvHighRight,shieldBallOop,errorLeadToGoal,attIboxPost,attFreekickPost,attPostRight,attLfGoal,attObxLeft,attGoalHighLeft,attFreekickGoal,attemptsIbox,saves,fouledFinalThird,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attCmissLeft,penGoalsConceded,attGoalLowRight,fwdPass,ptsGainedLosingPos,attHdPost,sixYardBlock,goalsOpenplay,attPostHigh,attCmissHighRight,clearanceOffLine,penaltyWon,attPenGoal,attCmissRight,accurateFreekickCross,ownGoals,attObxRight,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,attGoalHighCentre,defenderGoals,penaltySave
1,266252,2008-08-16 17:30:00,"Stadium of Light, Sunderland",,Home,Sunderland,Liverpool,0,1,L,0,0,0,0,1.0,2.0,72.0,2.0,1.0,24.0,73.0,2.0,4.0,2.0,3.0,6.0,3.0,180.0,60.0,7.0,18.0,3.0,2.0,1.0,19.0,21.0,45.0,1.0,20.0,30.0,140.0,1.0,0.0,134.0,13.0,2.0,4.0,58.0,62.0,3.0,3.0,18.0,6.0,2.0,152.0,4.0,657.0,6.0,11.0,1.0,15.0,29.0,7.0,47.0,0.0,7.0,3.0,36.0,104.0,8411,101.0,10.0,115.0,9.0,65.0,1.0,2.0,4.0,12.0,4.0,1.0,55.0,239.0,12.0,8.0,26.0,88.0,1.0,0.0,8.0,1.0,2.0,0.0,2.0,1.0,41.0,28.0,12.0,4.0,1.0,45.0,1.0,4.0,333.0,15.0,22.0,15.0,3.0,18.0,1.0,237.0,2.0,17.0,21.0,71.0,24.0,3.0,30.0,24.0,3.0,7.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,266261,2008-08-23 15:00:00,"White Hart Lane, London",,Away,Sunderland,Tottenham Hotspur,2,1,W,0,0,0,0,,2.0,57.0,3.0,2.0,22.0,59.0,6.0,4.0,9.0,5.0,9.0,4.0,133.0,50.0,13.0,17.0,1.0,,1.0,25.0,14.0,41.0,5.0,16.0,18.0,109.0,,0.0,96.0,15.0,3.0,2.0,33.0,43.0,5.0,,20.0,9.0,2.0,115.0,9.0,525.0,5.0,11.0,,7.0,16.0,11.0,37.0,2.0,5.0,4.0,11.0,81.0,8411,84.0,9.0,92.0,18.0,50.0,3.0,5.0,4.0,10.0,11.0,2.0,51.0,184.0,11.0,9.0,29.0,83.0,1.0,0.0,12.0,1.0,6.0,0.0,7.0,3.0,39.7,9.0,9.0,4.0,4.0,39.0,6.0,3.0,258.0,7.0,7.0,4.0,5.0,23.0,2.0,191.0,5.0,15.0,11.0,50.0,24.0,4.0,25.0,22.0,2.0,9.0,4.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,266272,2008-08-31 15:00:00,"Stadium of Light, Sunderland",,Home,Sunderland,Manchester City,0,3,L,0,1,0,0,,1.0,62.0,,1.0,34.0,32.0,6.0,4.0,5.0,6.0,8.0,2.0,175.0,54.0,12.0,23.0,2.0,2.0,2.0,25.0,17.0,16.0,2.0,14.0,29.0,197.0,1.0,0.0,150.0,20.0,,1.0,69.0,88.0,2.0,,23.0,13.0,6.0,159.0,8.0,705.0,7.0,4.0,1.0,19.0,15.0,2.0,21.0,4.0,5.0,6.0,29.0,85.0,8411,145.0,9.0,163.0,3.0,70.0,5.0,2.0,9.0,5.0,,2.0,63.0,337.0,11.0,4.0,24.0,84.0,,0.0,3.0,3.0,2.0,0.0,5.0,2.0,49.4,25.0,7.0,9.0,2.0,43.0,3.0,1.0,444.0,19.0,18.0,10.0,8.0,18.0,2.0,306.0,6.0,12.0,16.0,86.0,28.0,,12.0,21.0,3.0,11.0,,3.0,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,266283,2008-09-13 15:00:00,"The Brick Community Stadium, Wigan",,Away,Sunderland,Wigan Athletic,1,1,D,1,0,0,1,,1.0,59.0,1.0,1.0,22.0,55.0,1.0,2.0,1.0,3.0,5.0,3.0,160.0,52.0,6.0,27.0,3.0,1.0,1.0,18.0,13.0,32.0,3.0,20.0,21.0,109.0,,0.0,98.0,9.0,1.0,1.0,28.0,44.0,3.0,3.0,15.0,4.0,1.0,137.0,13.0,530.0,5.0,18.0,,17.0,18.0,10.0,32.0,1.0,6.0,2.0,20.0,76.0,8411,122.0,9.0,141.0,16.0,52.0,1.0,2.0,2.0,5.0,4.0,,59.0,230.0,11.0,3.0,38.0,84.0,,0.0,8.0,1.0,5.0,0.0,1.0,1.0,43.8,14.0,9.0,3.0,1.0,32.0,6.0,1.0,316.0,17.0,6.0,12.0,2.0,14.0,1.0,193.0,3.0,17.0,18.0,50.0,24.0,8.0,15.0,20.0,1.0,10.0,8.0,6.0,,,1.0,,,,,,,,,2.0,,,,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,266290,2008-09-20 12:45:00,"Stadium of Light, Sunderland",,Home,Sunderland,Middlesbrough,2,0,W,0,0,0,0,,2.0,50.0,1.0,,23.0,52.0,13.0,6.0,5.0,5.0,17.0,9.0,145.0,63.0,21.0,16.0,2.0,2.0,3.0,30.0,17.0,29.0,4.0,14.0,15.0,154.0,,0.0,126.0,9.0,2.0,,31.0,65.0,11.0,1.0,26.0,8.0,6.0,122.0,9.0,655.0,14.0,8.0,1.0,20.0,14.0,5.0,27.0,2.0,9.0,6.0,17.0,56.0,8411,150.0,12.0,166.0,11.0,51.0,6.0,2.0,2.0,9.0,8.0,1.0,51.0,299.0,16.0,6.0,29.0,70.0,,0.0,7.0,,3.0,0.0,5.0,2.0,50.5,14.0,15.0,2.0,4.0,35.0,7.0,,368.0,20.0,15.0,10.0,8.0,22.0,2.0,232.0,13.0,12.0,19.0,94.0,17.0,4.0,20.0,23.0,3.0,10.0,4.0,8.0,,1.0,2.0,1.0,4.0,,2.0,,5.0,,,1.0,1.0,,1.0,,,2.0,2.0,1.0,2.0,1.0,,3.0,2.0,,2.0,1.0,,2.0,,,4.0,,,4.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,266295,2008-09-27 15:00:00,"Villa Park, Birmingham",,Away,Sunderland,Aston Villa,1,2,L,1,2,0,0,1.0,,56.0,,,22.0,45.0,4.0,2.0,6.0,4.0,7.0,2.0,162.0,57.0,9.0,20.0,1.0,,2.0,38.0,24.0,30.0,4.0,25.0,23.0,194.0,,0.0,140.0,10.0,2.0,,63.0,62.0,2.0,,34.0,21.0,3.0,147.0,6.0,709.0,5.0,10.0,,18.0,17.0,3.0,29.0,1.0,4.0,5.0,29.0,76.0,8411,149.0,12.0,162.0,9.0,53.0,3.0,1.0,5.0,7.0,3.0,2.0,55.0,337.0,8.0,4.0,27.0,87.0,1.0,0.0,5.0,2.0,3.0,0.0,4.0,2.0,55.7,22.0,15.0,5.0,1.0,39.0,5.0,,417.0,18.0,12.0,10.0,6.0,27.0,3.0,293.0,5.0,25.0,11.0,94.0,18.0,4.0,18.0,34.0,3.0,12.0,4.0,5.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,3.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,266309,2008-10-04 15:00:00,"Stadium of Light, Sunderland",,Home,Sunderland,Arsenal,1,1,D,0,0,0,0,,3.0,54.0,1.0,,12.0,33.0,7.0,4.0,5.0,7.0,5.0,5.0,144.0,53.0,8.0,12.0,1.0,,,13.0,22.0,20.0,1.0,10.0,16.0,67.0,1.0,0.0,67.0,12.0,,1.0,31.0,21.0,3.0,1.0,12.0,6.0,3.0,131.0,10.0,523.0,4.0,13.0,,19.0,22.0,3.0,16.0,3.0,5.0,2.0,20.0,65.0,8411,120.0,5.0,148.0,14.0,50.0,3.0,4.0,3.0,8.0,3.0,1.0,45.0,182.0,11.0,14.0,31.0,78.0,2.0,0.0,7.0,1.0,6.0,0.0,5.0,,32.7,15.0,8.0,3.0,,29.0,1.0,1.0,271.0,19.0,7.0,3.0,3.0,16.0,,136.0,4.0,9.0,5.0,20.0,18.0,9.0,11.0,30.0,3.0,14.0,9.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,3.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,4.0,,,,,,,,1.0,1.0,,,1.0,2.0,,,,,2.0,,,,,,,,1.0,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,266317,2008-10-18 15:00:00,"Craven Cottage, London",,Away,Sunderland,Fulham,0,0,D,0,0,0,0,,2.0,58.0,1.0,1.0,30.0,43.0,10.0,5.0,4.0,10.0,9.0,4.0,182.0,56.0,14.0,18.0,,,3.0,20.0,14.0,22.0,3.0,17.0,33.0,139.0,1.0,0.0,140.0,9.0,2.0,3.0,47.0,53.0,6.0,,17.0,6.0,3.0,161.0,7.0,681.0,8.0,17.0,,7.0,22.0,9.0,24.0,1.0,6.0,3.0,26.0,86.0,8411,171.0,9.0,194.0,7.0,51.0,2.0,5.0,3.0,8.0,3.0,,71.0,306.0,13.0,3.0,38.0,100.0,2.0,0.0,8.0,,5.0,0.0,4.0,,49.0,19.0,9.0,3.0,4.0,43.0,5.0,4.0,414.0,7.0,17.0,6.0,6.0,22.0,1.0,240.0,9.0,16.0,17.0,78.0,18.0,4.0,10.0,16.0,3.0,14.0,4.0,5.0,,,,2.0,3.0,2.0,,,4.0,,,,2.0,,1.0,3.0,,,1.0,,,1.0,,3.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,266329,2008-10-25 12:45:00,"Stadium of Light, Sunderland",,Home,Sunderland,Newcastle United,2,1,W,1,1,0,0,,,81.0,,,27.0,57.0,6.0,4.0,5.0,9.0,10.0,3.0,178.0,65.0,14.0,8.0,1.0,1.0,2.0,31.0,23.0,34.0,2.0,17.0,20.0,189.0,2.0,0.0,149.0,13.0,,2.0,62.0,77.0,1.0,2.0,29.0,16.0,5.0,155.0,4.0,711.0,8.0,12.0,,5.0,14.0,11.0,37.0,1.0,5.0,9.0,18.0,95.0,8411,120.0,11.0,134.0,10.0,55.0,2.0,1.0,2.0,8.0,4.0,1.0,60.0,304.0,12.0,7.0,41.0,91.0,,0.0,4.0,1.0,5.0,0.0,5.0,1.0,55.8,13.0,15.0,2.0,,45.0,2.0,2.0,392.0,5.0,22.0,13.0,11.0,27.0,5.0,289.0,9.0,14.0,16.0,95.0,42.0,3.0,21.0,28.0,3.0,16.0,3.0,2.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,1.0,1.0,,2.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,266339,2008-10-29 19:45:00,"bet365 Stadium, Stoke",26731.0,Away,Sunderland,Stoke City,0,1,L,0,0,0,0,,,56.0,3.0,1.0,34.0,61.0,4.0,2.0,4.0,6.0,7.0,2.0,178.0,48.0,10.0,21.0,1.0,,3.0,21.0,12.0,33.0,3.0,15.0,33.0,121.0,,0.0,89.0,8.0,1.0,2.0,48.0,39.0,3.0,2.0,18.0,14.0,4.0,150.0,5.0,557.0,5.0,10.0,,13.0,13.0,6.0,35.0,1.0,3.0,4.0,31.0,65.0,8411,111.0,2.0,133.0,11.0,50.0,3.0,1.0,3.0,6.0,3.0,1.0,73.0,228.0,11.0,3.0,32.0,78.0,,0.0,5.0,1.0,4.0,0.0,1.0,2.0,52.1,24.0,13.0,3.0,2.0,31.0,3.0,2.0,335.0,13.0,14.0,11.0,6.0,36.0,2.0,223.0,6.0,13.0,14.0,33.0,24.0,3.0,20.0,17.0,3.0,10.0,3.0,3.0,,,,,1.0,,,,1.0,,,2.0,,,,,1.0,,,1.0,,2.0,2.0,,,,,2.0,3.0,,,1.0,1.0,,,2.0,,,,2.0,4.0,,,7.0,,,,,,,,,,,,,,,,,,,2.0,,,4.0,3.0,4.0,6.0,12.0,221.0,314.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11,266345,2008-11-01 15:00:00,"Stamford Bridge, London",,Away,Sunderland,Chelsea,0,5,L,0,3,0,0,,,54.0,2.0,,15.0,24.0,,,1.0,8.0,1.0,,144.0,40.0,1.0,8.0,,,,16.0,19.0,10.0,,17.0,9.0,163.0,1.0,0.0,100.0,11.0,2.0,,48.0,41.0,,2.0,16.0,7.0,1.0,130.0,11.0,580.0,1.0,6.0,,21.0,20.0,5.0,12.0,1.0,7.0,1.0,20.0,85.0,8411,113.0,9.0,132.0,9.0,56.0,2.0,1.0,6.0,12.0,2.0,,41.0,275.0,5.0,9.0,28.0,82.0,,0.0,4.0,5.0,2.0,0.0,1.0,,30.2,15.0,,6.0,,39.0,,,349.0,21.0,15.0,4.0,1.0,10.0,,233.0,1.0,17.0,3.0,58.0,24.0,2.0,7.0,24.0,3.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,266361,2008-11-08 15:00:00,"Stadium of Light, Sunderland",,Home,Sunderland,Portsmouth,1,2,L,1,0,0,0,1.0,1.0,68.0,,1.0,32.0,26.0,6.0,4.0,4.0,8.0,7.0,5.0,163.0,74.0,9.0,16.0,2.0,1.0,,29.0,35.0,14.0,8.0,31.0,17.0,171.0,,0.0,115.0,10.0,,,43.0,40.0,6.0,2.0,21.0,12.0,2.0,151.0,3.0,752.0,6.0,12.0,1.0,10.0,25.0,9.0,14.0,2.0,3.0,1.0,19.0,96.0,8411,219.0,7.0,236.0,9.0,59.0,4.0,7.0,5.0,8.0,4.0,1.0,66.0,386.0,10.0,10.0,38.0,102.0,1.0,0.0,3.0,2.0,5.0,0.0,4.0,1.0,51.9,14.0,9.0,5.0,1.0,56.0,8.0,,472.0,10.0,13.0,11.0,3.0,25.0,,265.0,4.0,28.0,13.0,65.0,27.0,2.0,8.0,42.0,3.0,18.0,2.0,8.0,,,1.0,,,1.0,1.0,,2.0,1.0,,1.0,,,,1.0,,1.0,3.0,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,2.0,1.0,,,,,1.0,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,266365,2008-11-15 15:00:00,"Ewood Park, Blackburn",21798.0,Away,Sunderland,Blackburn Rovers,2,1,W,0,1,0,0,,1.0,64.0,3.0,4.0,30.0,53.0,4.0,4.0,10.0,6.0,11.0,5.0,191.0,56.0,16.0,21.0,2.0,2.0,1.0,33.0,19.0,32.0,8.0,11.0,25.0,134.0,2.0,0.0,132.0,11.0,3.0,1.0,34.0,43.0,7.0,1.0,25.0,12.0,2.0,170.0,10.0,591.0,8.0,11.0,1.0,15.0,23.0,10.0,27.0,4.0,6.0,4.0,30.0,91.0,8411,97.0,13.0,119.0,8.0,53.0,6.0,3.0,5.0,9.0,1.0,,87.0,221.0,10.0,5.0,60.0,100.0,,0.0,11.0,1.0,1.0,0.0,8.0,3.0,46.7,19.0,9.0,5.0,6.0,34.0,9.0,1.0,337.0,14.0,11.0,15.0,5.0,51.0,2.0,251.0,8.0,10.0,19.0,65.0,22.0,5.0,13.0,21.0,3.0,12.0,5.0,9.0,1.0,,2.0,1.0,2.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,4.0,,2.0,2.0,5.0,4.0,2.0,,1.0,1.0,2.0,2.0,,1.0,,,,1.0,3.0,3.0,3.0,,6.0,3.0,1.0,10.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,1.0,,11.0,6.0,1.0,5.0,26.0,213.0,318.0,4.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
14,266381,2008-11-23 16:00:00,"Stadium of Light, Sunderland",,Home,Sunderland,West Ham United,0,1,L,0,1,0,0,,1.0,101.0,,1.0,40.0,21.0,8.0,3.0,9.0,8.0,15.0,2.0,207.0,58.0,18.0,23.0,2.0,1.0,7.0,58.0,18.0,11.0,3.0,22.0,52.0,243.0,1.0,0.0,204.0,13.0,,1.0,81.0,93.0,4.0,2.0,55.0,32.0,5.0,197.0,4.0,840.0,15.0,26.0,1.0,22.0,17.0,9.0,13.0,2.0,5.0,11.0,34.0,114.0,8411,158.0,21.0,170.0,5.0,64.0,6.0,1.0,6.0,7.0,2.0,1.0,74.0,392.0,16.0,2.0,32.0,88.0,,0.0,2.0,1.0,7.0,0.0,9.0,7.0,58.4,24.0,27.0,6.0,3.0,45.0,4.0,1.0,499.0,21.0,13.0,33.0,13.0,57.0,7.0,387.0,8.0,21.0,10.0,127.0,49.0,1.0,7.0,24.0,3.0,21.0,1.0,4.0,,,,,2.0,1.0,,,,,,,,,,1.0,,,2.0,,,,,,,1.0,,6.0,,,,1.0,3.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
15,266391,2008-11-29 15:00:00,"Stadium of Light, Sunderland",,Home,Sunderland,Bolton Wanderers,1,4,L,1,3,0,0,,2.0,87.0,1.0,2.0,34.0,36.0,11.0,4.0,7.0,9.0,14.0,5.0,182.0,51.0,16.0,17.0,,2.0,1.0,37.0,13.0,17.0,3.0,26.0,38.0,260.0,1.0,0.0,180.0,10.0,2.0,1.0,59.0,80.0,9.0,,34.0,15.0,3.0,163.0,9.0,916.0,13.0,15.0,,12.0,29.0,9.0,29.0,4.0,1.0,5.0,29.0,110.0,8411,253.0,17.0,270.0,7.0,56.0,7.0,4.0,11.0,5.0,3.0,,62.0,506.0,5.0,6.0,31.0,110.0,1.0,0.0,6.0,4.0,4.0,0.0,6.0,,68.9,28.0,11.0,11.0,6.0,70.0,5.0,1.0,606.0,12.0,15.0,16.0,5.0,30.0,2.0,373.0,11.0,26.0,21.0,118.0,35.0,2.0,15.0,16.0,3.0,18.0,2.0,5.0,,1.0,1.0,,4.0,,1.0,,4.0,,,1.0,,,,,,1.0,4.0,1.0,1.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,,4.0,3.0,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
16,266400,2008-12-06 17:30:00,"Old Trafford, Manchester",75400.0,Away,Sunderland,Manchester United,0,1,L,0,0,0,0,,,49.0,3.0,1.0,13.0,46.0,1.0,,1.0,11.0,1.0,,167.0,62.0,3.0,13.0,,,,8.0,24.0,24.0,,11.0,11.0,50.0,,0.0,63.0,9.0,3.0,4.0,22.0,31.0,1.0,5.0,8.0,6.0,,144.0,15.0,543.0,,22.0,,30.0,17.0,10.0,23.0,0.0,7.0,,15.0,48.0,8411,106.0,2.0,135.0,17.0,45.0,4.0,,2.0,16.0,6.0,,51.0,155.0,9.0,7.0,53.0,90.0,,0.0,10.0,1.0,7.0,0.0,1.0,,27.7,10.0,5.0,2.0,3.0,27.0,1.0,4.0,260.0,29.0,9.0,6.0,,11.0,,133.0,3.0,9.0,9.0,21.0,15.0,11.0,11.0,33.0,3.0,18.0,12.0,1.0,,,,1.0,2.0,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
