gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,subsMade,totalContest,blockedCross,wonCorners,handBall,attGoalLowLeft,goals,attFreekickTotal,attOboxBlocked,postScoringAtt,goalAssistOpenplay,attGoalHighRight,attOboxTarget,attOboxGoal,midfielderGoals,attSvLowLeft,freekickTotal,attPostLeft,attObxdRight,hitWoodwork,attMissHighLeft,goalAssist,accurateThroughBall,attSetpiece,attRfGoal,attAssistSetplay,punches,savedIbox,attIboxGoal,attOboxPost,goalAssistIntentional,attHdMiss,accurateCornersIntobox,forwardGoals,attHdGoal,goalsConcededIbox,attMissRight,attObxdLeft,attFreekickMiss,attRfTarget,shotFastbreak,attBxRight,totalFastbreak,freekickCross,attBxCentre,attFastbreak,attBxLeft,attOpenplay,attGoalLowCentre,cleanSheet,attSvHighLeft,attLgCentre,penaltyConceded,attFreekickTarget,attSvHighCentre,penaltyFaced,goalFastbreak,errorLeadToShot,foulThrowIn,attSvHighRight,shieldBallOop,errorLeadToGoal,attIboxPost,attFreekickPost,attPostRight,attLfGoal,attObxLeft,attGoalHighLeft,attFreekickGoal,attemptsIbox,saves,fouledFinalThird,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attCmissLeft,penGoalsConceded,attGoalLowRight,fwdPass,ptsGainedLosingPos,attHdPost,sixYardBlock,goalsOpenplay,attPostHigh,attCmissHighRight,clearanceOffLine,penaltyWon,attPenGoal,attCmissRight,accurateFreekickCross,ownGoals,attObxRight,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,attGoalHighCentre,defenderGoals,penaltySave
17,266411,2008-12-13 15:00:00,"Stadium of Light, Sunderland",36280.0,Home,Sunderland,West Bromwich Albion,4,0,W,3,0,0,0,,1.0,58.0,3.0,,20.0,45.0,7.0,4.0,6.0,5.0,14.0,11.0,150.0,62.0,18.0,10.0,5.0,3.0,3.0,21.0,17.0,27.0,,18.0,22.0,123.0,1.0,0.0,118.0,10.0,,1.0,46.0,37.0,9.0,3.0,21.0,8.0,5.0,132.0,4.0,625.0,12.0,19.0,,18.0,20.0,12.0,27.0,1.0,10.0,5.0,22.0,80.0,8411,131.0,10.0,149.0,9.0,38.0,2.0,4.0,6.0,12.0,3.0,,61.0,248.0,16.0,8.0,44.0,86.0,3.0,0.0,11.0,,6.0,0.0,6.0,3.0,45.9,20.0,10.0,6.0,,39.0,1.0,1.0,342.0,18.0,8.0,10.0,7.0,21.0,2.0,214.0,11.0,14.0,17.0,63.0,21.0,7.0,16.0,24.0,2.0,8.0,7.0,1.0,1.0,,4.0,,,,2.0,,2.0,,1.0,,,,,,3.0,2.0,1.0,1.0,2.0,,,,4.0,,2.0,1.0,,3.0,2.0,,,,,6.0,2.0,,,,,2.0,,,2.0,1.0,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,
18,266419,2008-12-20 15:00:00,"The MKM Stadium, Hull",24917.0,Away,Sunderland,Hull City,4,1,W,1,1,0,1,,,58.0,3.0,1.0,17.0,43.0,8.0,4.0,8.0,11.0,14.0,6.0,168.0,70.0,16.0,13.0,,2.0,3.0,28.0,18.0,26.0,6.0,17.0,23.0,141.0,,0.0,120.0,11.0,3.0,,34.0,45.0,8.0,1.0,22.0,8.0,4.0,151.0,7.0,573.0,8.0,14.0,,12.0,17.0,11.0,29.0,1.0,3.0,6.0,18.0,98.0,8411,109.0,10.0,123.0,10.0,52.0,4.0,1.0,4.0,9.0,4.0,1.0,56.0,242.0,20.0,2.0,49.0,100.0,,0.0,6.0,1.0,3.0,0.0,5.0,2.0,51.6,15.0,5.0,4.0,2.0,51.0,6.0,,336.0,12.0,12.0,7.0,8.0,20.0,4.0,241.0,8.0,15.0,14.0,53.0,29.0,2.0,15.0,25.0,3.0,26.0,2.0,6.0,1.0,1.0,4.0,1.0,1.0,,3.0,,3.0,2.0,1.0,1.0,1.0,,,,,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,,3.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,4.0,2.0,,10.0,1.0,,,,,,,,1.0,3.0,,,5.0,,,,,,,1.0,,,,6.0,,,,,,1.0,,,,,,,3.0,,,,,,1.0,,,,,,,,,
19,266431,2008-12-26 15:00:00,"Stadium of Light, Sunderland",44680.0,Home,Sunderland,Blackburn Rovers,0,0,D,0,0,0,0,,1.0,74.0,1.0,3.0,27.0,38.0,11.0,9.0,11.0,6.0,9.0,2.0,205.0,50.0,18.0,9.0,1.0,,1.0,41.0,18.0,18.0,3.0,12.0,23.0,196.0,2.0,0.0,163.0,5.0,2.0,2.0,52.0,57.0,7.0,1.0,38.0,25.0,4.0,185.0,5.0,712.0,8.0,21.0,,11.0,16.0,9.0,27.0,0.0,1.0,2.0,33.0,96.0,8411,107.0,11.0,127.0,10.0,44.0,4.0,6.0,4.0,4.0,4.0,2.0,59.0,292.0,10.0,5.0,46.0,83.0,,0.0,2.0,,6.0,0.0,9.0,1.0,54.9,25.0,17.0,4.0,9.0,33.0,5.0,2.0,402.0,10.0,9.0,6.0,7.0,34.0,3.0,316.0,7.0,11.0,10.0,99.0,32.0,1.0,12.0,24.0,3.0,22.0,1.0,5.0,,,,1.0,6.0,,,,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,,1.0,,,,1.0,2.0,,,,2.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,266437,2008-12-28 14:00:00,"Goodison Park, Liverpool",39146.0,Away,Sunderland,Everton,0,3,L,0,2,0,0,1.0,,56.0,,,11.0,57.0,6.0,2.0,7.0,5.0,8.0,2.0,163.0,52.0,10.0,15.0,,1.0,1.0,26.0,17.0,33.0,1.0,15.0,15.0,164.0,1.0,0.0,121.0,10.0,,1.0,68.0,29.0,4.0,1.0,25.0,13.0,1.0,139.0,7.0,581.0,6.0,13.0,,11.0,20.0,3.0,37.0,4.0,5.0,4.0,14.0,77.0,7015,122.0,11.0,140.0,12.0,45.0,2.0,2.0,1.0,9.0,4.0,,49.0,279.0,8.0,5.0,33.0,90.0,1.0,0.0,8.0,3.0,5.0,0.0,7.0,3.0,42.4,12.0,11.0,1.0,4.0,41.0,2.0,1.0,372.0,11.0,5.0,10.0,4.0,21.0,3.0,258.0,5.0,11.0,19.0,70.0,22.0,2.0,19.0,20.0,3.0,15.0,2.0,2.0,,,,2.0,4.0,,,,2.0,,,,2.0,,,,,,,2.0,,2.0,,1.0,,,,3.0,,,,2.0,2.0,,,2.0,,,,1.0,2.0,,,6.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,
21,266449,2009-01-10 15:00:00,"Riverside Stadium, Middlesbrough",29310.0,Away,Sunderland,Middlesbrough,1,1,D,0,1,0,0,,,57.0,2.0,1.0,26.0,41.0,4.0,4.0,8.0,6.0,11.0,2.0,176.0,51.0,12.0,12.0,1.0,,,31.0,17.0,24.0,7.0,16.0,18.0,153.0,,0.0,120.0,13.0,,,40.0,34.0,5.0,,24.0,11.0,3.0,159.0,4.0,624.0,8.0,16.0,1.0,11.0,19.0,16.0,28.0,4.0,,6.0,20.0,78.0,8411,120.0,11.0,139.0,9.0,49.0,2.0,5.0,2.0,6.0,5.0,2.0,56.0,265.0,11.0,4.0,49.0,103.0,,0.0,2.0,1.0,7.0,0.0,6.0,4.0,49.3,15.0,3.0,2.0,3.0,54.0,7.0,,367.0,11.0,8.0,8.0,7.0,21.0,4.0,259.0,4.0,15.0,13.0,67.0,28.0,2.0,17.0,21.0,3.0,18.0,2.0,7.0,,,1.0,1.0,2.0,,1.0,,,,,1.0,1.0,,,,2.0,1.0,,,,2.0,,,1.0,,1.0,3.0,2.0,1.0,,1.0,3.0,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,266460,2009-01-17 15:00:00,"Stadium of Light, Sunderland",40350.0,Home,Sunderland,Aston Villa,1,2,L,1,0,0,1,,1.0,61.0,,2.0,18.0,28.0,2.0,1.0,7.0,6.0,10.0,5.0,196.0,74.0,13.0,10.0,3.0,3.0,4.0,29.0,21.0,17.0,7.0,9.0,47.0,149.0,2.0,0.0,132.0,14.0,1.0,4.0,50.0,53.0,6.0,,22.0,11.0,1.0,185.0,5.0,604.0,6.0,17.0,1.0,15.0,14.0,11.0,14.0,4.0,1.0,4.0,26.0,86.0,8411,79.0,7.0,102.0,7.0,53.0,2.0,3.0,3.0,2.0,4.0,,55.0,221.0,19.0,5.0,40.0,96.0,,0.0,6.0,2.0,2.0,0.0,4.0,6.0,49.0,17.0,13.0,3.0,2.0,39.0,8.0,4.0,345.0,15.0,19.0,19.0,6.0,26.0,5.0,272.0,5.0,8.0,22.0,69.0,26.0,2.0,7.0,27.0,3.0,11.0,2.0,8.0,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,3.0,3.0,1.0,1.0,,1.0,4.0,3.0,,1.0,2.0,,,,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,
23,266465,2009-01-27 19:45:00,"Stadium of Light, Sunderland",36539.0,Home,Sunderland,Fulham,1,0,W,0,0,0,0,,2.0,93.0,2.0,3.0,27.0,29.0,10.0,7.0,3.0,9.0,6.0,8.0,215.0,68.0,19.0,26.0,5.0,3.0,,27.0,11.0,14.0,2.0,14.0,40.0,167.0,,0.0,155.0,3.0,,2.0,59.0,48.0,3.0,,25.0,14.0,4.0,200.0,5.0,757.0,6.0,27.0,,27.0,17.0,13.0,19.0,0.0,9.0,3.0,31.0,97.0,8411,126.0,9.0,158.0,9.0,56.0,6.0,2.0,9.0,14.0,3.0,,62.0,290.0,10.0,3.0,47.0,114.0,2.0,0.0,1.0,,11.0,0.0,3.0,,48.3,21.0,16.0,9.0,7.0,63.0,3.0,2.0,423.0,27.0,16.0,22.0,4.0,30.0,,292.0,12.0,12.0,30.0,85.0,46.0,,6.0,19.0,3.0,18.0,,3.0,1.0,,1.0,1.0,4.0,,,,2.0,,,,1.0,,,,2.0,,2.0,,1.0,,,,1.0,,,,,1.0,,,2.0,,,5.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,266482,2009-02-01 13:30:00,"St. James' Park, Newcastle",52084.0,Away,Sunderland,Newcastle United,1,1,D,1,0,0,0,,1.0,59.0,,1.0,24.0,49.0,7.0,10.0,2.0,4.0,10.0,5.0,175.0,55.0,16.0,15.0,4.0,4.0,,13.0,14.0,25.0,3.0,17.0,32.0,111.0,,0.0,110.0,22.0,,4.0,34.0,24.0,5.0,2.0,10.0,1.0,5.0,150.0,13.0,590.0,10.0,14.0,,20.0,19.0,10.0,27.0,4.0,6.0,5.0,21.0,85.0,8411,109.0,7.0,128.0,10.0,68.0,10.0,1.0,4.0,2.0,4.0,1.0,63.0,218.0,13.0,7.0,42.0,96.0,,0.0,4.0,1.0,5.0,0.0,1.0,,45.6,15.0,4.0,5.0,3.0,40.0,3.0,4.0,318.0,20.0,11.0,15.0,8.0,18.0,3.0,203.0,6.0,14.0,15.0,45.0,28.0,5.0,16.0,23.0,3.0,18.0,6.0,3.0,1.0,,1.0,1.0,2.0,,,,,,,,1.0,,,,2.0,,1.0,1.0,,,2.0,3.0,1.0,,,,1.0,1.0,,1.0,5.0,,1.0,3.0,2.0,,,,,2.0,,,1.0,,,,1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,266489,2009-02-07 15:00:00,"Stadium of Light, Sunderland",38350.0,Home,Sunderland,Stoke City,2,0,W,0,0,0,1,,1.0,77.0,1.0,1.0,28.0,49.0,3.0,5.0,9.0,5.0,14.0,6.0,172.0,40.0,15.0,8.0,4.0,2.0,3.0,42.0,10.0,29.0,2.0,22.0,25.0,253.0,1.0,0.0,147.0,7.0,,3.0,97.0,70.0,8.0,,40.0,18.0,2.0,152.0,4.0,773.0,12.0,9.0,3.0,6.0,19.0,5.0,37.0,2.0,1.0,6.0,26.0,78.0,9540,153.0,18.0,170.0,6.0,30.0,2.0,1.0,9.0,3.0,3.0,1.0,55.0,397.0,9.0,1.0,24.0,90.0,2.0,0.0,3.0,,5.0,0.0,9.0,5.0,62.0,22.0,14.0,9.0,2.0,49.0,3.0,3.0,494.0,6.0,12.0,8.0,7.0,29.0,5.0,366.0,5.0,21.0,13.0,97.0,34.0,1.0,21.0,13.0,3.0,7.0,1.0,3.0,,,2.0,,1.0,,2.0,,,,,,,,,,2.0,2.0,1.0,,,,,,2.0,,1.0,1.0,,2.0,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
26,266494,2009-02-21 15:00:00,"Emirates Stadium, London",60104.0,Away,Sunderland,Arsenal,0,0,D,0,0,0,0,,,55.0,4.0,,13.0,36.0,2.0,1.0,1.0,7.0,2.0,2.0,171.0,59.0,3.0,10.0,1.0,,,13.0,20.0,19.0,1.0,17.0,24.0,154.0,,0.0,122.0,12.0,4.0,4.0,43.0,58.0,1.0,2.0,12.0,5.0,1.0,154.0,11.0,674.0,2.0,18.0,,29.0,16.0,10.0,24.0,2.0,3.0,1.0,22.0,80.0,9540,155.0,7.0,177.0,13.0,56.0,2.0,1.0,2.0,6.0,5.0,1.0,43.0,308.0,7.0,5.0,44.0,87.0,,0.0,8.0,,6.0,0.0,1.0,,38.8,12.0,9.0,2.0,,40.0,3.0,4.0,402.0,29.0,20.0,15.0,1.0,15.0,,238.0,2.0,16.0,15.0,79.0,17.0,5.0,16.0,30.0,3.0,16.0,5.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,1.0,,,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
28,266521,2009-03-03 20:00:00,"Anfield, Liverpool",,Away,Sunderland,Liverpool,0,2,L,0,0,0,0,,,56.0,3.0,,18.0,35.0,3.0,1.0,,8.0,3.0,2.0,161.0,44.0,7.0,10.0,1.0,1.0,1.0,12.0,13.0,19.0,2.0,18.0,36.0,108.0,,0.0,113.0,6.0,4.0,,39.0,46.0,2.0,1.0,10.0,5.0,2.0,145.0,19.0,588.0,3.0,16.0,,23.0,15.0,5.0,11.0,1.0,10.0,1.0,24.0,75.0,9540,118.0,4.0,142.0,17.0,52.0,1.0,2.0,4.0,12.0,6.0,2.0,46.0,226.0,9.0,16.0,22.0,77.0,,0.0,7.0,2.0,5.0,0.0,,,37.4,21.0,9.0,4.0,1.0,37.0,2.0,,323.0,23.0,11.0,15.0,4.0,17.0,2.0,193.0,6.0,15.0,8.0,53.0,26.0,2.0,4.0,19.0,3.0,17.0,2.0,2.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,1.0,3.0,,,,,,,,2.0,1.0,,,2.0,2.0,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
