gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,attGoalLowRight,goalAssistOpenplay,attMissLeft,cleanSheet,attOboxGoal,midfielderGoals,goodHighClaim,interceptionsInBox,goalAssist,errorLeadToShot,attSetpiece,attRfGoal,shieldBallOop,attBxLeft,clearanceOffLine,totalHighClaim,effectiveBlockedCross,blockedCross,goalsConcededObox,attBxRight,ptsGainedLosingPos,defenderGoals,punches,foulThrowIn,attIboxBlocked,attLfGoal,attMissHighRight,accurateFreekickCross,attSvLowRight,goalAssistIntentional,shotFastbreak,goalFastbreak,attOneOnOne,penaltyWon,totalFastbreak,attSvHighLeft,secondYellow,contentiousDecision,attHdTarget,attMissHighLeft,attPenGoal,attFastbreak,attGoalLowCentre,attCmissRight,attGoalHighLeft,attCmissLeft,attFreekickGoal,attFreekickMiss,forwardGoals,goalAssistSetplay,goalAssistDeadball,attSvHighRight,postScoringAtt,attIboxPost,attHdPost,attPostHigh,ptsDroppedWinningPos,attCmissHigh,attSvHighCentre,sixYardBlock,attObxRight,attGoalHighRight,attCmissHighRight,attPostRight,errorLeadToGoal,attPenTarget,attFreekickTarget,accuratePullBack,attGoalHighCentre,attLgCentre
1,987597,2018-08-10 20:00:00,"Old Trafford, Manchester",74439,Away,Leicester City,Manchester United,1,2,L,0,1,0,0,1.0,1.0,72.0,1.0,2.0,33.0,14.0,8.0,2.0,5.0,4.0,3.0,151.0,2.0,9.0,1.0,7.0,9.0,4.0,144.0,164.0,47.0,1.0,13.0,6.0,10.0,2.0,1.0,2.0,27.0,11.0,1.0,14.0,5.0,9.0,46.0,268.0,0.0,167.0,8.0,2.0,1.0,4.0,92.0,78.0,7.0,93.0,1.0,22.0,18.0,8.0,1.0,7.0,1.0,164.0,1.0,5.0,155.0,744.0,7.0,4.0,29.0,1.0,12.0,434.0,24.0,3.0,8.0,1.0,1.0,1.0,2.0,18.0,523.0,61.0,1.0,95658,4.0,184.0,1.0,11.0,1.0,210.0,1.0,1.0,18.0,4.0,53.0,1.0,2.0,7.0,1.0,14.0,3.0,2.0,2.0,54.0,450.0,11.0,11.0,2.0,11.0,2.0,61.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,53.7,16.0,1.0,5.0,8.0,6.0,40.0,5.0,1.0,543.0,1.0,12.0,17.0,36.0,3.0,37.0,1.0,2.0,360.0,9.0,6.0,13.0,124.0,33.0,8.0,14.0,1.0,2.0,10.0,3.0,18.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,987608,2018-08-18 15:00:00,"King Power Stadium, Leicester",32043,Home,Leicester City,Wolverhampton Wanderers,2,0,W,2,0,1,0,,,64.0,,1.0,22.0,33.0,5.0,3.0,1.0,2.0,,144.0,1.0,21.0,2.0,1.0,4.0,2.0,98.0,125.0,71.0,,6.0,2.0,19.0,1.0,,,13.0,16.0,,33.0,1.0,9.0,24.0,182.0,0.0,86.0,10.0,1.0,1.0,2.0,66.0,45.0,2.0,51.0,1.0,12.0,16.0,5.0,,4.0,2.0,125.0,,6.0,89.0,610.0,3.0,10.0,15.0,,13.0,301.0,31.0,1.0,21.0,,2.0,2.0,2.0,17.0,358.0,38.0,,95658,,135.0,,6.0,,154.0,8.0,,16.0,12.0,56.0,,,6.0,1.0,18.0,5.0,7.0,,45.0,316.0,8.0,10.0,,10.0,,67.0,0.0,4.0,9.0,2.0,1.0,,3.0,1.0,1.0,,42.8,10.0,,3.0,6.0,2.0,41.0,1.0,,382.0,,13.0,8.0,15.0,2.0,21.0,,,241.0,3.0,9.0,18.0,66.0,20.0,21.0,24.0,,,4.0,3.0,31.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,987619,2018-08-25 15:00:00,"St. Mary's Stadium, Southampton",29925,Away,Leicester City,Southampton,2,1,W,0,0,0,1,,,46.0,2.0,1.0,29.0,37.0,3.0,1.0,5.0,4.0,2.0,147.0,1.0,3.0,2.0,1.0,5.0,5.0,105.0,128.0,48.0,,8.0,,21.0,2.0,1.0,1.0,15.0,6.0,1.0,37.0,3.0,6.0,24.0,175.0,0.0,114.0,11.0,3.0,2.0,1.0,76.0,49.0,3.0,62.0,1.0,12.0,16.0,3.0,,4.0,1.0,128.0,1.0,5.0,111.0,608.0,3.0,1.0,15.0,,8.0,335.0,24.0,4.0,23.0,1.0,1.0,2.0,2.0,14.0,402.0,54.0,,95658,3.0,178.0,1.0,7.0,,198.0,6.0,1.0,16.0,7.0,60.0,1.0,,4.0,2.0,17.0,6.0,4.0,1.0,59.0,352.0,11.0,10.0,1.0,21.0,,69.0,0.0,1.0,11.0,3.0,1.0,1.0,,0.0,,2.0,48.3,10.0,2.0,1.0,4.0,,38.0,3.0,,425.0,,8.0,13.0,14.0,3.0,21.0,1.0,2.0,242.0,5.0,6.0,20.0,83.0,16.0,23.0,14.0,,,7.0,3.0,8.0,8.0,3.0,1.0,,1.0,1.0,,1.0,1.0,,4.0,1.0,,,2.0,1.0,,,,4.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987628,2018-09-01 12:30:00,"King Power Stadium, Leicester",32149,Home,Leicester City,Liverpool,1,2,L,0,2,0,0,,1.0,56.0,,1.0,29.0,27.0,9.0,5.0,3.0,2.0,2.0,163.0,4.0,12.0,1.0,2.0,10.0,5.0,113.0,153.0,63.0,1.0,12.0,3.0,17.0,1.0,1.0,1.0,17.0,16.0,3.0,27.0,3.0,8.0,53.0,215.0,0.0,148.0,9.0,1.0,,1.0,84.0,73.0,7.0,87.0,,14.0,16.0,9.0,1.0,7.0,3.0,153.0,2.0,7.0,133.0,694.0,8.0,9.0,16.0,,6.0,383.0,20.0,2.0,11.0,1.0,3.0,1.0,2.0,25.0,474.0,71.0,,95658,3.0,190.0,1.0,6.0,,208.0,4.0,,16.0,7.0,52.0,2.0,3.0,1.0,1.0,18.0,3.0,5.0,1.0,59.0,401.0,11.0,8.0,,15.0,,68.0,0.0,1.0,4.0,1.0,1.0,2.0,4.0,0.0,4.0,,51.2,20.0,,4.0,1.0,4.0,40.0,4.0,,496.0,,6.0,13.0,29.0,3.0,24.0,,,305.0,7.0,8.0,17.0,98.0,30.0,11.0,23.0,,2.0,11.0,3.0,17.0,8.0,4.0,2.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,987632,2018-09-15 15:00:00,"Vitality Stadium, Bournemouth",10543,Away,Leicester City,Bournemouth,2,4,L,0,3,1,0,1.0,2.0,59.0,2.0,,32.0,26.0,3.0,5.0,11.0,1.0,2.0,149.0,5.0,8.0,2.0,4.0,8.0,8.0,89.0,154.0,62.0,1.0,14.0,2.0,15.0,5.0,,2.0,28.0,12.0,1.0,26.0,5.0,8.0,47.0,185.0,0.0,135.0,15.0,1.0,2.0,2.0,82.0,65.0,6.0,58.0,2.0,23.0,22.0,3.0,1.0,9.0,,154.0,2.0,7.0,102.0,616.0,6.0,6.0,26.0,1.0,16.0,284.0,21.0,5.0,12.0,,2.0,3.0,2.0,23.0,371.0,71.0,1.0,95658,7.0,123.0,1.0,12.0,1.0,139.0,8.0,,22.0,8.0,46.0,2.0,3.0,3.0,1.0,15.0,3.0,3.0,1.0,68.0,303.0,12.0,5.0,1.0,18.0,,76.0,0.0,4.0,4.0,1.0,2.0,4.0,3.0,1.0,4.0,4.0,53.3,21.0,1.0,5.0,3.0,2.0,48.0,6.0,1.0,398.0,1.0,16.0,11.0,24.0,4.0,37.0,1.0,4.0,287.0,5.0,6.0,22.0,78.0,27.0,12.0,20.0,1.0,4.0,9.0,3.0,9.0,10.0,6.0,2.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,4.0,4.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,987648,2018-09-22 15:00:00,"King Power Stadium, Leicester",31676,Home,Leicester City,Huddersfield Town,3,1,W,1,1,0,0,,2.0,63.0,,,34.0,27.0,7.0,7.0,11.0,1.0,,169.0,4.0,5.0,3.0,4.0,15.0,8.0,167.0,124.0,67.0,2.0,18.0,2.0,20.0,3.0,,1.0,15.0,13.0,2.0,27.0,3.0,5.0,39.0,296.0,0.0,163.0,10.0,,3.0,,81.0,74.0,9.0,79.0,3.0,12.0,19.0,7.0,2.0,3.0,2.0,124.0,3.0,5.0,174.0,778.0,11.0,8.0,13.0,,11.0,490.0,28.0,4.0,17.0,,2.0,2.0,6.0,15.0,567.0,79.0,4.0,95658,7.0,213.0,1.0,9.0,,233.0,9.0,,19.0,6.0,46.0,4.0,1.0,4.0,2.0,14.0,4.0,2.0,,59.0,505.0,14.0,5.0,2.0,18.0,,73.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0,3.0,3.0,62.0,14.0,2.0,5.0,4.0,3.0,51.0,3.0,,589.0,,11.0,5.0,25.0,7.0,26.0,1.0,5.0,371.0,7.0,5.0,25.0,121.0,26.0,17.0,23.0,,1.0,13.0,3.0,11.0,12.0,3.0,4.0,1.0,2.0,2.0,,1.0,2.0,,,2.0,,2.0,2.0,,,,,4.0,4.0,,3.0,3.0,,,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,,4.0,,,,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,987659,2018-09-29 15:00:00,"St. James' Park, Newcastle",51523,Away,Leicester City,Newcastle United,2,0,W,1,0,0,0,,1.0,63.0,1.0,1.0,40.0,12.0,3.0,3.0,9.0,1.0,,183.0,7.0,5.0,2.0,3.0,7.0,5.0,118.0,181.0,67.0,1.0,12.0,1.0,21.0,2.0,,,23.0,17.0,1.0,12.0,8.0,12.0,36.0,201.0,0.0,119.0,5.0,,,,89.0,89.0,5.0,91.0,,15.0,23.0,3.0,1.0,6.0,1.0,181.0,,4.0,133.0,740.0,2.0,13.0,16.0,,9.0,400.0,27.0,5.0,8.0,,0.0,1.0,2.0,44.0,502.0,59.0,,95658,5.0,222.0,,9.0,,248.0,2.0,,23.0,8.0,54.0,1.0,,4.0,,18.0,2.0,6.0,1.0,74.0,416.0,9.0,4.0,4.0,27.0,,93.0,0.0,2.0,5.0,,2.0,,1.0,0.0,2.0,4.0,58.5,32.0,2.0,2.0,4.0,3.0,54.0,9.0,,525.0,,9.0,17.0,20.0,4.0,28.0,5.0,3.0,300.0,4.0,9.0,31.0,74.0,27.0,8.0,22.0,1.0,,4.0,2.0,12.0,13.0,9.0,2.0,,,3.0,1.0,,,,,1.0,,,1.0,1.0,,,,2.0,2.0,,2.0,,1.0,1.0,,2.0,,,,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
8,987666,2018-10-06 15:00:00,"King Power Stadium, Leicester",32007,Home,Leicester City,Everton,1,2,L,1,1,1,0,,,60.0,1.0,3.0,34.0,33.0,3.0,2.0,5.0,6.0,,157.0,4.0,7.0,1.0,,7.0,2.0,111.0,163.0,52.0,,8.0,1.0,26.0,1.0,,1.0,11.0,8.0,,33.0,2.0,14.0,51.0,152.0,0.0,110.0,10.0,5.0,,2.0,71.0,62.0,3.0,74.0,3.0,9.0,24.0,3.0,,3.0,2.0,163.0,2.0,9.0,119.0,655.0,5.0,9.0,13.0,,6.0,336.0,31.0,3.0,19.0,,2.0,4.0,4.0,32.0,442.0,57.0,2.0,95658,3.0,199.0,2.0,4.0,,234.0,6.0,,24.0,7.0,58.0,3.0,5.0,4.0,1.0,14.0,8.0,4.0,,75.0,347.0,11.0,11.0,1.0,20.0,,90.0,0.0,1.0,10.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,51.3,21.0,2.0,3.0,4.0,1.0,47.0,2.0,,461.0,,6.0,9.0,23.0,5.0,16.0,1.0,3.0,238.0,3.0,12.0,21.0,66.0,21.0,19.0,13.0,,1.0,6.0,3.0,9.0,9.0,2.0,,,1.0,2.0,,,1.0,,,1.0,1.0,,,,1.0,,,4.0,4.0,1.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,2.0,,1.0,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
9,987673,2018-10-22 20:00:00,"Emirates Stadium, London",59886,Away,Leicester City,Arsenal,1,3,L,1,1,0,0,1.0,,62.0,,1.0,28.0,18.0,3.0,5.0,5.0,3.0,,131.0,2.0,10.0,1.0,2.0,6.0,2.0,61.0,134.0,51.0,1.0,8.0,1.0,16.0,1.0,,,12.0,5.0,1.0,18.0,4.0,3.0,42.0,113.0,0.0,80.0,10.0,2.0,1.0,1.0,59.0,31.0,4.0,47.0,,8.0,23.0,3.0,1.0,3.0,1.0,134.0,2.0,12.0,70.0,505.0,4.0,2.0,22.0,1.0,20.0,209.0,32.0,1.0,8.0,,2.0,1.0,2.0,19.0,280.0,40.0,,95658,2.0,117.0,2.0,4.0,,146.0,5.0,,23.0,12.0,57.0,2.0,1.0,3.0,,16.0,7.0,6.0,,55.0,228.0,10.0,12.0,2.0,8.0,,48.0,0.0,4.0,6.0,2.0,1.0,3.0,,0.0,1.0,2.0,30.9,17.0,,3.0,3.0,3.0,27.0,4.0,,309.0,,20.0,13.0,22.0,3.0,23.0,1.0,1.0,175.0,1.0,3.0,17.0,49.0,21.0,8.0,14.0,,3.0,4.0,3.0,17.0,14.0,4.0,1.0,,,,,,,,4.0,,2.0,1.0,,,,,,2.0,2.0,,3.0,,,,,2.0,,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,
