gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attOboxBlocked,attIboxTarget,shotFastbreak,attSvLowCentre,attGoalHighRight,attMissHighRight,cleanSheet,totalFastbreak,midfielderGoals,goodHighClaim,attHdTarget,sixYardBlock,attRfGoal,goalsOpenplay,attMissHigh,attAssistSetplay,attFastbreak,punches,attHdTotal,attHdMiss,totalHighClaim,effectiveBlockedCross,blockedCross,attFreekickTotal,goalAssistOpenplay,freekickTotal,goalAssist,totalPullBack,attCmissHigh,goalAssistIntentional,attSvHighCentre,attHdGoal,errorLeadToGoal,attGoalLowCentre,accuratePullBack,attCmissLeft,attBxLeft,forwardGoals,attLfTarget,attBxRight,attOneOnOne,attObxdLeft,goalFastbreak,goalsConcededObox,attMissHighLeft,errorLeadToShot,attCmissHighLeft,goalAssistSetplay,attGoalLowRight,postScoringAtt,accurateKeeperSweeper,attIboxPost,attPostLeft,hitWoodwork,totalKeeperSweeper,attOboxGoal,ptsDroppedWinningPos,attSvHighRight,attSvHighLeft,attFreekickTarget,penaltyConceded,penaltyFaced,attOboxPost,attPostHigh,penaltyWon,attPenGoal,attHdPost,attCmissHighRight,penaltySave,attGoalHighLeft,attGoalHighCentre,clearanceOffLine,secondYellow,defenderGoals,foulThrowIn,goalAssistDeadball,penGoalsConceded
10,1059801,2019-10-26 15:00:00,"London Stadium, London",59878.0,Away,Sheffield United,West Ham United,1,1,D,0,1,0,0,,,65.0,,1.0,2.0,24.0,27.0,1.0,2.0,9.0,3.0,,2.0,140.0,4.0,13.0,1.0,2.0,9.0,1.0,4.0,90.0,139.0,55.0,10.0,22.0,1.0,15.0,6.0,,27.0,2.0,4.0,29.0,127.0,0.0,110.0,10.0,1.0,1.0,,1.0,63.0,61.0,6.0,48.0,1.0,2.0,13.0,16.0,1.0,3.0,,139.0,1.0,,9.0,79.0,551.0,6.0,4.0,19.0,14.0,248.0,30.0,3.0,18.0,2.0,1.0,3.0,20.0,334.0,53.0,,1.0,87447,4.0,138.0,1.0,9.0,1.0,154.0,3.0,16.0,7.0,51.0,,4.0,2.0,12.0,3.0,4.0,71.0,261.0,7.0,10.0,30.0,3.0,77.0,,0.0,2.0,10.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,39.2,18.0,1.0,2.0,3.0,26.0,4.0,357.0,14.0,7.0,12.0,3.0,22.0,1.0,3.0,218.0,6.0,3.0,25.0,67.0,28.0,18.0,11.0,1.0,6.0,3.0,18.0,9.0,4.0,1.0,3.0,,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,,2.0,,2.0,2.0,1.0,2.0,3.0,3.0,,1.0,,1.0,,,1.0,2.0,,,,,1.0,2.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1059809,2019-11-02 15:00:00,"Bramall Lane, Sheffield",31131.0,Home,Sheffield United,Burnley,3,0,W,3,0,0,0,,2.0,59.0,,,2.0,21.0,23.0,1.0,5.0,12.0,1.0,1.0,1.0,167.0,5.0,13.0,3.0,1.0,11.0,,6.0,78.0,162.0,73.0,13.0,29.0,2.0,23.0,10.0,,23.0,6.0,5.0,37.0,151.0,0.0,137.0,8.0,,,,,44.0,102.0,6.0,56.0,2.0,1.0,17.0,13.0,1.0,7.0,1.0,162.0,5.0,,5.0,83.0,563.0,8.0,10.0,27.0,7.0,254.0,21.0,7.0,12.0,1.0,1.0,5.0,21.0,354.0,57.0,1.0,,87447,6.0,120.0,3.0,10.0,,148.0,3.0,13.0,7.0,44.0,2.0,1.0,3.0,14.0,1.0,,75.0,266.0,11.0,2.0,30.0,1.0,93.0,2.0,0.0,2.0,6.0,,3.0,,3.0,0.0,4.0,,45.6,17.0,5.0,3.0,2.0,37.0,7.0,384.0,7.0,5.0,15.0,5.0,33.0,1.0,4.0,259.0,7.0,3.0,33.0,82.0,21.0,12.0,17.0,,12.0,3.0,13.0,6.0,7.0,,3.0,2.0,,,1.0,1.0,2.0,3.0,1.0,1.0,,2.0,3.0,,,2.0,2.0,1.0,,1.0,4.0,4.0,,3.0,,3.0,1.0,,2.0,1.0,,,,,1.0,2.0,,1.0,3.0,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1059820,2019-11-09 15:00:00,"Tottenham Hotspur Stadium, London",59781.0,Away,Sheffield United,Tottenham Hotspur,1,1,D,0,0,0,0,,,64.0,1.0,2.0,3.0,27.0,23.0,6.0,3.0,8.0,4.0,,2.0,146.0,3.0,12.0,1.0,2.0,10.0,1.0,4.0,78.0,152.0,59.0,14.0,22.0,3.0,15.0,16.0,3.0,23.0,4.0,4.0,34.0,182.0,0.0,142.0,9.0,1.0,1.0,,2.0,77.0,107.0,5.0,65.0,2.0,1.0,11.0,12.0,6.0,3.0,3.0,152.0,1.0,2.0,7.0,89.0,591.0,9.0,5.0,17.0,10.0,273.0,26.0,1.0,7.0,2.0,3.0,5.0,21.0,356.0,63.0,,,87447,5.0,106.0,1.0,6.0,1.0,127.0,6.0,12.0,11.0,63.0,,6.0,3.0,18.0,10.0,4.0,68.0,285.0,6.0,13.0,23.0,4.0,60.0,1.0,0.0,,4.0,2.0,1.0,1.0,1.0,0.0,3.0,,38.9,17.0,3.0,3.0,3.0,32.0,4.0,378.0,10.0,10.0,20.0,7.0,24.0,,3.0,266.0,11.0,4.0,14.0,92.0,28.0,7.0,27.0,1.0,9.0,2.0,21.0,4.0,4.0,,,,1.0,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,1.0,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
13,1059829,2019-11-24 16:30:00,"Bramall Lane, Sheffield",32024.0,Home,Sheffield United,Manchester United,3,3,D,1,0,0,0,,1.0,75.0,1.0,1.0,,22.0,21.0,7.0,3.0,5.0,2.0,1.0,3.0,164.0,4.0,8.0,3.0,2.0,8.0,,8.0,81.0,165.0,52.0,12.0,23.0,,28.0,9.0,3.0,21.0,5.0,9.0,33.0,175.0,0.0,152.0,13.0,1.0,1.0,1.0,1.0,82.0,83.0,7.0,62.0,1.0,1.0,23.0,21.0,7.0,5.0,,165.0,2.0,1.0,7.0,76.0,580.0,5.0,7.0,15.0,16.0,265.0,24.0,6.0,10.0,1.0,2.0,1.0,22.0,358.0,64.0,,,87447,4.0,106.0,2.0,17.0,,127.0,10.0,21.0,5.0,55.0,,3.0,2.0,10.0,4.0,1.0,72.0,277.0,9.0,9.0,29.0,3.0,74.0,,0.0,5.0,3.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,40.6,15.0,8.0,2.0,3.0,25.0,6.0,383.0,16.0,6.0,12.0,1.0,34.0,2.0,1.0,284.0,7.0,8.0,22.0,100.0,35.0,10.0,13.0,3.0,9.0,3.0,12.0,6.0,6.0,3.0,2.0,1.0,4.0,1.0,,,2.0,1.0,,1.0,,2.0,3.0,,1.0,1.0,,2.0,1.0,,,,,2.0,,2.0,1.0,,1.0,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
14,1059841,2019-12-01 14:00:00,"Molineux Stadium, Wolverhampton",31642.0,Away,Sheffield United,Wolverhampton Wanderers,1,1,D,1,0,0,0,2.0,1.0,64.0,,1.0,,30.0,37.0,1.0,5.0,9.0,3.0,1.0,,158.0,7.0,7.0,1.0,4.0,8.0,,4.0,80.0,142.0,63.0,10.0,26.0,2.0,18.0,14.0,,37.0,2.0,6.0,38.0,161.0,0.0,144.0,18.0,,1.0,,3.0,56.0,64.0,4.0,60.0,,1.0,16.0,7.0,1.0,6.0,,142.0,4.0,1.0,8.0,63.0,583.0,6.0,10.0,22.0,17.0,260.0,24.0,6.0,21.0,5.0,6.0,4.0,21.0,338.0,60.0,1.0,1.0,87447,4.0,116.0,3.0,7.0,1.0,135.0,9.0,7.0,5.0,75.0,1.0,3.0,2.0,14.0,5.0,3.0,70.0,270.0,12.0,16.0,29.0,,64.0,,0.0,1.0,7.0,1.0,1.0,1.0,3.0,0.0,7.0,,40.6,16.0,5.0,2.0,1.0,25.0,2.0,361.0,17.0,8.0,17.0,5.0,31.0,,5.0,244.0,2.0,6.0,26.0,97.0,24.0,21.0,19.0,1.0,9.0,3.0,16.0,3.0,2.0,1.0,3.0,,3.0,,,,,,2.0,,,,1.0,2.0,1.0,,,3.0,3.0,2.0,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,2.0,1.0,3.0,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,
15,1059846,2019-12-05 19:30:00,"Bramall Lane, Sheffield",30409.0,Home,Sheffield United,Newcastle United,0,2,L,0,1,0,0,,,62.0,,2.0,1.0,35.0,13.0,3.0,5.0,10.0,2.0,,2.0,165.0,8.0,6.0,,3.0,10.0,1.0,6.0,215.0,167.0,50.0,13.0,26.0,2.0,45.0,15.0,1.0,13.0,7.0,6.0,42.0,388.0,0.0,231.0,10.0,,,,1.0,128.0,122.0,7.0,93.0,,1.0,38.0,18.0,3.0,18.0,,167.0,1.0,,3.0,202.0,881.0,9.0,3.0,29.0,2.0,567.0,22.0,3.0,9.0,2.0,1.0,3.0,30.0,661.0,90.0,1.0,1.0,87447,6.0,199.0,1.0,19.0,1.0,220.0,3.0,18.0,3.0,56.0,1.0,3.0,7.0,15.0,3.0,2.0,67.0,579.0,6.0,7.0,16.0,2.0,81.0,1.0,0.0,1.0,1.0,,,2.0,,0.0,8.0,,73.3,29.0,2.0,7.0,3.0,55.0,8.0,675.0,2.0,9.0,24.0,4.0,55.0,,4.0,500.0,5.0,5.0,20.0,177.0,27.0,9.0,18.0,2.0,9.0,3.0,11.0,5.0,8.0,2.0,5.0,,1.0,,,,,,2.0,3.0,,,,1.0,1.0,,,3.0,,2.0,2.0,2.0,1.0,,1.0,,,,,1.0,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
16,1059858,2019-12-08 14:00:00,"Carrow Road, Norwich",26881.0,Away,Sheffield United,Norwich City,2,1,W,0,1,0,0,1.0,,89.0,1.0,1.0,1.0,33.0,23.0,3.0,,6.0,3.0,,1.0,178.0,3.0,15.0,2.0,,7.0,,3.0,83.0,177.0,71.0,9.0,24.0,3.0,16.0,11.0,,23.0,1.0,3.0,40.0,162.0,0.0,143.0,12.0,3.0,2.0,1.0,1.0,69.0,68.0,2.0,68.0,1.0,,15.0,18.0,3.0,4.0,3.0,177.0,1.0,2.0,8.0,89.0,625.0,6.0,11.0,23.0,13.0,284.0,35.0,9.0,11.0,4.0,5.0,5.0,26.0,399.0,69.0,,,87447,2.0,134.0,1.0,10.0,,162.0,8.0,18.0,5.0,64.0,,2.0,5.0,11.0,6.0,2.0,88.0,293.0,6.0,12.0,38.0,,90.0,,0.0,1.0,9.0,2.0,2.0,1.0,1.0,0.0,3.0,,41.8,18.0,9.0,5.0,1.0,45.0,1.0,418.0,13.0,13.0,16.0,5.0,30.0,,2.0,272.0,8.0,3.0,34.0,85.0,33.0,11.0,17.0,1.0,9.0,3.0,19.0,11.0,1.0,,1.0,2.0,,,,,2.0,2.0,,,,1.0,2.0,2.0,,2.0,,1.0,,,3.0,3.0,,1.0,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,3.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
17,1059869,2019-12-14 15:00:00,"Bramall Lane, Sheffield",30396.0,Home,Sheffield United,Aston Villa,2,0,W,0,0,0,0,2.0,2.0,69.0,,,2.0,51.0,16.0,,3.0,7.0,,1.0,1.0,203.0,5.0,7.0,2.0,1.0,6.0,,3.0,115.0,181.0,58.0,7.0,36.0,,30.0,7.0,,16.0,3.0,5.0,52.0,261.0,0.0,219.0,10.0,,,,,62.0,151.0,4.0,77.0,1.0,,27.0,15.0,,10.0,,181.0,5.0,1.0,5.0,117.0,697.0,3.0,14.0,35.0,11.0,381.0,23.0,13.0,11.0,2.0,1.0,1.0,29.0,492.0,84.0,,,87447,4.0,138.0,3.0,17.0,,158.0,4.0,15.0,8.0,58.0,,3.0,3.0,16.0,3.0,4.0,97.0,394.0,7.0,3.0,34.0,,92.0,,0.0,3.0,2.0,,2.0,,3.0,0.0,4.0,1.0,56.7,24.0,2.0,3.0,2.0,51.0,3.0,512.0,11.0,5.0,28.0,2.0,48.0,1.0,2.0,384.0,4.0,5.0,32.0,154.0,37.0,11.0,12.0,,7.0,3.0,13.0,5.0,3.0,,1.0,1.0,1.0,,,1.0,1.0,2.0,,,,1.0,2.0,1.0,,1.0,,,,,2.0,2.0,,2.0,,2.0,2.0,,2.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
18,1059874,2019-12-21 15:00:00,"American Express Stadium, Falmer",30505.0,Away,Sheffield United,Brighton and Hove Albion,1,0,W,1,0,0,0,2.0,1.0,68.0,,1.0,,19.0,23.0,1.0,2.0,6.0,2.0,,,149.0,3.0,9.0,1.0,,5.0,2.0,2.0,48.0,153.0,65.0,7.0,28.0,1.0,9.0,13.0,,23.0,2.0,8.0,36.0,102.0,0.0,97.0,11.0,,1.0,,1.0,47.0,64.0,1.0,50.0,1.0,2.0,7.0,14.0,1.0,1.0,,153.0,1.0,2.0,5.0,46.0,456.0,4.0,12.0,13.0,9.0,180.0,28.0,4.0,14.0,3.0,3.0,4.0,19.0,265.0,55.0,,1.0,87447,3.0,89.0,2.0,5.0,1.0,115.0,6.0,14.0,13.0,56.0,,3.0,2.0,21.0,4.0,4.0,83.0,188.0,5.0,10.0,33.0,,75.0,,0.0,2.0,4.0,1.0,1.0,,4.0,0.0,2.0,1.0,31.0,12.0,4.0,2.0,,19.0,3.0,293.0,9.0,4.0,11.0,5.0,11.0,1.0,4.0,187.0,3.0,8.0,29.0,54.0,27.0,14.0,22.0,,6.0,3.0,14.0,5.0,3.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,
19,1059889,2019-12-26 15:00:00,"Bramall Lane, Sheffield",30222.0,Home,Sheffield United,Watford,1,1,D,1,1,0,0,,1.0,73.0,1.0,,6.0,38.0,10.0,4.0,5.0,12.0,1.0,,1.0,196.0,10.0,12.0,1.0,4.0,12.0,1.0,4.0,120.0,184.0,72.0,16.0,26.0,,31.0,8.0,,10.0,9.0,3.0,54.0,192.0,0.0,151.0,11.0,1.0,1.0,1.0,3.0,94.0,74.0,8.0,67.0,1.0,4.0,22.0,21.0,4.0,10.0,4.0,184.0,1.0,1.0,3.0,134.0,713.0,9.0,8.0,27.0,4.0,386.0,31.0,10.0,2.0,0.0,1.0,4.0,24.0,505.0,71.0,,,87447,8.0,210.0,1.0,9.0,2.0,253.0,5.0,21.0,4.0,50.0,,4.0,3.0,25.0,2.0,1.0,90.0,392.0,8.0,6.0,35.0,4.0,90.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,5.0,,58.1,23.0,5.0,3.0,6.0,49.0,9.0,517.0,4.0,6.0,29.0,6.0,42.0,5.0,2.0,295.0,5.0,2.0,35.0,98.0,31.0,2.0,18.0,1.0,9.0,1.0,13.0,8.0,9.0,,3.0,1.0,1.0,,,,1.0,1.0,,1.0,3.0,1.0,,2.0,3.0,1.0,,2.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
20,1059896,2019-12-29 18:00:00,"Etihad Stadium, Manchester",54512.0,Away,Sheffield United,Manchester City,0,2,L,0,0,0,0,,,58.0,,2.0,2.0,29.0,23.0,1.0,1.0,7.0,2.0,,,133.0,4.0,9.0,,1.0,7.0,,,63.0,118.0,45.0,8.0,12.0,1.0,16.0,10.0,,23.0,4.0,3.0,35.0,138.0,0.0,126.0,6.0,,1.0,,,48.0,61.0,1.0,52.0,5.0,1.0,12.0,16.0,1.0,2.0,1.0,118.0,3.0,1.0,6.0,66.0,477.0,7.0,8.0,13.0,12.0,220.0,31.0,5.0,7.0,1.0,6.0,6.0,14.0,291.0,55.0,1.0,,87447,4.0,99.0,3.0,10.0,,121.0,3.0,16.0,8.0,34.0,1.0,5.0,,8.0,10.0,2.0,60.0,233.0,4.0,6.0,16.0,1.0,63.0,,0.0,1.0,8.0,,,2.0,,0.0,4.0,,27.1,13.0,4.0,,2.0,33.0,5.0,314.0,12.0,6.0,18.0,6.0,24.0,,4.0,209.0,4.0,3.0,17.0,89.0,15.0,7.0,16.0,2.0,6.0,3.0,13.0,6.0,5.0,,,2.0,,,1.0,,2.0,,,,,,,,,2.0,,3.0,2.0,,3.0,3.0,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
21,1059905,2020-01-02 20:00:00,"Anfield, Liverpool",53321.0,Away,Sheffield United,Liverpool,0,2,L,0,1,0,0,3.0,,68.0,,,,12.0,29.0,1.0,1.0,2.0,5.0,,2.0,131.0,3.0,6.0,,1.0,2.0,,2.0,75.0,118.0,35.0,3.0,18.0,,10.0,9.0,1.0,29.0,3.0,3.0,33.0,103.0,0.0,99.0,8.0,,5.0,,,68.0,26.0,2.0,57.0,3.0,1.0,7.0,5.0,1.0,2.0,,118.0,1.0,,14.0,64.0,470.0,2.0,5.0,9.0,12.0,230.0,33.0,4.0,15.0,0.0,6.0,,14.0,308.0,51.0,1.0,,87447,,139.0,1.0,5.0,,162.0,2.0,5.0,6.0,37.0,1.0,3.0,1.0,12.0,5.0,1.0,56.0,239.0,5.0,8.0,18.0,,63.0,,0.0,,8.0,5.0,,2.0,1.0,0.0,3.0,1.0,25.2,12.0,2.0,1.0,,20.0,4.0,327.0,12.0,5.0,10.0,1.0,14.0,,1.0,175.0,2.0,3.0,10.0,58.0,28.0,15.0,14.0,2.0,3.0,3.0,7.0,3.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,2.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
22,1059919,2020-01-10 20:00:00,"Bramall Lane, Sheffield",30124.0,Home,Sheffield United,West Ham United,1,0,W,0,0,0,0,,1.0,78.0,,1.0,2.0,32.0,11.0,4.0,5.0,9.0,2.0,,1.0,177.0,6.0,9.0,1.0,1.0,10.0,1.0,3.0,87.0,180.0,73.0,13.0,37.0,2.0,25.0,14.0,,11.0,6.0,7.0,37.0,173.0,0.0,148.0,11.0,,2.0,1.0,1.0,66.0,101.0,5.0,67.0,,1.0,19.0,9.0,4.0,11.0,2.0,180.0,4.0,,5.0,106.0,612.0,7.0,16.0,16.0,8.0,299.0,24.0,9.0,6.0,1.0,,5.0,22.0,422.0,72.0,,,87447,6.0,139.0,3.0,7.0,1.0,169.0,7.0,9.0,5.0,82.0,,3.0,4.0,7.0,2.0,2.0,76.0,306.0,5.0,18.0,31.0,3.0,83.0,,0.0,1.0,3.0,1.0,1.0,,5.0,0.0,4.0,1.0,46.9,19.0,6.0,4.0,4.0,34.0,7.0,437.0,8.0,10.0,13.0,6.0,32.0,2.0,4.0,293.0,4.0,6.0,40.0,88.0,40.0,6.0,19.0,,9.0,3.0,15.0,4.0,7.0,2.0,2.0,1.0,1.0,,,1.0,1.0,,,,2.0,1.0,1.0,2.0,2.0,1.0,,3.0,3.0,,4.0,4.0,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1059922,2020-01-18 15:00:00,"Emirates Stadium, London",60310.0,Away,Sheffield United,Arsenal,1,1,D,0,1,0,0,4.0,,70.0,,1.0,2.0,23.0,17.0,3.0,5.0,9.0,3.0,1.0,,157.0,9.0,9.0,1.0,4.0,6.0,,4.0,67.0,152.0,64.0,12.0,22.0,1.0,24.0,12.0,1.0,17.0,5.0,6.0,43.0,138.0,0.0,116.0,13.0,1.0,,1.0,4.0,46.0,75.0,3.0,49.0,2.0,,19.0,18.0,3.0,7.0,2.0,152.0,2.0,,7.0,80.0,534.0,3.0,11.0,26.0,18.0,232.0,29.0,3.0,6.0,2.0,2.0,3.0,18.0,329.0,68.0,,1.0,87447,6.0,117.0,2.0,8.0,1.0,130.0,5.0,18.0,11.0,55.0,,,1.0,13.0,4.0,7.0,61.0,246.0,8.0,12.0,18.0,4.0,74.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,5.0,1.0,39.0,15.0,6.0,1.0,2.0,31.0,5.0,353.0,18.0,7.0,19.0,6.0,24.0,4.0,4.0,247.0,3.0,3.0,28.0,61.0,28.0,6.0,20.0,1.0,6.0,3.0,15.0,6.0,5.0,,2.0,,,1.0,3.0,,,1.0,1.0,2.0,,,1.0,2.0,3.0,,,4.0,2.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
