gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attOboxBlocked,attIboxTarget,shotFastbreak,attSvLowCentre,attGoalHighRight,attMissHighRight,cleanSheet,totalFastbreak,midfielderGoals,goodHighClaim,attHdTarget,sixYardBlock,attRfGoal,goalsOpenplay,attMissHigh,attAssistSetplay,attFastbreak,punches,attHdTotal,attHdMiss,totalHighClaim,effectiveBlockedCross,blockedCross,attFreekickTotal,goalAssistOpenplay,freekickTotal,goalAssist,totalPullBack,attCmissHigh,goalAssistIntentional,attSvHighCentre,attHdGoal,errorLeadToGoal,attGoalLowCentre,accuratePullBack,attCmissLeft,attBxLeft,forwardGoals,attLfTarget,attBxRight,attOneOnOne,attObxdLeft,goalFastbreak,goalsConcededObox,attMissHighLeft,errorLeadToShot,attCmissHighLeft,goalAssistSetplay,attGoalLowRight,postScoringAtt,accurateKeeperSweeper,attIboxPost,attPostLeft,hitWoodwork,totalKeeperSweeper,attOboxGoal,ptsDroppedWinningPos,attSvHighRight,attSvHighLeft,attFreekickTarget,penaltyConceded,penaltyFaced,attOboxPost,attPostHigh,penaltyWon,attPenGoal,attHdPost,attCmissHighRight,penaltySave,attGoalHighLeft,attGoalHighCentre,clearanceOffLine,secondYellow,defenderGoals,foulThrowIn,goalAssistDeadball,penGoalsConceded
24,1059937,2020-01-21 19:30:00,"Bramall Lane, Sheffield",31285.0,Home,Sheffield United,Manchester City,0,1,L,0,0,0,0,1.0,,53.0,,,1.0,24.0,23.0,,1.0,4.0,4.0,,1.0,130.0,5.0,9.0,,2.0,3.0,,1.0,62.0,143.0,57.0,4.0,21.0,,21.0,9.0,,23.0,5.0,4.0,34.0,124.0,0.0,126.0,13.0,,4.0,,4.0,57.0,51.0,1.0,30.0,1.0,2.0,16.0,14.0,,4.0,,143.0,1.0,,12.0,64.0,463.0,3.0,8.0,20.0,10.0,173.0,31.0,4.0,14.0,4.0,4.0,2.0,20.0,254.0,69.0,,1.0,87447,2.0,68.0,1.0,8.0,1.0,89.0,7.0,14.0,13.0,50.0,,4.0,,9.0,6.0,5.0,74.0,187.0,13.0,10.0,26.0,1.0,62.0,,0.0,2.0,13.0,4.0,,1.0,4.0,0.0,4.0,1.0,32.7,15.0,,,1.0,22.0,5.0,286.0,10.0,6.0,13.0,2.0,26.0,1.0,2.0,218.0,2.0,4.0,23.0,69.0,15.0,14.0,13.0,1.0,2.0,3.0,11.0,6.0,5.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,
25,1059944,2020-02-01 15:00:00,"Selhurst Park, London",25170.0,Away,Sheffield United,Crystal Palace,1,0,W,0,0,0,0,1.0,,65.0,,1.0,3.0,25.0,28.0,4.0,4.0,6.0,3.0,,2.0,151.0,3.0,11.0,1.0,4.0,7.0,,3.0,63.0,149.0,64.0,10.0,31.0,1.0,16.0,9.0,2.0,28.0,4.0,5.0,35.0,161.0,0.0,148.0,15.0,,2.0,,2.0,73.0,72.0,6.0,48.0,,,12.0,14.0,4.0,3.0,1.0,149.0,1.0,1.0,8.0,75.0,533.0,6.0,7.0,17.0,13.0,229.0,34.0,6.0,9.0,2.0,5.0,1.0,17.0,320.0,59.0,,,83427,3.0,82.0,1.0,7.0,1.0,107.0,5.0,14.0,8.0,64.0,,,3.0,18.0,5.0,3.0,70.0,240.0,9.0,5.0,31.0,2.0,67.0,2.0,0.0,1.0,9.0,2.0,1.0,,1.0,0.0,2.0,1.0,39.3,11.0,2.0,3.0,4.0,31.0,5.0,337.0,13.0,9.0,17.0,3.0,22.0,1.0,2.0,246.0,5.0,4.0,24.0,98.0,19.0,9.0,20.0,,6.0,3.0,16.0,6.0,5.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,1.0,,1.0,,,1.0,3.0,3.0,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,
26,1059959,2020-02-09 14:00:00,"Bramall Lane, Sheffield",30361.0,Home,Sheffield United,Bournemouth,2,1,W,1,1,0,0,,2.0,58.0,,,4.0,41.0,20.0,2.0,3.0,14.0,1.0,1.0,2.0,184.0,9.0,13.0,2.0,2.0,10.0,2.0,6.0,78.0,188.0,78.0,16.0,28.0,1.0,36.0,5.0,,20.0,7.0,3.0,40.0,191.0,0.0,176.0,10.0,3.0,1.0,,,76.0,74.0,7.0,64.0,1.0,2.0,29.0,20.0,2.0,10.0,,188.0,1.0,,8.0,123.0,666.0,7.0,14.0,40.0,7.0,308.0,27.0,8.0,8.0,2.0,1.0,3.0,40.0,425.0,75.0,,,82691,8.0,138.0,,19.0,,177.0,4.0,20.0,9.0,53.0,,,2.0,14.0,2.0,4.0,87.0,320.0,8.0,5.0,32.0,5.0,88.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,3.0,0.0,6.0,1.0,54.3,33.0,4.0,2.0,6.0,43.0,8.0,449.0,7.0,7.0,17.0,4.0,47.0,3.0,4.0,308.0,8.0,3.0,41.0,109.0,21.0,8.0,17.0,1.0,10.0,2.0,16.0,7.0,8.0,2.0,4.0,,2.0,,,,,,,1.0,1.0,1.0,1.0,,2.0,,3.0,3.0,2.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1059969,2020-02-22 15:00:00,"Bramall Lane, Sheffield",31888.0,Home,Sheffield United,Brighton and Hove Albion,1,1,D,1,1,0,0,1.0,,64.0,,1.0,4.0,36.0,7.0,3.0,5.0,10.0,1.0,1.0,2.0,183.0,14.0,16.0,1.0,3.0,10.0,1.0,3.0,121.0,202.0,58.0,13.0,24.0,3.0,50.0,10.0,,7.0,10.0,5.0,46.0,267.0,0.0,220.0,5.0,,1.0,,2.0,145.0,108.0,7.0,92.0,,2.0,40.0,24.0,3.0,18.0,2.0,202.0,3.0,1.0,6.0,136.0,782.0,8.0,3.0,36.0,8.0,398.0,17.0,5.0,3.0,0.0,3.0,3.0,41.0,518.0,77.0,,,82691,7.0,158.0,3.0,20.0,,176.0,2.0,24.0,4.0,51.0,,3.0,6.0,24.0,3.0,3.0,87.0,411.0,5.0,9.0,29.0,6.0,74.0,,0.0,2.0,2.0,,1.0,1.0,2.0,0.0,8.0,1.0,66.3,40.0,8.0,6.0,5.0,33.0,12.0,532.0,8.0,9.0,11.0,5.0,54.0,6.0,3.0,406.0,4.0,3.0,22.0,150.0,32.0,3.0,15.0,1.0,7.0,3.0,22.0,5.0,12.0,1.0,2.0,,2.0,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,3.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,
28,1059973,2020-06-17 18:00:00,"Villa Park, Birmingham",,Away,Sheffield United,Aston Villa,0,0,D,0,0,0,0,1.0,,51.0,,1.0,1.0,27.0,17.0,2.0,,3.0,6.0,,,174.0,4.0,5.0,,1.0,3.0,,1.0,106.0,140.0,67.0,5.0,28.0,1.0,20.0,13.0,,17.0,4.0,5.0,36.0,217.0,0.0,169.0,14.0,,2.0,,1.0,79.0,113.0,2.0,88.0,1.0,,16.0,16.0,2.0,4.0,,140.0,,,12.0,115.0,648.0,1.0,10.0,11.0,6.0,370.0,17.0,7.0,8.0,1.0,3.0,1.0,21.0,460.0,82.0,,,87121,3.0,171.0,,11.0,,189.0,9.0,16.0,10.0,60.0,,,4.0,15.0,2.0,6.0,70.0,384.0,11.0,11.0,28.0,1.0,91.0,,0.0,1.0,12.0,5.0,,,5.0,0.0,2.0,1.0,54.9,20.0,6.0,4.0,3.0,49.0,4.0,483.0,6.0,4.0,17.0,1.0,22.0,2.0,1.0,314.0,3.0,4.0,33.0,107.0,20.0,8.0,18.0,,3.0,3.0,9.0,6.0,4.0,2.0,1.0,,,,,1.0,,,,1.0,2.0,,,,2.0,,,2.0,1.0,,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1059989,2020-03-07 15:00:00,"Bramall Lane, Sheffield",31379.0,Home,Sheffield United,Norwich City,1,0,W,1,0,0,0,,1.0,58.0,,,2.0,27.0,31.0,1.0,1.0,9.0,4.0,,2.0,151.0,4.0,12.0,1.0,1.0,6.0,1.0,4.0,64.0,156.0,53.0,10.0,23.0,2.0,34.0,10.0,,31.0,8.0,1.0,32.0,179.0,0.0,171.0,12.0,,4.0,1.0,1.0,74.0,94.0,4.0,64.0,1.0,1.0,26.0,14.0,1.0,9.0,1.0,156.0,1.0,,8.0,80.0,576.0,5.0,11.0,33.0,13.0,251.0,22.0,6.0,16.0,0.0,4.0,2.0,24.0,332.0,65.0,,,82691,7.0,92.0,,16.0,,113.0,9.0,14.0,9.0,63.0,,1.0,2.0,9.0,4.0,4.0,68.0,267.0,7.0,10.0,28.0,4.0,69.0,,0.0,4.0,5.0,5.0,1.0,,3.0,0.0,3.0,,41.8,22.0,6.0,2.0,2.0,32.0,10.0,359.0,13.0,10.0,16.0,4.0,39.0,1.0,3.0,280.0,7.0,1.0,20.0,123.0,24.0,16.0,14.0,,6.0,3.0,20.0,9.0,10.0,,3.0,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,2.0,,1.0,2.0,2.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
30,1059997,2020-06-21 14:00:00,"St. James' Park, Newcastle",,Away,Sheffield United,Newcastle United,0,3,L,0,0,1,0,,,58.0,,2.0,2.0,31.0,12.0,1.0,2.0,6.0,5.0,,,176.0,6.0,6.0,,3.0,7.0,,1.0,125.0,131.0,53.0,7.0,20.0,1.0,22.0,9.0,,12.0,3.0,4.0,38.0,233.0,0.0,145.0,10.0,,2.0,,3.0,80.0,109.0,4.0,82.0,,,19.0,21.0,1.0,3.0,,131.0,1.0,,7.0,126.0,664.0,6.0,9.0,13.0,4.0,412.0,23.0,5.0,5.0,0.0,2.0,3.0,20.0,492.0,75.0,,,87121,5.0,197.0,1.0,13.0,,217.0,5.0,21.0,3.0,50.0,,1.0,7.0,13.0,5.0,1.0,61.0,424.0,9.0,9.0,14.0,1.0,71.0,,0.0,,2.0,3.0,,3.0,4.0,1.0,5.0,2.0,54.0,15.0,3.0,7.0,3.0,40.0,4.0,509.0,4.0,3.0,17.0,3.0,23.0,1.0,3.0,314.0,1.0,4.0,22.0,100.0,22.0,5.0,16.0,2.0,6.0,4.0,14.0,9.0,4.0,1.0,1.0,,1.0,,,,,,,1.0,3.0,,,1.0,1.0,,,2.0,1.0,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
31,1060006,2020-06-24 18:00:00,"Old Trafford, Manchester",,Away,Sheffield United,Manchester United,0,3,L,0,2,0,0,,,42.0,,2.0,2.0,17.0,18.0,2.0,1.0,2.0,3.0,,1.0,104.0,3.0,4.0,,,4.0,,1.0,89.0,94.0,37.0,4.0,16.0,,17.0,5.0,1.0,18.0,5.0,4.0,21.0,140.0,0.0,105.0,6.0,,,,,56.0,58.0,3.0,56.0,2.0,,12.0,10.0,2.0,3.0,1.0,94.0,,,11.0,89.0,486.0,4.0,5.0,6.0,15.0,265.0,23.0,4.0,6.0,0.0,4.0,1.0,6.0,315.0,47.0,,,87121,1.0,142.0,,9.0,,157.0,3.0,10.0,6.0,45.0,,2.0,2.0,7.0,4.0,3.0,49.0,279.0,10.0,16.0,20.0,,47.0,,0.0,3.0,10.0,1.0,,3.0,2.0,0.0,3.0,,31.8,4.0,,2.0,2.0,24.0,5.0,338.0,15.0,5.0,7.0,1.0,22.0,,,198.0,3.0,4.0,8.0,71.0,13.0,6.0,15.0,3.0,4.0,3.0,6.0,7.0,5.0,,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1060019,2020-07-02 18:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Tottenham Hotspur,3,1,W,1,0,0,0,1.0,2.0,59.0,1.0,1.0,,37.0,28.0,2.0,4.0,5.0,1.0,1.0,,146.0,2.0,8.0,3.0,1.0,7.0,,5.0,44.0,146.0,61.0,7.0,19.0,1.0,9.0,12.0,2.0,28.0,1.0,3.0,26.0,133.0,0.0,134.0,13.0,,1.0,,,57.0,62.0,5.0,53.0,5.0,,8.0,17.0,2.0,5.0,,146.0,2.0,,6.0,69.0,494.0,4.0,8.0,22.0,16.0,191.0,32.0,10.0,13.0,2.0,2.0,2.0,19.0,282.0,61.0,,,87121,1.0,79.0,,3.0,,98.0,6.0,17.0,6.0,54.0,,2.0,2.0,13.0,3.0,5.0,84.0,210.0,11.0,9.0,39.0,,76.0,1.0,0.0,,6.0,,3.0,1.0,1.0,0.0,2.0,,32.5,11.0,2.0,2.0,,30.0,1.0,312.0,16.0,9.0,16.0,2.0,27.0,,2.0,223.0,2.0,2.0,24.0,81.0,14.0,13.0,18.0,1.0,7.0,2.0,13.0,12.0,1.0,,,,1.0,,,,,1.0,,,,2.0,3.0,1.0,,,2.0,1.0,1.0,,2.0,2.0,,3.0,,3.0,1.0,1.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1060022,2020-07-05 12:00:00,"Turf Moor, Burnley",,Away,Sheffield United,Burnley,1,1,D,0,1,0,0,,1.0,61.0,,2.0,2.0,30.0,17.0,3.0,2.0,7.0,3.0,,1.0,165.0,5.0,15.0,1.0,3.0,9.0,,3.0,101.0,185.0,67.0,10.0,25.0,,31.0,8.0,1.0,17.0,8.0,1.0,50.0,164.0,0.0,166.0,14.0,1.0,1.0,,1.0,64.0,72.0,6.0,65.0,1.0,,23.0,21.0,3.0,10.0,,185.0,2.0,,5.0,110.0,625.0,6.0,10.0,21.0,9.0,304.0,30.0,8.0,9.0,0.0,,3.0,24.0,417.0,67.0,,,87121,5.0,156.0,2.0,12.0,1.0,190.0,2.0,21.0,10.0,49.0,,1.0,5.0,14.0,4.0,2.0,82.0,315.0,8.0,5.0,33.0,3.0,77.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,4.0,0.0,3.0,,52.6,18.0,5.0,5.0,4.0,25.0,9.0,441.0,9.0,7.0,18.0,3.0,39.0,2.0,3.0,282.0,6.0,1.0,32.0,101.0,16.0,9.0,12.0,1.0,5.0,4.0,17.0,4.0,9.0,2.0,1.0,,,1.0,,,,,1.0,,2.0,1.0,,2.0,2.0,,,2.0,2.0,1.0,3.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
34,1060039,2020-07-08 18:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Wolverhampton Wanderers,1,0,W,0,0,0,0,,,63.0,,,1.0,23.0,15.0,1.0,2.0,6.0,1.0,,,170.0,5.0,10.0,1.0,3.0,6.0,,3.0,81.0,168.0,58.0,7.0,22.0,1.0,36.0,8.0,,15.0,6.0,5.0,23.0,198.0,0.0,172.0,5.0,,,,2.0,78.0,90.0,3.0,41.0,1.0,2.0,30.0,17.0,1.0,11.0,1.0,168.0,,1.0,2.0,90.0,563.0,5.0,9.0,28.0,5.0,269.0,15.0,11.0,6.0,2.0,,3.0,33.0,364.0,75.0,,,87121,6.0,84.0,,17.0,,91.0,3.0,17.0,7.0,54.0,,3.0,2.0,7.0,4.0,3.0,54.0,277.0,5.0,14.0,19.0,1.0,73.0,1.0,0.0,1.0,1.0,1.0,1.0,,2.0,0.0,4.0,,42.8,25.0,4.0,2.0,1.0,30.0,6.0,382.0,5.0,5.0,7.0,3.0,45.0,1.0,2.0,327.0,2.0,5.0,27.0,107.0,33.0,6.0,16.0,,6.0,2.0,18.0,5.0,6.0,,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,,3.0,1.0,,3.0,3.0,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,
35,1060048,2020-07-11 17:30:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Chelsea,3,0,W,2,0,0,0,,2.0,57.0,2.0,2.0,2.0,17.0,37.0,,3.0,9.0,4.0,1.0,1.0,125.0,5.0,9.0,3.0,,6.0,,4.0,50.0,124.0,56.0,9.0,28.0,1.0,12.0,3.0,,37.0,3.0,3.0,25.0,109.0,0.0,132.0,8.0,,1.0,,,60.0,48.0,4.0,39.0,4.0,,9.0,6.0,,3.0,,124.0,1.0,,10.0,37.0,408.0,5.0,8.0,20.0,11.0,149.0,25.0,2.0,30.0,1.0,4.0,2.0,18.0,225.0,59.0,,,87121,6.0,55.0,1.0,6.0,,73.0,4.0,6.0,8.0,50.0,,1.0,,6.0,5.0,3.0,60.0,159.0,5.0,6.0,20.0,2.0,59.0,,0.0,2.0,6.0,2.0,3.0,,4.0,0.0,5.0,1.0,23.7,10.0,2.0,,2.0,19.0,4.0,251.0,11.0,5.0,13.0,3.0,18.0,,3.0,190.0,4.0,3.0,35.0,78.0,13.0,30.0,7.0,,7.0,3.0,12.0,4.0,4.0,,1.0,2.0,1.0,,,1.0,2.0,,1.0,,1.0,1.0,3.0,2.0,,2.0,,2.0,,1.0,,,,1.0,,1.0,2.0,,1.0,,1.0,,1.0,,1.0,1.0,3.0,,,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
36,1060057,2020-07-16 18:00:00,"King Power Stadium, Leicester",,Away,Sheffield United,Leicester City,0,2,L,0,1,0,0,,,52.0,,1.0,1.0,32.0,24.0,1.0,1.0,4.0,5.0,,1.0,150.0,3.0,6.0,,4.0,4.0,,1.0,88.0,157.0,62.0,5.0,30.0,,17.0,6.0,,24.0,5.0,3.0,39.0,177.0,0.0,139.0,10.0,,,,3.0,72.0,85.0,2.0,66.0,,,12.0,10.0,1.0,3.0,1.0,157.0,1.0,,11.0,97.0,586.0,2.0,5.0,12.0,11.0,286.0,13.0,11.0,11.0,2.0,4.0,2.0,29.0,378.0,64.0,,1.0,87121,2.0,127.0,1.0,6.0,1.0,143.0,8.0,10.0,5.0,64.0,,4.0,1.0,18.0,4.0,,66.0,301.0,11.0,7.0,23.0,2.0,82.0,1.0,0.0,,9.0,4.0,,2.0,1.0,0.0,2.0,1.0,45.6,26.0,3.0,1.0,1.0,47.0,5.0,401.0,11.0,14.0,19.0,3.0,24.0,1.0,2.0,275.0,2.0,3.0,35.0,85.0,30.0,11.0,10.0,2.0,2.0,4.0,10.0,4.0,5.0,,1.0,,,,,,,,1.0,,,,,2.0,2.0,,1.0,1.0,1.0,1.0,6.0,6.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
37,1060068,2020-07-20 18:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Everton,0,1,L,0,0,0,0,,,61.0,,,5.0,43.0,12.0,1.0,2.0,7.0,1.0,,,174.0,5.0,9.0,,4.0,6.0,,,106.0,155.0,68.0,8.0,32.0,,32.0,11.0,,12.0,7.0,,36.0,219.0,0.0,183.0,11.0,,1.0,,1.0,91.0,94.0,4.0,75.0,2.0,,25.0,17.0,1.0,8.0,1.0,155.0,,,4.0,113.0,651.0,6.0,6.0,20.0,10.0,349.0,21.0,9.0,1.0,1.0,,2.0,30.0,444.0,74.0,,,87121,6.0,155.0,,16.0,1.0,175.0,3.0,17.0,1.0,60.0,,1.0,1.0,13.0,1.0,,83.0,369.0,19.0,7.0,33.0,1.0,72.0,,0.0,1.0,1.0,1.0,,1.0,,0.0,5.0,1.0,50.6,26.0,12.0,1.0,5.0,39.0,7.0,468.0,10.0,5.0,15.0,3.0,44.0,,2.0,325.0,4.0,,24.0,126.0,27.0,1.0,17.0,1.0,6.0,4.0,14.0,7.0,7.0,,,,,,1.0,,,,,,,,,2.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
38,1060080,2020-07-26 16:00:00,"St. Mary's Stadium, Southampton",,Away,Sheffield United,Southampton,1,3,L,1,0,0,0,1.0,1.0,65.0,,1.0,2.0,16.0,34.0,,1.0,5.0,1.0,,1.0,138.0,3.0,6.0,1.0,2.0,5.0,,3.0,49.0,130.0,46.0,5.0,15.0,,11.0,9.0,,34.0,1.0,3.0,26.0,88.0,0.0,83.0,16.0,,,,1.0,33.0,40.0,5.0,29.0,1.0,,10.0,11.0,,6.0,,130.0,3.0,,7.0,44.0,417.0,4.0,5.0,13.0,11.0,145.0,33.0,3.0,15.0,1.0,6.0,,9.0,234.0,54.0,1.0,1.0,87121,3.0,76.0,2.0,3.0,,109.0,10.0,11.0,8.0,56.0,1.0,2.0,4.0,8.0,6.0,3.0,63.0,161.0,9.0,15.0,27.0,,59.0,1.0,0.0,1.0,9.0,,1.0,3.0,,0.0,3.0,,27.9,9.0,2.0,5.0,2.0,23.0,1.0,260.0,11.0,6.0,9.0,,15.0,,,162.0,4.0,3.0,19.0,38.0,18.0,15.0,12.0,3.0,5.0,3.0,11.0,5.0,1.0,,2.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,3.0,3.0,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0
