gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,postScoringAtt,goalAssistOpenplay,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attCmissRight,attPenTarget,attIboxTarget,accurateKeeperSweeper,attMissLeft,cleanSheet,attSvLowLeft,attOboxMiss,bigChanceCreated,attHdTarget,attMissHighLeft,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,sixYardBlock,attAssistSetplay,attCorner,punches,shieldBallOop,attHdMiss,handBall,savedObox,goalAssistSetplay,goalAssistDeadball,attFreekickTotal,attSvLowCentre,divingSave,attSvHighLeft,midfielderGoals,freekickTotal,attGoalHighCentre,attMissHigh,attSvLowRight,attFreekickTarget,attGoalLowLeft,attMissHighRight,errorLeadToGoal,attGoalLowCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,attGoalHighRight,attSvHighRight,contentiousDecision,attCmissLeft,attPostHigh,shotFastbreak,attOboxGoal,ptsGainedLosingPos,totalFastbreak,accurateThroughBall,defenderGoals,attFastbreak,attLfGoal,goalFastbreak,attObxdLeft,attOboxPost,attObpGoal,foulThrowIn,accuratePullBack,totalPullBack,attOneOnOne,attCmissHigh,goalsConcededObox,attPenMiss,attLgCentre,attFreekickPost,subsGoals,attPostRight,attCmissHighRight,attHdPost,attObxdRight,ownGoals,attObxRight,attIboxOwnGoal,attLgRight,penaltySave,attObxLeft,attFreekickGoal,attCmissHighLeft
1,2292813,2022-08-06 12:30:00,"Craven Cottage, London",25000,Home,Fulham,Liverpool,2,2,D,1,0,0,0,1.0,1.0,24.0,73.0,1.0,3.0,24.0,30.0,2.0,2.0,7.0,1.0,159.0,5.0,4.0,5.0,2.0,2.0,6.0,3.0,50.0,171.0,61.0,9.0,1.0,13.0,1.0,1.0,1.0,19.0,1.0,13.0,1.0,30.0,3.0,2.0,29.0,114.0,1.0,0.0,116.0,7.0,1.0,1.0,36.0,75.0,4.0,35.0,1.0,1.0,16.0,20.0,2.0,3.0,171.0,9.0,1.0,50.0,499.0,5.0,8.0,18.0,1.0,10.0,168.0,26.0,6.0,18.0,1.0,2.0,3.0,2.0,22.0,265.0,63.0,1.0,96994,4.0,71.0,12.0,2.0,95.0,5.0,1.0,20.0,8.0,35.0,1.0,4.0,1.0,1.0,21.0,2.0,4.0,1.0,65.0,181.0,8.0,4.0,24.0,72.0,1.0,0.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,33.1,17.0,5.0,1.0,1.0,1.0,4.0,1.0,26.0,4.0,1.0,294.0,10.0,6.0,12.0,2.0,24.0,1.0,1.0,218.0,6.0,2.0,23.0,64.0,33.0,2.0,1.0,18.0,25.0,1.0,2.0,6.0,3.0,10.0,2.0,1.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2292829,2022-08-13 15:00:00,"Molineux Stadium, Wolverhampton",31178,Away,Fulham,Wolverhampton Wanderers,0,0,D,0,0,0,0,,,25.0,57.0,,1.0,21.0,22.0,1.0,2.0,8.0,1.0,125.0,9.0,5.0,9.0,,1.0,6.0,3.0,78.0,151.0,48.0,9.0,,15.0,,,,22.0,,8.0,,22.0,3.0,,29.0,105.0,1.0,0.0,81.0,14.0,,,56.0,46.0,3.0,46.0,,3.0,19.0,26.0,1.0,5.0,151.0,4.0,,79.0,529.0,4.0,6.0,14.0,,9.0,224.0,21.0,5.0,9.0,,3.0,1.0,3.0,24.0,309.0,48.0,,96994,4.0,135.0,14.0,,164.0,10.0,,16.0,7.0,50.0,,,2.0,,18.0,3.0,4.0,,48.0,235.0,7.0,5.0,17.0,52.0,,0.0,1.0,5.0,1.0,,,1.0,0.0,3.0,,4.0,40.4,19.0,4.0,2.0,,2.0,1.0,,31.0,3.0,,328.0,9.0,11.0,12.0,5.0,25.0,2.0,4.0,186.0,3.0,,13.0,42.0,26.0,,3.0,9.0,19.0,,,3.0,4.0,15.0,,3.0,16.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2292833,2022-08-20 15:00:00,"Craven Cottage, London",21798,Home,Fulham,Brentford,3,2,W,2,1,0,0,,1.0,23.0,55.0,1.0,4.0,22.0,22.0,5.0,3.0,13.0,3.0,150.0,12.0,9.0,4.0,3.0,2.0,12.0,9.0,62.0,146.0,43.0,18.0,1.0,23.0,1.0,,1.0,21.0,,8.0,3.0,22.0,6.0,4.0,41.0,111.0,,0.0,91.0,13.0,1.0,,36.0,60.0,9.0,39.0,,1.0,15.0,11.0,5.0,5.0,146.0,11.0,,60.0,498.0,7.0,6.0,30.0,1.0,11.0,201.0,22.0,5.0,10.0,2.0,3.0,4.0,3.0,21.0,288.0,51.0,1.0,96994,9.0,117.0,9.0,1.0,147.0,5.0,1.0,11.0,8.0,54.0,,5.0,3.0,2.0,20.0,2.0,6.0,,57.0,219.0,7.0,8.0,23.0,61.0,1.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,5.0,2.0,5.0,43.7,18.0,4.0,1.0,2.0,3.0,5.0,,26.0,6.0,,311.0,11.0,11.0,18.0,4.0,26.0,4.0,3.0,185.0,10.0,4.0,20.0,53.0,25.0,1.0,,10.0,12.0,2.0,2.0,13.0,3.0,5.0,,,4.0,6.0,4.0,,,3.0,3.0,2.0,,1.0,1.0,3.0,2.0,,3.0,,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2292840,2022-08-27 17:30:00,"Emirates Stadium, London",60164,Away,Fulham,Arsenal,1,2,L,0,0,0,0,,1.0,22.0,60.0,,2.0,13.0,30.0,2.0,1.0,9.0,6.0,113.0,8.0,7.0,4.0,1.0,1.0,9.0,3.0,36.0,120.0,56.0,11.0,,11.0,1.0,,,11.0,,11.0,,30.0,2.0,,22.0,61.0,,0.0,48.0,12.0,1.0,3.0,24.0,26.0,3.0,29.0,2.0,,9.0,28.0,2.0,3.0,120.0,16.0,,45.0,425.0,6.0,5.0,14.0,,14.0,125.0,31.0,6.0,13.0,,3.0,10.0,6.0,18.0,204.0,33.0,1.0,96994,7.0,84.0,5.0,1.0,121.0,9.0,1.0,13.0,10.0,51.0,,,7.0,1.0,11.0,6.0,6.0,,45.0,138.0,6.0,13.0,19.0,48.0,,0.0,1.0,9.0,5.0,1.0,2.0,1.0,0.0,5.0,,4.0,28.0,14.0,4.0,,1.0,7.0,2.0,,16.0,2.0,3.0,223.0,14.0,9.0,6.0,6.0,19.0,2.0,4.0,113.0,6.0,,22.0,25.0,13.0,1.0,,13.0,24.0,,2.0,7.0,5.0,10.0,3.0,,13.0,2.0,1.0,,,2.0,,,,,2.0,,1.0,1.0,,1.0,,1.0,3.0,3.0,1.0,,3.0,,1.0,,,,,4.0,,,,,2.0,1.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2292853,2022-08-30 19:30:00,"Craven Cottage, London",22224,Home,Fulham,Brighton and Hove Albion,2,1,W,0,0,0,0,,1.0,28.0,60.0,,,16.0,22.0,3.0,2.0,7.0,2.0,139.0,11.0,2.0,9.0,2.0,3.0,8.0,3.0,81.0,144.0,64.0,10.0,,13.0,2.0,,,8.0,,15.0,1.0,22.0,1.0,2.0,36.0,101.0,,0.0,77.0,9.0,1.0,2.0,35.0,29.0,3.0,41.0,,2.0,7.0,27.0,3.0,3.0,144.0,6.0,,83.0,545.0,6.0,7.0,15.0,,6.0,240.0,31.0,3.0,8.0,1.0,2.0,1.0,5.0,23.0,320.0,35.0,,96994,2.0,158.0,3.0,,189.0,3.0,1.0,27.0,8.0,56.0,,,5.0,,15.0,1.0,7.0,,38.0,257.0,11.0,11.0,8.0,53.0,,0.0,5.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,,2.0,39.1,15.0,4.0,2.0,,5.0,,1.0,26.0,3.0,2.0,344.0,6.0,14.0,19.0,7.0,17.0,1.0,5.0,163.0,6.0,2.0,18.0,46.0,19.0,1.0,2.0,8.0,26.0,,1.0,6.0,2.0,18.0,,2.0,18.0,3.0,1.0,,,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,3.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,,,1.0,,1.0,1.0,,,3.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2292868,2022-09-03 15:00:00,"Tottenham Hotspur Stadium, London",61641,Away,Fulham,Tottenham Hotspur,1,2,L,0,1,0,0,,,18.0,47.0,,1.0,24.0,19.0,3.0,1.0,6.0,8.0,139.0,8.0,2.0,8.0,1.0,1.0,7.0,3.0,117.0,117.0,46.0,9.0,,17.0,,,1.0,21.0,,11.0,2.0,19.0,2.0,4.0,25.0,218.0,,0.0,132.0,6.0,1.0,,99.0,57.0,4.0,70.0,1.0,2.0,19.0,15.0,3.0,9.0,117.0,17.0,,107.0,629.0,6.0,3.0,10.0,,7.0,353.0,12.0,2.0,6.0,1.0,4.0,6.0,3.0,26.0,412.0,60.0,,96994,4.0,155.0,9.0,,170.0,5.0,1.0,15.0,5.0,49.0,,,8.0,1.0,10.0,6.0,4.0,,44.0,371.0,9.0,7.0,10.0,59.0,,0.0,1.0,10.0,6.0,1.0,2.0,2.0,0.0,2.0,,2.0,48.1,20.0,5.0,1.0,,8.0,1.0,,42.0,3.0,,433.0,7.0,15.0,11.0,5.0,30.0,,4.0,284.0,6.0,3.0,11.0,101.0,21.0,1.0,5.0,6.0,18.0,,2.0,9.0,5.0,12.0,,5.0,6.0,3.0,2.0,,,,,3.0,,,1.0,,,,,1.0,,,,,,,2.0,,2.0,,,,,5.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2292873,2023-01-12 20:00:00,"Craven Cottage, London",24460,Home,Fulham,Chelsea,2,1,W,1,0,0,1,,1.0,23.0,56.0,1.0,,23.0,22.0,2.0,2.0,6.0,9.0,150.0,9.0,4.0,3.0,2.0,4.0,6.0,3.0,120.0,154.0,40.0,8.0,2.0,5.0,1.0,1.0,1.0,20.0,1.0,6.0,,22.0,3.0,2.0,24.0,204.0,,0.0,142.0,12.0,3.0,1.0,85.0,98.0,3.0,67.0,1.0,1.0,17.0,26.0,2.0,6.0,154.0,14.0,,112.0,666.0,5.0,5.0,11.0,1.0,10.0,340.0,19.0,2.0,16.0,1.0,4.0,5.0,3.0,33.0,422.0,56.0,1.0,96994,2.0,162.0,8.0,,185.0,4.0,1.0,13.0,8.0,40.0,,3.0,5.0,2.0,19.0,6.0,6.0,,43.0,362.0,16.0,5.0,12.0,57.0,,0.0,1.0,7.0,7.0,2.0,1.0,3.0,0.0,4.0,1.0,2.0,47.4,23.0,7.0,2.0,,5.0,2.0,,37.0,5.0,1.0,449.0,10.0,12.0,9.0,3.0,27.0,,2.0,284.0,4.0,2.0,10.0,99.0,24.0,1.0,1.0,16.0,11.0,1.0,1.0,7.0,5.0,9.0,,1.0,13.0,5.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,2.0,,,,,4.0,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2292887,2022-09-16 20:00:00,"The City Ground, Nottingham",28654,Away,Fulham,Nottingham Forest,3,2,W,0,1,0,0,,1.0,22.0,57.0,1.0,3.0,27.0,14.0,5.0,3.0,10.0,1.0,167.0,12.0,7.0,9.0,3.0,2.0,12.0,7.0,163.0,143.0,46.0,15.0,2.0,19.0,2.0,,2.0,22.0,,5.0,1.0,14.0,9.0,4.0,47.0,251.0,,0.0,143.0,10.0,,1.0,65.0,110.0,9.0,74.0,,,13.0,12.0,5.0,6.0,143.0,7.0,,151.0,725.0,6.0,5.0,21.0,,6.0,442.0,13.0,3.0,6.0,3.0,4.0,3.0,3.0,14.0,532.0,70.0,,96994,7.0,216.0,7.0,1.0,241.0,5.0,2.0,5.0,7.0,40.0,1.0,1.0,3.0,2.0,20.0,4.0,5.0,,61.0,460.0,10.0,2.0,12.0,88.0,,0.0,,2.0,,2.0,2.0,,0.0,4.0,3.0,1.0,59.2,12.0,8.0,1.0,,3.0,5.0,,55.0,10.0,1.0,555.0,6.0,4.0,20.0,3.0,30.0,3.0,2.0,336.0,10.0,3.0,15.0,96.0,30.0,,1.0,6.0,12.0,1.0,2.0,9.0,4.0,15.0,,1.0,5.0,10.0,3.0,,,3.0,1.0,1.0,,,1.0,2.0,,1.0,1.0,,1.0,,3.0,3.0,,1.0,,,1.0,1.0,1.0,2.0,,,1.0,2.0,2.0,,1.0,3.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2292893,2022-10-01 15:00:00,"Craven Cottage, London",22913,Home,Fulham,Newcastle United,1,4,L,0,3,1,0,,1.0,24.0,48.0,,1.0,9.0,14.0,1.0,2.0,2.0,6.0,123.0,9.0,2.0,5.0,1.0,3.0,3.0,1.0,68.0,127.0,29.0,3.0,,9.0,,,1.0,8.0,,10.0,,14.0,1.0,5.0,32.0,64.0,,0.0,80.0,9.0,1.0,1.0,42.0,23.0,2.0,38.0,2.0,,7.0,19.0,1.0,1.0,127.0,16.0,,52.0,423.0,2.0,1.0,8.0,,8.0,178.0,23.0,1.0,5.0,1.0,2.0,4.0,1.0,17.0,247.0,45.0,,96994,1.0,128.0,5.0,,148.0,5.0,,19.0,10.0,35.0,,4.0,3.0,1.0,7.0,3.0,2.0,,42.0,190.0,10.0,3.0,9.0,56.0,,0.0,,8.0,6.0,1.0,4.0,,1.0,1.0,1.0,1.0,31.7,13.0,1.0,,,3.0,1.0,,16.0,1.0,1.0,281.0,8.0,7.0,5.0,1.0,16.0,1.0,,141.0,,4.0,1.0,32.0,15.0,,2.0,5.0,13.0,1.0,4.0,3.0,4.0,13.0,,2.0,9.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,6.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
