gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,postScoringAtt,goalAssistOpenplay,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attCmissRight,attPenTarget,attIboxTarget,accurateKeeperSweeper,attMissLeft,cleanSheet,attSvLowLeft,attOboxMiss,bigChanceCreated,attHdTarget,attMissHighLeft,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,sixYardBlock,attAssistSetplay,attCorner,punches,shieldBallOop,attHdMiss,handBall,savedObox,goalAssistSetplay,goalAssistDeadball,attFreekickTotal,attSvLowCentre,divingSave,attSvHighLeft,midfielderGoals,freekickTotal,attGoalHighCentre,attMissHigh,attSvLowRight,attFreekickTarget,attGoalLowLeft,attMissHighRight,errorLeadToGoal,attGoalLowCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,attGoalHighRight,attSvHighRight,contentiousDecision,attCmissLeft,attPostHigh,shotFastbreak,attOboxGoal,ptsGainedLosingPos,totalFastbreak,accurateThroughBall,defenderGoals,attFastbreak,attLfGoal,goalFastbreak,attObxdLeft,attOboxPost,attObpGoal,foulThrowIn,accuratePullBack,totalPullBack,attOneOnOne,attCmissHigh,goalsConcededObox,attPenMiss,attLgCentre,attFreekickPost,subsGoals,attPostRight,attCmissHighRight,attHdPost,attObxdRight,ownGoals,attObxRight,attIboxOwnGoal,attLgRight,penaltySave,attObxLeft,attFreekickGoal,attCmissHighLeft
10,2292909,2022-10-09 14:00:00,"London Stadium, London",62454,Away,Fulham,West Ham United,1,3,L,1,1,0,0,,,20.0,60.0,,2.0,22.0,17.0,1.0,6.0,6.0,5.0,147.0,10.0,2.0,4.0,1.0,2.0,4.0,2.0,119.0,137.0,38.0,8.0,,7.0,1.0,1.0,1.0,12.0,,8.0,1.0,17.0,2.0,6.0,41.0,181.0,,0.0,112.0,7.0,,1.0,66.0,52.0,2.0,73.0,1.0,1.0,10.0,13.0,2.0,2.0,137.0,13.0,,147.0,666.0,3.0,1.0,18.0,1.0,5.0,384.0,29.0,,11.0,1.0,3.0,5.0,2.0,18.0,467.0,60.0,,96994,3.0,221.0,8.0,,242.0,4.0,,6.0,7.0,39.0,,2.0,4.0,1.0,20.0,4.0,7.0,,52.0,400.0,9.0,12.0,8.0,62.0,,0.0,3.0,4.0,4.0,1.0,3.0,,0.0,1.0,1.0,1.0,49.7,15.0,2.0,2.0,,4.0,2.0,,38.0,2.0,1.0,486.0,5.0,10.0,16.0,4.0,26.0,1.0,3.0,256.0,1.0,5.0,9.0,68.0,25.0,,3.0,11.0,16.0,,3.0,7.0,4.0,7.0,3.0,3.0,6.0,2.0,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,1.0,,3.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11,2292912,2022-10-15 15:00:00,"Craven Cottage, London",22913,Home,Fulham,Bournemouth,2,2,D,1,2,0,0,1.0,1.0,20.0,59.0,1.0,5.0,32.0,8.0,7.0,6.0,12.0,4.0,171.0,11.0,9.0,8.0,2.0,2.0,12.0,4.0,164.0,149.0,49.0,19.0,2.0,18.0,2.0,,,37.0,,9.0,1.0,8.0,4.0,4.0,51.0,297.0,1.0,0.0,203.0,9.0,1.0,1.0,97.0,85.0,6.0,97.0,,1.0,33.0,23.0,7.0,15.0,149.0,8.0,,153.0,773.0,10.0,3.0,40.0,,5.0,477.0,23.0,1.0,4.0,1.0,2.0,,6.0,20.0,566.0,79.0,1.0,96994,6.0,208.0,17.0,,221.0,5.0,1.0,6.0,6.0,44.0,1.0,1.0,6.0,,15.0,2.0,6.0,1.0,60.0,496.0,11.0,3.0,10.0,57.0,,0.0,,6.0,3.0,2.0,2.0,2.0,0.0,7.0,1.0,2.0,68.9,19.0,4.0,2.0,,6.0,7.0,,32.0,5.0,1.0,585.0,5.0,9.0,20.0,8.0,49.0,2.0,4.0,401.0,10.0,3.0,19.0,151.0,26.0,1.0,1.0,4.0,12.0,,2.0,17.0,4.0,13.0,,1.0,6.0,5.0,1.0,,,1.0,,4.0,,,4.0,,,1.0,,,,,1.0,1.0,,,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12,2292925,2022-10-20 19:30:00,"Craven Cottage, London",23508,Home,Fulham,Aston Villa,3,0,W,1,0,0,1,1.0,1.0,19.0,47.0,,3.0,34.0,14.0,5.0,3.0,13.0,6.0,138.0,7.0,6.0,1.0,3.0,6.0,12.0,8.0,132.0,119.0,40.0,18.0,2.0,15.0,1.0,,,22.0,,7.0,3.0,14.0,8.0,4.0,41.0,193.0,1.0,0.0,129.0,11.0,3.0,2.0,81.0,69.0,8.0,79.0,,2.0,15.0,23.0,5.0,5.0,119.0,9.0,,133.0,651.0,8.0,4.0,23.0,,2.0,399.0,20.0,4.0,7.0,,0.0,3.0,4.0,23.0,467.0,45.0,1.0,96994,8.0,226.0,7.0,1.0,250.0,6.0,2.0,23.0,4.0,43.0,,,4.0,,13.0,3.0,4.0,1.0,55.0,413.0,10.0,4.0,14.0,61.0,,0.0,,7.0,4.0,3.0,,,0.0,2.0,,5.0,60.4,16.0,5.0,1.0,,4.0,5.0,,37.0,9.0,3.0,482.0,2.0,6.0,32.0,5.0,37.0,5.0,5.0,254.0,10.0,4.0,17.0,100.0,16.0,1.0,2.0,7.0,12.0,,,11.0,5.0,9.0,,2.0,8.0,9.0,4.0,1.0,,3.0,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,3.0,1.0,4.0,4.0,1.0,,4.0,1.0,2.0,,,1.0,3.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,5.0,,,5.0,,,5.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
13,2292933,2022-10-23 14:00:00,"Elland Road, Leeds",36447,Away,Fulham,Leeds United,3,2,W,1,1,0,0,,3.0,23.0,68.0,,2.0,24.0,16.0,1.0,3.0,10.0,3.0,142.0,15.0,9.0,13.0,3.0,1.0,10.0,5.0,84.0,155.0,58.0,11.0,1.0,14.0,,,1.0,17.0,,9.0,,16.0,5.0,8.0,50.0,113.0,,0.0,84.0,8.0,1.0,1.0,38.0,55.0,8.0,51.0,,1.0,12.0,22.0,1.0,3.0,155.0,9.0,,78.0,567.0,5.0,5.0,28.0,,10.0,235.0,31.0,1.0,6.0,3.0,1.0,4.0,2.0,23.0,327.0,48.0,1.0,96994,9.0,151.0,8.0,1.0,191.0,4.0,,11.0,9.0,47.0,3.0,4.0,6.0,1.0,12.0,5.0,8.0,,59.0,255.0,12.0,4.0,12.0,77.0,,0.0,2.0,3.0,2.0,3.0,2.0,,0.0,6.0,3.0,4.0,42.8,16.0,3.0,,,6.0,3.0,,38.0,6.0,1.0,355.0,10.0,14.0,19.0,3.0,21.0,3.0,3.0,181.0,4.0,5.0,17.0,47.0,27.0,1.0,,6.0,16.0,2.0,2.0,7.0,4.0,21.0,,,11.0,6.0,2.0,,,2.0,,1.0,,1.0,,5.0,,,,1.0,2.0,,2.0,3.0,,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,2.0,,,,,,,,,,,,,2.0,,3.0,2.0,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14,2292945,2022-10-29 17:30:00,"Craven Cottage, London",23534,Home,Fulham,Everton,0,0,D,0,0,0,0,1.0,,17.0,57.0,,4.0,35.0,8.0,7.0,3.0,17.0,4.0,130.0,7.0,11.0,5.0,,1.0,20.0,6.0,145.0,135.0,46.0,24.0,4.0,12.0,1.0,,,34.0,,6.0,1.0,8.0,11.0,7.0,44.0,200.0,,0.0,159.0,10.0,1.0,,93.0,48.0,11.0,76.0,,4.0,24.0,22.0,7.0,10.0,135.0,9.0,,112.0,652.0,17.0,6.0,40.0,,3.0,366.0,18.0,5.0,7.0,,2.0,2.0,9.0,24.0,442.0,43.0,,96994,14.0,197.0,13.0,1.0,218.0,4.0,,22.0,6.0,43.0,,,7.0,,17.0,,6.0,,55.0,386.0,8.0,6.0,13.0,53.0,,0.0,1.0,4.0,4.0,,,2.0,0.0,7.0,,5.0,56.5,22.0,4.0,2.0,1.0,7.0,8.0,,35.0,13.0,,463.0,3.0,10.0,29.0,10.0,44.0,5.0,8.0,279.0,15.0,6.0,21.0,120.0,28.0,,1.0,7.0,12.0,,,15.0,3.0,10.0,,1.0,9.0,13.0,4.0,,,5.0,1.0,3.0,1.0,,2.0,,1.0,,1.0,,1.0,,3.0,8.0,,1.0,4.0,,,,,,2.0,2.0,1.0,,,,3.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
15,2292954,2022-11-05 15:00:00,"Etihad Stadium, Manchester",52395,Away,Fulham,Manchester City,1,2,L,1,1,0,1,,1.0,17.0,46.0,,1.0,19.0,21.0,1.0,1.0,3.0,3.0,109.0,5.0,1.0,,1.0,1.0,3.0,2.0,66.0,98.0,31.0,4.0,,12.0,1.0,,,6.0,,11.0,1.0,21.0,,4.0,34.0,74.0,1.0,0.0,47.0,11.0,,1.0,34.0,28.0,2.0,46.0,1.0,,6.0,13.0,1.0,2.0,98.0,12.0,,74.0,444.0,3.0,3.0,8.0,,5.0,220.0,25.0,4.0,14.0,,4.0,6.0,1.0,11.0,276.0,26.0,,89068,2.0,161.0,4.0,,186.0,9.0,1.0,8.0,8.0,44.0,1.0,,9.0,,13.0,4.0,5.0,1.0,39.0,234.0,6.0,5.0,7.0,45.0,,0.0,1.0,9.0,1.0,1.0,2.0,1.0,0.0,1.0,,1.0,29.4,9.0,1.0,,,9.0,1.0,,24.0,,1.0,295.0,5.0,4.0,19.0,1.0,10.0,,1.0,115.0,2.0,3.0,10.0,28.0,11.0,,1.0,14.0,15.0,,2.0,3.0,4.0,12.0,,1.0,8.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,2.0,,,,,2.0,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2292962,2022-11-13 16:30:00,"Craven Cottage, London",24246,Home,Fulham,Manchester United,1,2,L,0,1,0,0,3.0,1.0,18.0,61.0,,1.0,24.0,11.0,4.0,6.0,10.0,8.0,157.0,4.0,4.0,4.0,1.0,1.0,9.0,7.0,107.0,155.0,42.0,14.0,1.0,17.0,2.0,,,30.0,,8.0,1.0,11.0,8.0,2.0,41.0,163.0,,0.0,150.0,9.0,1.0,,68.0,72.0,5.0,77.0,,,23.0,19.0,4.0,7.0,155.0,10.0,,120.0,652.0,7.0,7.0,30.0,,7.0,345.0,17.0,2.0,8.0,,1.0,2.0,4.0,20.0,439.0,59.0,1.0,96994,2.0,207.0,15.0,1.0,225.0,4.0,1.0,6.0,5.0,37.0,,1.0,12.0,1.0,19.0,4.0,5.0,,57.0,366.0,9.0,1.0,15.0,54.0,,0.0,,3.0,4.0,1.0,2.0,4.0,0.0,3.0,,3.0,52.7,18.0,12.0,2.0,2.0,12.0,2.0,,27.0,10.0,,461.0,7.0,6.0,22.0,5.0,42.0,2.0,3.0,266.0,5.0,2.0,11.0,96.0,18.0,,,8.0,18.0,,2.0,7.0,2.0,10.0,,,6.0,10.0,2.0,,,5.0,1.0,,,,2.0,1.0,1.0,,1.0,,1.0,,2.0,6.0,,1.0,2.0,1.0,3.0,,,,4.0,4.0,,,,,2.0,,,,3.0,,1.0,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
17,2292974,2022-12-26 15:00:00,"Selhurst Park, London",25176,Away,Fulham,Crystal Palace,3,0,W,1,0,0,2,1.0,2.0,24.0,66.0,1.0,6.0,35.0,3.0,3.0,4.0,20.0,,179.0,15.0,13.0,4.0,3.0,3.0,16.0,11.0,174.0,149.0,41.0,23.0,,4.0,,1.0,1.0,37.0,1.0,9.0,2.0,3.0,5.0,3.0,37.0,306.0,,0.0,213.0,15.0,2.0,,88.0,123.0,11.0,100.0,,1.0,32.0,18.0,3.0,10.0,149.0,4.0,1.0,180.0,815.0,10.0,2.0,48.0,1.0,9.0,527.0,20.0,1.0,3.0,1.0,0.0,1.0,5.0,19.0,616.0,70.0,2.0,96994,16.0,250.0,20.0,4.0,269.0,9.0,,5.0,4.0,36.0,1.0,2.0,2.0,2.0,14.0,,4.0,,59.0,543.0,11.0,2.0,12.0,76.0,1.0,0.0,,1.0,,3.0,,1.0,0.0,10.0,1.0,10.0,63.8,15.0,4.0,1.0,1.0,2.0,6.0,,51.0,7.0,,633.0,9.0,12.0,19.0,6.0,53.0,3.0,4.0,401.0,9.0,3.0,10.0,168.0,40.0,1.0,,3.0,16.0,2.0,,13.0,5.0,7.0,,,5.0,8.0,3.0,,,6.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,,1.0,,1.0,1.0,5.0,5.0,,1.0,2.0,,,,,1.0,2.0,,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
18,2292982,2022-12-31 15:00:00,"Craven Cottage, London",24344,Home,Fulham,Southampton,2,1,W,1,0,0,0,,1.0,18.0,79.0,1.0,,43.0,23.0,3.0,1.0,5.0,2.0,187.0,10.0,2.0,1.0,2.0,2.0,4.0,2.0,156.0,173.0,44.0,8.0,1.0,19.0,,,,12.0,,10.0,,23.0,2.0,,42.0,222.0,1.0,0.0,153.0,8.0,1.0,1.0,79.0,95.0,1.0,102.0,1.0,1.0,11.0,20.0,3.0,2.0,173.0,3.0,,134.0,792.0,2.0,2.0,18.0,,12.0,441.0,28.0,4.0,8.0,1.0,0.0,2.0,3.0,30.0,554.0,75.0,,96994,3.0,244.0,8.0,,267.0,2.0,,9.0,6.0,50.0,,1.0,6.0,,18.0,6.0,6.0,,73.0,464.0,11.0,4.0,18.0,88.0,,0.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,62.5,24.0,6.0,,,6.0,1.0,,55.0,4.0,1.0,579.0,12.0,14.0,20.0,5.0,24.0,2.0,3.0,324.0,6.0,,13.0,98.0,37.0,,1.0,8.0,19.0,1.0,,5.0,3.0,8.0,,1.0,9.0,4.0,1.0,1.0,1.0,1.0,,2.0,,,2.0,1.0,,1.0,,,1.0,,1.0,2.0,1.0,2.0,,2.0,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
19,2292997,2023-01-03 19:45:00,"King Power Stadium, Leicester",30813,Away,Fulham,Leicester City,1,0,W,1,0,0,0,,1.0,25.0,68.0,,1.0,20.0,32.0,4.0,2.0,7.0,6.0,129.0,16.0,4.0,11.0,1.0,1.0,7.0,2.0,80.0,138.0,46.0,11.0,1.0,13.0,,,1.0,15.0,,8.0,1.0,32.0,2.0,2.0,46.0,124.0,,0.0,85.0,11.0,,1.0,48.0,59.0,3.0,52.0,1.0,4.0,13.0,28.0,4.0,7.0,138.0,8.0,,89.0,570.0,6.0,1.0,17.0,,10.0,252.0,36.0,1.0,19.0,1.0,6.0,3.0,4.0,27.0,325.0,33.0,,96994,6.0,144.0,6.0,,178.0,8.0,,18.0,9.0,48.0,2.0,1.0,5.0,1.0,12.0,7.0,7.0,,55.0,264.0,12.0,7.0,12.0,50.0,,0.0,2.0,6.0,4.0,1.0,,,0.0,4.0,1.0,1.0,38.6,18.0,4.0,1.0,1.0,5.0,2.0,,23.0,3.0,1.0,350.0,10.0,10.0,19.0,7.0,22.0,,5.0,187.0,8.0,1.0,10.0,55.0,21.0,1.0,,19.0,13.0,,,10.0,3.0,18.0,,,18.0,3.0,1.0,3.0,,,,1.0,1.0,,2.0,2.0,,,,,1.0,,,1.0,,,,,2.0,,,,,2.0,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,1.0,2.0,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
20,2293006,2023-01-15 14:00:00,"St. James' Park, Newcastle",52247,Away,Fulham,Newcastle United,0,1,L,0,0,0,0,,,15.0,56.0,,1.0,21.0,27.0,1.0,3.0,4.0,4.0,112.0,10.0,4.0,8.0,,3.0,3.0,,69.0,125.0,44.0,5.0,,12.0,,,,13.0,,10.0,,27.0,5.0,2.0,26.0,73.0,1.0,0.0,58.0,14.0,1.0,3.0,41.0,26.0,1.0,40.0,3.0,,8.0,18.0,1.0,4.0,125.0,12.0,,49.0,450.0,2.0,2.0,17.0,,9.0,177.0,27.0,2.0,14.0,,3.0,8.0,2.0,19.0,246.0,32.0,,96994,4.0,120.0,3.0,1.0,144.0,5.0,,7.0,11.0,48.0,,3.0,5.0,,7.0,8.0,7.0,,50.0,189.0,5.0,7.0,13.0,48.0,,0.0,2.0,10.0,3.0,,1.0,,0.0,2.0,,1.0,37.7,14.0,2.0,,,5.0,1.0,,17.0,5.0,3.0,270.0,9.0,10.0,10.0,4.0,23.0,2.0,3.0,139.0,1.0,2.0,14.0,30.0,16.0,,2.0,14.0,17.0,,1.0,2.0,5.0,16.0,,2.0,7.0,5.0,,,,,,2.0,,,1.0,,,2.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
21,2293013,2023-01-23 20:15:00,"Craven Cottage, London",24190,Home,Fulham,Tottenham Hotspur,0,1,L,0,1,0,0,1.0,,16.0,64.0,,,34.0,14.0,4.0,2.0,6.0,2.0,166.0,8.0,9.0,4.0,,3.0,7.0,5.0,118.0,158.0,42.0,10.0,1.0,21.0,,,,31.0,,10.0,3.0,14.0,3.0,4.0,54.0,223.0,,0.0,141.0,10.0,3.0,1.0,84.0,80.0,4.0,92.0,,1.0,28.0,17.0,4.0,13.0,158.0,7.0,,109.0,707.0,6.0,3.0,22.0,,10.0,388.0,20.0,1.0,6.0,,1.0,3.0,3.0,32.0,470.0,59.0,3.0,96994,3.0,184.0,12.0,2.0,210.0,7.0,,11.0,7.0,59.0,,2.0,3.0,,21.0,3.0,3.0,,65.0,398.0,10.0,5.0,6.0,63.0,,0.0,,8.0,2.0,,1.0,1.0,0.0,9.0,,4.0,52.9,29.0,9.0,1.0,,3.0,1.0,,40.0,3.0,1.0,485.0,10.0,17.0,23.0,4.0,32.0,,4.0,306.0,4.0,4.0,9.0,104.0,32.0,,1.0,6.0,19.0,,,7.0,4.0,10.0,,1.0,11.0,3.0,4.0,1.0,,2.0,1.0,,,2.0,,1.0,,,1.0,,1.0,,1.0,,,,4.0,,,,,1.0,2.0,1.0,,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
22,2293023,2023-02-03 20:00:00,"Stamford Bridge, London",40041,Away,Fulham,Chelsea,0,0,D,0,0,0,0,,,30.0,72.0,,1.0,23.0,20.0,4.0,2.0,5.0,2.0,131.0,17.0,3.0,14.0,,1.0,6.0,4.0,83.0,152.0,60.0,10.0,2.0,13.0,3.0,,,21.0,,14.0,2.0,20.0,1.0,2.0,47.0,120.0,,0.0,101.0,12.0,2.0,1.0,20.0,88.0,5.0,39.0,1.0,1.0,20.0,18.0,5.0,7.0,152.0,8.0,,60.0,545.0,6.0,7.0,17.0,,19.0,204.0,28.0,1.0,10.0,,4.0,3.0,1.0,20.0,284.0,53.0,,96994,2.0,109.0,11.0,2.0,128.0,9.0,,3.0,9.0,56.0,1.0,,5.0,,17.0,4.0,8.0,,50.0,226.0,15.0,7.0,6.0,60.0,,0.0,1.0,6.0,3.0,,,2.0,0.0,2.0,,1.0,33.1,15.0,8.0,,1.0,5.0,3.0,1.0,32.0,2.0,1.0,313.0,19.0,14.0,17.0,3.0,21.0,1.0,2.0,206.0,7.0,1.0,12.0,61.0,27.0,,1.0,10.0,19.0,,,8.0,5.0,24.0,,1.0,3.0,2.0,4.0,,,2.0,,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,2.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,2.0,,,2.0,1.0,,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
23,2293033,2023-02-11 15:00:00,"Craven Cottage, London",24244,Home,Fulham,Nottingham Forest,2,0,W,1,0,0,0,,1.0,16.0,62.0,,2.0,24.0,17.0,4.0,5.0,12.0,1.0,141.0,9.0,10.0,18.0,2.0,1.0,14.0,3.0,107.0,128.0,57.0,16.0,,16.0,2.0,3.0,1.0,29.0,,5.0,,17.0,5.0,5.0,42.0,138.0,,0.0,104.0,9.0,1.0,,72.0,53.0,4.0,47.0,1.0,3.0,24.0,14.0,4.0,7.0,128.0,7.0,,101.0,585.0,10.0,7.0,32.0,3.0,15.0,293.0,21.0,1.0,8.0,1.0,0.0,2.0,10.0,20.0,375.0,55.0,,96994,8.0,185.0,16.0,3.0,199.0,5.0,1.0,5.0,8.0,42.0,,1.0,4.0,1.0,6.0,3.0,8.0,,45.0,313.0,11.0,7.0,7.0,67.0,1.0,0.0,4.0,4.0,1.0,2.0,,3.0,0.0,6.0,1.0,4.0,50.0,15.0,4.0,,,4.0,2.0,,36.0,5.0,1.0,396.0,15.0,6.0,21.0,11.0,34.0,4.0,7.0,226.0,7.0,4.0,18.0,62.0,33.0,,1.0,8.0,10.0,,,8.0,5.0,22.0,,1.0,5.0,5.0,1.0,2.0,,1.0,,2.0,1.0,,1.0,2.0,,2.0,,,1.0,1.0,3.0,3.0,1.0,1.0,4.0,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,,,,1.0,,,3.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
