gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,postScoringAtt,goalAssistOpenplay,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attCmissRight,attPenTarget,attIboxTarget,accurateKeeperSweeper,attMissLeft,cleanSheet,attSvLowLeft,attOboxMiss,bigChanceCreated,attHdTarget,attMissHighLeft,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,sixYardBlock,attAssistSetplay,attCorner,punches,shieldBallOop,attHdMiss,handBall,savedObox,goalAssistSetplay,goalAssistDeadball,attFreekickTotal,attSvLowCentre,divingSave,attSvHighLeft,midfielderGoals,freekickTotal,attGoalHighCentre,attMissHigh,attSvLowRight,attFreekickTarget,attGoalLowLeft,attMissHighRight,errorLeadToGoal,attGoalLowCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,attGoalHighRight,attSvHighRight,contentiousDecision,attCmissLeft,attPostHigh,shotFastbreak,attOboxGoal,ptsGainedLosingPos,totalFastbreak,accurateThroughBall,defenderGoals,attFastbreak,attLfGoal,goalFastbreak,attObxdLeft,attOboxPost,attObpGoal,foulThrowIn,accuratePullBack,totalPullBack,attOneOnOne,attCmissHigh,goalsConcededObox,attPenMiss,attLgCentre,attFreekickPost,subsGoals,attPostRight,attCmissHighRight,attHdPost,attObxdRight,ownGoals,attObxRight,attIboxOwnGoal,attLgRight,penaltySave,attObxLeft,attFreekickGoal,attCmissHighLeft
24,2293042,2023-02-18 15:00:00,"American Express Stadium, Falmer",31619,Away,Fulham,Brighton and Hove Albion,1,0,W,0,0,0,0,,,18.0,51.0,1.0,3.0,18.0,19.0,1.0,1.0,4.0,7.0,129.0,11.0,3.0,9.0,1.0,1.0,4.0,2.0,75.0,111.0,44.0,5.0,,16.0,,,1.0,6.0,,5.0,1.0,19.0,2.0,1.0,30.0,61.0,,0.0,53.0,14.0,,,44.0,22.0,4.0,33.0,3.0,,4.0,6.0,1.0,2.0,111.0,14.0,,79.0,461.0,2.0,5.0,8.0,,11.0,210.0,23.0,5.0,10.0,1.0,5.0,4.0,,9.0,285.0,35.0,,96994,1.0,173.0,2.0,,201.0,7.0,,2.0,12.0,54.0,,,6.0,1.0,10.0,7.0,8.0,,57.0,231.0,12.0,15.0,21.0,54.0,,0.0,2.0,10.0,6.0,1.0,,2.0,0.0,2.0,1.0,1.0,34.7,8.0,2.0,2.0,,6.0,3.0,,17.0,2.0,,316.0,11.0,8.0,5.0,,7.0,1.0,,121.0,3.0,1.0,11.0,24.0,15.0,,1.0,10.0,13.0,,,4.0,2.0,11.0,,1.0,2.0,2.0,1.0,,,,2.0,,1.0,,,,,,2.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
25,2293053,2023-02-24 20:00:00,"Craven Cottage, London",24399,Home,Fulham,Wolverhampton Wanderers,1,1,D,0,1,0,0,,,20.0,68.0,1.0,,27.0,15.0,7.0,,3.0,1.0,148.0,7.0,5.0,9.0,1.0,3.0,9.0,5.0,110.0,147.0,55.0,10.0,3.0,19.0,1.0,,1.0,20.0,,11.0,2.0,15.0,3.0,3.0,38.0,158.0,,0.0,114.0,12.0,,,54.0,58.0,7.0,74.0,,,17.0,15.0,7.0,9.0,147.0,6.0,,116.0,655.0,8.0,5.0,17.0,,14.0,343.0,32.0,3.0,12.0,1.0,2.0,1.0,2.0,34.0,420.0,58.0,,96994,2.0,211.0,8.0,,235.0,7.0,1.0,8.0,10.0,65.0,,1.0,2.0,1.0,17.0,2.0,7.0,,59.0,364.0,15.0,15.0,15.0,69.0,,0.0,,3.0,1.0,,1.0,1.0,0.0,3.0,,2.0,50.5,23.0,5.0,,1.0,2.0,3.0,,43.0,3.0,1.0,448.0,14.0,15.0,18.0,2.0,26.0,2.0,1.0,233.0,8.0,3.0,11.0,77.0,27.0,,,12.0,20.0,,1.0,9.0,3.0,13.0,,,8.0,4.0,2.0,,,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,,1.0,,2.0,,,,,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
26,2293062,2023-03-06 20:00:00,"Gtech Community Stadium, Brentford",17025,Away,Fulham,Brentford,2,3,L,1,1,0,0,,2.0,17.0,58.0,,,22.0,22.0,4.0,,5.0,3.0,154.0,7.0,4.0,15.0,2.0,1.0,3.0,5.0,118.0,148.0,46.0,9.0,,18.0,,1.0,,31.0,,7.0,2.0,22.0,2.0,8.0,41.0,224.0,,0.0,142.0,17.0,,1.0,82.0,84.0,1.0,82.0,1.0,1.0,30.0,26.0,4.0,12.0,148.0,9.0,,129.0,694.0,3.0,5.0,13.0,1.0,13.0,374.0,23.0,1.0,14.0,,3.0,1.0,2.0,21.0,454.0,56.0,,96994,3.0,180.0,18.0,1.0,220.0,6.0,1.0,12.0,9.0,62.0,,1.0,6.0,1.0,12.0,5.0,8.0,,49.0,400.0,12.0,6.0,10.0,49.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,4.0,,2.0,63.8,20.0,1.0,,,6.0,,,29.0,3.0,1.0,483.0,13.0,14.0,19.0,4.0,30.0,1.0,2.0,294.0,7.0,7.0,8.0,119.0,28.0,,,14.0,12.0,1.0,3.0,6.0,4.0,23.0,,,12.0,3.0,3.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
27,2293073,2023-03-12 14:00:00,"Craven Cottage, London",24426,Home,Fulham,Arsenal,0,3,L,0,3,0,0,,,20.0,58.0,,3.0,22.0,12.0,4.0,3.0,7.0,4.0,148.0,13.0,4.0,10.0,,1.0,8.0,2.0,103.0,124.0,49.0,12.0,1.0,11.0,1.0,1.0,,16.0,1.0,8.0,,12.0,4.0,7.0,32.0,172.0,,0.0,110.0,10.0,2.0,1.0,53.0,56.0,4.0,61.0,,1.0,12.0,19.0,5.0,4.0,124.0,11.0,,121.0,606.0,6.0,1.0,17.0,1.0,7.0,342.0,24.0,4.0,9.0,,0.0,4.0,4.0,22.0,416.0,58.0,,96994,4.0,190.0,6.0,2.0,219.0,4.0,,12.0,6.0,55.0,,2.0,6.0,,10.0,4.0,5.0,,46.0,358.0,9.0,14.0,9.0,49.0,,0.0,,8.0,3.0,,3.0,1.0,0.0,3.0,,2.0,44.7,17.0,5.0,1.0,,6.0,4.0,,31.0,4.0,1.0,433.0,7.0,9.0,14.0,6.0,28.0,1.0,1.0,230.0,7.0,7.0,16.0,77.0,22.0,,,9.0,14.0,,3.0,9.0,2.0,21.0,,,12.0,4.0,1.0,,,2.0,1.0,,,,4.0,,1.0,1.0,1.0,1.0,,,2.0,1.0,,,,,1.0,,,,2.0,2.0,,,,,2.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,
28,2293085,2023-05-03 20:00:00,"Anfield, Liverpool",52602,Away,Fulham,Liverpool,0,1,L,0,1,0,0,2.0,,22.0,54.0,,2.0,33.0,33.0,2.0,6.0,7.0,2.0,151.0,10.0,3.0,9.0,,1.0,7.0,3.0,121.0,119.0,41.0,9.0,1.0,14.0,,,,18.0,,8.0,,33.0,3.0,4.0,51.0,143.0,,0.0,97.0,8.0,,,58.0,40.0,5.0,63.0,5.0,1.0,15.0,16.0,2.0,4.0,119.0,6.0,,119.0,642.0,7.0,3.0,13.0,,11.0,358.0,29.0,3.0,16.0,,0.0,2.0,2.0,14.0,427.0,50.0,,96994,2.0,241.0,11.0,1.0,275.0,6.0,,11.0,11.0,48.0,2.0,2.0,6.0,,15.0,9.0,9.0,,54.0,381.0,10.0,13.0,4.0,54.0,,0.0,,7.0,1.0,,1.0,1.0,0.0,3.0,,,42.9,14.0,1.0,4.0,,6.0,3.0,,33.0,5.0,,454.0,11.0,9.0,25.0,3.0,24.0,,2.0,197.0,3.0,3.0,7.0,70.0,18.0,,1.0,16.0,15.0,,1.0,7.0,5.0,14.0,,1.0,11.0,5.0,1.0,,,3.0,2.0,,,1.0,1.0,1.0,,,2.0,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
29,2293090,2023-04-01 15:00:00,"Vitality Stadium, Bournemouth",10305,Away,Fulham,Bournemouth,1,2,L,1,0,0,0,,,12.0,54.0,,1.0,35.0,16.0,3.0,2.0,7.0,4.0,162.0,5.0,6.0,8.0,1.0,3.0,8.0,2.0,131.0,118.0,52.0,10.0,1.0,12.0,,1.0,1.0,18.0,,11.0,1.0,16.0,2.0,7.0,45.0,200.0,,0.0,133.0,13.0,2.0,,65.0,60.0,3.0,83.0,1.0,,16.0,15.0,3.0,6.0,118.0,9.0,,120.0,668.0,6.0,2.0,19.0,1.0,4.0,402.0,27.0,2.0,5.0,1.0,4.0,3.0,5.0,18.0,470.0,51.0,1.0,96994,6.0,230.0,8.0,1.0,260.0,9.0,1.0,9.0,8.0,58.0,1.0,1.0,2.0,1.0,10.0,3.0,7.0,,61.0,424.0,14.0,16.0,8.0,60.0,,0.0,2.0,4.0,5.0,1.0,2.0,,0.0,6.0,1.0,3.0,57.3,14.0,4.0,,,2.0,2.0,1.0,39.0,3.0,,496.0,4.0,14.0,18.0,6.0,30.0,,5.0,254.0,5.0,6.0,11.0,107.0,20.0,,1.0,5.0,19.0,,1.0,8.0,5.0,11.0,3.0,1.0,9.0,3.0,1.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,3.0,,,,,,,2.0,,1.0,,,1.0,,,1.0,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
30,2293102,2023-04-08 15:00:00,"Craven Cottage, London",24491,Home,Fulham,West Ham United,0,1,L,0,1,0,0,,,18.0,44.0,,5.0,20.0,26.0,8.0,3.0,7.0,5.0,186.0,9.0,7.0,3.0,,4.0,13.0,3.0,194.0,154.0,45.0,16.0,6.0,24.0,1.0,,,47.0,,9.0,2.0,26.0,8.0,10.0,39.0,369.0,,0.0,250.0,10.0,3.0,,104.0,121.0,11.0,96.0,,,39.0,17.0,9.0,16.0,154.0,8.0,,183.0,880.0,11.0,1.0,39.0,,5.0,560.0,13.0,1.0,16.0,,1.0,,1.0,24.0,636.0,81.0,,96994,5.0,219.0,20.0,,230.0,7.0,,8.0,7.0,52.0,1.0,,5.0,,14.0,2.0,6.0,,36.0,581.0,10.0,2.0,5.0,57.0,,0.0,1.0,4.0,4.0,,1.0,1.0,0.0,5.0,,5.0,76.6,20.0,4.0,1.0,1.0,5.0,11.0,,33.0,11.0,,659.0,5.0,9.0,19.0,2.0,58.0,2.0,1.0,476.0,8.0,10.0,15.0,204.0,22.0,,1.0,16.0,17.0,,1.0,15.0,5.0,11.0,,1.0,8.0,11.0,2.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,
31,2293112,2023-04-15 15:00:00,"Goodison Park, Liverpool",39241,Away,Fulham,Everton,3,1,W,1,1,0,0,1.0,3.0,25.0,76.0,1.0,3.0,33.0,19.0,10.0,8.0,11.0,6.0,178.0,13.0,10.0,6.0,3.0,1.0,13.0,7.0,102.0,158.0,54.0,21.0,2.0,21.0,,2.0,2.0,23.0,1.0,11.0,4.0,19.0,4.0,4.0,62.0,195.0,,0.0,157.0,6.0,2.0,,100.0,76.0,7.0,82.0,1.0,2.0,19.0,22.0,10.0,3.0,158.0,8.0,1.0,105.0,659.0,9.0,3.0,28.0,2.0,13.0,335.0,29.0,1.0,9.0,2.0,2.0,2.0,6.0,22.0,445.0,68.0,1.0,96994,8.0,166.0,14.0,1.0,205.0,2.0,1.0,7.0,8.0,54.0,,,7.0,3.0,7.0,7.0,5.0,,77.0,351.0,10.0,13.0,11.0,76.0,1.0,0.0,,4.0,4.0,3.0,1.0,1.0,0.0,8.0,1.0,2.0,53.5,14.0,6.0,2.0,2.0,7.0,5.0,,31.0,7.0,,467.0,13.0,8.0,25.0,9.0,28.0,2.0,4.0,285.0,11.0,3.0,21.0,108.0,32.0,1.0,3.0,9.0,17.0,,,15.0,4.0,12.0,,3.0,7.0,8.0,3.0,,,,,2.0,,,3.0,2.0,,,,1.0,,,2.0,5.0,,,2.0,,2.0,,,,2.0,2.0,,2.0,,,1.0,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,2.0,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,
32,2293125,2023-04-22 12:30:00,"Craven Cottage, London",24356,Home,Fulham,Leeds United,2,1,W,0,0,0,0,1.0,1.0,29.0,73.0,,2.0,28.0,23.0,7.0,3.0,4.0,2.0,153.0,12.0,,16.0,2.0,7.0,5.0,5.0,84.0,173.0,66.0,12.0,2.0,22.0,,1.0,,24.0,,11.0,3.0,23.0,7.0,3.0,37.0,120.0,,0.0,116.0,10.0,2.0,,47.0,60.0,4.0,59.0,2.0,,17.0,16.0,8.0,6.0,173.0,7.0,,79.0,614.0,4.0,7.0,13.0,2.0,9.0,267.0,23.0,4.0,9.0,,1.0,4.0,1.0,23.0,355.0,58.0,,96994,3.0,161.0,9.0,,191.0,9.0,1.0,6.0,5.0,61.0,1.0,5.0,7.0,2.0,17.0,4.0,4.0,,58.0,281.0,15.0,5.0,19.0,64.0,1.0,0.0,3.0,6.0,,2.0,1.0,2.0,0.0,,,,49.3,17.0,5.0,,1.0,7.0,4.0,,28.0,8.0,1.0,375.0,9.0,9.0,18.0,3.0,34.0,,,208.0,9.0,2.0,16.0,83.0,36.0,,,9.0,19.0,,1.0,9.0,5.0,31.0,,,6.0,8.0,2.0,,,,,1.0,,,2.0,,,,,,,,1.0,,,1.0,,,2.0,,,3.0,1.0,1.0,,2.0,3.0,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,1.0,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,
33,2293130,2023-04-25 19:45:00,"Villa Park, Birmingham",41046,Away,Fulham,Aston Villa,0,1,L,0,1,0,0,,,16.0,54.0,,,19.0,14.0,,,1.0,2.0,121.0,8.0,4.0,12.0,,1.0,1.0,,99.0,119.0,47.0,1.0,,15.0,,,,17.0,,8.0,,14.0,2.0,2.0,28.0,149.0,,0.0,99.0,18.0,1.0,,48.0,80.0,,69.0,1.0,1.0,15.0,16.0,,7.0,119.0,8.0,,112.0,566.0,1.0,3.0,15.0,,6.0,316.0,21.0,,9.0,,2.0,7.0,1.0,18.0,390.0,51.0,,96994,1.0,181.0,7.0,,209.0,8.0,,6.0,4.0,50.0,1.0,5.0,4.0,,9.0,6.0,4.0,,43.0,326.0,6.0,6.0,10.0,47.0,,0.0,2.0,8.0,1.0,,1.0,,0.0,3.0,,,48.2,14.0,3.0,,,4.0,,,29.0,2.0,,401.0,6.0,5.0,12.0,1.0,23.0,1.0,1.0,209.0,1.0,2.0,8.0,64.0,24.0,,1.0,9.0,21.0,,1.0,1.0,5.0,18.0,,1.0,6.0,2.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
34,2293145,2023-04-30 14:00:00,"Craven Cottage, London",24498,Home,Fulham,Manchester City,1,2,L,1,2,0,0,,1.0,19.0,48.0,,,13.0,31.0,3.0,1.0,1.0,7.0,129.0,8.0,2.0,6.0,1.0,,1.0,1.0,87.0,111.0,53.0,4.0,2.0,17.0,,,1.0,12.0,,14.0,,31.0,2.0,3.0,51.0,122.0,,0.0,85.0,9.0,1.0,2.0,55.0,42.0,1.0,61.0,,,10.0,21.0,3.0,4.0,111.0,11.0,,102.0,552.0,,5.0,9.0,,9.0,297.0,23.0,2.0,19.0,1.0,1.0,,,15.0,363.0,35.0,,96994,1.0,188.0,5.0,1.0,210.0,1.0,,13.0,2.0,46.0,1.0,3.0,2.0,1.0,11.0,1.0,2.0,,37.0,308.0,10.0,8.0,3.0,48.0,,0.0,2.0,5.0,7.0,1.0,2.0,2.0,0.0,1.0,1.0,,37.4,15.0,1.0,,,2.0,2.0,,21.0,2.0,2.0,379.0,9.0,11.0,20.0,1.0,16.0,1.0,,181.0,3.0,3.0,15.0,55.0,17.0,1.0,1.0,19.0,22.0,,1.0,3.0,5.0,9.0,,1.0,13.0,2.0,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,3.0,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
35,2293152,2023-05-08 15:00:00,"Craven Cottage, London",24442,Home,Fulham,Leicester City,5,3,W,3,0,0,0,1.0,1.0,25.0,64.0,3.0,2.0,24.0,14.0,6.0,4.0,10.0,6.0,173.0,12.0,5.0,4.0,5.0,5.0,15.0,7.0,115.0,137.0,57.0,17.0,3.0,9.0,1.0,,4.0,10.0,,14.0,1.0,14.0,2.0,3.0,42.0,172.0,,0.0,130.0,13.0,2.0,2.0,57.0,70.0,10.0,87.0,,,8.0,26.0,7.0,1.0,137.0,9.0,,136.0,704.0,7.0,9.0,24.0,,6.0,395.0,24.0,2.0,11.0,4.0,0.0,5.0,5.0,20.0,484.0,57.0,2.0,96994,7.0,252.0,5.0,5.0,282.0,6.0,3.0,12.0,8.0,51.0,1.0,1.0,8.0,4.0,11.0,9.0,8.0,,50.0,419.0,15.0,17.0,11.0,68.0,,0.0,4.0,7.0,2.0,2.0,3.0,2.0,0.0,4.0,3.0,6.0,57.1,10.0,7.0,1.0,,8.0,5.0,,39.0,2.0,2.0,511.0,6.0,8.0,17.0,5.0,21.0,1.0,5.0,239.0,7.0,3.0,16.0,88.0,24.0,1.0,1.0,11.0,22.0,,3.0,10.0,5.0,10.0,,1.0,12.0,2.0,1.0,,,1.0,,4.0,,,,2.0,,,1.0,1.0,1.0,,4.0,1.0,,,5.0,2.0,4.0,,,1.0,1.0,5.0,,4.0,1.0,,1.0,,,1.0,,1.0,,2.0,2.0,1.0,,1.0,1.0,,1.0,,1.0,3.0,,2.0,1.0,,1.0,2.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,
36,2293169,2023-05-13 15:00:00,"St. Mary's Stadium, Southampton",28978,Away,Fulham,Southampton,2,0,W,0,0,0,0,1.0,2.0,21.0,55.0,1.0,2.0,30.0,6.0,4.0,3.0,5.0,1.0,205.0,9.0,3.0,10.0,2.0,2.0,9.0,4.0,163.0,124.0,45.0,9.0,2.0,14.0,1.0,,2.0,20.0,,5.0,1.0,6.0,5.0,4.0,34.0,279.0,,0.0,188.0,12.0,1.0,,105.0,102.0,8.0,107.0,,,15.0,21.0,4.0,7.0,124.0,1.0,,151.0,781.0,6.0,7.0,33.0,,10.0,522.0,14.0,2.0,4.0,2.0,0.0,2.0,1.0,18.0,598.0,51.0,,96994,4.0,272.0,7.0,1.0,294.0,6.0,1.0,8.0,4.0,45.0,,1.0,6.0,2.0,10.0,4.0,4.0,,46.0,548.0,17.0,6.0,6.0,61.0,,0.0,2.0,1.0,,2.0,,4.0,0.0,1.0,1.0,2.0,64.4,18.0,6.0,,,6.0,4.0,,43.0,8.0,1.0,626.0,10.0,10.0,17.0,1.0,34.0,2.0,,352.0,4.0,4.0,8.0,150.0,27.0,1.0,2.0,4.0,10.0,1.0,,7.0,5.0,16.0,,2.0,8.0,8.0,1.0,,,1.0,1.0,,1.0,,1.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,3.0,1.0,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,
37,2293172,2023-05-20 15:00:00,"Craven Cottage, London",24356,Home,Fulham,Crystal Palace,2,2,D,1,1,0,0,,2.0,29.0,54.0,1.0,4.0,22.0,21.0,3.0,3.0,8.0,3.0,122.0,15.0,6.0,6.0,2.0,6.0,8.0,4.0,88.0,140.0,47.0,11.0,,12.0,,,,23.0,,7.0,2.0,21.0,6.0,6.0,43.0,124.0,1.0,0.0,109.0,13.0,4.0,3.0,40.0,61.0,6.0,52.0,1.0,,17.0,19.0,3.0,4.0,140.0,7.0,,90.0,548.0,4.0,2.0,27.0,,9.0,247.0,24.0,2.0,9.0,1.0,3.0,3.0,2.0,20.0,332.0,42.0,2.0,96994,5.0,147.0,9.0,1.0,167.0,9.0,1.0,7.0,7.0,49.0,,2.0,7.0,,17.0,4.0,6.0,1.0,51.0,265.0,12.0,12.0,12.0,52.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0,,0.0,3.0,1.0,1.0,49.5,16.0,9.0,2.0,1.0,7.0,4.0,,25.0,7.0,3.0,352.0,9.0,7.0,17.0,3.0,31.0,3.0,2.0,208.0,7.0,6.0,13.0,67.0,13.0,2.0,2.0,9.0,16.0,1.0,2.0,5.0,2.0,11.0,2.0,2.0,7.0,7.0,2.0,,,,1.0,1.0,,,1.0,2.0,,,1.0,,1.0,1.0,3.0,3.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
38,2293188,2023-05-28 16:30:00,"Old Trafford, Manchester",73465,Away,Fulham,Manchester United,1,2,L,1,1,0,0,,1.0,17.0,57.0,,1.0,29.0,17.0,4.0,3.0,6.0,6.0,143.0,5.0,8.0,7.0,1.0,3.0,7.0,3.0,107.0,119.0,51.0,10.0,,13.0,,,,16.0,,10.0,1.0,17.0,3.0,2.0,30.0,157.0,1.0,0.0,91.0,10.0,1.0,,44.0,53.0,3.0,74.0,2.0,2.0,13.0,16.0,4.0,5.0,119.0,12.0,,102.0,609.0,5.0,1.0,20.0,,11.0,336.0,28.0,3.0,9.0,1.0,2.0,6.0,4.0,13.0,401.0,34.0,,96994,4.0,209.0,7.0,1.0,231.0,6.0,,7.0,9.0,51.0,1.0,1.0,4.0,,20.0,9.0,8.0,,46.0,358.0,14.0,9.0,10.0,61.0,1.0,0.0,1.0,5.0,2.0,1.0,2.0,,0.0,6.0,1.0,2.0,46.8,11.0,3.0,,,4.0,1.0,,42.0,4.0,,426.0,11.0,12.0,16.0,6.0,28.0,2.0,3.0,211.0,4.0,2.0,15.0,66.0,21.0,,1.0,9.0,15.0,1.0,2.0,3.0,4.0,14.0,3.0,1.0,7.0,4.0,2.0,1.0,1.0,1.0,1.0,,,1.0,3.0,2.0,,2.0,1.0,,2.0,,1.0,3.0,,2.0,1.0,,4.0,1.0,1.0,1.0,,1.0,,,1.0,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
