gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,goalAssistDeadball,attLfGoal,attGoalLowCentre,attFreekickTotal,shotFastbreak,goalFastbreak,attOboxTarget,attOneOnOne,cleanSheet,attOboxGoal,totalFastbreak,midfielderGoals,attSvLowLeft,interceptionsInBox,freekickTotal,attGoalHighCentre,attOboxMiss,attMissHighLeft,accurateThroughBall,errorLeadToShot,attRfGoal,attCmissHighLeft,attMissHigh,attFastbreak,attGoalHighLeft,overrun,accurateFlickOn,attFreekickMiss,forwardGoals,effectiveBlockedCross,blockedCross,attMissHighRight,attSvHighLeft,hitWoodwork,fastestPlayer_topSpeed,totalDistance,attCmissHigh,attCmissLeft,punches,shieldBallOop,attBxLeft,handBall,accuratePullBack,attGoalLowLeft,savedObox,ptsGainedLosingPos,attLgCentre,sixYardBlock,postScoringAtt,attIboxPost,attPostLeft,errorLeadToGoal,attOboxPost,clearanceOffLine,attPostRight,subsGoals,attFreekickGoal,attGoalHighRight,contentiousDecision,attCmissHighRight,goalsConcededObox,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attHdPost,expectedAssists,expectedGoalsFreekick,penaltyConceded,attPostHigh,penaltyFaced,penGoalsConceded,expectedGoals,secondYellow,attPenTarget,penaltyWon,ownGoals,attIboxOwnGoal,attPenGoal,attObxRight,attObxdLeft,attObxLeft,attObxdRight
10,2444568,2024-11-03 14:00:00,"Tottenham Hotspur Stadium, London",61253,Home,Tottenham Hotspur,Aston Villa,4,1,W,0,1,0,0,,55.0,1.0,1.0,12.0,17.0,8.0,1.0,8.0,1.0,2.0,131.0,2.0,5.0,4.0,2.0,10.0,1.0,6.0,108.0,99.0,47.0,16.0,1.0,11.0,1.0,2.0,,3.0,,,23.0,7.0,17.0,5.0,5.0,22.0,219.0,,0.0,152.0,14.0,1.0,1.0,2.0,56.0,44.0,5.0,53.0,2.0,18.0,22.0,8.0,3.0,99.0,3.0,7.0,105.0,591.0,6.0,2.0,22.0,,16.0,332.0,14.0,,6.0,3.0,,2.0,3.0,5.0,12.0,375.0,52.0,1.0,85971,4.0,137.0,,14.0,1.0,146.0,9.0,,10.0,7.0,58.0,1.0,,,3.0,3.0,12.0,5.0,7.0,24.0,354.0,13.0,14.0,1.0,3.0,2.0,35.0,,0.0,4.0,,3.0,1.0,0.0,2.0,3.0,1.0,51.1,10.0,1.0,11.0,,3.0,2.0,27.0,6.0,2.0,397.0,16.0,7.0,9.0,8.0,34.0,,3.0,274.0,14.0,5.0,12.0,122.0,26.0,6.0,17.0,,1.0,12.0,5.0,17.0,,10.0,6.0,3.0,,,1.0,2.0,1.0,,,1.0,1.0,,1.0,,,2.0,1.0,1.0,,5.0,,1.0,,3.0,,3.0,,,2.0,,,3.0,3.0,3.0,3.0,,,,,1.0,,1.0,1.0,1.0,,,1.0,,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11,2444577,2024-11-10 14:00:00,"Tottenham Hotspur Stadium, London",61505,Home,Tottenham Hotspur,Ipswich Town,1,2,L,0,2,0,0,,52.0,,2.0,23.0,13.0,6.0,2.0,11.0,1.0,4.0,203.0,6.0,11.0,1.0,2.0,13.0,,5.0,139.0,151.0,58.0,17.0,1.0,13.0,3.0,1.0,,,1.0,2.0,33.0,6.0,13.0,7.0,13.0,36.0,252.0,1.0,0.0,186.0,10.0,,1.0,1.0,82.0,83.0,6.0,71.0,1.0,26.0,22.0,6.0,9.0,151.0,1.0,6.0,137.0,763.0,10.0,3.0,36.0,,13.0,436.0,23.0,1.0,7.0,1.0,,1.0,3.0,7.0,22.0,522.0,63.0,,85971,8.0,216.0,2.0,16.0,,236.0,3.0,,8.0,2.0,51.0,1.0,,,4.0,,17.0,2.0,1.0,41.0,462.0,19.0,13.0,2.0,5.0,5.0,59.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,4.0,1.0,3.0,66.3,22.0,1.0,4.0,,4.0,3.0,42.0,12.0,1.0,550.0,13.0,7.0,18.0,9.0,46.0,2.0,5.0,347.0,12.0,12.0,16.0,138.0,21.0,7.0,13.0,1.0,2.0,10.0,3.0,21.0,,8.0,12.0,,1.0,1.0,,,,2.0,,1.0,,,,2.0,1.0,,3.0,,,4.0,,,1.0,,,5.0,2.0,,2.0,2.0,,,1.0,1.0,1.0,,,,,3.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12,2444587,2024-11-23 17:30:00,"Etihad Stadium, Manchester",52478,Away,Tottenham Hotspur,Manchester City,4,0,W,2,0,0,0,1.0,44.0,1.0,,12.0,26.0,2.0,4.0,7.0,5.0,2.0,149.0,3.0,8.0,4.0,1.0,9.0,,7.0,105.0,105.0,45.0,9.0,,10.0,2.0,2.0,,4.0,,,10.0,11.0,26.0,2.0,9.0,26.0,109.0,1.0,0.0,78.0,9.0,2.0,,3.0,45.0,29.0,7.0,76.0,,8.0,16.0,2.0,5.0,105.0,6.0,17.0,97.0,593.0,5.0,3.0,17.0,,5.0,326.0,25.0,1.0,17.0,4.0,,2.0,7.0,2.0,9.0,387.0,26.0,,85971,2.0,252.0,2.0,3.0,,285.0,4.0,2.0,5.0,17.0,41.0,1.0,1.0,3.0,4.0,4.0,12.0,6.0,14.0,32.0,358.0,19.0,9.0,,7.0,,33.0,1.0,0.0,9.0,3.0,4.0,,0.0,3.0,4.0,,42.4,8.0,,3.0,1.0,4.0,,15.0,3.0,3.0,427.0,5.0,5.0,13.0,2.0,13.0,,,152.0,5.0,9.0,5.0,56.0,11.0,17.0,13.0,,,9.0,4.0,16.0,,5.0,3.0,4.0,,,2.0,,,4.0,2.0,1.0,1.0,1.0,,6.0,2.0,,3.0,,,1.0,,,1.0,2.0,,1.0,4.0,1.0,,1.0,,,4.0,4.0,,,1.0,,,1.0,,1.0,,,,1.0,2.0,2.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,2444597,2024-12-01 13:30:00,"Tottenham Hotspur Stadium, London",61141,Home,Tottenham Hotspur,Fulham,1,1,D,0,0,0,1,,53.0,,,13.0,23.0,4.0,1.0,4.0,5.0,1.0,167.0,2.0,3.0,1.0,3.0,5.0,1.0,3.0,111.0,114.0,45.0,8.0,2.0,15.0,2.0,,,1.0,1.0,2.0,16.0,9.0,23.0,5.0,9.0,31.0,232.0,,0.0,153.0,4.0,2.0,,1.0,78.0,68.0,3.0,84.0,1.0,11.0,14.0,4.0,4.0,114.0,2.0,12.0,131.0,673.0,3.0,3.0,16.0,1.0,9.0,406.0,23.0,,10.0,1.0,,0.0,4.0,2.0,19.0,470.0,66.0,,85971,3.0,197.0,1.0,7.0,,212.0,2.0,1.0,8.0,5.0,45.0,2.0,,1.0,3.0,1.0,13.0,2.0,5.0,29.0,427.0,14.0,11.0,1.0,3.0,3.0,55.0,,0.0,11.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,51.3,17.0,1.0,5.0,1.0,3.0,2.0,37.0,7.0,1.0,493.0,9.0,9.0,17.0,3.0,28.0,1.0,1.0,297.0,5.0,9.0,12.0,116.0,21.0,10.0,16.0,,1.0,3.0,4.0,10.0,2.0,8.0,7.0,1.0,,,,,2.0,,,,,,,,,,1.0,2.0,,2.0,,1.0,,1.0,,,,,2.0,,,1.0,4.0,4.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,2444600,2024-12-05 20:15:00,"Vitality Stadium, Bournemouth",11234,Away,Tottenham Hotspur,Bournemouth,0,1,L,0,1,0,0,1.0,55.0,,1.0,16.0,15.0,5.0,4.0,7.0,7.0,3.0,172.0,3.0,10.0,,1.0,9.0,2.0,4.0,133.0,160.0,56.0,12.0,2.0,12.0,1.0,2.0,1.0,,2.0,,21.0,16.0,15.0,7.0,9.0,30.0,220.0,,0.0,172.0,8.0,1.0,,,73.0,69.0,4.0,64.0,2.0,14.0,14.0,5.0,7.0,160.0,1.0,17.0,111.0,725.0,8.0,5.0,25.0,,9.0,359.0,20.0,5.0,5.0,,1.0,2.0,5.0,5.0,32.0,445.0,60.0,,85971,3.0,177.0,1.0,7.0,,200.0,2.0,1.0,3.0,14.0,53.0,3.0,,3.0,2.0,,24.0,4.0,14.0,34.0,394.0,15.0,8.0,1.0,10.0,2.0,56.0,,0.0,5.0,7.0,,1.0,0.0,1.0,,1.0,65.5,29.0,1.0,6.0,1.0,2.0,3.0,42.0,9.0,,480.0,9.0,17.0,11.0,5.0,36.0,2.0,5.0,301.0,7.0,7.0,7.0,126.0,27.0,5.0,24.0,,1.0,10.0,4.0,18.0,,3.0,9.0,,,,,,,2.0,,3.0,,,,2.0,,1.0,,,,,2.0,1.0,3.0,,,1.0,2.0,,1.0,2.0,,,1.0,1.0,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2444618,2024-12-08 16:30:00,"Tottenham Hotspur Stadium, London",61184,Home,Tottenham Hotspur,Chelsea,3,4,L,2,1,0,0,2.0,47.0,2.0,1.0,12.0,19.0,2.0,4.0,11.0,4.0,,124.0,5.0,8.0,3.0,3.0,11.0,1.0,5.0,70.0,99.0,46.0,13.0,2.0,8.0,2.0,,,2.0,2.0,1.0,15.0,14.0,19.0,3.0,8.0,16.0,101.0,,0.0,78.0,17.0,2.0,1.0,1.0,37.0,46.0,6.0,55.0,1.0,12.0,18.0,2.0,4.0,99.0,6.0,12.0,67.0,491.0,6.0,3.0,26.0,,4.0,239.0,13.0,2.0,10.0,3.0,,2.0,5.0,5.0,16.0,291.0,36.0,1.0,85971,8.0,167.0,4.0,7.0,2.0,185.0,6.0,2.0,8.0,6.0,52.0,1.0,,3.0,5.0,2.0,11.0,5.0,6.0,24.0,263.0,11.0,10.0,2.0,8.0,2.0,39.0,,0.0,10.0,2.0,3.0,4.0,0.0,3.0,2.0,2.0,38.5,13.0,1.0,8.0,,5.0,3.0,22.0,5.0,1.0,316.0,4.0,15.0,9.0,5.0,18.0,2.0,4.0,146.0,7.0,7.0,8.0,54.0,20.0,10.0,19.0,,3.0,8.0,5.0,11.0,3.0,8.0,5.0,2.0,1.0,,1.0,1.0,1.0,,,,2.0,,,,1.0,,1.0,1.0,,,,1.0,,2.0,,1.0,,,1.0,1.0,,2.0,,,1.0,,1.0,,,,,,,2.0,1.0,2.0,,2.0,,,,1.0,1.0,,,,,,,,,,1.0,1.0,2.0263,4.1897,1.0,1.45416,0.0554,2.0,1.0,2.0,2.0,2.9006,,,,,,,,,,
16,2444628,2024-12-15 19:00:00,"St. Mary's Stadium, Southampton",31090,Away,Tottenham Hotspur,Southampton,5,0,W,5,0,0,0,2.0,51.0,,3.0,15.0,10.0,3.0,8.0,15.0,4.0,2.0,164.0,3.0,13.0,5.0,1.0,13.0,1.0,9.0,166.0,91.0,39.0,18.0,1.0,9.0,3.0,1.0,1.0,3.0,1.0,,15.0,8.0,10.0,3.0,16.0,24.0,220.0,,0.0,126.0,15.0,,1.0,1.0,83.0,76.0,10.0,105.0,1.0,12.0,9.0,3.0,6.0,91.0,4.0,5.0,163.0,757.0,9.0,2.0,28.0,,16.0,527.0,20.0,,5.0,3.0,1.0,3.0,2.0,3.0,11.0,579.0,46.0,,85971,5.0,327.0,1.0,5.0,2.0,343.0,7.0,,4.0,7.0,41.0,3.0,,,8.0,5.0,9.0,4.0,7.0,32.0,544.0,8.0,2.0,1.0,9.0,5.0,59.0,1.0,0.0,2.0,1.0,5.0,,0.0,3.0,3.0,,58.4,11.0,,4.0,,8.0,4.0,41.0,5.0,1.0,598.0,16.0,6.0,12.0,5.0,23.0,,3.0,270.0,10.0,14.0,4.0,100.0,19.0,5.0,14.0,,,11.0,5.0,22.0,,4.0,5.0,5.0,,,3.0,,,2.0,1.0,1.0,1.0,1.0,,3.0,5.0,1.0,1.0,,,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,,1.0,1.0,,,2.0,2.0,1.0,1.0,1.0,,,,,,3.0,4.0,,,4.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,2444638,2024-12-22 16:30:00,"Tottenham Hotspur Stadium, London",61439,Home,Tottenham Hotspur,Liverpool,3,6,L,1,3,0,0,,55.0,1.0,1.0,16.0,22.0,3.0,5.0,6.0,6.0,2.0,175.0,3.0,10.0,3.0,,7.0,,5.0,162.0,148.0,44.0,9.0,,8.0,1.0,2.0,,2.0,1.0,2.0,16.0,13.0,22.0,3.0,7.0,40.0,165.0,,0.0,120.0,7.0,5.0,1.0,,55.0,65.0,4.0,83.0,,13.0,20.0,3.0,3.0,148.0,2.0,18.0,127.0,751.0,5.0,2.0,29.0,,8.0,432.0,25.0,2.0,10.0,2.0,,1.0,5.0,3.0,18.0,509.0,50.0,1.0,85971,2.0,304.0,,9.0,,330.0,5.0,,7.0,15.0,47.0,2.0,,4.0,4.0,3.0,21.0,6.0,14.0,39.0,466.0,9.0,5.0,,9.0,1.0,57.0,,0.0,5.0,3.0,2.0,6.0,0.0,2.0,2.0,,51.9,17.0,,5.0,,4.0,1.0,34.0,7.0,,547.0,8.0,12.0,16.0,3.0,24.0,1.0,2.0,233.0,4.0,7.0,5.0,81.0,21.0,10.0,20.0,,6.0,7.0,3.0,25.0,,7.0,7.0,2.0,,,2.0,1.0,,,,1.0,,,1.0,,2.0,1.0,3.0,,,1.0,1.0,,3.0,1.0,,,,,1.0,,,1.0,2.0,2.0,,,,,,,1.0,,1.0,1.0,,,1.0,3.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2444647,2024-12-26 15:00:00,"The City Ground, Nottingham",30200,Away,Tottenham Hotspur,Nottingham Forest,0,1,L,0,1,1,0,1.0,55.0,,2.0,9.0,3.0,6.0,5.0,7.0,2.0,3.0,197.0,1.0,10.0,,5.0,11.0,2.0,4.0,164.0,144.0,46.0,13.0,3.0,12.0,4.0,2.0,,,2.0,1.0,18.0,4.0,3.0,7.0,8.0,27.0,320.0,,0.0,209.0,13.0,,1.0,,90.0,95.0,8.0,103.0,2.0,11.0,19.0,6.0,4.0,144.0,1.0,7.0,156.0,804.0,11.0,4.0,30.0,,7.0,525.0,22.0,1.0,1.0,,,2.0,2.0,3.0,18.0,598.0,77.0,,232859,5.0,226.0,1.0,6.0,,246.0,6.0,,4.0,7.0,55.0,1.0,,1.0,5.0,,24.0,3.0,7.0,23.0,545.0,12.0,9.0,,7.0,3.0,64.0,,0.0,2.0,2.0,,1.0,1.0,1.0,,1.0,70.4,16.0,1.0,2.0,1.0,5.0,5.0,50.0,7.0,,620.0,7.0,11.0,12.0,4.0,36.0,,1.0,392.0,7.0,7.0,13.0,166.0,26.0,1.0,11.0,,1.0,9.0,5.0,20.0,,4.0,7.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,2.0,1.0,,3.0,,,1.0,,,1.0,1.0,,4.0,4.0,1.0,,,,,,,35.13,106168.97,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
19,2444658,2024-12-29 15:00:00,"Tottenham Hotspur Stadium, London",61284,Home,Tottenham Hotspur,Wolverhampton Wanderers,2,2,D,2,1,0,0,,46.0,2.0,1.0,14.0,19.0,3.0,1.0,10.0,1.0,1.0,160.0,5.0,6.0,2.0,2.0,11.0,,3.0,93.0,144.0,47.0,13.0,2.0,8.0,1.0,1.0,,1.0,,2.0,17.0,13.0,19.0,3.0,6.0,25.0,157.0,,0.0,110.0,9.0,1.0,,1.0,54.0,45.0,5.0,68.0,2.0,14.0,33.0,3.0,5.0,144.0,4.0,4.0,94.0,603.0,8.0,2.0,31.0,,5.0,300.0,21.0,5.0,8.0,2.0,,1.0,3.0,6.0,21.0,392.0,47.0,,85971,7.0,168.0,3.0,9.0,,206.0,6.0,,14.0,6.0,41.0,1.0,,3.0,3.0,1.0,14.0,7.0,6.0,40.0,320.0,9.0,5.0,1.0,20.0,4.0,57.0,,0.0,5.0,1.0,2.0,2.0,0.0,3.0,2.0,5.0,47.9,21.0,4.0,6.0,,3.0,3.0,32.0,5.0,1.0,415.0,5.0,11.0,11.0,7.0,21.0,2.0,6.0,226.0,7.0,6.0,14.0,76.0,15.0,8.0,18.0,1.0,1.0,8.0,4.0,15.0,2.0,14.0,5.0,2.0,1.0,1.0,,,,2.0,,,1.0,,,2.0,2.0,1.0,,,,1.0,1.0,,1.0,1.0,,2.0,2.0,,,1.0,,,2.0,2.0,,,,,,,1.0,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,
20,2444668,2025-01-04 12:30:00,"Tottenham Hotspur Stadium, London",61293,Home,Tottenham Hotspur,Newcastle United,1,2,L,1,2,0,0,,49.0,1.0,2.0,17.0,17.0,4.0,2.0,9.0,2.0,2.0,153.0,4.0,5.0,1.0,2.0,9.0,1.0,4.0,121.0,138.0,64.0,13.0,1.0,20.0,1.0,2.0,2.0,1.0,2.0,1.0,25.0,20.0,17.0,4.0,3.0,30.0,221.0,,0.0,165.0,11.0,2.0,1.0,4.0,94.0,66.0,4.0,86.0,2.0,21.0,22.0,4.0,9.0,138.0,1.0,11.0,106.0,665.0,7.0,8.0,25.0,1.0,9.0,351.0,19.0,2.0,7.0,1.0,2.0,1.0,7.0,5.0,14.0,435.0,52.0,,85971,4.0,160.0,,11.0,,187.0,9.0,2.0,10.0,8.0,54.0,,,2.0,4.0,1.0,4.0,3.0,7.0,41.0,377.0,14.0,7.0,1.0,14.0,1.0,55.0,1.0,0.0,10.0,2.0,1.0,2.0,0.0,3.0,1.0,3.0,56.8,12.0,1.0,2.0,,5.0,3.0,29.0,9.0,5.0,466.0,9.0,11.0,13.0,6.0,42.0,1.0,4.0,304.0,8.0,3.0,22.0,123.0,19.0,7.0,25.0,1.0,2.0,12.0,4.0,11.0,3.0,10.0,9.0,1.0,,,,,,,,2.0,,,,,,,1.0,,,1.0,,,2.0,,,2.0,,,2.0,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,1.2321,2.2034,,0.964356,,,,,,0.945,,,,,,,,,,
21,2444670,2025-01-15 20:00:00,"Emirates Stadium, London",60287,Away,Tottenham Hotspur,Arsenal,1,2,L,1,2,0,0,,43.0,1.0,3.0,14.0,31.0,2.0,2.0,8.0,3.0,1.0,128.0,4.0,6.0,1.0,1.0,8.0,,2.0,92.0,120.0,50.0,10.0,1.0,14.0,1.0,1.0,,,,2.0,17.0,13.0,31.0,3.0,8.0,28.0,113.0,,0.0,87.0,9.0,1.0,1.0,2.0,36.0,54.0,5.0,66.0,1.0,14.0,14.0,2.0,6.0,120.0,1.0,12.0,89.0,599.0,8.0,1.0,21.0,,4.0,285.0,18.0,4.0,13.0,,,1.0,6.0,3.0,19.0,345.0,37.0,,85971,4.0,205.0,1.0,7.0,,227.0,5.0,,6.0,8.0,53.0,1.0,,1.0,7.0,,20.0,3.0,8.0,42.0,314.0,15.0,9.0,,14.0,3.0,44.0,1.0,0.0,10.0,2.0,1.0,2.0,0.0,4.0,,,46.8,16.0,,2.0,,7.0,4.0,18.0,4.0,2.0,375.0,4.0,15.0,11.0,4.0,21.0,,2.0,165.0,8.0,7.0,8.0,63.0,14.0,13.0,21.0,,2.0,7.0,3.0,12.0,3.0,6.0,4.0,,,,,,,,,,,,,,,,3.0,,,1.0,,,2.0,1.0,,,,,1.0,1.0,,1.0,2.0,2.0,,,1.0,,,,,4.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
22,2444683,2025-01-19 14:00:00,"Goodison Park, Liverpool",39326,Away,Tottenham Hotspur,Everton,2,3,L,0,3,0,0,1.0,42.0,1.0,1.0,19.0,21.0,4.0,4.0,7.0,4.0,3.0,189.0,2.0,13.0,2.0,,6.0,,6.0,162.0,141.0,61.0,11.0,2.0,18.0,4.0,1.0,,,3.0,,19.0,15.0,21.0,5.0,5.0,31.0,253.0,,0.0,179.0,14.0,2.0,,,90.0,69.0,5.0,100.0,,14.0,29.0,4.0,3.0,141.0,2.0,10.0,161.0,811.0,5.0,5.0,23.0,,4.0,494.0,21.0,4.0,7.0,1.0,,1.0,2.0,1.0,25.0,577.0,59.0,,85971,4.0,277.0,1.0,11.0,,306.0,9.0,1.0,7.0,12.0,65.0,3.0,,1.0,3.0,1.0,13.0,3.0,12.0,37.0,528.0,14.0,12.0,,12.0,1.0,70.0,,0.0,3.0,3.0,2.0,3.0,0.0,1.0,1.0,,64.6,24.0,,2.0,,3.0,3.0,53.0,8.0,,612.0,4.0,12.0,13.0,2.0,32.0,1.0,,325.0,7.0,5.0,15.0,137.0,15.0,7.0,20.0,,3.0,10.0,2.0,24.0,,7.0,8.0,1.0,1.0,,2.0,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,2.0,,3.0,1.0,,,1.0,1.0,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
23,2444698,2025-01-26 14:00:00,"Tottenham Hotspur Stadium, London",61295,Home,Tottenham Hotspur,Leicester City,1,2,L,1,0,0,0,,60.0,,2.0,20.0,16.0,7.0,3.0,8.0,1.0,5.0,168.0,6.0,6.0,1.0,6.0,11.0,2.0,6.0,150.0,159.0,51.0,15.0,2.0,19.0,1.0,,1.0,1.0,2.0,2.0,34.0,6.0,16.0,5.0,6.0,36.0,217.0,,0.0,143.0,6.0,,3.0,,84.0,73.0,7.0,74.0,2.0,29.0,19.0,7.0,13.0,159.0,2.0,6.0,143.0,749.0,10.0,2.0,23.0,,9.0,430.0,22.0,1.0,7.0,1.0,1.0,1.0,7.0,4.0,26.0,513.0,61.0,,85971,5.0,239.0,1.0,13.0,3.0,274.0,1.0,1.0,5.0,4.0,60.0,1.0,,5.0,5.0,1.0,9.0,6.0,4.0,42.0,450.0,16.0,10.0,,8.0,2.0,64.0,1.0,0.0,4.0,,1.0,2.0,0.0,6.0,1.0,3.0,60.6,22.0,2.0,4.0,2.0,5.0,4.0,44.0,6.0,,535.0,9.0,16.0,17.0,5.0,36.0,,4.0,295.0,9.0,6.0,19.0,110.0,29.0,7.0,10.0,1.0,1.0,9.0,3.0,16.0,3.0,5.0,6.0,1.0,,,,,1.0,1.0,,4.0,,,,1.0,,,,1.0,,1.0,,,1.0,,,1.0,1.0,,2.0,1.0,,1.0,3.0,3.0,,,2.0,33.57,112131.43,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.7745,1.5389,,0.795048,0.0446,,,,,1.0364,,,,,,,,,,
