gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,goalAssistDeadball,attLfGoal,attGoalLowCentre,attFreekickTotal,shotFastbreak,goalFastbreak,attOboxTarget,attOneOnOne,cleanSheet,attOboxGoal,totalFastbreak,midfielderGoals,attSvLowLeft,interceptionsInBox,freekickTotal,attGoalHighCentre,attOboxMiss,attMissHighLeft,accurateThroughBall,errorLeadToShot,attRfGoal,attCmissHighLeft,attMissHigh,attFastbreak,attGoalHighLeft,overrun,accurateFlickOn,attFreekickMiss,forwardGoals,effectiveBlockedCross,blockedCross,attMissHighRight,attSvHighLeft,hitWoodwork,fastestPlayer_topSpeed,totalDistance,attCmissHigh,attCmissLeft,punches,shieldBallOop,attBxLeft,handBall,accuratePullBack,attGoalLowLeft,savedObox,ptsGainedLosingPos,attLgCentre,sixYardBlock,postScoringAtt,attIboxPost,attPostLeft,errorLeadToGoal,attOboxPost,clearanceOffLine,attPostRight,subsGoals,attFreekickGoal,attGoalHighRight,contentiousDecision,attCmissHighRight,goalsConcededObox,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attHdPost,expectedAssists,expectedGoalsFreekick,penaltyConceded,attPostHigh,penaltyFaced,penGoalsConceded,expectedGoals,secondYellow,attPenTarget,penaltyWon,ownGoals,attIboxOwnGoal,attPenGoal,attObxRight,attObxdLeft,attObxLeft,attObxdRight
24,2444702,2025-02-02 14:00:00,"Gtech Community Stadium, Brentford",17154,Away,Tottenham Hotspur,Brentford,2,0,W,1,0,0,0,,54.0,,4.0,20.0,49.0,5.0,3.0,8.0,3.0,1.0,143.0,2.0,10.0,2.0,,12.0,2.0,2.0,119.0,126.0,52.0,13.0,2.0,19.0,,2.0,,1.0,,1.0,9.0,13.0,49.0,3.0,9.0,30.0,145.0,,0.0,89.0,11.0,1.0,,1.0,51.0,42.0,7.0,76.0,2.0,6.0,19.0,5.0,2.0,126.0,1.0,14.0,94.0,644.0,10.0,8.0,21.0,,11.0,340.0,29.0,5.0,34.0,1.0,,1.0,7.0,5.0,13.0,412.0,48.0,,232859,2.0,213.0,1.0,4.0,,244.0,8.0,,9.0,13.0,64.0,5.0,,1.0,1.0,1.0,13.0,6.0,11.0,42.0,356.0,4.0,10.0,1.0,13.0,1.0,43.0,,0.0,10.0,4.0,2.0,,0.0,1.0,1.0,1.0,46.1,10.0,1.0,3.0,,1.0,6.0,21.0,3.0,1.0,432.0,11.0,12.0,13.0,5.0,17.0,1.0,3.0,197.0,9.0,7.0,16.0,63.0,19.0,34.0,22.0,,,12.0,3.0,22.0,,9.0,3.0,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,2.0,,2.0,,1.0,,1.0,,,2.0,2.0,,,2.0,2.0,1.0,,,33.98,111247.9,1.0,,1.0,1.0,3.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,0.4443,0.7759,,0.694794,,,,,,0.8597,,,,,,,,,,
25,2444718,2025-02-16 16:30:00,"Tottenham Hotspur Stadium, London",61383,Home,Tottenham Hotspur,Manchester United,1,0,W,1,0,0,0,3.0,47.0,1.0,8.0,9.0,26.0,3.0,12.0,19.0,6.0,3.0,164.0,11.0,13.0,1.0,5.0,18.0,2.0,7.0,137.0,128.0,44.0,22.0,1.0,11.0,4.0,,,,3.0,2.0,31.0,6.0,26.0,8.0,7.0,24.0,277.0,,0.0,165.0,13.0,3.0,2.0,,93.0,68.0,12.0,90.0,3.0,23.0,21.0,3.0,7.0,128.0,,14.0,130.0,749.0,15.0,3.0,44.0,,5.0,432.0,16.0,,10.0,,,1.0,4.0,6.0,12.0,493.0,48.0,1.0,232859,14.0,193.0,,14.0,2.0,215.0,7.0,2.0,10.0,10.0,57.0,2.0,,,2.0,1.0,10.0,2.0,10.0,22.0,459.0,9.0,2.0,3.0,4.0,7.0,45.0,,0.0,5.0,6.0,1.0,,0.0,8.0,,1.0,55.7,10.0,1.0,8.0,1.0,2.0,9.0,37.0,10.0,,521.0,5.0,14.0,16.0,6.0,38.0,3.0,6.0,337.0,8.0,5.0,9.0,135.0,20.0,10.0,13.0,,,13.0,5.0,31.0,,10.0,10.0,1.0,,,,,,,,2.0,,1.0,,,1.0,2.0,,,,,1.0,2.0,,1.0,1.0,,,,2.0,,,,2.0,2.0,,,,33.59,112163.02,,,2.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,1.509,0.5902,,1.09773,,,,,,2.2319,,,,,,,,,,
26,2444725,2025-02-22 15:00:00,"Portman Road, Ipswich",30003,Away,Tottenham Hotspur,Ipswich Town,4,1,W,2,1,0,0,1.0,52.0,1.0,2.0,16.0,14.0,1.0,4.0,9.0,4.0,1.0,149.0,1.0,5.0,4.0,1.0,9.0,,6.0,144.0,117.0,44.0,10.0,1.0,4.0,2.0,3.0,1.0,4.0,1.0,,4.0,9.0,14.0,3.0,15.0,17.0,152.0,,0.0,95.0,14.0,1.0,1.0,1.0,67.0,54.0,8.0,82.0,1.0,1.0,12.0,1.0,,117.0,1.0,10.0,158.0,696.0,5.0,5.0,21.0,,6.0,440.0,30.0,1.0,6.0,4.0,1.0,1.0,6.0,1.0,8.0,509.0,41.0,,487053,2.0,310.0,,,,338.0,7.0,2.0,8.0,5.0,46.0,,1.0,1.0,3.0,4.0,17.0,7.0,5.0,38.0,461.0,15.0,5.0,,12.0,,47.0,,0.0,4.0,2.0,4.0,1.0,0.0,,2.0,,58.9,8.0,,3.0,,3.0,3.0,32.0,4.0,1.0,533.0,6.0,11.0,7.0,1.0,19.0,1.0,1.0,199.0,6.0,15.0,7.0,66.0,14.0,6.0,17.0,,1.0,10.0,5.0,17.0,,8.0,4.0,1.0,,,2.0,1.0,,2.0,,,,,,2.0,1.0,1.0,,,,,,,1.0,2.0,,,2.0,1.0,1.0,1.0,,2.0,3.0,3.0,,,,34.11,111993.6,,,,1.0,2.0,,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,2.6685,0.724,,0.490975,,,,,,1.7137,,,,,,,,,,
27,2444734,2025-02-26 19:30:00,"Tottenham Hotspur Stadium, London",60820,Home,Tottenham Hotspur,Manchester City,0,1,L,0,1,0,0,,49.0,,2.0,12.0,15.0,,1.0,11.0,4.0,3.0,152.0,8.0,9.0,,5.0,11.0,,6.0,145.0,113.0,57.0,11.0,,5.0,6.0,,1.0,,,1.0,16.0,15.0,15.0,6.0,10.0,26.0,164.0,1.0,0.0,105.0,12.0,2.0,4.0,,61.0,44.0,8.0,81.0,,10.0,15.0,,1.0,113.0,2.0,8.0,151.0,721.0,5.0,1.0,27.0,3.0,7.0,448.0,19.0,1.0,10.0,,1.0,3.0,5.0,3.0,19.0,510.0,48.0,2.0,202993,8.0,309.0,2.0,5.0,2.0,328.0,6.0,1.0,7.0,2.0,44.0,1.0,,,5.0,,18.0,4.0,2.0,33.0,465.0,14.0,7.0,6.0,7.0,4.0,54.0,1.0,0.0,3.0,3.0,,1.0,0.0,4.0,,6.0,55.6,19.0,2.0,3.0,2.0,5.0,2.0,33.0,8.0,1.0,529.0,7.0,5.0,6.0,3.0,28.0,4.0,3.0,217.0,4.0,10.0,8.0,75.0,22.0,10.0,26.0,,1.0,5.0,5.0,24.0,,7.0,8.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,2.0,1.0,,3.0,1.0,,,1.0,1.0,,2.0,,34.95,116698.71,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,1.7001,2.0869,,1.06902,,,,,,1.3282,,,,,,,,,,
28,2444747,2025-03-09 14:00:00,"Tottenham Hotspur Stadium, London",61178,Home,Tottenham Hotspur,Bournemouth,2,2,D,0,1,0,0,,50.0,,3.0,13.0,20.0,3.0,1.0,8.0,6.0,,164.0,6.0,7.0,2.0,3.0,10.0,,4.0,145.0,161.0,49.0,12.0,2.0,14.0,2.0,2.0,1.0,1.0,,2.0,16.0,10.0,20.0,3.0,5.0,23.0,214.0,,0.0,128.0,15.0,4.0,2.0,1.0,60.0,81.0,7.0,86.0,,13.0,22.0,4.0,3.0,161.0,,15.0,133.0,753.0,7.0,5.0,29.0,2.0,8.0,408.0,19.0,4.0,11.0,1.0,1.0,3.0,5.0,3.0,36.0,503.0,56.0,1.0,232859,4.0,224.0,,8.0,,266.0,12.0,1.0,3.0,6.0,65.0,1.0,,,6.0,1.0,19.0,2.0,6.0,39.0,432.0,16.0,7.0,2.0,20.0,3.0,60.0,,0.0,6.0,6.0,1.0,2.0,0.0,4.0,,3.0,60.9,31.0,,2.0,,7.0,5.0,37.0,3.0,1.0,528.0,8.0,15.0,11.0,3.0,25.0,2.0,2.0,278.0,8.0,5.0,14.0,93.0,21.0,11.0,12.0,,2.0,8.0,5.0,21.0,,3.0,3.0,1.0,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,3.0,2.0,,,,,1.0,2.0,,,1.0,1.0,,1.0,2.0,35.58,111203.51,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,1.1041,2.544,,0.582918,,,,,,1.5258,,,1.0,,,1.0,1.0,,,
29,2444754,2025-03-16 13:30:00,"Craven Cottage, London",27182,Away,Tottenham Hotspur,Fulham,0,2,L,0,0,0,0,2.0,52.0,,4.0,15.0,32.0,1.0,3.0,11.0,2.0,,129.0,9.0,8.0,,2.0,11.0,1.0,4.0,115.0,125.0,61.0,12.0,,18.0,3.0,2.0,1.0,,1.0,2.0,19.0,14.0,32.0,5.0,5.0,22.0,172.0,,0.0,100.0,10.0,1.0,3.0,,72.0,50.0,7.0,73.0,1.0,14.0,18.0,1.0,6.0,125.0,2.0,7.0,94.0,646.0,9.0,5.0,26.0,2.0,10.0,332.0,22.0,1.0,15.0,,1.0,0.0,6.0,4.0,16.0,391.0,42.0,2.0,202993,7.0,188.0,2.0,5.0,2.0,211.0,5.0,1.0,11.0,6.0,68.0,,,1.0,4.0,,18.0,6.0,6.0,33.0,351.0,13.0,9.0,2.0,10.0,3.0,46.0,1.0,0.0,6.0,2.0,,2.0,0.0,7.0,,6.0,43.4,12.0,3.0,4.0,,4.0,4.0,37.0,5.0,,411.0,10.0,13.0,11.0,4.0,28.0,2.0,4.0,219.0,3.0,5.0,15.0,74.0,22.0,15.0,25.0,,2.0,7.0,5.0,26.0,,11.0,5.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,4.0,,,5.0,5.0,,1.0,,31.22,109918.58,1.0,1.0,2.0,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,0.4431,1.7626,,0.790915,,,,,,0.9515,,,,,,,,,,
30,2444765,2025-04-03 20:00:00,"Stamford Bridge, London",39852,Away,Tottenham Hotspur,Chelsea,0,1,L,0,0,0,0,1.0,43.0,,2.0,15.0,29.0,3.0,4.0,5.0,4.0,1.0,145.0,2.0,7.0,,1.0,4.0,,2.0,108.0,108.0,44.0,8.0,1.0,5.0,2.0,,,,,,19.0,8.0,29.0,6.0,2.0,12.0,163.0,,0.0,100.0,16.0,3.0,,,71.0,54.0,3.0,75.0,1.0,13.0,13.0,3.0,3.0,108.0,1.0,8.0,110.0,613.0,4.0,2.0,25.0,,9.0,366.0,25.0,4.0,15.0,,,5.0,2.0,1.0,10.0,417.0,46.0,,232859,2.0,225.0,2.0,10.0,,242.0,8.0,2.0,5.0,7.0,43.0,,,5.0,3.0,,17.0,3.0,7.0,34.0,386.0,7.0,6.0,,17.0,4.0,50.0,,0.0,4.0,3.0,,1.0,0.0,2.0,,1.0,50.0,10.0,1.0,4.0,,3.0,3.0,33.0,6.0,,438.0,9.0,10.0,6.0,3.0,21.0,,1.0,215.0,3.0,2.0,14.0,79.0,10.0,15.0,16.0,,1.0,3.0,4.0,13.0,,5.0,6.0,,,,,,1.0,2.0,,,,,,2.0,,2.0,1.0,1.0,,2.0,1.0,,,,,,2.0,,1.0,,,,2.0,2.0,1.0,,,34.32,113425.82,,,2.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,1.6978,1.7742,,0.775646,0.0491,,,,,0.8734,,,,,,,,,,
31,2444778,2025-04-06 14:00:00,"Tottenham Hotspur Stadium, London",60984,Home,Tottenham Hotspur,Southampton,3,1,W,2,0,0,0,2.0,52.0,2.0,3.0,18.0,13.0,2.0,7.0,11.0,3.0,1.0,165.0,2.0,9.0,3.0,6.0,12.0,,8.0,133.0,112.0,49.0,13.0,,5.0,4.0,,,2.0,1.0,,15.0,10.0,13.0,3.0,6.0,29.0,177.0,1.0,0.0,118.0,16.0,2.0,2.0,3.0,75.0,57.0,10.0,79.0,,12.0,16.0,2.0,3.0,112.0,3.0,9.0,100.0,679.0,9.0,1.0,24.0,2.0,9.0,402.0,21.0,3.0,6.0,2.0,,1.0,6.0,2.0,17.0,452.0,60.0,,232859,7.0,249.0,2.0,7.0,1.0,264.0,7.0,3.0,8.0,5.0,60.0,1.0,,1.0,10.0,2.0,10.0,3.0,4.0,37.0,424.0,19.0,10.0,1.0,11.0,1.0,49.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,50.8,15.0,,6.0,,10.0,3.0,30.0,4.0,4.0,477.0,9.0,15.0,16.0,2.0,26.0,1.0,1.0,228.0,4.0,5.0,5.0,92.0,14.0,6.0,16.0,,1.0,10.0,5.0,24.0,,8.0,4.0,2.0,,,1.0,,,1.0,,1.0,,,,1.0,,2.0,2.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,2.0,,,,,,33.18,116196.34,,,,,3.0,1.0,3.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,3.4655,0.4472,,1.10797,,,,,,2.1161,,,1.0,,,1.0,,,,
32,2444789,2025-04-13 14:00:00,"Molineux Stadium, Wolverhampton",31463,Away,Tottenham Hotspur,Wolverhampton Wanderers,2,4,L,0,2,0,0,,49.0,,1.0,16.0,12.0,3.0,2.0,8.0,2.0,1.0,184.0,6.0,6.0,2.0,4.0,8.0,,4.0,165.0,127.0,44.0,11.0,1.0,7.0,1.0,,,1.0,,,23.0,10.0,12.0,4.0,12.0,34.0,254.0,,0.0,137.0,15.0,2.0,3.0,2.0,88.0,91.0,4.0,74.0,,19.0,17.0,3.0,5.0,127.0,1.0,10.0,143.0,746.0,5.0,2.0,20.0,1.0,8.0,479.0,25.0,1.0,8.0,1.0,,2.0,1.0,4.0,21.0,543.0,60.0,1.0,232859,7.0,254.0,1.0,11.0,1.0,280.0,8.0,,7.0,8.0,53.0,,,3.0,6.0,1.0,17.0,4.0,8.0,27.0,502.0,12.0,10.0,2.0,5.0,3.0,53.0,,0.0,1.0,2.0,2.0,4.0,0.0,4.0,1.0,4.0,62.6,20.0,2.0,6.0,,6.0,2.0,46.0,4.0,2.0,566.0,8.0,14.0,18.0,5.0,34.0,2.0,4.0,309.0,5.0,10.0,12.0,109.0,12.0,8.0,14.0,1.0,4.0,6.0,4.0,13.0,,7.0,4.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,3.0,,,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,34.54,111030.96,,,1.0,,,,,2.0,,,,,,,,2.0,,,,1.0,,,,1.0,,2.8049,2.9513,,0.765,0.0675,,,,,1.9592,,,,1.0,1.0,,,,,
33,2444798,2025-04-21 20:00:00,"Tottenham Hotspur Stadium, London",59314,Home,Tottenham Hotspur,Nottingham Forest,1,2,L,0,2,0,0,,39.0,,3.0,19.0,17.0,6.0,5.0,16.0,1.0,3.0,154.0,17.0,8.0,1.0,2.0,15.0,1.0,6.0,150.0,147.0,43.0,22.0,1.0,20.0,3.0,,,1.0,1.0,7.0,52.0,10.0,17.0,7.0,7.0,14.0,294.0,,0.0,179.0,11.0,1.0,2.0,,87.0,86.0,7.0,72.0,3.0,45.0,13.0,6.0,20.0,147.0,3.0,1.0,150.0,756.0,11.0,1.0,43.0,2.0,7.0,447.0,19.0,,12.0,1.0,,1.0,,8.0,26.0,508.0,66.0,,511499,9.0,188.0,4.0,23.0,1.0,200.0,9.0,,3.0,2.0,67.0,,,,3.0,1.0,16.0,3.0,2.0,33.0,465.0,12.0,6.0,3.0,11.0,4.0,66.0,1.0,0.0,1.0,,1.0,2.0,0.0,11.0,1.0,9.0,70.0,23.0,6.0,,1.0,3.0,4.0,51.0,7.0,,526.0,7.0,11.0,12.0,12.0,55.0,6.0,9.0,378.0,8.0,6.0,9.0,145.0,17.0,12.0,14.0,1.0,1.0,17.0,5.0,27.0,,3.0,7.0,,,,,,,,,2.0,1.0,,,,,2.0,,,,3.0,1.0,,,,,1.0,,,2.0,1.0,,1.0,1.0,1.0,,,,34.05,112205.12,,2.0,,2.0,4.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,1.1071,1.4045,,1.65151,,,,,,2.1392,,,,,,,,,,
34,2444804,2025-04-27 16:30:00,"Anfield, Liverpool",60415,Away,Tottenham Hotspur,Liverpool,1,5,L,1,3,0,0,,46.0,1.0,1.0,17.0,21.0,3.0,2.0,4.0,2.0,1.0,123.0,2.0,8.0,1.0,1.0,4.0,,3.0,75.0,131.0,44.0,8.0,1.0,9.0,1.0,,,,,3.0,12.0,6.0,21.0,2.0,4.0,26.0,74.0,,0.0,69.0,9.0,2.0,1.0,1.0,42.0,30.0,3.0,55.0,,10.0,20.0,4.0,1.0,131.0,,17.0,67.0,501.0,2.0,7.0,17.0,1.0,9.0,210.0,17.0,4.0,9.0,1.0,,1.0,11.0,1.0,21.0,289.0,37.0,1.0,487053,3.0,164.0,1.0,8.0,2.0,202.0,5.0,1.0,8.0,9.0,43.0,1.0,,3.0,3.0,,13.0,9.0,7.0,53.0,236.0,16.0,6.0,1.0,27.0,1.0,48.0,1.0,0.0,8.0,3.0,1.0,5.0,0.0,1.0,1.0,2.0,38.5,19.0,,4.0,1.0,3.0,2.0,19.0,2.0,1.0,320.0,9.0,9.0,15.0,3.0,17.0,1.0,1.0,130.0,4.0,2.0,9.0,40.0,20.0,9.0,12.0,1.0,4.0,5.0,4.0,18.0,3.0,8.0,2.0,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,2.0,,,1.0,,,,,,,4.0,,1.0,2.0,2.0,,,,33.76,105849.86,,,1.0,,,,1.0,,1.0,,1.0,,,,,1.0,,2.0,,,,,,,1.0,0.8877,2.7,,0.323834,,,,,,0.4568,,,,1.0,1.0,,,,,
35,2444819,2025-05-04 14:00:00,"London Stadium, London",62468,Away,Tottenham Hotspur,West Ham United,1,1,D,1,1,0,0,,43.0,1.0,,14.0,27.0,2.0,1.0,4.0,1.0,1.0,148.0,1.0,5.0,1.0,3.0,4.0,,2.0,87.0,160.0,61.0,7.0,,19.0,1.0,,1.0,1.0,,,11.0,8.0,27.0,3.0,2.0,22.0,92.0,,0.0,73.0,15.0,1.0,1.0,,69.0,37.0,2.0,49.0,,8.0,19.0,3.0,4.0,160.0,1.0,6.0,76.0,561.0,3.0,6.0,11.0,,8.0,236.0,20.0,3.0,15.0,1.0,1.0,2.0,5.0,2.0,26.0,332.0,37.0,,232859,3.0,170.0,1.0,3.0,1.0,208.0,8.0,,11.0,7.0,67.0,3.0,,4.0,2.0,1.0,14.0,5.0,7.0,55.0,261.0,17.0,7.0,,32.0,1.0,61.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,44.5,21.0,,6.0,,2.0,,19.0,3.0,,360.0,8.0,12.0,9.0,5.0,15.0,,2.0,163.0,6.0,2.0,25.0,43.0,13.0,15.0,14.0,,1.0,5.0,1.0,20.0,2.0,11.0,3.0,1.0,,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,3.0,,2.0,1.0,1.0,,3.0,1.0,,1.0,,1.0,1.0,4.0,4.0,2.0,,,33.82,109992.54,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,0.4002,0.5874,,0.486755,0.044,,,,,0.7747,,,,,,,,1.0,,
36,2444828,2025-05-11 14:15:00,"Tottenham Hotspur Stadium, London",60254,Home,Tottenham Hotspur,Crystal Palace,0,2,L,0,1,0,0,,54.0,,5.0,14.0,27.0,,1.0,7.0,8.0,,138.0,2.0,7.0,,2.0,4.0,,1.0,102.0,131.0,50.0,8.0,,12.0,1.0,3.0,1.0,,,1.0,13.0,12.0,27.0,4.0,6.0,24.0,116.0,,0.0,77.0,12.0,5.0,1.0,2.0,37.0,64.0,3.0,50.0,,9.0,21.0,1.0,1.0,131.0,1.0,16.0,80.0,556.0,3.0,2.0,16.0,1.0,7.0,267.0,18.0,1.0,16.0,,1.0,1.0,6.0,1.0,17.0,346.0,41.0,,232859,3.0,171.0,1.0,8.0,,208.0,7.0,1.0,8.0,8.0,44.0,,,2.0,10.0,,14.0,7.0,8.0,47.0,285.0,9.0,3.0,1.0,19.0,2.0,44.0,,0.0,8.0,7.0,,2.0,0.0,1.0,,3.0,47.3,16.0,1.0,6.0,1.0,10.0,5.0,21.0,4.0,2.0,370.0,7.0,12.0,9.0,2.0,19.0,1.0,1.0,175.0,4.0,6.0,13.0,40.0,17.0,16.0,21.0,,2.0,5.0,3.0,12.0,,8.0,4.0,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,2.0,1.0,,2.0,2.0,,,,35.84,103763.02,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,0.0207,3.7436,,0.452456,0.0402,,,,,0.7312,,,,,,,,1.0,1.0,
37,2444831,2025-05-16 19:30:00,"Villa Park, Birmingham",42239,Away,Tottenham Hotspur,Aston Villa,0,2,L,0,0,0,0,1.0,41.0,,,10.0,35.0,,2.0,2.0,5.0,,96.0,1.0,4.0,,1.0,2.0,,1.0,70.0,91.0,22.0,3.0,1.0,6.0,1.0,,1.0,,1.0,,9.0,4.0,35.0,1.0,3.0,18.0,93.0,,0.0,65.0,12.0,3.0,,5.0,43.0,34.0,1.0,40.0,,8.0,16.0,1.0,2.0,91.0,1.0,11.0,65.0,443.0,2.0,5.0,8.0,,13.0,204.0,21.0,2.0,17.0,,1.0,2.0,4.0,1.0,14.0,250.0,30.0,,550839,1.0,125.0,1.0,6.0,,139.0,8.0,,10.0,10.0,45.0,,,,11.0,,10.0,7.0,7.0,40.0,217.0,5.0,12.0,,19.0,,48.0,,0.0,9.0,4.0,,2.0,0.0,1.0,,,32.2,12.0,,3.0,,11.0,1.0,23.0,1.0,5.0,271.0,13.0,4.0,8.0,1.0,11.0,,1.0,141.0,1.0,1.0,4.0,44.0,2.0,17.0,9.0,,2.0,2.0,5.0,16.0,,10.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,,3.0,1.0,,,,,1.0,,,1.0,1.0,,1.0,1.0,,,4.0,4.0,,,,36.36,107003.33,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,0.1566,2.2199,,0.218877,0.0462,,,,,0.5129,,,,,,,,,,1.0
38,2444848,2025-05-25 16:00:00,"Tottenham Hotspur Stadium, London",61449,Home,Tottenham Hotspur,Brighton and Hove Albion,1,4,L,1,0,0,0,1.0,35.0,,1.0,15.0,39.0,,1.0,4.0,4.0,,97.0,,4.0,1.0,2.0,3.0,,2.0,70.0,106.0,32.0,4.0,,16.0,1.0,,,,,1.0,5.0,7.0,39.0,2.0,5.0,23.0,51.0,,0.0,42.0,13.0,1.0,1.0,1.0,32.0,21.0,2.0,40.0,,3.0,15.0,,1.0,106.0,2.0,18.0,64.0,449.0,3.0,4.0,10.0,,11.0,191.0,13.0,2.0,17.0,,,3.0,7.0,1.0,21.0,251.0,26.0,,511499,3.0,156.0,2.0,1.0,,178.0,10.0,1.0,4.0,5.0,57.0,1.0,,1.0,3.0,,15.0,5.0,5.0,39.0,207.0,8.0,10.0,,13.0,,39.0,1.0,0.0,11.0,4.0,1.0,4.0,0.0,,,,32.5,19.0,,2.0,,3.0,1.0,22.0,2.0,1.0,271.0,11.0,11.0,8.0,1.0,10.0,,1.0,98.0,3.0,4.0,7.0,17.0,13.0,17.0,13.0,,3.0,3.0,5.0,11.0,3.0,4.0,2.0,1.0,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,2.0,2.0,,,,32.65,103093.88,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.5491,4.09,,0.250784,,1.0,,1.0,1.0,2.0348,,,1.0,,,1.0,,,,
