gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateFreekickCross,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attCmissLeft,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,shotFastbreak,attBxRight,attOboxTarget,attOneOnOne,penaltyWon,divingSave,totalFastbreak,attMissHighLeft,outfielderBlock,attCmissHigh,totalThroughBall,attMissHigh,attFastbreak,accurateFlickOn,attSvHighCentre,ptsDroppedWinningPos,attLfTarget,savedObox,accuratePullBack,attCmissRight,attPenTarget,postScoringAtt,attIboxPost,attMissRight,hitWoodwork,sixYardBlock,attSvLowRight,attPostHigh,effectiveBlockedCross,blockedCross,handBall,ptsGainedLosingPos,accurateThroughBall,errorLeadToShot,penaltyConceded,punches,penaltyFaced,penGoalsConceded,attLgLeft,attIboxOwnGoal,attMissHighRight,attObxdLeft,attFreekickTarget,attObxRight,errorLeadToGoal,attCmissHighRight,forwardGoals,attSvHighRight,contentiousDecision,penaltySave,attCmissHighLeft,attPostLeft,attPenPost,attFreekickPost,attOboxPost,clearanceOffLine,attObxLeft,goalFastbreak,attObxdRight,foulThrowIn
1,2561897,2025-08-16 15:00:00,"American Express Stadium, Falmer",31478.0,Home,Brighton and Hove Albion,Fulham,1,1,D,0.0,0.0,0,0,0.0,1.0,42.0,1.0,0.0,,,,1.0209,28.0,27.0,4.0,3.0,6.0,1.0,1.0,2.0,123.0,0.0,4.0,4.0,1.0,2.0,7.0,4.0,120.0,104.0,51.0,,10.0,1.0,10.0,1.0,,,1.0,2.0,11.0,9.0,0.0,27.0,4.0,11.0,27.0,0.7315,137.0,,0.0,0.0,91.0,16.0,0.0,,1.0,1.0,,1.0,43.0,41.0,4.0,76.0,1.0,7.0,13.0,4.0,,0.0,0.0,4.0,1.0,104.0,1.0,5.0,0.0,108.0,604.0,,5.0,5.0,25.0,1.0,9.0,351.0,13.0,3.0,12.0,,,3.0,3.0,0.610632,10.0,401.0,,47.0,,32.76,463067,4.0,241.0,1.0,3.0,1.0,257.0,9.0,110291.31,0.0,1.0,10.0,8.0,44.0,0.0,0.0,3.0,3.0,0.0,22.0,2.0,8.0,1.0,50.0,374.0,15.0,5.0,2.0,18.0,1.0,55.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,,1.0,3.0,49.8,7.0,2.0,5.0,,3.0,1.0,39.0,4.0,1.0,427.0,9.0,,8.0,21.0,5.0,21.0,2.0,4.0,181.0,4.0,9.0,14.0,66.0,19.0,12.0,19.0,0.0,1.0,7.0,5.0,11.0,1.4766,10.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561910,2025-08-24 14:00:00,"Hill Dickinson Stadium, Liverpool",51759.0,Away,Brighton and Hove Albion,Everton,0,2,L,0.0,1.0,0,0,1.0,,49.0,0.0,0.0,1.0,,,1.5401,12.0,24.0,6.0,4.0,7.0,1.0,0.0,3.0,155.0,0.0,3.0,8.0,0.0,1.0,10.0,4.0,134.0,127.0,47.0,,13.0,3.0,31.0,2.0,,,1.0,,11.0,8.0,0.0,24.0,1.0,11.0,33.0,1.2097,152.0,,0.0,0.0,120.0,15.0,0.0,,0.0,1.0,,,42.0,49.0,6.0,59.0,1.0,10.0,11.0,6.0,,0.0,0.0,5.0,1.0,127.0,1.0,6.0,0.0,142.0,676.0,,10.0,4.0,29.0,,5.0,395.0,19.0,1.0,12.0,,,3.0,4.0,0.869141,27.0,471.0,,58.0,,35.45,592031,5.0,262.0,3.0,5.0,,278.0,6.0,109124.16,0.0,2.0,7.0,9.0,70.0,0.0,0.0,6.0,9.0,0.0,17.0,5.0,8.0,0.0,44.0,411.0,6.0,9.0,,18.0,,70.0,0.0,0.0,,0.0,0.0,1.0,2.0,,0.0,2.0,0.0,3.0,,2.0,1.0,57.6,26.0,1.0,4.0,1.0,9.0,4.0,32.0,2.0,,490.0,5.0,,10.0,13.0,5.0,16.0,,3.0,223.0,8.0,11.0,16.0,81.0,15.0,12.0,17.0,0.0,1.0,12.0,4.0,13.0,2.4331,7.0,2.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561916,2025-08-31 14:00:00,"American Express Stadium, Falmer",31485.0,Home,Brighton and Hove Albion,Manchester City,2,1,W,0.0,1.0,0,0,0.0,2.0,51.0,1.0,0.0,3.0,,,3.0718,14.0,10.0,2.0,6.0,10.0,2.0,0.0,1.0,117.0,1.0,3.0,8.0,2.0,5.0,9.0,7.0,76.0,114.0,47.0,,12.0,,14.0,3.0,1.0,1.0,1.0,,8.0,13.0,0.0,10.0,3.0,6.0,33.0,1.0956,79.0,,0.0,0.0,82.0,16.0,0.0,,0.0,2.0,4.0,1.0,36.0,36.0,8.0,59.0,,5.0,22.0,2.0,,0.0,0.0,1.0,,114.0,1.0,8.0,2.0,63.0,475.0,,7.0,2.0,22.0,,8.0,220.0,17.0,1.0,4.0,1.0,1.0,2.0,1.0,0.70066,12.0,291.0,,46.0,2.0,36.11,592031,5.0,159.0,1.0,1.0,1.0,178.0,8.0,110350.19,2.0,,14.0,11.0,58.0,0.0,0.0,1.0,4.0,1.0,10.0,4.0,4.0,1.0,49.0,235.0,13.0,14.0,1.0,10.0,2.0,52.0,0.0,0.0,,0.0,0.0,,2.0,2.0,2.0,1.0,0.0,2.0,1.0,,,36.3,9.0,,5.0,3.0,4.0,3.0,17.0,3.0,1.0,315.0,8.0,,9.0,12.0,2.0,20.0,1.0,2.0,145.0,6.0,4.0,9.0,41.0,21.0,4.0,17.0,0.0,1.0,8.0,5.0,14.0,2.2975,14.0,3.0,3.0,1.0,2.0,,1.0,1.0,3.0,1.0,1.0,,3.0,,3.0,,2.0,,4.0,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561925,2025-09-13 15:00:00,"Vitality Stadium, Bournemouth",11167.0,Away,Brighton and Hove Albion,Bournemouth,1,2,L,0.0,1.0,0,0,1.0,1.0,50.0,1.0,0.0,2.0,,,1.2767,24.0,35.0,1.0,3.0,5.0,3.0,0.0,1.0,144.0,0.0,3.0,10.0,1.0,2.0,4.0,2.0,105.0,141.0,55.0,,6.0,,17.0,1.0,,1.0,,1.0,17.0,16.0,0.0,35.0,4.0,5.0,28.0,1.4936,142.0,,0.0,0.0,109.0,10.0,0.0,,1.0,,,,48.0,46.0,4.0,58.0,1.0,13.0,26.0,1.0,,0.0,0.0,4.0,1.0,141.0,2.0,7.0,0.0,67.0,590.0,,3.0,10.0,24.0,,6.0,271.0,24.0,10.0,20.0,1.0,,4.0,,0.375697,20.0,348.0,,56.0,,34.77,465730,1.0,154.0,1.0,9.0,1.0,171.0,6.0,110543.41,0.0,,12.0,6.0,51.0,0.0,0.0,,4.0,1.0,20.0,6.0,6.0,0.0,52.0,293.0,16.0,6.0,,26.0,1.0,62.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,,1.0,48.7,14.0,,3.0,,4.0,2.0,37.0,4.0,,374.0,6.0,,9.0,15.0,2.0,27.0,1.0,1.0,220.0,2.0,4.0,9.0,67.0,17.0,20.0,20.0,1.0,1.0,4.0,5.0,19.0,0.6229,12.0,4.0,,2.0,,,,,,1.0,4.0,,,,,2.0,,,,1.0,,,,,,,,1.0,1.0,,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
5,2561937,2025-09-20 15:00:00,"American Express Stadium, Falmer",31488.0,Home,Brighton and Hove Albion,Tottenham Hotspur,2,2,D,2.0,1.0,0,0,0.0,1.0,52.0,0.0,0.0,1.0,,,1.2682,22.0,40.0,5.0,3.0,5.0,2.0,1.0,2.0,118.0,1.0,2.0,6.0,2.0,1.0,9.0,4.0,76.0,127.0,57.0,1.0,12.0,,12.0,1.0,,1.0,1.0,2.0,8.0,17.0,1.0,40.0,2.0,7.0,31.0,1.55,109.0,,1.0,0.0,86.0,10.0,0.0,,2.0,1.0,,,27.0,29.0,4.0,46.0,1.0,6.0,13.0,7.0,1.0,0.0,0.0,3.0,5.0,127.0,1.0,10.0,0.0,67.0,512.0,1.0,8.0,4.0,17.0,,5.0,211.0,22.0,5.0,21.0,1.0,,1.0,5.0,0.2983,11.0,277.0,0.0323,51.0,,34.73,592031,2.0,129.0,,3.0,,152.0,7.0,109305.4,1.0,,6.0,14.0,61.0,1.0,0.0,,3.0,2.0,21.0,2.0,12.0,0.0,57.0,236.0,13.0,13.0,,26.0,1.0,48.0,0.0,0.0,,0.0,0.0,2.0,10.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,,36.1,10.0,,6.0,2.0,3.0,1.0,26.0,2.0,,307.0,5.0,1.0,16.0,17.0,7.0,14.0,,2.0,163.0,9.0,4.0,13.0,55.0,17.0,21.0,25.0,0.0,2.0,9.0,5.0,16.0,1.3197,6.0,2.0,1.0,,1.0,1.0,,2.0,1.0,2.0,2.0,,,1.0,1.0,3.0,,2.0,,,,,,,,2.0,,,,,3.0,3.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
6,2561947,2025-09-27 15:00:00,"Stamford Bridge, London",39597.0,Away,Brighton and Hove Albion,Chelsea,3,1,W,0.0,1.0,0,1,0.0,3.0,42.0,0.0,0.0,,1.0,,1.7729,16.0,26.0,4.0,3.0,8.0,2.0,1.0,,105.0,1.0,5.0,7.0,3.0,5.0,7.0,3.0,79.0,103.0,48.0,2.0,12.0,2.0,8.0,,1.0,2.0,,3.0,13.0,13.0,0.0,26.0,1.0,4.0,18.0,2.1236,145.0,,0.0,0.0,121.0,16.0,0.0,,0.0,,2.0,,40.0,41.0,3.0,51.0,1.0,12.0,16.0,4.0,2.0,1.0,0.0,3.0,2.0,103.0,3.0,7.0,3.0,81.0,516.0,,3.0,4.0,27.0,,12.0,248.0,14.0,1.0,12.0,3.0,1.0,5.0,4.0,1.65372,19.0,296.0,0.1513,51.0,1.0,34.33,592031,6.0,126.0,1.0,7.0,1.0,140.0,11.0,106095.52,0.0,1.0,5.0,5.0,54.0,0.0,0.0,2.0,5.0,2.0,13.0,6.0,4.0,0.0,29.0,266.0,9.0,10.0,1.0,8.0,1.0,32.0,1.0,0.0,2.0,0.0,0.0,4.0,5.0,,3.0,1.0,0.0,5.0,3.0,,5.0,40.5,14.0,3.0,9.0,,5.0,2.0,21.0,7.0,,316.0,12.0,2.0,10.0,11.0,7.0,23.0,,5.0,189.0,4.0,4.0,11.0,92.0,14.0,12.0,21.0,2.0,1.0,8.0,5.0,18.0,2.2845,5.0,7.0,1.0,,,,,2.0,1.0,1.0,6.0,,2.0,2.0,1.0,2.0,,,,2.0,,,,,,1.0,,,,,2.0,2.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2561964,2025-10-05 14:00:00,"Molineux Stadium, Wolverhampton",29504.0,Away,Brighton and Hove Albion,Wolverhampton Wanderers,1,1,D,0.0,1.0,0,0,0.0,,49.0,1.0,0.0,3.0,1.0,,1.4592,26.0,16.0,4.0,7.0,10.0,3.0,0.0,2.0,146.0,0.0,13.0,8.0,1.0,3.0,13.0,6.0,140.0,137.0,52.0,2.0,17.0,2.0,15.0,3.0,,1.0,1.0,,31.0,10.0,0.0,16.0,6.0,7.0,32.0,0.668,243.0,,0.0,0.0,132.0,9.0,0.0,,0.0,2.0,2.0,1.0,45.0,70.0,8.0,78.0,,25.0,13.0,7.0,2.0,0.0,0.0,10.0,3.0,137.0,1.0,5.0,0.0,128.0,725.0,1.0,11.0,5.0,28.0,,9.0,410.0,25.0,1.0,7.0,1.0,,4.0,5.0,0.66782,23.0,475.0,0.097,66.0,1.0,35.1,592031,8.0,197.0,2.0,13.0,1.0,222.0,4.0,114375.21,0.0,,10.0,3.0,56.0,1.0,1.0,3.0,5.0,0.0,16.0,2.0,3.0,0.0,44.0,427.0,13.0,6.0,1.0,11.0,3.0,42.0,0.0,0.0,,0.0,0.0,5.0,2.0,2.0,1.0,1.0,0.0,11.0,1.0,,4.0,58.5,19.0,2.0,,,5.0,5.0,29.0,8.0,1.0,492.0,9.0,1.0,6.0,16.0,6.0,41.0,2.0,3.0,301.0,6.0,7.0,12.0,105.0,18.0,7.0,19.0,1.0,1.0,10.0,4.0,28.0,0.9208,10.0,8.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,2.0,,3.0,1.0,,,,,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
8,2561965,2025-10-18 15:00:00,"American Express Stadium, Falmer",31620.0,Home,Brighton and Hove Albion,Newcastle United,2,1,W,1.0,0.0,0,0,0.0,1.0,50.0,1.0,1.0,3.0,,,1.4405,16.0,30.0,7.0,5.0,6.0,2.0,0.0,1.0,141.0,0.0,4.0,11.0,2.0,,10.0,5.0,108.0,130.0,57.0,,13.0,2.0,13.0,1.0,,1.0,1.0,1.0,18.0,14.0,0.0,30.0,6.0,7.0,26.0,1.0555,159.0,,1.0,0.0,104.0,9.0,0.0,,0.0,,,,46.0,48.0,8.0,78.0,,12.0,21.0,7.0,,0.0,0.0,2.0,2.0,130.0,1.0,10.0,0.0,94.0,614.0,1.0,8.0,3.0,30.0,,5.0,320.0,6.0,2.0,14.0,1.0,,0.0,2.0,1.15192,15.0,394.0,,48.0,,33.76,535301,3.0,186.0,,10.0,,198.0,6.0,113324.87,2.0,1.0,10.0,12.0,49.0,0.0,0.0,3.0,3.0,2.0,12.0,6.0,11.0,0.0,45.0,341.0,9.0,10.0,1.0,22.0,2.0,71.0,0.0,0.0,,0.0,0.0,,4.0,2.0,1.0,1.0,0.0,2.0,1.0,,1.0,45.6,11.0,,7.0,2.0,3.0,5.0,40.0,8.0,,421.0,5.0,,11.0,12.0,3.0,26.0,2.0,1.0,241.0,7.0,6.0,16.0,66.0,27.0,14.0,21.0,0.0,1.0,11.0,5.0,17.0,0.9144,10.0,8.0,1.0,1.0,2.0,1.0,,1.0,1.0,,5.0,,3.0,,1.0,,,,2.0,,,,,,,,,1.0,2.0,,1.0,1.0,,,2.0,,,,,,,,2.0,,,,,1.0,2.0,,,,,,,,,,,,,
9,2561982,2025-10-25 17:30:00,"Old Trafford, Manchester",73987.0,Away,Brighton and Hove Albion,Manchester United,2,4,L,0.0,2.0,0,0,2.0,1.0,66.0,0.0,0.0,3.0,1.0,1.0,1.7011,20.0,18.0,6.0,6.0,10.0,5.0,0.0,1.0,143.0,1.0,5.0,17.0,2.0,2.0,13.0,5.0,167.0,139.0,57.0,1.0,17.0,1.0,15.0,1.0,,,,5.0,17.0,12.0,0.0,18.0,6.0,16.0,26.0,3.0443,189.0,,1.0,0.0,102.0,13.0,0.0,,0.0,3.0,1.0,1.0,37.0,47.0,6.0,89.0,2.0,11.0,18.0,7.0,1.0,1.0,0.0,8.0,3.0,139.0,1.0,7.0,1.0,169.0,761.0,1.0,11.0,5.0,20.0,,12.0,470.0,25.0,1.0,9.0,1.0,,2.0,7.0,0.79845,14.0,552.0,0.127,45.0,,32.54,592031,5.0,301.0,,2.0,2.0,332.0,8.0,112654.33,1.0,1.0,4.0,7.0,61.0,0.0,0.0,2.0,3.0,0.0,18.0,6.0,7.0,0.0,44.0,485.0,4.0,13.0,1.0,9.0,3.0,61.0,0.0,0.0,,1.0,0.0,2.0,1.0,3.0,1.0,4.0,0.0,3.0,1.0,,4.0,56.4,13.0,3.0,5.0,1.0,3.0,4.0,39.0,6.0,1.0,568.0,12.0,,15.0,15.0,8.0,29.0,2.0,5.0,253.0,7.0,14.0,18.0,72.0,30.0,9.0,18.0,1.0,2.0,11.0,5.0,23.0,1.1195,4.0,6.0,,2.0,2.0,,,3.0,,1.0,1.0,,1.0,1.0,,4.0,,,2.0,2.0,1.0,,,,,1.0,,1.0,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
