gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateFreekickCross,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attCmissLeft,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,shotFastbreak,attBxRight,attOboxTarget,attOneOnOne,penaltyWon,divingSave,totalFastbreak,attMissHighLeft,outfielderBlock,attCmissHigh,totalThroughBall,attMissHigh,attFastbreak,accurateFlickOn,attSvHighCentre,ptsDroppedWinningPos,attLfTarget,savedObox,accuratePullBack,attCmissRight,attPenTarget,postScoringAtt,attIboxPost,attMissRight,hitWoodwork,sixYardBlock,attSvLowRight,attPostHigh,effectiveBlockedCross,blockedCross,handBall,ptsGainedLosingPos,accurateThroughBall,errorLeadToShot,penaltyConceded,punches,penaltyFaced,penGoalsConceded,attLgLeft,attIboxOwnGoal,attMissHighRight,attObxdLeft,attFreekickTarget,attObxRight,errorLeadToGoal,attCmissHighRight,forwardGoals,attSvHighRight,contentiousDecision,penaltySave,attCmissHighLeft,attPostLeft,attPenPost,attFreekickPost,attOboxPost,clearanceOffLine,attObxLeft,goalFastbreak,attObxdRight,foulThrowIn
23,2562121,2026-01-24 15:00:00,"Craven Cottage, London",27239.0,Away,Brighton and Hove Albion,Fulham,1,2,L,1.0,0.0,0,0,1.0,1.0,48.0,0.0,0.0,3.0,,,0.5131,15.0,23.0,2.0,4.0,10.0,2.0,0.0,,156.0,0.0,8.0,7.0,1.0,2.0,9.0,5.0,126.0,133.0,45.0,,13.0,1.0,12.0,4.0,,1.0,2.0,2.0,26.0,9.0,0.0,23.0,6.0,20.0,36.0,1.0612,175.0,,0.0,0.0,131.0,6.0,0.0,,1.0,,1.0,1.0,57.0,42.0,7.0,97.0,1.0,20.0,26.0,3.0,,0.0,0.0,8.0,2.0,133.0,3.0,5.0,0.0,138.0,708.0,,6.0,3.0,28.0,3.0,12.0,413.0,14.0,1.0,15.0,1.0,,1.0,2.0,1.04802,14.0,496.0,,47.0,1.0,33.68,535301,2.0,265.0,4.0,11.0,,279.0,3.0,115721.03,1.0,1.0,13.0,8.0,33.0,0.0,0.0,3.0,1.0,1.0,13.0,7.0,8.0,0.0,50.0,432.0,9.0,4.0,2.0,25.0,3.0,73.0,1.0,0.0,,0.0,0.0,1.0,6.0,1.0,1.0,2.0,0.0,5.0,1.0,,5.0,50.9,12.0,1.0,5.0,2.0,1.0,4.0,42.0,6.0,1.0,517.0,12.0,,6.0,19.0,4.0,39.0,3.0,2.0,264.0,4.0,18.0,13.0,84.0,22.0,15.0,16.0,0.0,1.0,10.0,5.0,12.0,1.5918,13.0,6.0,1.0,2.0,,,,,1.0,,3.0,,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,3.0,3.0,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,
24,2562126,2026-01-31 15:00:00,"American Express Stadium, Falmer",31419.0,Home,Brighton and Hove Albion,Everton,1,1,D,0.0,0.0,0,0,0.0,,56.0,1.0,0.0,3.0,,,0.9976,13.0,30.0,2.0,5.0,9.0,3.0,0.0,1.0,151.0,0.0,4.0,4.0,1.0,1.0,9.0,2.0,141.0,135.0,50.0,,11.0,1.0,25.0,1.0,,1.0,1.0,3.0,13.0,9.0,0.0,30.0,5.0,2.0,37.0,1.5463,185.0,,0.0,0.0,113.0,13.0,0.0,,1.0,,,,60.0,47.0,4.0,66.0,1.0,8.0,15.0,2.0,,0.0,0.0,3.0,1.0,135.0,2.0,7.0,0.0,134.0,687.0,,7.0,3.0,23.0,,9.0,386.0,19.0,2.0,16.0,1.0,,1.0,5.0,0.966634,10.0,467.0,,50.0,,35.75,592031,7.0,227.0,2.0,5.0,,246.0,6.0,113880.94,1.0,,8.0,9.0,64.0,0.0,0.0,3.0,3.0,1.0,16.0,,9.0,0.0,42.0,408.0,13.0,4.0,1.0,20.0,3.0,69.0,0.0,0.0,,0.0,0.0,,2.0,3.0,1.0,1.0,0.0,3.0,1.0,,3.0,53.6,10.0,2.0,5.0,1.0,3.0,4.0,39.0,5.0,,492.0,9.0,,11.0,18.0,5.0,27.0,1.0,4.0,259.0,3.0,2.0,14.0,74.0,27.0,16.0,20.0,0.0,1.0,8.0,4.0,16.0,1.4393,8.0,5.0,,,,1.0,,1.0,,1.0,,,1.0,,,2.0,,2.0,,,,1.0,,,,1.0,,1.0,1.0,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2562137,2026-02-08 14:00:00,"American Express Stadium, Falmer",31179.0,Home,Brighton and Hove Albion,Crystal Palace,0,1,L,0.0,0.0,0,0,0.0,,58.0,0.0,0.0,2.0,,,0.2412,32.0,34.0,2.0,2.0,5.0,3.0,0.0,1.0,180.0,0.0,2.0,5.0,0.0,1.0,4.0,2.0,153.0,144.0,53.0,,7.0,1.0,17.0,1.0,1.0,,1.0,1.0,15.0,7.0,0.0,34.0,3.0,15.0,50.0,0.8665,175.0,,0.0,0.0,102.0,12.0,0.0,,0.0,,2.0,1.0,51.0,58.0,3.0,82.0,,12.0,22.0,2.0,,0.0,0.0,4.0,,144.0,,6.0,0.0,142.0,755.0,,3.0,4.0,13.0,,3.0,460.0,27.0,7.0,23.0,,1.0,1.0,1.0,0.574828,12.0,537.0,,61.0,1.0,32.27,463067,2.0,303.0,1.0,6.0,1.0,327.0,4.0,113951.63,0.0,,10.0,9.0,57.0,0.0,0.0,3.0,6.0,0.0,23.0,1.0,6.0,0.0,57.0,476.0,9.0,7.0,1.0,17.0,1.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,2.0,,,2.0,63.8,10.0,2.0,3.0,1.0,6.0,3.0,53.0,3.0,1.0,557.0,3.0,,11.0,27.0,2.0,24.0,1.0,2.0,245.0,3.0,14.0,22.0,68.0,22.0,23.0,17.0,0.0,1.0,5.0,5.0,15.0,0.7443,10.0,3.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,,1.0,1.0,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
26,2562145,2026-02-11 19:30:00,"Villa Park, Birmingham",39495.0,Away,Brighton and Hove Albion,Aston Villa,0,1,L,0.0,0.0,0,0,0.0,,41.0,0.0,0.0,1.0,,,0.3344,24.0,13.0,2.0,1.0,7.0,2.0,0.0,3.0,130.0,0.0,5.0,5.0,0.0,,7.0,3.0,112.0,127.0,41.0,,9.0,,12.0,1.0,1.0,,1.0,2.0,27.0,10.0,0.0,13.0,5.0,8.0,30.0,0.0918,160.0,,0.0,0.0,105.0,15.0,0.0,1.0,0.0,,,,40.0,65.0,3.0,63.0,2.0,22.0,22.0,2.0,,0.0,0.0,8.0,,127.0,,11.0,0.0,113.0,592.0,,7.0,4.0,24.0,,13.0,329.0,18.0,6.0,7.0,,1.0,3.0,4.0,0.623651,23.0,396.0,,57.0,,33.37,451340,3.0,193.0,,14.0,,210.0,8.0,114053.66,0.0,,11.0,11.0,39.0,1.0,0.0,3.0,,0.0,12.0,5.0,10.0,0.0,52.0,348.0,9.0,2.0,,20.0,,53.0,0.0,0.0,,0.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,5.0,,3.0,3.0,50.3,17.0,2.0,3.0,3.0,,1.0,28.0,5.0,,418.0,13.0,,4.0,8.0,5.0,37.0,,5.0,235.0,5.0,8.0,11.0,71.0,19.0,7.0,16.0,0.0,1.0,6.0,5.0,12.0,0.5616,11.0,5.0,1.0,,2.0,,,,1.0,1.0,4.0,,1.0,1.0,1.0,4.0,,,,,,1.0,,1.0,,2.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,2.0
27,2562156,2026-02-21 15:00:00,"Gtech Community Stadium, Brentford",17163.0,Away,Brighton and Hove Albion,Brentford,2,0,W,2.0,0.0,0,0,0.0,1.0,43.0,0.0,0.0,,,,1.3341,18.0,26.0,4.0,3.0,6.0,4.0,1.0,4.0,145.0,1.0,2.0,3.0,2.0,2.0,7.0,7.0,91.0,136.0,54.0,,11.0,1.0,21.0,3.0,2.0,,2.0,1.0,13.0,8.0,0.0,26.0,3.0,6.0,32.0,0.595,179.0,1.0,0.0,0.0,127.0,14.0,0.0,,0.0,1.0,1.0,2.0,56.0,54.0,5.0,79.0,1.0,10.0,10.0,5.0,,1.0,0.0,5.0,1.0,136.0,1.0,9.0,0.0,101.0,581.0,,6.0,7.0,19.0,,9.0,305.0,14.0,10.0,12.0,,2.0,2.0,2.0,0.278952,14.0,393.0,,63.0,,33.3,514254,4.0,142.0,1.0,4.0,,161.0,6.0,114945.81,1.0,,6.0,11.0,46.0,0.0,0.0,1.0,1.0,2.0,14.0,4.0,8.0,0.0,60.0,319.0,9.0,5.0,1.0,35.0,2.0,76.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,2.0,0.0,0.0,1.0,,2.0,,48.1,10.0,,4.0,1.0,1.0,1.0,34.0,4.0,2.0,416.0,9.0,,5.0,12.0,3.0,16.0,1.0,1.0,268.0,8.0,5.0,26.0,80.0,17.0,12.0,16.0,0.0,0.0,9.0,3.0,6.0,1.0941,6.0,4.0,,,2.0,,,1.0,,,,,1.0,,,1.0,2.0,,1.0,2.0,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,,,1.0,,,,,,,1.0,,,1.0,,,2.0,,,,,,,,1.0,,,,,
28,2562167,2026-03-01 14:00:00,"American Express Stadium, Falmer",31427.0,Home,Brighton and Hove Albion,Nottingham Forest,2,1,W,2.0,1.0,0,0,1.0,,44.0,2.0,0.0,1.0,,,1.1792,25.0,20.0,7.0,2.0,7.0,3.0,0.0,3.0,151.0,0.0,6.0,2.0,2.0,2.0,12.0,7.0,134.0,109.0,48.0,,14.0,1.0,10.0,2.0,,2.0,4.0,3.0,11.0,11.0,0.0,20.0,4.0,16.0,21.0,0.5813,192.0,,0.0,0.0,141.0,12.0,0.0,,1.0,1.0,,,46.0,42.0,8.0,96.0,,7.0,15.0,7.0,,0.0,0.0,3.0,3.0,109.0,2.0,7.0,0.0,141.0,696.0,,10.0,4.0,28.0,1.0,6.0,436.0,8.0,4.0,11.0,2.0,,3.0,4.0,1.29022,15.0,496.0,,55.0,,32.69,469142,5.0,267.0,2.0,4.0,1.0,281.0,6.0,115626.74,2.0,,7.0,5.0,41.0,0.0,0.0,,3.0,2.0,24.0,6.0,5.0,0.0,53.0,453.0,12.0,11.0,,25.0,2.0,65.0,0.0,0.0,2.0,0.0,0.0,,4.0,2.0,2.0,1.0,0.0,4.0,1.0,,1.0,53.5,14.0,,11.0,1.0,3.0,2.0,37.0,4.0,,522.0,6.0,,5.0,14.0,5.0,26.0,2.0,2.0,252.0,11.0,14.0,17.0,103.0,18.0,11.0,17.0,0.0,0.0,11.0,4.0,6.0,1.3187,7.0,4.0,,1.0,3.0,1.0,,,,1.0,6.0,,2.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0
29,2562177,2026-03-04 19:30:00,"American Express Stadium, Falmer",31575.0,Home,Brighton and Hove Albion,Arsenal,0,1,L,0.0,1.0,0,0,0.0,,43.0,0.0,0.0,3.0,,,0.5554,23.0,28.0,5.0,4.0,6.0,1.0,0.0,1.0,144.0,0.0,5.0,5.0,0.0,1.0,7.0,3.0,124.0,150.0,58.0,,11.0,2.0,20.0,1.0,,,2.0,1.0,30.0,15.0,0.0,28.0,4.0,7.0,39.0,0.1403,194.0,,0.0,0.0,142.0,14.0,0.0,,0.0,1.0,,,61.0,61.0,4.0,67.0,1.0,26.0,20.0,5.0,,0.0,0.0,17.0,1.0,150.0,1.0,6.0,0.0,135.0,695.0,,7.0,7.0,29.0,1.0,11.0,368.0,23.0,4.0,17.0,,,4.0,3.0,0.592529,23.0,452.0,,62.0,,33.87,535301,5.0,196.0,2.0,9.0,,219.0,6.0,117995.99,0.0,1.0,10.0,5.0,55.0,0.0,0.0,3.0,1.0,0.0,19.0,1.0,5.0,0.0,52.0,385.0,12.0,5.0,,23.0,,61.0,0.0,0.0,,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,4.0,,,3.0,59.9,22.0,2.0,6.0,1.0,1.0,5.0,35.0,4.0,,470.0,11.0,,8.0,22.0,3.0,37.0,1.0,2.0,281.0,4.0,7.0,18.0,99.0,13.0,17.0,23.0,0.0,1.0,11.0,5.0,13.0,0.8199,10.0,4.0,,,2.0,1.0,,1.0,,1.0,1.0,,,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
30,2562193,2026-03-14 15:00:00,"Stadium of Light, Sunderland",47197.0,Away,Brighton and Hove Albion,Sunderland,1,0,W,0.0,0.0,0,0,0.0,,54.0,0.0,0.0,4.0,,,1.3338,15.0,43.0,3.0,4.0,9.0,3.0,0.0,2.0,165.0,1.0,5.0,7.0,1.0,,9.0,4.0,105.0,131.0,56.0,,12.0,1.0,13.0,2.0,,,1.0,1.0,13.0,17.0,0.0,43.0,3.0,19.0,23.0,0.7197,163.0,1.0,0.0,0.0,113.0,12.0,0.0,,1.0,1.0,,1.0,31.0,62.0,6.0,79.0,1.0,10.0,13.0,3.0,,0.0,0.0,3.0,1.0,131.0,1.0,8.0,0.0,122.0,652.0,,9.0,8.0,31.0,,12.0,357.0,21.0,5.0,21.0,,,2.0,3.0,1.39922,9.0,448.0,,54.0,,33.28,592031,6.0,213.0,1.0,7.0,,244.0,5.0,113923.44,1.0,1.0,8.0,12.0,40.0,0.0,0.0,1.0,1.0,0.0,13.0,6.0,8.0,0.0,57.0,371.0,7.0,9.0,1.0,31.0,5.0,77.0,0.0,0.0,,0.0,0.0,,7.0,3.0,1.0,0.0,0.0,4.0,,1.0,1.0,52.0,7.0,1.0,1.0,,1.0,5.0,37.0,3.0,1.0,471.0,12.0,,2.0,9.0,3.0,18.0,1.0,2.0,240.0,7.0,16.0,16.0,74.0,24.0,21.0,26.0,0.0,0.0,7.0,4.0,12.0,1.6776,8.0,3.0,2.0,,1.0,,,3.0,2.0,,6.0,,1.0,1.0,2.0,3.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,
31,2562197,2026-03-21 12:45:00,"American Express Stadium, Falmer",31680.0,Home,Brighton and Hove Albion,Liverpool,2,1,W,1.0,1.0,0,0,0.0,2.0,47.0,0.0,0.0,2.0,1.0,,2.4538,23.0,25.0,5.0,5.0,11.0,4.0,1.0,2.0,130.0,1.0,6.0,6.0,2.0,2.0,10.0,7.0,95.0,132.0,36.0,1.0,16.0,,10.0,3.0,2.0,1.0,2.0,2.0,16.0,6.0,0.0,25.0,3.0,7.0,35.0,1.0119,165.0,,0.0,0.0,132.0,11.0,0.0,,0.0,1.0,,1.0,84.0,50.0,7.0,65.0,2.0,13.0,23.0,5.0,1.0,0.0,0.0,6.0,3.0,132.0,5.0,10.0,0.0,90.0,575.0,,7.0,1.0,32.0,1.0,7.0,279.0,14.0,4.0,10.0,2.0,2.0,5.0,3.0,2.27447,22.0,356.0,0.0441,58.0,,34.95,592031,5.0,138.0,3.0,7.0,,156.0,8.0,115268.99,0.0,3.0,13.0,9.0,43.0,0.0,0.0,2.0,4.0,1.0,19.0,2.0,6.0,0.0,49.0,297.0,11.0,10.0,1.0,19.0,7.0,53.0,1.0,0.0,,0.0,0.0,1.0,8.0,4.0,2.0,1.0,0.0,5.0,2.0,,4.0,47.0,17.0,2.0,6.0,1.0,4.0,2.0,29.0,4.0,1.0,380.0,7.0,,5.0,23.0,7.0,22.0,1.0,4.0,240.0,7.0,7.0,8.0,91.0,17.0,10.0,11.0,1.0,1.0,7.0,5.0,13.0,2.174,13.0,4.0,1.0,1.0,2.0,,,3.0,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,,,2.0,,1.0,1.0,,,,2.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,,2.0,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,
32,2562207,2026-04-11 15:00:00,"Turf Moor, Burnley",20408.0,Away,Brighton and Hove Albion,Burnley,2,0,W,1.0,0.0,0,0,0.0,,61.0,1.0,1.0,2.0,,,2.5025,19.0,26.0,4.0,7.0,9.0,4.0,1.0,3.0,165.0,0.0,8.0,7.0,2.0,2.0,12.0,6.0,121.0,125.0,52.0,,13.0,2.0,12.0,4.0,,2.0,1.0,2.0,16.0,19.0,0.0,26.0,1.0,5.0,28.0,1.092,173.0,1.0,1.0,0.0,133.0,11.0,0.0,1.0,0.0,2.0,1.0,1.0,67.0,29.0,10.0,76.0,,15.0,10.0,4.0,,0.0,0.0,6.0,1.0,125.0,1.0,8.0,0.0,115.0,681.0,,9.0,6.0,39.0,,18.0,383.0,20.0,6.0,15.0,2.0,,1.0,2.0,1.10219,11.0,462.0,,55.0,1.0,32.85,467779,5.0,232.0,1.0,8.0,1.0,248.0,5.0,117918.64,1.0,2.0,5.0,6.0,45.0,0.0,2.0,1.0,1.0,2.0,20.0,2.0,5.0,0.0,46.0,397.0,7.0,12.0,1.0,20.0,,62.0,0.0,0.0,,0.0,0.0,1.0,8.0,5.0,1.0,0.0,0.0,8.0,1.0,,,49.6,7.0,,6.0,,1.0,4.0,36.0,2.0,1.0,477.0,18.0,,7.0,10.0,3.0,30.0,,2.0,245.0,6.0,5.0,9.0,87.0,30.0,15.0,29.0,0.0,0.0,12.0,4.0,11.0,1.9334,5.0,2.0,,1.0,1.0,,,1.0,,,2.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
33,2562224,2026-04-18 17:30:00,"Tottenham Hotspur Stadium, London",61167.0,Away,Brighton and Hove Albion,Tottenham Hotspur,2,2,D,1.0,1.0,0,0,1.0,,40.0,0.0,0.0,1.0,,,1.0588,14.0,28.0,2.0,2.0,8.0,4.0,2.0,,155.0,0.0,8.0,5.0,2.0,2.0,8.0,3.0,116.0,125.0,56.0,1.0,10.0,2.0,13.0,1.0,4.0,2.0,1.0,,28.0,7.0,0.0,28.0,5.0,8.0,30.0,1.6027,203.0,,0.0,0.0,134.0,14.0,0.0,,0.0,,1.0,,60.0,67.0,4.0,56.0,1.0,23.0,14.0,2.0,1.0,1.0,0.0,8.0,,125.0,2.0,10.0,2.0,108.0,628.0,,4.0,10.0,30.0,1.0,8.0,341.0,9.0,4.0,15.0,2.0,4.0,1.0,4.0,1.02068,20.0,412.0,0.0533,59.0,1.0,35.77,592031,5.0,169.0,2.0,14.0,2.0,184.0,11.0,111076.33,0.0,1.0,6.0,6.0,53.0,0.0,0.0,,5.0,2.0,16.0,3.0,6.0,0.0,35.0,364.0,14.0,13.0,2.0,11.0,,46.0,1.0,0.0,,0.0,0.0,2.0,7.0,4.0,2.0,2.0,0.0,7.0,2.0,,4.0,57.6,18.0,3.0,7.0,2.0,5.0,3.0,27.0,5.0,,435.0,8.0,,10.0,15.0,4.0,34.0,1.0,4.0,279.0,4.0,8.0,23.0,96.0,17.0,15.0,14.0,0.0,1.0,7.0,5.0,9.0,0.817,6.0,5.0,1.0,,,,,1.0,1.0,1.0,3.0,,2.0,,1.0,6.0,,,1.0,,1.0,1.0,,,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,
35,2562243,2026-05-02 15:00:00,"St. James' Park, Newcastle",52099.0,Away,Brighton and Hove Albion,Newcastle United,1,3,L,0.0,2.0,0,0,0.0,1.0,47.0,0.0,0.0,1.0,,,0.8955,23.0,18.0,3.0,7.0,10.0,4.0,1.0,2.0,156.0,0.0,6.0,6.0,1.0,2.0,10.0,4.0,121.0,143.0,35.0,,13.0,2.0,22.0,3.0,,1.0,,,38.0,9.0,0.0,18.0,8.0,7.0,41.0,4.2116,239.0,,0.0,0.0,178.0,12.0,0.0,,1.0,,1.0,2.0,91.0,66.0,4.0,83.0,1.0,30.0,10.0,3.0,,1.0,0.0,18.0,,143.0,4.0,12.0,0.0,146.0,687.0,,7.0,1.0,28.0,1.0,3.0,404.0,13.0,1.0,9.0,1.0,1.0,3.0,6.0,0.792781,22.0,481.0,,70.0,,34.9,592031,7.0,193.0,3.0,11.0,1.0,209.0,7.0,109465.04,0.0,,5.0,9.0,53.0,0.0,0.0,1.0,2.0,1.0,17.0,1.0,7.0,0.0,63.0,426.0,9.0,9.0,2.0,20.0,3.0,65.0,0.0,0.0,,0.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,4.0,1.0,,3.0,67.7,22.0,2.0,7.0,2.0,3.0,3.0,34.0,10.0,2.0,506.0,3.0,,4.0,24.0,6.0,51.0,2.0,5.0,335.0,3.0,7.0,10.0,133.0,22.0,9.0,11.0,0.0,3.0,9.0,5.0,13.0,1.53,5.0,10.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,,1.0,,,,,,,1.0,,1.0,2.0,,2.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,
36,2562245,2026-05-09 15:00:00,"American Express Stadium, Falmer",31587.0,Home,Brighton and Hove Albion,Wolverhampton Wanderers,3,0,W,2.0,0.0,0,0,0.0,3.0,43.0,0.0,0.0,1.0,1.0,1.0,3.2601,33.0,8.0,3.0,2.0,10.0,1.0,1.0,1.0,163.0,0.0,8.0,8.0,3.0,3.0,9.0,6.0,138.0,127.0,47.0,1.0,13.0,2.0,7.0,3.0,1.0,1.0,1.0,4.0,25.0,9.0,1.0,8.0,7.0,5.0,30.0,0.0708,209.0,1.0,0.0,0.0,133.0,9.0,0.0,1.0,2.0,1.0,3.0,1.0,80.0,64.0,7.0,92.0,1.0,18.0,15.0,3.0,1.0,1.0,0.0,6.0,1.0,127.0,3.0,4.0,0.0,160.0,742.0,1.0,5.0,3.0,36.0,2.0,9.0,465.0,15.0,3.0,6.0,2.0,1.0,1.0,2.0,1.53342,24.0,531.0,0.0195,59.0,1.0,34.91,592031,3.0,280.0,1.0,9.0,1.0,291.0,5.0,108717.88,0.0,1.0,8.0,7.0,42.0,0.0,1.0,1.0,2.0,2.0,14.0,1.0,6.0,0.0,56.0,481.0,11.0,9.0,2.0,16.0,4.0,79.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,5.0,2.0,1.0,6.0,72.2,19.0,2.0,2.0,2.0,2.0,3.0,50.0,7.0,1.0,553.0,9.0,1.0,8.0,19.0,4.0,34.0,3.0,3.0,287.0,5.0,4.0,13.0,94.0,19.0,6.0,15.0,2.0,0.0,7.0,5.0,17.0,1.4558,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2562261,2026-05-17 15:00:00,"Elland Road, Leeds",,Away,Brighton and Hove Albion,Leeds United,0,0,D,,,0,0,0.0,,43.0,0.0,0.0,5.0,,,0.6314,13.0,34.0,4.0,5.0,15.0,1.0,0.0,4.0,171.0,0.0,13.0,6.0,0.0,1.0,17.0,8.0,145.0,140.0,44.0,,19.0,,20.0,5.0,,,3.0,1.0,36.0,3.0,0.0,34.0,8.0,12.0,28.0,0.8287,268.0,,0.0,0.0,155.0,7.0,0.0,,0.0,1.0,1.0,2.0,58.0,64.0,11.0,93.0,1.0,28.0,19.0,4.0,,0.0,0.0,12.0,1.0,140.0,3.0,3.0,0.0,147.0,764.0,,14.0,2.0,39.0,1.0,6.0,454.0,9.0,2.0,19.0,,,0.0,6.0,2.9655,19.0,536.0,,60.0,1.0,33.23,535301,8.0,216.0,3.0,15.0,1.0,238.0,3.0,111372.79,0.0,3.0,8.0,7.0,46.0,0.0,0.0,2.0,5.0,0.0,14.0,4.0,6.0,0.0,46.0,471.0,8.0,8.0,3.0,27.0,6.0,62.0,0.0,0.0,,0.0,0.0,,7.0,,0.0,1.0,0.0,8.0,,,4.0,66.3,15.0,2.0,5.0,,5.0,5.0,32.0,8.0,2.0,556.0,6.0,,7.0,18.0,6.0,46.0,5.0,5.0,354.0,10.0,11.0,24.0,113.0,20.0,19.0,6.0,0.0,1.0,11.0,5.0,11.0,3.0646,8.0,8.0,,2.0,3.0,,,1.0,,1.0,3.0,,1.0,2.0,,1.0,,,3.0,,3.0,1.0,,,,1.0,,3.0,4.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
38,2562265,2026-05-24 16:00:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Manchester United,0,0,D,,,0,0,0.0,,49.0,0.0,0.0,2.0,,,0.3018,18.0,12.0,4.0,5.0,9.0,5.0,0.0,,133.0,0.0,4.0,2.0,0.0,3.0,9.0,2.0,130.0,123.0,40.0,1.0,13.0,3.0,4.0,2.0,1.0,,1.0,2.0,20.0,12.0,0.0,12.0,,8.0,31.0,2.1779,199.0,,0.0,0.0,144.0,11.0,0.0,,0.0,,1.0,,69.0,46.0,4.0,78.0,,20.0,16.0,4.0,1.0,0.0,0.0,6.0,1.0,123.0,,7.0,0.0,143.0,658.0,,9.0,1.0,32.0,,8.0,398.0,14.0,1.0,5.0,,1.0,0.0,5.0,0.752787,16.0,465.0,0.0609,45.0,,35.53,592031,6.0,220.0,,13.0,,235.0,9.0,108913.33,0.0,,9.0,9.0,40.0,0.0,0.0,1.0,6.0,0.0,19.0,4.0,9.0,0.0,37.0,415.0,8.0,7.0,,7.0,,52.0,0.0,0.0,2.0,0.0,0.0,,3.0,3.0,0.0,3.0,0.0,4.0,,4.0,1.0,52.4,16.0,1.0,7.0,1.0,6.0,5.0,34.0,,,484.0,8.0,,10.0,15.0,6.0,37.0,,5.0,269.0,7.0,7.0,13.0,100.0,21.0,5.0,17.0,0.0,3.0,12.0,5.0,10.0,0.7866,9.0,,,1.0,,,,3.0,,,1.0,,,2.0,,,1.0,,2.0,1.0,,1.0,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
