gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,penaltySave,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attObxLeft,accurateKeeperSweeper,cleanSheet,attSvLowLeft,freekickCross,contentiousDecision,attHdTarget,attMissHighLeft,totalKeeperSweeper,accurateThroughBall,sixYardBlock,totalThroughBall,accurateKeeperThrows,attAssistSetplay,shieldBallOop,keeperThrows,attLfTarget,attSvLowCentre,attOboxTarget,errorLeadToShot,punches,foulThrowIn,goalsConcededObox,attGoalLowLeft,goalAssistSetplay,goals,goalAssistOpenplay,midfielderGoals,attGoalHighCentre,goalAssist,attSetpiece,attRfGoal,attCmissHighLeft,goalsOpenplay,attIboxGoal,goalAssistIntentional,forwardGoals,attHdGoal,bigChanceScored,attGoalLowCentre,attSvHighRight,attCmissHigh,defenderGoals,penGoalsConceded,ptsDroppedWinningPos,errorLeadToGoal,attGoalLowRight,shotFastbreak,postScoringAtt,attIboxPost,totalFastbreak,goodHighClaim,attPostLeft,hitWoodwork,accurateFreekickCross,attFastbreak,totalHighClaim,attLgCentre,clearanceOffLine,ptsGainedLosingPos,attLfGoal,attFreekickPost,attOboxPost,attPostHigh,attSvHighCentre,attPostRight,attGoalHighRight,attOboxGoal,attPenTarget,penaltyWon,attFreekickTarget,attOneOnOne,attPenGoal,attGoalHighLeft,attObxRight,attSvHighLeft,attHdPost,attObxdLeft,goalAssistDeadball,accuratePullBack
24,987823,2019-01-29 19:45:00,"Emirates Stadium, London",59933,Away,Cardiff City,Arsenal,1,2,L,0,0,0,0,,,55.0,3.0,30.0,25.0,11.0,10.0,7.0,2.0,,111.0,7.0,4.0,3.0,14.0,2.0,2.0,46.0,116.0,50.0,1.0,19.0,5.0,9.0,,1.0,2.0,16.0,9.0,25.0,7.0,3.0,18.0,105.0,1.0,0.0,92.0,12.0,1.0,30.0,46.0,7.0,34.0,4.0,3.0,9.0,13.0,12.0,1.0,2.0,6.0,116.0,,11.0,41.0,430.0,10.0,10.0,20.0,11.0,147.0,35.0,15.0,11.0,3.0,6.0,7.0,20.0,212.0,45.0,96994,5.0,62.0,,3.0,1.0,75.0,6.0,1.0,13.0,6.0,41.0,1.0,12.0,4.0,3.0,1.0,60.0,160.0,10.0,7.0,35.0,63.0,1.0,1.0,0.0,,4.0,2.0,2.0,4.0,0.0,4.0,3.0,29.1,11.0,3.0,4.0,1.0,8.0,37.0,7.0,1.0,232.0,11.0,,9.0,12.0,9.0,26.0,3.0,3.0,173.0,4.0,3.0,21.0,50.0,12.0,2.0,11.0,16.0,2.0,14.0,3.0,8.0,2.0,10.0,7.0,,,,,,4.0,,,2.0,,,,,1.0,3.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
25,987834,2019-02-02 17:30:00,"Cardiff City Stadium, Cardiff",31939,Home,Cardiff City,Bournemouth,2,0,W,1,0,0,0,,,56.0,4.0,31.0,30.0,3.0,6.0,9.0,2.0,,114.0,2.0,5.0,3.0,9.0,,5.0,40.0,135.0,60.0,,12.0,3.0,20.0,3.0,,,17.0,9.0,30.0,5.0,3.0,21.0,85.0,,0.0,83.0,17.0,1.0,28.0,42.0,9.0,29.0,3.0,,12.0,22.0,3.0,,4.0,,135.0,2.0,6.0,35.0,407.0,7.0,11.0,20.0,18.0,122.0,32.0,13.0,15.0,1.0,2.0,,10.0,191.0,42.0,96994,6.0,51.0,1.0,7.0,,68.0,10.0,,22.0,10.0,70.0,2.0,14.0,3.0,3.0,,71.0,134.0,12.0,21.0,38.0,71.0,,,0.0,1.0,7.0,1.0,,3.0,0.0,2.0,,26.9,5.0,,2.0,2.0,7.0,30.0,6.0,,218.0,18.0,,8.0,12.0,,21.0,,,167.0,5.0,2.0,27.0,46.0,17.0,3.0,15.0,17.0,,8.0,3.0,10.0,3.0,15.0,6.0,1.0,,,1.0,,1.0,,,,,2.0,,3.0,,1.0,2.0,,3.0,2.0,,,,1.0,,,,2.0,1.0,2.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,,2.0,1.0,,,,,,,1.0,2.0,,,2.0,,,,1.0,2.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,
26,987848,2019-02-09 15:00:00,"St. Mary's Stadium, Southampton",31438,Away,Cardiff City,Southampton,2,1,W,0,0,0,0,1.0,,69.0,,23.0,25.0,2.0,2.0,4.0,6.0,1.0,149.0,3.0,3.0,1.0,4.0,,3.0,40.0,166.0,70.0,,6.0,,21.0,,,1.0,14.0,10.0,25.0,2.0,,26.0,91.0,,0.0,100.0,12.0,4.0,46.0,40.0,2.0,36.0,2.0,1.0,12.0,16.0,2.0,,1.0,1.0,166.0,1.0,10.0,42.0,461.0,1.0,14.0,21.0,9.0,144.0,33.0,12.0,11.0,3.0,3.0,2.0,22.0,238.0,58.0,96994,3.0,68.0,,10.0,,94.0,7.0,1.0,16.0,5.0,65.0,3.0,15.0,4.0,1.0,1.0,72.0,156.0,15.0,14.0,41.0,72.0,,,0.0,2.0,8.0,3.0,1.0,4.0,0.0,2.0,1.0,33.3,18.0,1.0,2.0,,,27.0,2.0,,267.0,9.0,,15.0,11.0,3.0,21.0,1.0,2.0,187.0,3.0,,35.0,50.0,23.0,3.0,11.0,17.0,1.0,3.0,3.0,8.0,3.0,8.0,2.0,3.0,,,,,1.0,,,,,,,2.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,2.0,1.0,,,2.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,,,,1.0,,,,2.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,
27,987855,2019-02-22 19:45:00,"Cardiff City Stadium, Cardiff",30387,Home,Cardiff City,Watford,1,5,L,0,1,0,0,,,69.0,1.0,29.0,16.0,8.0,3.0,7.0,2.0,4.0,155.0,3.0,11.0,2.0,8.0,1.0,6.0,48.0,158.0,72.0,1.0,15.0,3.0,21.0,3.0,1.0,1.0,12.0,10.0,16.0,3.0,2.0,25.0,129.0,1.0,0.0,116.0,10.0,1.0,62.0,38.0,4.0,47.0,,1.0,9.0,23.0,8.0,1.0,3.0,3.0,158.0,1.0,7.0,63.0,520.0,6.0,20.0,21.0,17.0,191.0,28.0,13.0,8.0,1.0,1.0,4.0,23.0,288.0,62.0,96994,3.0,81.0,3.0,5.0,,104.0,4.0,1.0,23.0,7.0,53.0,3.0,15.0,5.0,2.0,1.0,74.0,207.0,11.0,8.0,46.0,74.0,2.0,,0.0,3.0,3.0,,5.0,6.0,0.0,1.0,2.0,35.4,15.0,1.0,4.0,,4.0,33.0,3.0,,313.0,17.0,,6.0,10.0,5.0,28.0,2.0,1.0,221.0,10.0,2.0,28.0,68.0,33.0,2.0,8.0,23.0,4.0,8.0,3.0,19.0,2.0,14.0,3.0,2.0,,,,1.0,1.0,1.0,,,1.0,1.0,,3.0,1.0,2.0,,1.0,1.0,2.0,2.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,2.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,
28,987863,2019-02-26 19:45:00,"Cardiff City Stadium, Cardiff",31849,Home,Cardiff City,Everton,0,3,L,0,1,0,0,1.0,,61.0,1.0,16.0,28.0,2.0,1.0,4.0,1.0,,129.0,4.0,7.0,1.0,4.0,,,49.0,161.0,82.0,,6.0,,37.0,,2.0,1.0,12.0,17.0,28.0,2.0,5.0,33.0,88.0,1.0,0.0,103.0,12.0,,53.0,50.0,1.0,36.0,,2.0,10.0,18.0,2.0,,5.0,2.0,161.0,,8.0,43.0,441.0,4.0,17.0,22.0,13.0,136.0,32.0,12.0,12.0,3.0,3.0,3.0,29.0,235.0,59.0,96994,2.0,61.0,,3.0,,82.0,7.0,1.0,18.0,4.0,66.0,3.0,12.0,4.0,1.0,1.0,63.0,145.0,11.0,8.0,34.0,69.0,,,0.0,1.0,4.0,1.0,3.0,5.0,0.0,2.0,1.0,32.8,15.0,1.0,3.0,,1.0,22.0,3.0,,257.0,13.0,,8.0,10.0,5.0,27.0,2.0,3.0,187.0,4.0,4.0,41.0,47.0,19.0,,12.0,23.0,2.0,5.0,3.0,9.0,,12.0,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
29,987881,2019-03-02 15:00:00,"Molineux Stadium, Wolverhampton",31309,Away,Cardiff City,Wolverhampton Wanderers,0,2,L,0,2,0,0,,,65.0,1.0,17.0,11.0,6.0,3.0,6.0,4.0,1.0,144.0,8.0,7.0,2.0,8.0,,4.0,81.0,180.0,53.0,,12.0,3.0,41.0,4.0,,2.0,20.0,10.0,11.0,7.0,9.0,25.0,174.0,,0.0,164.0,6.0,3.0,81.0,61.0,6.0,54.0,,,13.0,32.0,6.0,,2.0,3.0,180.0,1.0,11.0,75.0,552.0,5.0,9.0,24.0,17.0,231.0,14.0,6.0,3.0,2.0,2.0,2.0,27.0,333.0,77.0,96994,6.0,76.0,1.0,9.0,,87.0,4.0,1.0,32.0,6.0,83.0,,19.0,2.0,2.0,,58.0,242.0,9.0,16.0,29.0,76.0,,1.0,0.0,2.0,7.0,4.0,2.0,3.0,0.0,3.0,3.0,43.7,12.0,,7.0,,4.0,34.0,8.0,,354.0,17.0,,10.0,9.0,4.0,39.0,5.0,1.0,287.0,5.0,7.0,20.0,94.0,38.0,1.0,3.0,17.0,2.0,5.0,3.0,17.0,1.0,8.0,8.0,,,1.0,,1.0,2.0,1.0,3.0,2.0,1.0,,,,4.0,3.0,,4.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
30,987883,2019-03-09 15:00:00,"Cardiff City Stadium, Cardiff",32458,Home,Cardiff City,West Ham United,2,0,W,1,0,0,0,,,73.0,2.0,13.0,17.0,4.0,5.0,11.0,2.0,3.0,124.0,5.0,7.0,3.0,10.0,2.0,7.0,37.0,142.0,47.0,,16.0,1.0,17.0,4.0,,1.0,16.0,9.0,17.0,6.0,,15.0,106.0,,0.0,104.0,7.0,2.0,38.0,38.0,6.0,32.0,3.0,3.0,10.0,17.0,5.0,,,3.0,142.0,4.0,5.0,33.0,424.0,8.0,4.0,27.0,16.0,140.0,28.0,5.0,8.0,2.0,2.0,4.0,18.0,205.0,61.0,96994,4.0,45.0,4.0,7.0,,63.0,6.0,,17.0,5.0,53.0,2.0,19.0,4.0,,2.0,60.0,146.0,11.0,8.0,31.0,57.0,2.0,1.0,0.0,1.0,5.0,2.0,,2.0,0.0,3.0,1.0,29.3,10.0,1.0,9.0,2.0,3.0,16.0,7.0,,226.0,16.0,,13.0,5.0,6.0,33.0,2.0,3.0,179.0,10.0,,17.0,64.0,28.0,1.0,8.0,13.0,,12.0,3.0,15.0,1.0,10.0,7.0,,,,1.0,1.0,3.0,,,,,1.0,,3.0,,1.0,,,2.0,2.0,1.0,,,,,1.0,,2.0,1.0,2.0,,1.0,1.0,2.0,,2.0,2.0,1.0,,,2.0,,,,,,,,,2.0,,,2.0,1.0,,,,2.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,
31,987893,2019-04-16 19:45:00,"American Express Stadium, Falmer",30226,Away,Cardiff City,Brighton and Hove Albion,2,0,W,1,0,0,0,1.0,,66.0,2.0,16.0,32.0,4.0,2.0,6.0,2.0,,157.0,2.0,11.0,1.0,9.0,,3.0,57.0,160.0,85.0,,10.0,2.0,41.0,1.0,,1.0,7.0,17.0,32.0,3.0,1.0,19.0,103.0,1.0,0.0,96.0,13.0,1.0,55.0,52.0,7.0,46.0,1.0,,4.0,14.0,4.0,,1.0,1.0,160.0,1.0,7.0,42.0,522.0,4.0,10.0,18.0,24.0,176.0,34.0,8.0,24.0,1.0,4.0,2.0,19.0,266.0,67.0,96994,2.0,84.0,,3.0,,105.0,6.0,1.0,14.0,11.0,80.0,,10.0,7.0,1.0,1.0,76.0,185.0,11.0,10.0,35.0,83.0,,,0.0,2.0,5.0,2.0,,2.0,0.0,,4.0,36.1,11.0,2.0,2.0,2.0,4.0,26.0,4.0,,302.0,24.0,,13.0,6.0,3.0,13.0,2.0,2.0,204.0,4.0,1.0,34.0,43.0,19.0,,24.0,29.0,,5.0,3.0,16.0,,6.0,4.0,,,2.0,1.0,,,,1.0,,2.0,,1.0,4.0,,3.0,2.0,,,1.0,,,1.0,,,,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,
32,987905,2019-03-31 14:05:00,"Cardiff City Stadium, Cardiff",32657,Home,Cardiff City,Chelsea,1,2,L,0,0,0,0,,,63.0,,21.0,23.0,4.0,2.0,4.0,1.0,1.0,127.0,3.0,10.0,3.0,6.0,,3.0,38.0,149.0,72.0,2.0,8.0,1.0,25.0,,1.0,1.0,9.0,12.0,23.0,2.0,2.0,24.0,77.0,,0.0,102.0,8.0,,35.0,38.0,2.0,32.0,3.0,3.0,7.0,12.0,4.0,2.0,2.0,1.0,149.0,,11.0,42.0,423.0,5.0,10.0,20.0,14.0,120.0,29.0,10.0,12.0,2.0,9.0,4.0,19.0,208.0,72.0,96994,3.0,58.0,,5.0,,68.0,4.0,1.0,12.0,11.0,60.0,2.0,9.0,10.0,2.0,,79.0,132.0,14.0,17.0,42.0,80.0,,1.0,0.0,4.0,7.0,,2.0,2.0,0.0,2.0,1.0,28.9,8.0,1.0,4.0,,1.0,20.0,2.0,,239.0,14.0,,6.0,10.0,4.0,24.0,1.0,3.0,180.0,5.0,2.0,21.0,44.0,22.0,1.0,12.0,27.0,2.0,3.0,3.0,14.0,1.0,7.0,2.0,1.0,,1.0,,,,3.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
33,987916,2019-04-03 19:45:00,"Etihad Stadium, Manchester",53559,Away,Cardiff City,Manchester City,0,2,L,0,2,0,0,,,40.0,,25.0,28.0,2.0,2.0,2.0,9.0,,93.0,2.0,10.0,,3.0,1.0,1.0,34.0,98.0,39.0,,4.0,1.0,13.0,,,,6.0,11.0,28.0,4.0,3.0,17.0,72.0,,0.0,55.0,7.0,5.0,21.0,49.0,1.0,31.0,3.0,2.0,2.0,12.0,2.0,,1.0,,98.0,,15.0,27.0,324.0,1.0,8.0,10.0,10.0,106.0,26.0,5.0,14.0,3.0,2.0,2.0,6.0,151.0,35.0,96994,2.0,53.0,,1.0,,63.0,5.0,1.0,12.0,22.0,45.0,1.0,14.0,12.0,9.0,,59.0,123.0,1.0,14.0,16.0,60.0,,,0.0,4.0,17.0,4.0,2.0,1.0,0.0,,2.0,21.2,4.0,2.0,1.0,,1.0,27.0,4.0,,185.0,10.0,,5.0,6.0,2.0,7.0,2.0,2.0,128.0,,3.0,14.0,26.0,5.0,1.0,14.0,14.0,2.0,1.0,3.0,16.0,1.0,6.0,4.0,5.0,,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,987923,2019-04-13 15:00:00,"Turf Moor, Burnley",21480,Away,Cardiff City,Burnley,0,2,L,0,1,0,0,,,60.0,1.0,32.0,25.0,11.0,10.0,3.0,6.0,1.0,155.0,1.0,5.0,1.0,10.0,,2.0,65.0,167.0,57.0,1.0,14.0,4.0,34.0,,,2.0,14.0,7.0,25.0,2.0,2.0,21.0,164.0,,0.0,140.0,10.0,4.0,63.0,72.0,5.0,55.0,2.0,1.0,12.0,23.0,11.0,1.0,8.0,4.0,167.0,1.0,11.0,74.0,522.0,10.0,9.0,16.0,15.0,219.0,29.0,17.0,12.0,4.0,1.0,5.0,23.0,318.0,68.0,96994,2.0,69.0,1.0,4.0,,103.0,1.0,2.0,23.0,10.0,69.0,,12.0,3.0,2.0,3.0,93.0,232.0,7.0,11.0,56.0,82.0,1.0,,0.0,,8.0,4.0,2.0,1.0,0.0,,,54.0,13.0,,2.0,1.0,5.0,35.0,4.0,,349.0,15.0,1.0,10.0,7.0,7.0,29.0,1.0,2.0,260.0,4.0,1.0,38.0,89.0,21.0,3.0,12.0,9.0,2.0,10.0,3.0,10.0,3.0,10.0,4.0,1.0,,,,,,,,,,1.0,,3.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0
35,987934,2019-04-21 16:00:00,"Cardiff City Stadium, Cardiff",33082,Home,Cardiff City,Liverpool,0,2,L,0,0,0,0,,,57.0,2.0,14.0,29.0,2.0,3.0,5.0,4.0,,113.0,3.0,8.0,1.0,6.0,,2.0,28.0,134.0,45.0,,7.0,1.0,26.0,1.0,,1.0,9.0,9.0,29.0,5.0,1.0,17.0,64.0,,0.0,65.0,6.0,2.0,47.0,16.0,4.0,29.0,1.0,,4.0,14.0,2.0,,1.0,,134.0,1.0,12.0,23.0,352.0,5.0,4.0,12.0,7.0,97.0,28.0,3.0,13.0,1.0,3.0,2.0,14.0,168.0,43.0,96994,2.0,45.0,1.0,3.0,1.0,68.0,2.0,,14.0,14.0,58.0,4.0,16.0,5.0,4.0,1.0,64.0,106.0,5.0,12.0,35.0,61.0,,,0.0,,10.0,3.0,2.0,1.0,0.0,2.0,1.0,23.9,8.0,1.0,,,3.0,16.0,5.0,1.0,193.0,7.0,,10.0,8.0,2.0,13.0,1.0,2.0,134.0,2.0,,17.0,32.0,22.0,2.0,13.0,15.0,2.0,3.0,3.0,13.0,2.0,5.0,5.0,1.0,,,,,,,,,,,2.0,,,1.0,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
36,987945,2019-04-27 15:00:00,"Craven Cottage, London",23822,Away,Cardiff City,Fulham,0,1,L,0,0,0,0,,,61.0,1.0,26.0,32.0,3.0,1.0,10.0,1.0,1.0,116.0,6.0,13.0,3.0,12.0,,8.0,30.0,144.0,69.0,,13.0,2.0,18.0,8.0,1.0,,19.0,18.0,32.0,3.0,3.0,19.0,100.0,,0.0,93.0,8.0,1.0,49.0,40.0,11.0,33.0,1.0,,16.0,10.0,3.0,,7.0,1.0,144.0,1.0,2.0,41.0,434.0,9.0,8.0,21.0,9.0,133.0,27.0,9.0,20.0,0.0,1.0,1.0,26.0,200.0,66.0,96994,4.0,50.0,2.0,5.0,,63.0,6.0,1.0,10.0,8.0,61.0,3.0,14.0,6.0,4.0,,55.0,144.0,9.0,13.0,25.0,62.0,1.0,,0.0,1.0,10.0,,1.0,1.0,0.0,4.0,6.0,27.0,11.0,,4.0,2.0,3.0,31.0,3.0,,220.0,9.0,,15.0,7.0,2.0,29.0,2.0,,176.0,6.0,3.0,19.0,52.0,26.0,3.0,20.0,28.0,,10.0,3.0,20.0,3.0,4.0,3.0,1.0,,,,3.0,4.0,,6.0,1.0,,,,1.0,,3.0,,,1.0,2.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,
37,987954,2019-05-04 17:30:00,"Cardiff City Stadium, Cardiff",32133,Home,Cardiff City,Crystal Palace,2,3,L,1,2,0,0,1.0,,65.0,2.0,31.0,23.0,4.0,3.0,14.0,4.0,3.0,139.0,9.0,8.0,1.0,16.0,,8.0,54.0,169.0,74.0,,18.0,2.0,25.0,7.0,3.0,5.0,23.0,12.0,23.0,10.0,2.0,23.0,123.0,,0.0,105.0,14.0,1.0,45.0,38.0,10.0,31.0,,,13.0,20.0,4.0,,5.0,1.0,169.0,3.0,13.0,52.0,499.0,10.0,21.0,34.0,11.0,156.0,24.0,12.0,9.0,0.0,6.0,6.0,22.0,250.0,50.0,96994,8.0,59.0,3.0,7.0,,76.0,10.0,,20.0,7.0,69.0,1.0,21.0,8.0,2.0,1.0,67.0,173.0,11.0,16.0,35.0,78.0,1.0,1.0,0.0,2.0,5.0,2.0,3.0,4.0,0.0,5.0,4.0,39.3,10.0,2.0,4.0,2.0,4.0,35.0,10.0,,276.0,11.0,,11.0,13.0,6.0,40.0,4.0,5.0,223.0,10.0,2.0,35.0,61.0,30.0,,9.0,21.0,1.0,11.0,3.0,13.0,,10.0,10.0,2.0,,1.0,,1.0,1.0,,2.0,,1.0,1.0,,1.0,1.0,5.0,,1.0,1.0,2.0,,1.0,,,2.0,,,2.0,1.0,,,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,,2.0,,,1.0,,,,1.0,,,,,,,,
38,987968,2019-05-12 15:00:00,"Old Trafford, Manchester",74457,Away,Cardiff City,Manchester United,2,0,W,1,0,0,0,1.0,,65.0,3.0,21.0,20.0,7.0,5.0,6.0,10.0,1.0,131.0,,8.0,2.0,8.0,1.0,4.0,36.0,140.0,46.0,,13.0,,19.0,,1.0,,5.0,9.0,20.0,1.0,4.0,22.0,71.0,2.0,0.0,88.0,6.0,6.0,25.0,50.0,4.0,19.0,3.0,3.0,4.0,11.0,7.0,,1.0,5.0,140.0,1.0,13.0,37.0,404.0,7.0,9.0,23.0,15.0,111.0,34.0,4.0,9.0,3.0,5.0,4.0,22.0,185.0,49.0,96994,1.0,57.0,,2.0,,77.0,3.0,,11.0,14.0,52.0,,14.0,13.0,7.0,,72.0,128.0,8.0,13.0,28.0,77.0,,,0.0,2.0,11.0,5.0,,4.0,0.0,,,26.4,13.0,,2.0,3.0,3.0,28.0,2.0,,223.0,15.0,,7.0,5.0,6.0,18.0,,1.0,151.0,8.0,3.0,14.0,45.0,14.0,4.0,9.0,16.0,,8.0,3.0,16.0,4.0,5.0,2.0,5.0,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,2.0,,,,,,1.0,2.0,,2.0,,1.0,2.0,1.0,,,2.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,,,,,,,
