gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attObxLeft,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,attIboxBlocked,attFreekickTotal,goalAssistOpenplay,freekickTotal,attObxdRight,sixYardBlock,attRfGoal,attCmissHighLeft,goalsOpenplay,overrun,attFreekickMiss,postScoringAtt,attIboxPost,midfielderGoals,attHdPost,attLgCentre,hitWoodwork,punches,attPostHigh,goalsConceded,attSvHighCentre,goalsConcededIbox,ptsDroppedWinningPos,errorLeadToGoal,goalsConcededObox,attLfTarget,attGoalLowCentre,bigChanceMissed,handBall,accurateKeeperSweeper,contentiousDecision,totalKeeperSweeper,penaltyConceded,penaltyFaced,penGoalsConceded,attLfGoal,shotFastbreak,goalFastbreak,attOneOnOne,totalFastbreak,attFastbreak,forwardGoals,attGoalHighRight,attOboxGoal,totalPullBack,attFreekickGoal,attSvHighRight,attGoalHighCentre,attFreekickTarget,attSvHighLeft,ownGoals,attOboxPost,attIboxOwnGoal,errorLeadToShot,clearanceOffLine,penaltyWon,ptsGainedLosingPos,attPenGoal,attGoalHighLeft,accuratePullBack,attLgLeft,attObpGoal
11,918995,2017-11-04 15:00:00,"John Smith's Stadium, Huddersfield",24169,Away,West Bromwich Albion,Huddersfield Town,0,1,L,0,1,0,1,,57.0,,2.0,,,32.0,18.0,6.0,2.0,3.0,2.0,1.0,145.0,6.0,9.0,,2.0,9.0,,3.0,105.0,150.0,46.0,9.0,3.0,19.0,1.0,,,,1.0,21.0,10.0,2.0,18.0,5.0,5.0,34.0,175.0,,,0.0,110.0,15.0,1.0,1.0,1.0,1.0,66.0,74.0,7.0,67.0,1.0,1.0,16.0,9.0,6.0,12.0,1.0,150.0,,2.0,100.0,599.0,9.0,12.0,14.0,1.0,11.0,318.0,24.0,,9.0,8.0,,4.0,,2.0,30.0,399.0,60.0,1.0,,9089,2.0,161.0,3.0,,174.0,10.0,9.0,4.0,58.0,,1.0,,4.0,2.0,16.0,5.0,1.0,,71.0,330.0,7.0,5.0,,26.0,86.0,2.0,1.0,0.0,3.0,,,6.0,,0.0,4.0,,,2.0,49.9,24.0,1.0,5.0,1.0,2.0,4.0,57.0,5.0,1.0,417.0,11.0,14.0,12.0,2.0,33.0,2.0,1.0,264.0,5.0,4.0,17.0,63.0,22.0,4.0,8.0,13.0,,7.0,3.0,15.0,4.0,4.0,5.0,,1.0,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,919012,2017-11-18 15:00:00,"The Hawthorns, West Bromwich",23592,Home,West Bromwich Albion,Chelsea,0,4,L,0,3,0,0,,56.0,,1.0,,,30.0,16.0,2.0,3.0,5.0,3.0,,133.0,3.0,10.0,,2.0,5.0,1.0,2.0,92.0,131.0,56.0,7.0,,13.0,1.0,,,,2.0,21.0,13.0,1.0,16.0,3.0,3.0,28.0,158.0,,,0.0,102.0,13.0,1.0,,2.0,,73.0,51.0,1.0,59.0,5.0,1.0,18.0,13.0,2.0,8.0,1.0,131.0,,8.0,94.0,557.0,4.0,5.0,15.0,1.0,13.0,290.0,33.0,1.0,7.0,10.0,,2.0,2.0,4.0,18.0,358.0,61.0,1.0,,9089,4.0,152.0,8.0,,173.0,6.0,13.0,5.0,54.0,,1.0,,3.0,1.0,19.0,3.0,3.0,1.0,59.0,307.0,9.0,15.0,1.0,26.0,69.0,,1.0,0.0,4.0,2.0,,1.0,,0.0,2.0,,,2.0,38.6,15.0,1.0,5.0,1.0,1.0,,44.0,3.0,,378.0,13.0,8.0,13.0,5.0,25.0,1.0,4.0,226.0,2.0,3.0,19.0,67.0,17.0,6.0,10.0,18.0,,4.0,3.0,16.0,6.0,5.0,3.0,,,1.0,,1.0,,,,,,3.0,,,,,,,,,,4.0,2.0,4.0,,,,1.0,,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,
13,919021,2017-11-25 15:00:00,"Wembley Stadium, London",65905,Away,West Bromwich Albion,Tottenham Hotspur,1,1,D,1,0,0,0,,64.0,1.0,3.0,,,37.0,41.0,1.0,4.0,4.0,4.0,,133.0,2.0,10.0,1.0,,4.0,,2.0,46.0,133.0,65.0,5.0,,21.0,1.0,,1.0,1.0,3.0,9.0,14.0,,41.0,,7.0,34.0,73.0,,,0.0,68.0,13.0,2.0,,,1.0,48.0,35.0,1.0,42.0,3.0,,9.0,9.0,1.0,2.0,1.0,133.0,1.0,9.0,45.0,472.0,3.0,10.0,7.0,,13.0,170.0,38.0,,8.0,26.0,1.0,4.0,10.0,3.0,19.0,232.0,50.0,,,9089,2.0,119.0,7.0,1.0,139.0,5.0,9.0,13.0,65.0,,,,6.0,,20.0,16.0,6.0,,74.0,190.0,9.0,17.0,,22.0,73.0,,2.0,0.0,8.0,1.0,1.0,5.0,,0.0,2.0,1.0,1.0,,27.5,11.0,,1.0,,,,32.0,,1.0,266.0,13.0,8.0,16.0,3.0,13.0,,2.0,136.0,1.0,6.0,27.0,34.0,15.0,5.0,26.0,20.0,,4.0,3.0,17.0,5.0,5.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,1.0,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,919028,2017-11-28 20:00:00,"The Hawthorns, West Bromwich",25534,Home,West Bromwich Albion,Newcastle United,2,2,D,1,0,0,0,2.0,78.0,1.0,3.0,,,28.0,29.0,3.0,2.0,5.0,3.0,1.0,154.0,3.0,11.0,2.0,4.0,5.0,,4.0,100.0,150.0,72.0,8.0,2.0,27.0,2.0,,,,1.0,21.0,18.0,,29.0,1.0,8.0,32.0,155.0,,,0.0,117.0,13.0,1.0,,1.0,,62.0,71.0,4.0,68.0,1.0,,20.0,18.0,3.0,9.0,,150.0,2.0,6.0,79.0,610.0,3.0,12.0,10.0,1.0,13.0,295.0,37.0,,9.0,20.0,2.0,0.0,5.0,1.0,20.0,378.0,67.0,,,9089,2.0,153.0,10.0,1.0,175.0,8.0,18.0,8.0,62.0,,,,,1.0,14.0,9.0,,,69.0,305.0,12.0,6.0,,35.0,82.0,1.0,1.0,0.0,6.0,,2.0,8.0,,0.0,3.0,2.0,,2.0,47.9,18.0,,10.0,,1.0,2.0,37.0,1.0,,401.0,13.0,7.0,19.0,2.0,23.0,,1.0,247.0,4.0,7.0,27.0,80.0,25.0,,20.0,22.0,1.0,4.0,3.0,22.0,,7.0,1.0,,,2.0,2.0,2.0,,,,,2.0,2.0,,1.0,,1.0,,,1.0,,1.0,2.0,,2.0,2.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
15,919042,2017-12-02 15:00:00,"The Hawthorns, West Bromwich",23531,Home,West Bromwich Albion,Crystal Palace,0,0,D,0,0,0,0,,70.0,,,,,40.0,21.0,5.0,9.0,15.0,2.0,3.0,175.0,10.0,12.0,,3.0,14.0,,6.0,82.0,170.0,64.0,20.0,,31.0,5.0,,,1.0,4.0,26.0,9.0,1.0,21.0,3.0,6.0,39.0,187.0,,1.0,0.0,167.0,11.0,1.0,2.0,2.0,,86.0,52.0,9.0,57.0,4.0,2.0,23.0,15.0,5.0,5.0,4.0,170.0,1.0,7.0,81.0,616.0,10.0,11.0,36.0,2.0,16.0,276.0,32.0,1.0,6.0,13.0,,3.0,5.0,5.0,29.0,377.0,78.0,,1.0,9089,8.0,111.0,16.0,3.0,135.0,7.0,15.0,8.0,66.0,1.0,,,3.0,2.0,19.0,3.0,5.0,1.0,79.0,288.0,10.0,10.0,4.0,31.0,84.0,3.0,2.0,0.0,7.0,2.0,,3.0,,0.0,7.0,,,5.0,51.1,20.0,3.0,6.0,3.0,2.0,6.0,43.0,3.0,,395.0,16.0,10.0,24.0,8.0,41.0,3.0,4.0,286.0,5.0,6.0,27.0,114.0,29.0,5.0,13.0,15.0,,15.0,3.0,17.0,5.0,2.0,3.0,,6.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
16,919050,2017-12-09 15:00:00,"Liberty Stadium, Swansea",19580,Away,West Bromwich Albion,Swansea City,0,1,L,0,0,0,0,,49.0,,,,,26.0,29.0,2.0,1.0,5.0,2.0,1.0,172.0,3.0,6.0,,1.0,5.0,,1.0,89.0,152.0,55.0,7.0,,21.0,,,2.0,,2.0,17.0,8.0,1.0,29.0,3.0,4.0,22.0,175.0,,,0.0,125.0,18.0,1.0,1.0,,2.0,76.0,66.0,3.0,67.0,2.0,,14.0,12.0,2.0,7.0,1.0,152.0,,8.0,68.0,589.0,4.0,14.0,16.0,,6.0,287.0,20.0,,11.0,21.0,,5.0,7.0,2.0,30.0,372.0,70.0,,,9089,2.0,126.0,7.0,1.0,144.0,13.0,12.0,12.0,71.0,1.0,,,2.0,4.0,12.0,10.0,7.0,1.0,74.0,298.0,8.0,13.0,1.0,42.0,76.0,,1.0,0.0,6.0,2.0,,6.0,,0.0,3.0,,,2.0,45.7,26.0,2.0,1.0,1.0,4.0,3.0,41.0,3.0,2.0,396.0,6.0,15.0,10.0,3.0,26.0,,2.0,269.0,4.0,4.0,28.0,75.0,22.0,3.0,21.0,15.0,,6.0,3.0,11.0,3.0,7.0,3.0,,3.0,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,919059,2017-12-13 20:00:00,"Anfield, Liverpool",53243,Away,West Bromwich Albion,Liverpool,0,0,D,0,0,0,0,,77.0,,2.0,,,29.0,31.0,3.0,1.0,3.0,3.0,,151.0,3.0,7.0,,1.0,6.0,,1.0,49.0,158.0,64.0,6.0,1.0,17.0,1.0,,,,,19.0,15.0,,31.0,6.0,5.0,15.0,110.0,1.0,1.0,0.0,114.0,6.0,,,1.0,1.0,68.0,37.0,2.0,42.0,3.0,,13.0,23.0,3.0,4.0,1.0,158.0,1.0,10.0,49.0,511.0,4.0,6.0,5.0,1.0,19.0,184.0,40.0,1.0,15.0,14.0,,1.0,8.0,4.0,15.0,264.0,67.0,,,9089,2.0,88.0,8.0,2.0,111.0,1.0,23.0,8.0,59.0,,,,4.0,2.0,16.0,4.0,2.0,1.0,75.0,195.0,15.0,17.0,2.0,49.0,73.0,,,0.0,5.0,3.0,,2.0,,0.0,2.0,,,3.0,29.8,11.0,2.0,2.0,,3.0,1.0,31.0,7.0,2.0,291.0,19.0,17.0,8.0,4.0,24.0,1.0,2.0,199.0,2.0,4.0,17.0,63.0,19.0,1.0,14.0,24.0,,2.0,2.0,10.0,1.0,13.0,7.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,
18,919072,2017-12-17 14:15:00,"The Hawthorns, West Bromwich",24782,Home,West Bromwich Albion,Manchester United,1,2,L,0,2,0,0,1.0,59.0,,1.0,1.0,,21.0,14.0,5.0,6.0,7.0,1.0,2.0,173.0,8.0,9.0,1.0,1.0,11.0,,5.0,87.0,135.0,39.0,12.0,,13.0,1.0,,,1.0,1.0,22.0,9.0,3.0,14.0,6.0,11.0,34.0,193.0,,,0.0,144.0,14.0,,2.0,,,64.0,58.0,8.0,62.0,2.0,1.0,16.0,16.0,5.0,9.0,2.0,135.0,1.0,5.0,111.0,607.0,10.0,7.0,17.0,,20.0,331.0,28.0,,8.0,3.0,1.0,1.0,3.0,3.0,24.0,416.0,68.0,,,9089,2.0,156.0,7.0,,170.0,10.0,16.0,6.0,48.0,,,,1.0,4.0,13.0,3.0,2.0,1.0,51.0,341.0,7.0,10.0,,23.0,90.0,1.0,,0.0,3.0,,1.0,2.0,,0.0,6.0,,,1.0,43.1,22.0,1.0,2.0,3.0,4.0,4.0,54.0,6.0,,433.0,20.0,7.0,15.0,3.0,33.0,2.0,1.0,285.0,5.0,11.0,9.0,91.0,24.0,1.0,3.0,15.0,,10.0,3.0,14.0,1.0,8.0,6.0,1.0,4.0,,,,,2.0,,,,1.0,,,,,,,,1.0,,2.0,,1.0,,,1.0,2.0,,,1.0,3.0,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,919080,2017-12-23 15:00:00,"bet365 Stadium, Stoke",29057,Away,West Bromwich Albion,Stoke City,1,3,L,0,2,0,0,1.0,65.0,,1.0,,,29.0,16.0,5.0,7.0,12.0,2.0,5.0,185.0,12.0,10.0,1.0,1.0,13.0,,7.0,104.0,188.0,58.0,17.0,,33.0,3.0,,,4.0,1.0,41.0,10.0,3.0,16.0,11.0,15.0,40.0,204.0,,,0.0,179.0,11.0,1.0,,1.0,,73.0,52.0,10.0,74.0,1.0,,30.0,21.0,5.0,9.0,2.0,188.0,2.0,5.0,82.0,686.0,8.0,11.0,34.0,1.0,5.0,327.0,24.0,3.0,9.0,10.0,1.0,0.0,2.0,3.0,41.0,427.0,86.0,4.0,,9089,9.0,146.0,20.0,1.0,169.0,7.0,21.0,6.0,81.0,,7.0,,2.0,4.0,16.0,4.0,2.0,1.0,67.0,338.0,9.0,10.0,4.0,32.0,76.0,2.0,,0.0,1.0,1.0,1.0,8.0,,0.0,8.0,1.0,1.0,2.0,56.4,37.0,1.0,5.0,2.0,4.0,5.0,39.0,11.0,,445.0,5.0,22.0,19.0,5.0,56.0,4.0,3.0,317.0,6.0,14.0,24.0,112.0,30.0,,10.0,16.0,,12.0,3.0,15.0,,7.0,11.0,,5.0,,1.0,,,3.0,,1.0,1.0,3.0,,,,,,,,,,3.0,,3.0,,,,,1.0,2.0,,2.0,,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
20,919092,2017-12-26 15:00:00,"The Hawthorns, West Bromwich",25364,Home,West Bromwich Albion,Everton,0,0,D,0,0,0,0,,60.0,,,,,34.0,23.0,5.0,6.0,12.0,3.0,,158.0,11.0,8.0,,3.0,13.0,,3.0,92.0,173.0,71.0,17.0,1.0,26.0,2.0,,,1.0,2.0,41.0,6.0,1.0,23.0,10.0,6.0,40.0,179.0,1.0,1.0,0.0,135.0,14.0,1.0,2.0,2.0,1.0,72.0,89.0,5.0,48.0,,2.0,31.0,13.0,5.0,8.0,3.0,173.0,,5.0,72.0,577.0,10.0,10.0,26.0,2.0,8.0,250.0,23.0,2.0,14.0,10.0,,2.0,,8.0,28.0,351.0,57.0,,1.0,9089,8.0,95.0,21.0,3.0,124.0,5.0,13.0,7.0,55.0,1.0,,,1.0,6.0,11.0,2.0,2.0,3.0,71.0,263.0,13.0,3.0,3.0,32.0,67.0,,,0.0,2.0,3.0,,2.0,,0.0,9.0,,2.0,6.0,52.7,22.0,4.0,6.0,2.0,6.0,4.0,33.0,10.0,1.0,370.0,8.0,9.0,16.0,10.0,53.0,2.0,7.0,287.0,2.0,6.0,38.0,89.0,23.0,3.0,10.0,13.0,,9.0,3.0,15.0,3.0,4.0,10.0,,3.0,1.0,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,919102,2017-12-31 16:30:00,"The Hawthorns, West Bromwich",26223,Home,West Bromwich Albion,Arsenal,1,1,D,0,0,0,0,1.0,66.0,,3.0,,,32.0,31.0,5.0,4.0,9.0,4.0,1.0,142.0,8.0,8.0,1.0,5.0,8.0,,3.0,68.0,135.0,46.0,14.0,2.0,12.0,1.0,,,1.0,1.0,28.0,8.0,1.0,31.0,4.0,4.0,36.0,159.0,2.0,,0.0,116.0,14.0,2.0,,1.0,,45.0,88.0,5.0,51.0,2.0,,24.0,11.0,5.0,10.0,2.0,135.0,,7.0,61.0,517.0,8.0,10.0,22.0,1.0,12.0,229.0,30.0,,8.0,12.0,,3.0,5.0,3.0,15.0,300.0,54.0,,,9089,7.0,93.0,13.0,1.0,107.0,10.0,11.0,10.0,48.0,,,,1.0,3.0,16.0,8.0,7.0,1.0,71.0,244.0,7.0,10.0,,30.0,83.0,1.0,,0.0,6.0,1.0,1.0,6.0,,0.0,6.0,,1.0,2.0,34.7,11.0,1.0,4.0,2.0,3.0,7.0,38.0,5.0,,322.0,12.0,5.0,17.0,4.0,31.0,2.0,2.0,243.0,6.0,2.0,18.0,79.0,25.0,1.0,12.0,14.0,,7.0,3.0,15.0,1.0,4.0,5.0,,5.0,2.0,,2.0,,1.0,1.0,,,4.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,
22,919112,2018-01-02 19:45:00,"London Stadium, London",56888,Away,West Bromwich Albion,West Ham United,1,2,L,1,0,0,0,,62.0,,,,,33.0,37.0,6.0,2.0,5.0,3.0,1.0,170.0,4.0,10.0,1.0,4.0,10.0,,3.0,90.0,137.0,53.0,12.0,,24.0,1.0,,,2.0,1.0,23.0,10.0,1.0,37.0,4.0,10.0,37.0,180.0,2.0,,0.0,135.0,12.0,3.0,,3.0,1.0,85.0,61.0,6.0,64.0,2.0,1.0,19.0,17.0,7.0,7.0,5.0,137.0,1.0,10.0,89.0,601.0,9.0,12.0,13.0,,9.0,311.0,27.0,1.0,8.0,19.0,1.0,2.0,3.0,4.0,16.0,391.0,72.0,,,9089,5.0,151.0,9.0,1.0,162.0,5.0,17.0,7.0,65.0,1.0,,,1.0,1.0,14.0,3.0,7.0,1.0,68.0,327.0,12.0,14.0,,29.0,81.0,,1.0,0.0,3.0,3.0,,2.0,1.0,0.0,3.0,,,,47.4,14.0,,2.0,,1.0,3.0,50.0,4.0,1.0,413.0,9.0,7.0,18.0,6.0,32.0,1.0,1.0,274.0,8.0,8.0,16.0,83.0,26.0,1.0,19.0,16.0,,11.0,3.0,18.0,1.0,9.0,4.0,,3.0,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,2.0,,2.0,3.0,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,2.0,1.0,,,1.0,,,,,,,,,,2.0,,,,,1.0,,,
23,919122,2018-01-13 15:00:00,"The Hawthorns, West Bromwich",25240,Home,West Bromwich Albion,Brighton and Hove Albion,2,0,W,1,0,0,0,1.0,66.0,,1.0,2.0,1.0,32.0,25.0,6.0,3.0,8.0,1.0,1.0,174.0,7.0,9.0,2.0,1.0,11.0,1.0,4.0,55.0,161.0,54.0,15.0,3.0,20.0,1.0,,2.0,1.0,4.0,22.0,6.0,1.0,25.0,8.0,4.0,24.0,156.0,,1.0,0.0,140.0,8.0,,,1.0,3.0,42.0,71.0,6.0,56.0,2.0,1.0,14.0,19.0,7.0,5.0,3.0,161.0,1.0,7.0,70.0,545.0,7.0,14.0,20.0,,11.0,230.0,29.0,,15.0,16.0,2.0,0.0,4.0,5.0,18.0,325.0,70.0,,1.0,9089,5.0,95.0,8.0,2.0,118.0,3.0,19.0,9.0,48.0,,,2.0,3.0,1.0,12.0,6.0,3.0,1.0,86.0,244.0,13.0,3.0,2.0,53.0,87.0,1.0,2.0,0.0,6.0,,2.0,3.0,,0.0,2.0,2.0,,3.0,44.1,16.0,1.0,6.0,,1.0,5.0,43.0,9.0,3.0,355.0,11.0,13.0,15.0,6.0,30.0,5.0,3.0,259.0,8.0,4.0,23.0,84.0,22.0,3.0,16.0,9.0,2.0,9.0,3.0,13.0,3.0,8.0,10.0,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,
