gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,fouledFinalThird,accuratePullBack,accurateKeeperSweeper,attSvHighRight,freekickCross,totalKeeperSweeper,errorLeadToShot,attSetpiece,penaltyConceded,totalPullBack,attCmissHigh,attAssistSetplay,attCmissHighRight,attSvHighCentre,penaltyFaced,penGoalsConceded,attSvLowLeft,goodHighClaim,contentiousDecision,totalHighClaim,effectiveBlockedCross,errorLeadToGoal,blockedCross,bigChanceScored,attLfGoal,attGoalLowCentre,goals,attFreekickTotal,cleanSheet,freekickTotal,accurateFreekickCross,goalsOpenplay,attCmissLeft,attIboxGoal,attFreekickMiss,attMissHighLeft,attGoalLowLeft,goalAssistOpenplay,goalAssist,attRfGoal,goalAssistIntentional,forwardGoals,goalsConcededObox,attGoalLowRight,postScoringAtt,attIboxPost,hitWoodwork,attPostHigh,goalAssistSetplay,attOboxGoal,ptsGainedLosingPos,midfielderGoals,attHdPost,defenderGoals,attCmissHighLeft,attFreekickGoal,handBall,ptsDroppedWinningPos,goalAssistDeadball,punches,attPostRight,attHdGoal,attFreekickTarget,attSvHighLeft,clearanceOffLine,secondYellow,attPostLeft,attLgCentre,attGoalHighLeft,ownGoals,attIboxOwnGoal,attFreekickPost,attOboxPost,penaltyWon,attPenGoal,foulThrowIn,attLgLeft,attGoalHighRight,goalFastbreak,attObxdRight
10,2210370,2021-11-01 20:00:00,"Molineux Stadium, Wolverhampton",30617.0,Home,Wolverhampton Wanderers,Everton,2,1,W,2,0,0,0,1.0,34.0,79.0,1.0,3.0,46.0,18.0,2.0,3.0,8.0,4.0,1.0,183.0,20.0,2.0,18.0,5.0,,4.0,160.0,155.0,64.0,10.0,,19.0,1.0,,1.0,,1.0,9.0,9.0,1.0,18.0,4.0,5.0,57.0,1.0,244.0,,0.0,125.0,10.0,2.0,,85.0,77.0,4.0,98.0,1.0,,5.0,18.0,2.0,3.0,1.0,155.0,1.0,10.0,176.0,814.0,4.0,4.0,20.0,,11.0,514.0,30.0,5.0,10.0,1.0,4.0,1.0,19.0,600.0,70.0,,94147,6.0,281.0,3.0,2.0,1.0,314.0,5.0,18.0,5.0,68.0,1.0,1.0,9.0,26.0,4.0,3.0,1.0,87.0,523.0,8.0,13.0,27.0,3.0,96.0,,,0.0,,3.0,3.0,1.0,3.0,0.0,1.0,,2.0,62.0,18.0,,5.0,1.0,9.0,3.0,65.0,4.0,617.0,11.0,13.0,31.0,3.0,16.0,1.0,1.0,312.0,5.0,5.0,24.0,94.0,33.0,10.0,15.0,1.0,6.0,3.0,31.0,7.0,4.0,2.0,,1.0,,,1.0,2.0,,,,,,,1.0,,,1.0,,2.0,,1.0,,1.0,1.0,,1.0,2.0,1.0,,1.0,,1.0,,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11,2210375,2021-11-06 15:00:00,"Selhurst Park, London",24390.0,Away,Wolverhampton Wanderers,Crystal Palace,0,2,L,0,0,0,0,,25.0,67.0,,,28.0,11.0,2.0,1.0,2.0,4.0,1.0,154.0,10.0,3.0,9.0,2.0,1.0,2.0,61.0,154.0,65.0,4.0,,16.0,1.0,,,1.0,,10.0,20.0,1.0,11.0,6.0,9.0,42.0,,129.0,1.0,0.0,82.0,13.0,1.0,,56.0,42.0,1.0,67.0,,1.0,4.0,13.0,2.0,1.0,1.0,154.0,,12.0,78.0,569.0,1.0,2.0,19.0,1.0,6.0,250.0,25.0,3.0,5.0,1.0,2.0,1.0,16.0,336.0,47.0,,94147,2.0,142.0,,2.0,,176.0,5.0,13.0,7.0,70.0,1.0,1.0,8.0,21.0,1.0,4.0,,73.0,268.0,13.0,14.0,24.0,1.0,69.0,,1.0,0.0,1.0,4.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,40.3,12.0,,5.0,,8.0,,37.0,6.0,360.0,6.0,15.0,19.0,2.0,14.0,1.0,1.0,194.0,2.0,9.0,11.0,50.0,25.0,5.0,32.0,2.0,1.0,3.0,22.0,8.0,6.0,3.0,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
12,2210390,2021-11-20 15:00:00,"Molineux Stadium, Wolverhampton",30667.0,Home,Wolverhampton Wanderers,West Ham United,1,0,W,0,0,0,0,,26.0,59.0,3.0,2.0,30.0,20.0,7.0,1.0,8.0,3.0,4.0,159.0,11.0,4.0,14.0,12.0,1.0,5.0,143.0,122.0,50.0,15.0,1.0,11.0,1.0,1.0,4.0,1.0,2.0,25.0,13.0,3.0,20.0,7.0,11.0,39.0,1.0,189.0,2.0,0.0,110.0,6.0,,1.0,54.0,61.0,6.0,72.0,,1.0,18.0,8.0,7.0,4.0,2.0,122.0,2.0,3.0,156.0,707.0,8.0,3.0,20.0,,14.0,441.0,19.0,2.0,12.0,1.0,2.0,6.0,13.0,514.0,51.0,1.0,94147,4.0,267.0,2.0,12.0,,292.0,3.0,8.0,6.0,38.0,3.0,,7.0,8.0,5.0,4.0,1.0,54.0,452.0,8.0,9.0,13.0,3.0,66.0,1.0,1.0,0.0,3.0,3.0,,,1.0,0.0,2.0,,2.0,52.4,13.0,1.0,5.0,,7.0,3.0,42.0,7.0,530.0,14.0,5.0,22.0,7.0,26.0,2.0,5.0,263.0,12.0,10.0,11.0,85.0,27.0,12.0,17.0,,11.0,2.0,21.0,1.0,7.0,1.0,,2.0,,2.0,2.0,,1.0,,,,3.0,1.0,1.0,,,,1.0,,1.0,5.0,,5.0,,,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
13,2210400,2021-11-27 15:00:00,"Carrow Road, Norwich",26911.0,Away,Wolverhampton Wanderers,Norwich City,0,0,D,0,0,0,0,1.0,23.0,60.0,,,35.0,15.0,1.0,2.0,4.0,4.0,1.0,159.0,9.0,1.0,9.0,3.0,,2.0,169.0,133.0,52.0,5.0,,8.0,1.0,,1.0,1.0,,9.0,7.0,1.0,15.0,2.0,11.0,50.0,,217.0,1.0,0.0,107.0,10.0,,,64.0,69.0,1.0,92.0,,,7.0,16.0,1.0,3.0,,133.0,,9.0,181.0,779.0,3.0,1.0,17.0,,10.0,497.0,29.0,,9.0,2.0,3.0,2.0,16.0,579.0,53.0,,94147,2.0,299.0,,3.0,,338.0,6.0,16.0,8.0,52.0,1.0,,8.0,12.0,5.0,7.0,2.0,70.0,515.0,11.0,11.0,10.0,1.0,66.0,,,0.0,1.0,4.0,4.0,,1.0,0.0,1.0,,,56.9,13.0,,4.0,1.0,8.0,,42.0,3.0,601.0,10.0,12.0,27.0,3.0,18.0,,3.0,272.0,3.0,11.0,11.0,80.0,18.0,9.0,21.0,,4.0,3.0,20.0,7.0,3.0,1.0,,,,1.0,,,,,2.0,,,,,,,1.0,3.0,,3.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2210407,2021-12-01 19:30:00,"Molineux Stadium, Wolverhampton",30328.0,Home,Wolverhampton Wanderers,Burnley,0,0,D,0,0,0,0,1.0,35.0,71.0,,3.0,34.0,18.0,8.0,6.0,8.0,1.0,,206.0,17.0,4.0,18.0,12.0,,2.0,134.0,188.0,64.0,16.0,2.0,26.0,1.0,1.0,2.0,1.0,5.0,27.0,7.0,1.0,18.0,3.0,14.0,49.0,,250.0,1.0,0.0,210.0,5.0,1.0,1.0,70.0,92.0,6.0,96.0,2.0,,24.0,21.0,8.0,14.0,5.0,188.0,,2.0,153.0,797.0,12.0,6.0,34.0,1.0,10.0,455.0,35.0,5.0,10.0,2.0,1.0,6.0,25.0,568.0,77.0,,94147,5.0,224.0,,9.0,,267.0,2.0,21.0,5.0,60.0,,1.0,1.0,21.0,4.0,5.0,2.0,80.0,470.0,6.0,10.0,28.0,,81.0,1.0,,0.0,3.0,5.0,1.0,,,0.0,4.0,1.0,3.0,65.2,23.0,2.0,6.0,1.0,1.0,5.0,45.0,5.0,589.0,10.0,8.0,23.0,9.0,39.0,,3.0,349.0,7.0,13.0,28.0,154.0,25.0,10.0,14.0,,16.0,1.0,29.0,11.0,5.0,1.0,,1.0,,1.0,1.0,,,,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
15,2210420,2021-12-04 15:00:00,"Molineux Stadium, Wolverhampton",30729.0,Home,Wolverhampton Wanderers,Liverpool,0,1,L,0,0,0,0,1.0,29.0,82.0,,,23.0,29.0,2.0,1.0,1.0,3.0,,137.0,16.0,2.0,10.0,3.0,,1.0,75.0,145.0,42.0,3.0,,11.0,,,,,,7.0,10.0,1.0,29.0,2.0,5.0,56.0,,67.0,1.0,0.0,63.0,4.0,1.0,,36.0,39.0,1.0,55.0,2.0,1.0,5.0,17.0,2.0,2.0,1.0,145.0,,13.0,53.0,523.0,3.0,2.0,10.0,,10.0,211.0,53.0,3.0,12.0,2.0,5.0,2.0,23.0,297.0,37.0,,94147,,159.0,,3.0,,201.0,3.0,17.0,8.0,38.0,2.0,7.0,5.0,21.0,4.0,4.0,,67.0,224.0,7.0,8.0,16.0,,54.0,,,0.0,1.0,8.0,4.0,1.0,1.0,0.0,1.0,,,32.9,23.0,,3.0,1.0,5.0,,21.0,2.0,320.0,10.0,10.0,21.0,2.0,10.0,1.0,1.0,126.0,2.0,3.0,4.0,33.0,13.0,12.0,21.0,1.0,3.0,3.0,15.0,10.0,2.0,,,1.0,,,2.0,1.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
16,2210429,2021-12-11 12:30:00,"Etihad Stadium, Manchester",52613.0,Away,Wolverhampton Wanderers,Manchester City,0,1,L,0,0,1,0,,17.0,58.0,2.0,,16.0,29.0,,,2.0,8.0,,115.0,10.0,2.0,11.0,2.0,,1.0,76.0,108.0,45.0,2.0,,10.0,1.0,,,,,4.0,9.0,,29.0,1.0,4.0,45.0,,49.0,,0.0,29.0,5.0,4.0,,21.0,22.0,1.0,41.0,8.0,1.0,3.0,20.0,,1.0,,108.0,,16.0,78.0,499.0,1.0,3.0,5.0,1.0,17.0,212.0,31.0,2.0,16.0,2.0,7.0,1.0,14.0,281.0,18.0,,94147,1.0,184.0,,1.0,,228.0,2.0,20.0,12.0,34.0,,,7.0,14.0,8.0,9.0,,54.0,231.0,10.0,9.0,17.0,,43.0,,,0.0,2.0,14.0,7.0,1.0,,1.0,2.0,,2.0,29.0,14.0,1.0,3.0,,7.0,,21.0,1.0,310.0,17.0,3.0,18.0,1.0,8.0,,1.0,86.0,,3.0,10.0,13.0,12.0,16.0,14.0,1.0,1.0,3.0,19.0,12.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,4.0,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
17,2210433,2021-12-15 19:30:00,"American Express Stadium, Falmer",30362.0,Away,Wolverhampton Wanderers,Brighton and Hove Albion,1,0,W,1,0,0,0,1.0,26.0,66.0,,,24.0,22.0,3.0,2.0,5.0,2.0,3.0,132.0,11.0,,17.0,5.0,,5.0,93.0,134.0,56.0,8.0,1.0,9.0,3.0,2.0,,1.0,1.0,13.0,9.0,1.0,22.0,2.0,1.0,31.0,,110.0,,0.0,81.0,15.0,,2.0,40.0,47.0,5.0,49.0,1.0,,11.0,14.0,3.0,3.0,1.0,134.0,2.0,7.0,91.0,550.0,4.0,1.0,15.0,,10.0,264.0,39.0,3.0,14.0,0.0,3.0,,15.0,343.0,38.0,2.0,94147,3.0,173.0,1.0,7.0,,212.0,8.0,14.0,9.0,48.0,3.0,1.0,3.0,16.0,5.0,7.0,,64.0,283.0,11.0,8.0,25.0,3.0,49.0,2.0,2.0,0.0,6.0,7.0,2.0,,,0.0,,,,40.7,15.0,,5.0,1.0,3.0,1.0,20.0,4.0,365.0,10.0,10.0,12.0,2.0,16.0,,,166.0,6.0,1.0,11.0,60.0,19.0,14.0,17.0,,4.0,3.0,23.0,10.0,4.0,2.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,4.0,,4.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
18,2210450,2021-12-19 14:00:00,"Molineux Stadium, Wolverhampton",30631.0,Home,Wolverhampton Wanderers,Chelsea,0,0,D,0,0,0,0,,28.0,59.0,,,20.0,26.0,2.0,1.0,1.0,1.0,,146.0,11.0,3.0,4.0,3.0,,1.0,108.0,136.0,37.0,4.0,2.0,14.0,1.0,,,,,14.0,8.0,,26.0,2.0,1.0,42.0,,122.0,,0.0,86.0,9.0,,,40.0,56.0,2.0,57.0,2.0,1.0,12.0,26.0,3.0,5.0,1.0,136.0,1.0,6.0,122.0,617.0,3.0,5.0,14.0,1.0,13.0,319.0,26.0,2.0,10.0,0.0,6.0,1.0,17.0,407.0,37.0,,94147,1.0,218.0,1.0,7.0,,263.0,7.0,26.0,7.0,52.0,1.0,2.0,5.0,10.0,2.0,4.0,,52.0,337.0,5.0,14.0,15.0,1.0,48.0,,1.0,0.0,,9.0,1.0,,2.0,0.0,3.0,,1.0,36.9,16.0,,4.0,,5.0,2.0,25.0,4.0,433.0,13.0,10.0,24.0,1.0,17.0,,,184.0,2.0,1.0,11.0,54.0,18.0,10.0,17.0,,3.0,2.0,10.0,16.0,4.0,,,,,,,,,,1.0,,,,,,,,3.0,,3.0,6.0,,6.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,
19,2210460,2022-03-10 19:30:00,"Molineux Stadium, Wolverhampton",29658.0,Home,Wolverhampton Wanderers,Watford,4,0,W,3,0,0,0,1.0,19.0,54.0,,1.0,39.0,8.0,3.0,4.0,6.0,,,185.0,11.0,8.0,6.0,7.0,1.0,5.0,206.0,124.0,43.0,10.0,,12.0,1.0,,2.0,,1.0,21.0,7.0,1.0,8.0,5.0,6.0,41.0,,209.0,,0.0,121.0,11.0,,,63.0,83.0,4.0,97.0,,2.0,16.0,8.0,4.0,3.0,2.0,124.0,2.0,5.0,178.0,822.0,5.0,6.0,21.0,1.0,9.0,571.0,21.0,,3.0,2.0,4.0,3.0,24.0,646.0,48.0,,94147,3.0,390.0,1.0,12.0,,417.0,4.0,8.0,6.0,46.0,3.0,1.0,2.0,20.0,4.0,6.0,,53.0,591.0,9.0,11.0,5.0,1.0,72.0,,,0.0,2.0,2.0,,,1.0,0.0,6.0,,1.0,65.8,24.0,,4.0,,2.0,1.0,55.0,5.0,666.0,9.0,5.0,28.0,4.0,24.0,2.0,2.0,270.0,5.0,5.0,18.0,93.0,27.0,3.0,10.0,,9.0,3.0,14.0,3.0,5.0,1.0,1.0,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,1.0,,1.0,2.0,2.0,,4.0,,1.0,,,3.0,,3.0,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,
20,2210461,2022-02-24 19:45:00,"Emirates Stadium, London",59888.0,Away,Wolverhampton Wanderers,Arsenal,1,2,L,1,0,0,0,,21.0,73.0,1.0,,22.0,23.0,1.0,1.0,5.0,4.0,1.0,161.0,12.0,2.0,9.0,4.0,1.0,2.0,93.0,140.0,50.0,6.0,,11.0,1.0,,,1.0,2.0,9.0,15.0,,23.0,4.0,5.0,40.0,,108.0,,0.0,62.0,9.0,3.0,,31.0,60.0,1.0,69.0,,2.0,5.0,21.0,1.0,2.0,1.0,140.0,2.0,21.0,84.0,586.0,4.0,7.0,9.0,,16.0,285.0,35.0,2.0,16.0,1.0,9.0,3.0,14.0,375.0,33.0,1.0,94147,3.0,197.0,2.0,3.0,,248.0,6.0,21.0,14.0,49.0,1.0,2.0,9.0,14.0,6.0,9.0,,67.0,303.0,8.0,18.0,16.0,1.0,69.0,,,0.0,1.0,5.0,3.0,2.0,,0.0,2.0,,1.0,44.5,14.0,1.0,2.0,,9.0,,29.0,4.0,407.0,16.0,6.0,11.0,4.0,11.0,,3.0,168.0,4.0,4.0,12.0,39.0,21.0,16.0,21.0,2.0,5.0,3.0,15.0,6.0,4.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,
21,2210478,2022-01-03 17:30:00,"Old Trafford, Manchester",73045.0,Away,Wolverhampton Wanderers,Manchester United,1,0,W,0,0,0,0,1.0,31.0,69.0,2.0,2.0,31.0,18.0,11.0,7.0,8.0,2.0,3.0,152.0,16.0,6.0,12.0,14.0,,6.0,115.0,138.0,46.0,19.0,4.0,13.0,4.0,1.0,1.0,2.0,2.0,21.0,7.0,1.0,18.0,6.0,10.0,42.0,,217.0,,0.0,144.0,8.0,2.0,1.0,57.0,98.0,10.0,80.0,1.0,1.0,15.0,21.0,11.0,4.0,4.0,138.0,,4.0,110.0,659.0,11.0,2.0,24.0,1.0,9.0,357.0,19.0,2.0,8.0,1.0,3.0,4.0,19.0,440.0,52.0,,94147,4.0,161.0,,9.0,1.0,187.0,5.0,21.0,4.0,52.0,1.0,3.0,9.0,15.0,5.0,3.0,1.0,58.0,372.0,9.0,14.0,14.0,6.0,70.0,1.0,,0.0,1.0,3.0,,,2.0,0.0,3.0,,4.0,48.7,17.0,2.0,6.0,2.0,9.0,6.0,47.0,8.0,457.0,9.0,5.0,23.0,7.0,30.0,3.0,2.0,291.0,8.0,8.0,12.0,106.0,32.0,8.0,13.0,,11.0,3.0,24.0,10.0,8.0,5.0,,1.0,,2.0,1.0,,1.0,,,,3.0,,,,,2.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,
22,2210490,2022-01-15 15:00:00,"Molineux Stadium, Wolverhampton",30057.0,Home,Wolverhampton Wanderers,Southampton,3,1,W,1,0,0,0,1.0,30.0,70.0,2.0,1.0,18.0,29.0,1.0,4.0,8.0,9.0,1.0,143.0,13.0,3.0,9.0,5.0,,5.0,70.0,133.0,59.0,9.0,,19.0,2.0,,2.0,,,11.0,17.0,,29.0,2.0,5.0,47.0,1.0,94.0,1.0,0.0,84.0,13.0,3.0,,26.0,55.0,3.0,54.0,1.0,,9.0,18.0,1.0,3.0,1.0,133.0,2.0,8.0,60.0,537.0,3.0,1.0,15.0,,15.0,223.0,31.0,2.0,15.0,2.0,,2.0,20.0,307.0,38.0,,94147,5.0,143.0,1.0,3.0,,177.0,8.0,18.0,5.0,51.0,1.0,2.0,10.0,18.0,5.0,2.0,,59.0,234.0,14.0,10.0,19.0,,59.0,,1.0,0.0,1.0,10.0,7.0,1.0,,0.0,3.0,,2.0,42.7,20.0,,3.0,,10.0,1.0,25.0,2.0,327.0,15.0,4.0,14.0,3.0,15.0,,,161.0,3.0,5.0,13.0,54.0,21.0,15.0,23.0,,6.0,3.0,15.0,8.0,2.0,3.0,,2.0,,3.0,2.0,,2.0,,,,1.0,,,,,,2.0,2.0,2.0,3.0,,3.0,3.0,1.0,1.0,3.0,,,,1.0,1.0,,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,1.0,1.0,,,1.0,,,2.0,,1.0,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,
23,2210492,2022-01-22 15:00:00,"Gtech Community Stadium, Brentford",16982.0,Away,Wolverhampton Wanderers,Brentford,2,1,W,0,0,0,0,,30.0,74.0,,1.0,21.0,34.0,4.0,1.0,3.0,,,176.0,18.0,3.0,16.0,5.0,,2.0,107.0,166.0,58.0,7.0,1.0,25.0,,,1.0,,,7.0,12.0,,34.0,2.0,3.0,54.0,,184.0,2.0,0.0,124.0,7.0,1.0,,64.0,71.0,3.0,81.0,1.0,1.0,5.0,16.0,4.0,3.0,2.0,166.0,,7.0,113.0,682.0,3.0,5.0,11.0,,9.0,346.0,22.0,1.0,14.0,3.0,5.0,2.0,20.0,458.0,58.0,,94147,2.0,174.0,,2.0,,213.0,5.0,16.0,6.0,59.0,2.0,4.0,5.0,18.0,4.0,2.0,,69.0,355.0,6.0,11.0,19.0,,67.0,,,0.0,2.0,6.0,,1.0,3.0,0.0,1.0,2.0,1.0,50.5,20.0,1.0,6.0,,5.0,2.0,30.0,3.0,477.0,9.0,9.0,18.0,3.0,18.0,2.0,1.0,271.0,5.0,3.0,14.0,80.0,36.0,14.0,22.0,1.0,7.0,2.0,23.0,10.0,3.0,1.0,1.0,3.0,,,3.0,,,,2.0,,,,,,,,1.0,2.0,1.0,2.0,,2.0,,,,2.0,,,,,2.0,,1.0,,,1.0,2.0,2.0,2.0,2.0,,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
