gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,fouledFinalThird,accuratePullBack,accurateKeeperSweeper,attSvHighRight,freekickCross,totalKeeperSweeper,errorLeadToShot,attSetpiece,penaltyConceded,totalPullBack,attCmissHigh,attAssistSetplay,attCmissHighRight,attSvHighCentre,penaltyFaced,penGoalsConceded,attSvLowLeft,goodHighClaim,contentiousDecision,totalHighClaim,effectiveBlockedCross,errorLeadToGoal,blockedCross,bigChanceScored,attLfGoal,attGoalLowCentre,goals,attFreekickTotal,cleanSheet,freekickTotal,accurateFreekickCross,goalsOpenplay,attCmissLeft,attIboxGoal,attFreekickMiss,attMissHighLeft,attGoalLowLeft,goalAssistOpenplay,goalAssist,attRfGoal,goalAssistIntentional,forwardGoals,goalsConcededObox,attGoalLowRight,postScoringAtt,attIboxPost,hitWoodwork,attPostHigh,goalAssistSetplay,attOboxGoal,ptsGainedLosingPos,midfielderGoals,attHdPost,defenderGoals,attCmissHighLeft,attFreekickGoal,handBall,ptsDroppedWinningPos,goalAssistDeadball,punches,attPostRight,attHdGoal,attFreekickTarget,attSvHighLeft,clearanceOffLine,secondYellow,attPostLeft,attLgCentre,attGoalHighLeft,ownGoals,attIboxOwnGoal,attFreekickPost,attOboxPost,penaltyWon,attPenGoal,foulThrowIn,attLgLeft,attGoalHighRight,goalFastbreak,attObxdRight
24,2210506,2022-02-10 19:45:00,"Molineux Stadium, Wolverhampton",31523.0,Home,Wolverhampton Wanderers,Arsenal,0,1,L,0,1,0,1,1.0,24.0,64.0,,2.0,26.0,13.0,5.0,4.0,9.0,1.0,1.0,174.0,17.0,10.0,10.0,10.0,2.0,4.0,118.0,155.0,52.0,15.0,2.0,14.0,3.0,,,1.0,1.0,42.0,5.0,1.0,13.0,5.0,5.0,38.0,,226.0,1.0,0.0,141.0,12.0,,,54.0,102.0,5.0,69.0,1.0,2.0,37.0,17.0,6.0,14.0,3.0,155.0,,8.0,120.0,700.0,10.0,2.0,33.0,2.0,17.0,377.0,30.0,2.0,9.0,2.0,7.0,5.0,29.0,463.0,58.0,,94147,6.0,177.0,,21.0,1.0,210.0,8.0,17.0,3.0,48.0,2.0,1.0,3.0,15.0,4.0,3.0,2.0,55.0,393.0,13.0,5.0,16.0,3.0,60.0,,,0.0,2.0,4.0,1.0,1.0,,0.0,10.0,1.0,5.0,58.3,29.0,2.0,3.0,1.0,3.0,4.0,39.0,7.0,481.0,17.0,3.0,18.0,7.0,43.0,,4.0,313.0,6.0,4.0,17.0,106.0,27.0,9.0,12.0,1.0,10.0,3.0,24.0,6.0,7.0,4.0,,1.0,,2.0,1.0,,,,,,,,3.0,,,,,,,5.0,,5.0,,,,,2.0,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,
25,2210519,2022-02-13 14:00:00,"Tottenham Hotspur Stadium, London",56452.0,Away,Wolverhampton Wanderers,Tottenham Hotspur,2,0,W,2,0,0,0,,26.0,77.0,1.0,1.0,31.0,32.0,4.0,2.0,7.0,7.0,5.0,144.0,9.0,1.0,6.0,6.0,,7.0,99.0,144.0,44.0,11.0,2.0,21.0,3.0,,1.0,2.0,1.0,6.0,7.0,2.0,32.0,3.0,5.0,52.0,,123.0,,0.0,67.0,13.0,,,52.0,44.0,5.0,66.0,2.0,,3.0,21.0,4.0,1.0,,144.0,1.0,12.0,103.0,608.0,6.0,1.0,13.0,,12.0,298.0,32.0,5.0,16.0,1.0,5.0,1.0,25.0,383.0,31.0,1.0,94147,3.0,188.0,1.0,1.0,1.0,226.0,8.0,21.0,7.0,59.0,2.0,1.0,4.0,16.0,5.0,4.0,,74.0,310.0,12.0,10.0,19.0,1.0,78.0,,1.0,0.0,3.0,7.0,6.0,,,0.0,,,,41.4,23.0,,6.0,1.0,4.0,3.0,40.0,3.0,412.0,12.0,8.0,21.0,1.0,15.0,1.0,1.0,192.0,9.0,4.0,11.0,41.0,27.0,16.0,15.0,,7.0,3.0,13.0,9.0,3.0,3.0,1.0,2.0,,1.0,2.0,,3.0,,1.0,,,,1.0,,,1.0,,,,3.0,,3.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,2.0,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
26,2210530,2022-02-20 16:30:00,"Molineux Stadium, Wolverhampton",31497.0,Home,Wolverhampton Wanderers,Leicester City,2,1,W,1,1,0,0,,18.0,60.0,3.0,3.0,18.0,37.0,4.0,4.0,7.0,6.0,,122.0,13.0,5.0,7.0,9.0,,3.0,81.0,118.0,55.0,11.0,,8.0,1.0,2.0,1.0,,2.0,14.0,9.0,,37.0,6.0,2.0,30.0,,84.0,,0.0,53.0,12.0,4.0,2.0,41.0,28.0,5.0,34.0,1.0,1.0,8.0,21.0,4.0,2.0,2.0,118.0,,9.0,83.0,538.0,5.0,4.0,19.0,1.0,6.0,234.0,32.0,1.0,16.0,4.0,4.0,4.0,19.0,299.0,25.0,,94147,6.0,172.0,,4.0,,204.0,6.0,21.0,8.0,55.0,,2.0,9.0,13.0,8.0,7.0,1.0,49.0,251.0,9.0,14.0,22.0,5.0,41.0,2.0,,0.0,1.0,10.0,3.0,1.0,2.0,0.0,2.0,,3.0,36.3,17.0,1.0,1.0,,9.0,3.0,21.0,7.0,320.0,6.0,14.0,16.0,5.0,16.0,3.0,3.0,130.0,4.0,2.0,17.0,35.0,16.0,16.0,22.0,1.0,4.0,3.0,15.0,15.0,7.0,3.0,1.0,,,2.0,,,1.0,,1.0,,2.0,,1.0,,,,4.0,1.0,4.0,6.0,,6.0,,,,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,,,2.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
27,2210540,2022-02-27 14:00:00,"London Stadium, London",59946.0,Away,Wolverhampton Wanderers,West Ham United,0,1,L,0,0,0,0,,28.0,56.0,1.0,4.0,21.0,21.0,7.0,6.0,7.0,3.0,1.0,171.0,14.0,2.0,5.0,12.0,1.0,1.0,191.0,140.0,31.0,14.0,5.0,14.0,,,1.0,,1.0,16.0,9.0,1.0,21.0,5.0,13.0,36.0,,256.0,1.0,0.0,156.0,2.0,1.0,,77.0,56.0,9.0,90.0,,1.0,11.0,15.0,7.0,3.0,1.0,140.0,1.0,7.0,183.0,796.0,12.0,2.0,23.0,,5.0,524.0,24.0,2.0,9.0,0.0,1.0,3.0,18.0,610.0,61.0,,94147,3.0,290.0,1.0,5.0,,326.0,1.0,15.0,12.0,36.0,,1.0,4.0,12.0,6.0,10.0,1.0,53.0,544.0,7.0,5.0,17.0,,50.0,,,0.0,,3.0,2.0,1.0,,0.0,2.0,1.0,1.0,61.0,12.0,1.0,1.0,3.0,4.0,9.0,32.0,5.0,635.0,5.0,8.0,14.0,4.0,34.0,,3.0,325.0,7.0,11.0,6.0,123.0,23.0,9.0,13.0,1.0,12.0,3.0,12.0,7.0,5.0,2.0,,,,3.0,,,2.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
28,2210550,2022-03-05 15:00:00,"Molineux Stadium, Wolverhampton",31395.0,Home,Wolverhampton Wanderers,Crystal Palace,0,2,L,0,2,0,0,,25.0,68.0,1.0,2.0,28.0,14.0,6.0,1.0,6.0,6.0,4.0,176.0,14.0,5.0,12.0,9.0,1.0,5.0,152.0,163.0,53.0,12.0,1.0,14.0,3.0,,1.0,3.0,1.0,25.0,8.0,2.0,14.0,5.0,2.0,46.0,,238.0,,0.0,180.0,13.0,4.0,,70.0,89.0,6.0,81.0,1.0,1.0,20.0,16.0,6.0,8.0,3.0,163.0,1.0,11.0,152.0,760.0,7.0,1.0,31.0,1.0,10.0,437.0,21.0,1.0,6.0,0.0,3.0,3.0,16.0,538.0,66.0,1.0,94147,3.0,223.0,1.0,9.0,,255.0,9.0,16.0,3.0,53.0,1.0,1.0,4.0,20.0,1.0,3.0,2.0,60.0,456.0,8.0,13.0,8.0,2.0,61.0,,,0.0,1.0,7.0,5.0,2.0,1.0,0.0,3.0,,2.0,64.0,14.0,1.0,9.0,1.0,4.0,3.0,36.0,7.0,561.0,10.0,8.0,18.0,4.0,46.0,2.0,1.0,331.0,9.0,2.0,13.0,123.0,32.0,6.0,20.0,2.0,9.0,3.0,18.0,7.0,7.0,4.0,,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
29,2210556,2022-03-13 14:00:00,"Goodison Park, Liverpool",39112.0,Away,Wolverhampton Wanderers,Everton,1,0,W,0,0,0,1,,37.0,63.0,,1.0,42.0,19.0,9.0,2.0,5.0,2.0,2.0,173.0,16.0,2.0,9.0,11.0,,3.0,163.0,128.0,45.0,14.0,5.0,11.0,,,1.0,2.0,1.0,12.0,8.0,2.0,19.0,1.0,1.0,39.0,,240.0,,0.0,132.0,11.0,,,60.0,95.0,7.0,100.0,,2.0,11.0,18.0,9.0,4.0,2.0,128.0,,3.0,161.0,784.0,9.0,3.0,19.0,,13.0,496.0,27.0,4.0,9.0,1.0,,4.0,14.0,570.0,60.0,,94147,4.0,280.0,,4.0,,306.0,7.0,18.0,7.0,54.0,,,7.0,14.0,4.0,6.0,1.0,62.0,518.0,12.0,10.0,16.0,2.0,80.0,,,0.0,2.0,5.0,2.0,,3.0,0.0,2.0,,1.0,62.0,14.0,,6.0,,7.0,6.0,61.0,2.0,597.0,13.0,14.0,26.0,5.0,15.0,,3.0,303.0,11.0,1.0,12.0,100.0,21.0,9.0,12.0,,10.0,3.0,17.0,9.0,2.0,4.0,,2.0,,3.0,2.0,,2.0,,,,1.0,,,,,,,,,4.0,,4.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,
30,2210570,2022-03-18 20:00:00,"Molineux Stadium, Wolverhampton",31842.0,Home,Wolverhampton Wanderers,Leeds United,2,3,L,2,0,1,0,2.0,24.0,63.0,1.0,,36.0,14.0,6.0,4.0,8.0,2.0,3.0,133.0,13.0,5.0,14.0,12.0,,8.0,106.0,139.0,53.0,14.0,2.0,14.0,3.0,,2.0,2.0,1.0,11.0,9.0,3.0,14.0,2.0,9.0,33.0,,119.0,,0.0,96.0,13.0,1.0,,25.0,48.0,8.0,66.0,,1.0,9.0,20.0,6.0,3.0,,139.0,2.0,11.0,109.0,607.0,9.0,3.0,26.0,1.0,8.0,313.0,28.0,3.0,8.0,1.0,3.0,4.0,23.0,387.0,46.0,,94147,5.0,219.0,1.0,4.0,,245.0,10.0,20.0,8.0,62.0,1.0,1.0,4.0,20.0,4.0,4.0,1.0,67.0,333.0,14.0,9.0,16.0,,72.0,,1.0,0.0,1.0,5.0,2.0,3.0,1.0,1.0,4.0,,2.0,47.8,19.0,1.0,5.0,1.0,4.0,2.0,39.0,2.0,414.0,8.0,9.0,16.0,4.0,21.0,1.0,3.0,180.0,8.0,7.0,10.0,65.0,25.0,8.0,15.0,3.0,11.0,4.0,31.0,12.0,2.0,1.0,2.0,1.0,,2.0,1.0,2.0,3.0,,2.0,,1.0,,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,1.0,1.0,,2.0,,,2.0,1.0,2.0,1.0,2.0,,,,1.0,,1.0,,1.0,,,1.0,,,,,,3.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,
31,2210580,2022-04-02 15:00:00,"Molineux Stadium, Wolverhampton",31012.0,Home,Wolverhampton Wanderers,Aston Villa,2,1,W,2,0,0,0,1.0,38.0,68.0,1.0,2.0,22.0,19.0,3.0,5.0,8.0,4.0,3.0,154.0,18.0,1.0,10.0,5.0,1.0,5.0,100.0,131.0,56.0,11.0,,10.0,2.0,5.0,1.0,,1.0,11.0,11.0,2.0,19.0,3.0,4.0,26.0,1.0,108.0,,0.0,82.0,15.0,3.0,5.0,46.0,47.0,3.0,64.0,,2.0,8.0,22.0,3.0,2.0,1.0,131.0,2.0,9.0,103.0,607.0,5.0,5.0,19.0,,6.0,322.0,38.0,1.0,10.0,4.0,3.0,2.0,20.0,402.0,37.0,1.0,94147,6.0,230.0,4.0,5.0,,258.0,9.0,22.0,6.0,49.0,1.0,1.0,4.0,17.0,6.0,5.0,1.0,49.0,337.0,8.0,8.0,11.0,,55.0,5.0,2.0,0.0,1.0,9.0,3.0,1.0,2.0,0.0,1.0,,1.0,48.3,19.0,1.0,8.0,1.0,4.0,2.0,27.0,4.0,421.0,6.0,9.0,13.0,4.0,19.0,,3.0,174.0,5.0,2.0,16.0,46.0,16.0,10.0,23.0,1.0,10.0,3.0,18.0,8.0,4.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,2.0,,2.0,3.0,,3.0,,,,2.0,,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,
32,2210587,2022-04-08 20:00:00,"St. James' Park, Newcastle",52164.0,Away,Wolverhampton Wanderers,Newcastle United,0,1,L,0,0,0,0,1.0,22.0,61.0,1.0,1.0,24.0,15.0,2.0,1.0,3.0,3.0,1.0,160.0,6.0,2.0,9.0,2.0,,2.0,149.0,126.0,49.0,5.0,,11.0,1.0,,,1.0,,14.0,12.0,1.0,15.0,1.0,6.0,50.0,,185.0,,0.0,119.0,13.0,,,74.0,54.0,1.0,77.0,,1.0,13.0,11.0,2.0,5.0,1.0,126.0,,8.0,160.0,699.0,2.0,4.0,9.0,,7.0,440.0,27.0,2.0,7.0,1.0,5.0,1.0,19.0,528.0,46.0,,94147,2.0,270.0,,6.0,,296.0,8.0,11.0,8.0,45.0,2.0,,6.0,9.0,4.0,6.0,1.0,51.0,453.0,6.0,10.0,9.0,,67.0,,,0.0,,1.0,2.0,1.0,,0.0,1.0,,1.0,58.9,18.0,1.0,3.0,1.0,6.0,1.0,35.0,2.0,546.0,7.0,2.0,26.0,2.0,20.0,1.0,1.0,264.0,3.0,5.0,10.0,81.0,23.0,7.0,24.0,1.0,5.0,3.0,18.0,4.0,2.0,2.0,,1.0,,2.0,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
33,2210600,2022-05-11 20:15:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Manchester City,1,5,L,1,3,0,0,1.0,21.0,52.0,,,25.0,12.0,2.0,2.0,5.0,,1.0,130.0,11.0,5.0,10.0,6.0,1.0,3.0,91.0,113.0,39.0,7.0,1.0,11.0,1.0,1.0,2.0,,2.0,15.0,9.0,1.0,12.0,4.0,,48.0,,83.0,,0.0,51.0,2.0,,2.0,26.0,38.0,3.0,66.0,1.0,1.0,11.0,8.0,2.0,4.0,,113.0,,12.0,96.0,539.0,4.0,2.0,16.0,,8.0,291.0,26.0,1.0,4.0,0.0,1.0,3.0,8.0,352.0,27.0,,94147,3.0,241.0,,6.0,,273.0,1.0,8.0,9.0,40.0,,2.0,9.0,10.0,3.0,8.0,,50.0,319.0,9.0,5.0,9.0,1.0,46.0,1.0,,0.0,3.0,2.0,,5.0,1.0,0.0,3.0,1.0,1.0,33.7,7.0,1.0,2.0,,10.0,1.0,25.0,6.0,383.0,8.0,12.0,25.0,3.0,19.0,2.0,3.0,125.0,4.0,,4.0,36.0,12.0,4.0,16.0,4.0,6.0,3.0,20.0,5.0,6.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,2.0,,2.0,,1.0,,,,1.0,1.0,,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
34,2210604,2022-04-24 14:00:00,"Turf Moor, Burnley",19246.0,Away,Wolverhampton Wanderers,Burnley,0,1,L,0,0,0,0,1.0,30.0,70.0,2.0,3.0,28.0,15.0,4.0,3.0,6.0,4.0,3.0,166.0,16.0,4.0,10.0,8.0,,4.0,171.0,157.0,56.0,10.0,2.0,11.0,3.0,2.0,1.0,2.0,1.0,16.0,16.0,1.0,15.0,4.0,4.0,40.0,,229.0,,0.0,132.0,7.0,1.0,2.0,77.0,74.0,7.0,97.0,1.0,,12.0,15.0,4.0,4.0,1.0,157.0,,10.0,156.0,794.0,8.0,4.0,31.0,,9.0,471.0,25.0,4.0,9.0,1.0,4.0,1.0,25.0,567.0,52.0,1.0,94147,4.0,263.0,,7.0,,288.0,3.0,15.0,5.0,44.0,2.0,2.0,6.0,18.0,4.0,4.0,,56.0,488.0,6.0,6.0,17.0,1.0,79.0,2.0,,0.0,2.0,3.0,2.0,1.0,,0.0,2.0,1.0,,64.1,24.0,,4.0,1.0,6.0,5.0,48.0,6.0,590.0,9.0,13.0,18.0,1.0,32.0,2.0,,318.0,7.0,3.0,12.0,90.0,33.0,9.0,28.0,1.0,9.0,2.0,17.0,5.0,6.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,3.0,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2210620,2022-04-30 15:00:00,"Molineux Stadium, Wolverhampton",31243.0,Home,Wolverhampton Wanderers,Brighton and Hove Albion,0,3,L,0,1,0,0,,22.0,68.0,4.0,2.0,17.0,11.0,5.0,3.0,6.0,6.0,,164.0,10.0,1.0,13.0,8.0,,1.0,110.0,139.0,44.0,11.0,3.0,6.0,1.0,1.0,1.0,,1.0,20.0,13.0,,11.0,6.0,5.0,45.0,,142.0,1.0,0.0,77.0,6.0,3.0,1.0,49.0,36.0,3.0,67.0,,,14.0,15.0,5.0,6.0,2.0,139.0,,9.0,117.0,629.0,8.0,3.0,20.0,1.0,5.0,363.0,33.0,2.0,3.0,2.0,4.0,5.0,16.0,441.0,45.0,1.0,94147,3.0,236.0,,8.0,1.0,284.0,4.0,15.0,6.0,47.0,2.0,1.0,3.0,9.0,8.0,5.0,,49.0,377.0,4.0,14.0,12.0,4.0,49.0,1.0,,0.0,3.0,3.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,49.2,13.0,1.0,5.0,2.0,4.0,5.0,33.0,7.0,458.0,5.0,11.0,22.0,5.0,22.0,,2.0,194.0,6.0,3.0,8.0,56.0,24.0,3.0,19.0,2.0,6.0,3.0,24.0,10.0,7.0,1.0,,1.0,,,1.0,,,2.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,2.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
36,2210625,2022-05-07 15:00:00,"Stamford Bridge, London",32190.0,Away,Wolverhampton Wanderers,Chelsea,2,2,D,0,0,0,0,1.0,26.0,57.0,,1.0,17.0,28.0,4.0,5.0,10.0,4.0,1.0,124.0,12.0,6.0,13.0,9.0,1.0,4.0,75.0,122.0,48.0,14.0,,15.0,2.0,4.0,,2.0,4.0,18.0,11.0,,28.0,3.0,,38.0,,101.0,1.0,0.0,63.0,11.0,4.0,5.0,38.0,37.0,5.0,47.0,3.0,1.0,15.0,10.0,4.0,4.0,3.0,122.0,2.0,13.0,86.0,528.0,5.0,,16.0,,12.0,246.0,30.0,1.0,14.0,3.0,5.0,4.0,15.0,312.0,30.0,1.0,94147,7.0,165.0,1.0,9.0,,197.0,7.0,10.0,9.0,54.0,2.0,1.0,6.0,16.0,6.0,7.0,2.0,43.0,260.0,7.0,8.0,7.0,2.0,45.0,4.0,,0.0,1.0,9.0,4.0,2.0,,0.0,5.0,,4.0,40.7,15.0,3.0,,2.0,6.0,1.0,24.0,3.0,332.0,12.0,15.0,17.0,9.0,21.0,1.0,6.0,153.0,5.0,,10.0,39.0,17.0,14.0,18.0,1.0,9.0,3.0,18.0,4.0,3.0,1.0,,,,2.0,,1.0,3.0,1.0,,,2.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,2.0,1.0,,1.0,,2.0,2.0,,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,
37,2210640,2022-05-15 14:00:00,"Molineux Stadium, Wolverhampton",31219.0,Home,Wolverhampton Wanderers,Norwich City,1,1,D,0,1,0,0,,20.0,52.0,,2.0,19.0,10.0,8.0,6.0,8.0,1.0,2.0,164.0,14.0,12.0,19.0,12.0,1.0,4.0,186.0,126.0,51.0,17.0,4.0,10.0,2.0,,2.0,1.0,1.0,27.0,6.0,1.0,10.0,5.0,3.0,33.0,,335.0,1.0,0.0,210.0,5.0,,,90.0,107.0,6.0,93.0,1.0,1.0,22.0,12.0,9.0,5.0,4.0,126.0,1.0,9.0,170.0,802.0,10.0,1.0,34.0,1.0,8.0,529.0,21.0,1.0,4.0,0.0,1.0,6.0,19.0,594.0,70.0,,94147,5.0,223.0,1.0,15.0,1.0,239.0,2.0,12.0,10.0,50.0,,,3.0,18.0,2.0,8.0,3.0,35.0,546.0,10.0,11.0,8.0,,70.0,,1.0,0.0,2.0,3.0,1.0,1.0,,0.0,9.0,,5.0,64.0,19.0,2.0,5.0,,3.0,6.0,55.0,5.0,613.0,8.0,14.0,19.0,7.0,33.0,3.0,3.0,401.0,6.0,3.0,14.0,169.0,23.0,4.0,8.0,1.0,13.0,3.0,29.0,9.0,5.0,4.0,,2.0,,2.0,2.0,,3.0,,2.0,3.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0
38,2210648,2022-05-22 16:00:00,"Anfield, Liverpool",53097.0,Away,Wolverhampton Wanderers,Liverpool,1,3,L,1,1,0,0,1.0,28.0,67.0,1.0,,42.0,31.0,1.0,3.0,6.0,4.0,3.0,144.0,14.0,1.0,8.0,7.0,,5.0,95.0,123.0,35.0,7.0,,7.0,3.0,1.0,1.0,1.0,2.0,9.0,6.0,1.0,31.0,3.0,9.0,45.0,1.0,109.0,,0.0,87.0,3.0,2.0,1.0,63.0,43.0,5.0,58.0,3.0,,6.0,16.0,1.0,3.0,,123.0,3.0,22.0,103.0,600.0,6.0,4.0,15.0,,15.0,303.0,36.0,5.0,15.0,0.0,14.0,2.0,15.0,374.0,52.0,1.0,94147,5.0,215.0,3.0,2.0,,238.0,1.0,16.0,9.0,42.0,5.0,1.0,5.0,15.0,7.0,6.0,,83.0,323.0,5.0,12.0,23.0,,70.0,1.0,2.0,0.0,,5.0,4.0,3.0,2.0,0.0,,2.0,1.0,37.1,14.0,1.0,1.0,,5.0,,37.0,3.0,400.0,15.0,10.0,29.0,2.0,16.0,1.0,2.0,171.0,3.0,9.0,4.0,54.0,20.0,15.0,18.0,3.0,7.0,3.0,19.0,6.0,3.0,,,,,1.0,,,,,,,,,1.0,,,,3.0,,4.0,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,
