gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,totalFastbreak,attSvHighLeft,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attFreekickTotal,attOboxBlocked,attMissHighRight,attSvHighRight,freekickCross,freekickTotal,crosses18yardplus,accurateFreekickCross,attMissHigh,attAssistSetplay,attSvLowRight,accurateCrossNocorner,foulThrowIn,attHdMiss,attBxLeft,attFreekickMiss,attSvLowCentre,contentiousDecision,attCmissHigh,ownGoals,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,attGoalHighCentre,penaltySave,attIboxPost,cleanSheet,attMissHighLeft,penaltyConceded,penaltyFaced,attOboxGoal,midfielderGoals,attGoalHighLeft,attFreekickGoal,attCmissHighRight,errorLeadToGoal,accuratePullBack,totalPullBack,goalsConcededObox,attHdTarget,errorLeadToShot,sixYardBlock,attLgCentre,attHdPost,attPostHigh,attGoalHighRight,attObxdLeft,attObxLeft,attCmissHighLeft,clearanceOffLine,penGoalsConceded,attFreekickTarget,attSvHighCentre,attCorner,attPostLeft
1,695281,2013-08-17 15:00:00,"Emirates Stadium, London",60003,Away,Aston Villa,Arsenal,3,1,W,1,1,0,1,1.0,3.0,64.0,1.0,1.0,1.0,1.0,28.0,31.0,4.0,3.0,6.0,3.0,1.0,2.0,138.0,1.0,2.0,11.0,3.0,2.0,7.0,1.0,5.0,62.0,117.0,65.0,1.0,10.0,20.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,14.0,1.0,30.0,3.0,9.0,16.0,1.0,104.0,2.0,0.0,84.0,19.0,3.0,3.0,2.0,1.0,1.0,4.0,27.0,68.0,3.0,54.0,3.0,1.0,4.0,15.0,4.0,2.0,117.0,1.0,9.0,52.0,481.0,6.0,12.0,12.0,1.0,14.0,195.0,22.0,8.0,7.0,1.0,2.0,5.0,6.0,4.0,12.0,268.0,55.0,1.0,83572,4.0,114.0,1.0,4.0,1.0,125.0,7.0,1.0,6.0,9.0,60.0,3.0,1.0,1.0,3.0,1.0,8.0,6.0,5.0,1.0,63.0,216.0,15.0,14.0,26.0,78.0,1.0,1.0,2.0,0.0,2.0,4.0,2.0,3.0,1.0,1.0,5.0,0.0,1.0,1.0,1.0,36.2,11.0,2.0,3.0,1.0,38.0,3.0,4.0,306.0,14.0,2.0,5.0,4.0,1.0,14.0,2.0,1.0,188.0,6.0,7.0,19.0,38.0,23.0,2.0,4.0,6.0,21.0,1.0,1.0,7.0,2.0,19.0,4.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694911,2013-08-24 17:30:00,"Villa Park, Birmingham",42098,Home,Aston Villa,Liverpool,0,1,L,0,1,0,0,1.0,,56.0,,,,1.0,38.0,18.0,10.0,4.0,,,,2.0,160.0,,6.0,11.0,,3.0,12.0,,3.0,113.0,152.0,64.0,,17.0,18.0,2.0,,1.0,,2.0,,,6.0,23.0,24.0,1.0,18.0,8.0,6.0,24.0,,232.0,,0.0,127.0,10.0,,,1.0,,1.0,3.0,93.0,66.0,7.0,82.0,,,15.0,15.0,,5.0,152.0,1.0,3.0,126.0,704.0,10.0,11.0,,,20.0,394.0,18.0,6.0,4.0,,2.0,3.0,2.0,5.0,25.0,469.0,76.0,2.0,90255,3.0,178.0,1.0,11.0,2.0,190.0,3.0,,15.0,6.0,57.0,2.0,,2.0,2.0,,18.0,2.0,1.0,,57.0,404.0,8.0,9.0,13.0,85.0,,,,0.0,2.0,2.0,,,,1.0,4.0,0.0,,,3.0,47.4,18.0,3.0,2.0,5.0,57.0,8.0,3.0,481.0,20.0,20.0,10.0,9.0,,17.0,2.0,4.0,314.0,10.0,6.0,15.0,81.0,28.0,,1.0,4.0,31.0,,1.0,10.0,3.0,14.0,1.0,9.0,8.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694922,2013-08-21 19:45:00,"Stamford Bridge, London",41527,Away,Aston Villa,Chelsea,1,2,L,1,1,0,0,2.0,,42.0,1.0,,1.0,,26.0,26.0,3.0,2.0,,2.0,1.0,1.0,138.0,,2.0,6.0,1.0,1.0,6.0,1.0,3.0,54.0,143.0,49.0,,7.0,18.0,2.0,,,,2.0,1.0,,2.0,9.0,10.0,,26.0,2.0,8.0,26.0,,107.0,,0.0,100.0,16.0,,2.0,,,,1.0,47.0,39.0,3.0,43.0,1.0,1.0,7.0,7.0,,3.0,143.0,2.0,6.0,51.0,459.0,5.0,14.0,,,11.0,181.0,23.0,12.0,7.0,1.0,2.0,4.0,3.0,3.0,24.0,262.0,54.0,,90255,4.0,92.0,2.0,4.0,2.0,110.0,4.0,,7.0,13.0,53.0,,,5.0,2.0,1.0,11.0,10.0,4.0,,52.0,197.0,12.0,6.0,32.0,79.0,,,,0.0,2.0,1.0,1.0,1.0,,2.0,2.0,0.0,1.0,1.0,1.0,30.8,20.0,,2.0,,40.0,2.0,1.0,286.0,11.0,11.0,12.0,4.0,,12.0,,1.0,185.0,4.0,8.0,22.0,50.0,10.0,1.0,2.0,7.0,13.0,,2.0,5.0,2.0,11.0,2.0,3.0,2.0,1.0,,,,,,,3.0,,1.0,,1.0,2.0,,1.0,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694931,2013-09-14 15:00:00,"Villa Park, Birmingham",37554,Home,Aston Villa,Newcastle United,1,2,L,0,1,0,0,1.0,,53.0,,,5.0,2.0,40.0,20.0,4.0,5.0,,6.0,,,183.0,,6.0,11.0,1.0,2.0,8.0,2.0,1.0,103.0,144.0,70.0,,10.0,22.0,,1.0,1.0,,,,,2.0,17.0,20.0,,20.0,4.0,22.0,25.0,,180.0,,0.0,154.0,10.0,,3.0,1.0,,,,47.0,55.0,4.0,82.0,,2.0,13.0,16.0,,2.0,144.0,1.0,8.0,101.0,665.0,6.0,16.0,,,16.0,355.0,20.0,17.0,12.0,1.0,,1.0,1.0,4.0,25.0,448.0,84.0,1.0,90255,2.0,193.0,1.0,8.0,,209.0,5.0,,16.0,10.0,59.0,3.0,,1.0,6.0,,7.0,9.0,7.0,,65.0,367.0,11.0,14.0,39.0,92.0,1.0,1.0,,0.0,2.0,2.0,1.0,1.0,,2.0,4.0,0.0,1.0,,1.0,54.7,22.0,1.0,6.0,4.0,60.0,4.0,,469.0,16.0,5.0,11.0,5.0,,19.0,4.0,3.0,277.0,4.0,20.0,26.0,89.0,20.0,1.0,2.0,12.0,24.0,1.0,2.0,8.0,3.0,20.0,2.0,8.0,4.0,,,2.0,1.0,,1.0,,4.0,,,1.0,,2.0,1.0,,3.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694947,2013-09-21 12:45:00,"Carrow Road, Norwich",26813,Away,Aston Villa,Norwich City,1,0,W,1,0,0,0,2.0,1.0,55.0,,1.0,,2.0,17.0,45.0,7.0,5.0,,2.0,,2.0,119.0,,4.0,6.0,1.0,3.0,14.0,,4.0,48.0,136.0,64.0,,16.0,21.0,1.0,1.0,2.0,1.0,,1.0,,3.0,13.0,20.0,2.0,45.0,4.0,6.0,6.0,1.0,105.0,,0.0,81.0,12.0,,3.0,1.0,,1.0,9.0,39.0,18.0,6.0,45.0,,2.0,9.0,11.0,,3.0,136.0,2.0,9.0,52.0,493.0,12.0,11.0,,1.0,9.0,178.0,15.0,10.0,25.0,1.0,,0.0,4.0,8.0,18.0,243.0,46.0,1.0,90255,5.0,82.0,1.0,6.0,,102.0,4.0,1.0,11.0,12.0,50.0,1.0,,2.0,3.0,1.0,15.0,4.0,3.0,,48.0,183.0,15.0,5.0,43.0,75.0,1.0,1.0,,0.0,,7.0,2.0,1.0,,,3.0,0.0,1.0,1.0,1.0,35.8,13.0,3.0,4.0,4.0,31.0,4.0,9.0,264.0,9.0,5.0,2.0,8.0,1.0,14.0,3.0,4.0,175.0,10.0,6.0,22.0,47.0,23.0,1.0,7.0,25.0,25.0,,,13.0,3.0,15.0,7.0,6.0,4.0,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,,,1.0,,1.0,,1.0,2.0,,2.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,694951,2013-09-28 15:00:00,"Villa Park, Birmingham",34063,Home,Aston Villa,Manchester City,3,2,W,0,1,0,0,,1.0,42.0,1.0,,2.0,,17.0,29.0,6.0,2.0,,5.0,,1.0,115.0,1.0,,7.0,3.0,2.0,5.0,,4.0,57.0,125.0,51.0,,8.0,21.0,1.0,,1.0,,,2.0,,,6.0,14.0,,29.0,2.0,10.0,21.0,1.0,80.0,,0.0,70.0,13.0,,2.0,,,,5.0,35.0,18.0,3.0,43.0,2.0,1.0,4.0,10.0,,3.0,125.0,1.0,12.0,58.0,451.0,3.0,9.0,,,11.0,180.0,15.0,5.0,11.0,2.0,,1.0,6.0,2.0,17.0,251.0,50.0,1.0,90255,1.0,112.0,,3.0,1.0,140.0,4.0,3.0,10.0,18.0,60.0,1.0,,,2.0,2.0,7.0,9.0,7.0,,49.0,192.0,9.0,14.0,27.0,67.0,,,1.0,0.0,1.0,13.0,3.0,1.0,,2.0,4.0,0.0,1.0,1.0,,33.3,14.0,3.0,3.0,1.0,28.0,2.0,5.0,273.0,11.0,5.0,9.0,3.0,,6.0,,,139.0,6.0,8.0,19.0,34.0,13.0,1.0,3.0,11.0,18.0,,2.0,5.0,1.0,16.0,3.0,9.0,2.0,,2.0,1.0,1.0,,,2.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
7,694963,2013-10-05 15:00:00,"The MKM Stadium, Hull",24396,Away,Aston Villa,Hull City,0,0,D,0,0,0,0,2.0,,50.0,,,1.0,3.0,52.0,48.0,10.0,5.0,,1.0,,3.0,154.0,,5.0,14.0,,2.0,13.0,1.0,4.0,119.0,132.0,56.0,,18.0,24.0,1.0,,1.0,,,,,,17.0,19.0,3.0,48.0,6.0,14.0,19.0,,153.0,,0.0,112.0,11.0,,,,,3.0,5.0,34.0,45.0,8.0,84.0,3.0,3.0,11.0,13.0,,2.0,132.0,,4.0,104.0,677.0,11.0,8.0,,,8.0,370.0,26.0,7.0,25.0,,,1.0,1.0,5.0,25.0,449.0,70.0,,90255,7.0,228.0,,5.0,1.0,240.0,4.0,,13.0,6.0,49.0,,,2.0,7.0,,8.0,2.0,1.0,,82.0,376.0,7.0,2.0,30.0,84.0,,,,0.0,1.0,7.0,,,,,3.0,0.0,,,3.0,54.3,22.0,,7.0,8.0,41.0,7.0,5.0,461.0,8.0,8.0,12.0,6.0,,14.0,3.0,4.0,238.0,10.0,9.0,15.0,64.0,13.0,,2.0,25.0,20.0,,,14.0,2.0,20.0,2.0,5.0,7.0,1.0,,5.0,2.0,,2.0,,4.0,,1.0,2.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
8,694971,2013-10-20 16:00:00,"Villa Park, Birmingham",35391,Home,Aston Villa,Tottenham Hotspur,0,2,L,0,1,0,0,1.0,,62.0,,,2.0,1.0,17.0,29.0,9.0,5.0,,4.0,,,137.0,,6.0,9.0,,4.0,10.0,1.0,2.0,56.0,155.0,55.0,,15.0,15.0,1.0,,1.0,,2.0,,,1.0,19.0,11.0,1.0,29.0,4.0,11.0,23.0,,111.0,,0.0,103.0,13.0,,3.0,,,,1.0,41.0,32.0,3.0,48.0,1.0,1.0,15.0,22.0,,7.0,155.0,1.0,7.0,69.0,537.0,9.0,16.0,,,20.0,205.0,23.0,3.0,12.0,,2.0,3.0,1.0,7.0,34.0,291.0,58.0,,90255,5.0,109.0,1.0,8.0,1.0,127.0,3.0,,22.0,9.0,54.0,3.0,,2.0,1.0,,15.0,6.0,6.0,,44.0,214.0,12.0,11.0,19.0,73.0,,,,0.0,2.0,7.0,2.0,,,2.0,1.0,0.0,,1.0,3.0,37.1,28.0,1.0,1.0,2.0,32.0,4.0,1.0,310.0,20.0,12.0,10.0,11.0,,15.0,1.0,4.0,202.0,7.0,10.0,17.0,51.0,27.0,,1.0,12.0,17.0,,1.0,11.0,3.0,15.0,1.0,12.0,4.0,1.0,1.0,1.0,2.0,,3.0,1.0,4.0,,2.0,1.0,1.0,5.0,,2.0,,1.0,1.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
9,694981,2013-10-26 15:00:00,"Villa Park, Birmingham",35154,Home,Aston Villa,Everton,0,2,L,0,0,0,0,,,47.0,,,,2.0,25.0,17.0,8.0,4.0,,2.0,,3.0,161.0,,2.0,9.0,,1.0,8.0,,3.0,85.0,163.0,46.0,1.0,14.0,18.0,3.0,,,,,,,1.0,22.0,14.0,,17.0,8.0,13.0,20.0,1.0,153.0,1.0,0.0,106.0,14.0,,2.0,,1.0,,4.0,60.0,38.0,4.0,58.0,1.0,3.0,14.0,16.0,,6.0,163.0,1.0,8.0,79.0,596.0,7.0,7.0,,,11.0,289.0,18.0,8.0,6.0,,,0.0,6.0,4.0,23.0,369.0,71.0,1.0,90255,4.0,148.0,2.0,9.0,,162.0,6.0,,16.0,9.0,63.0,3.0,,2.0,7.0,,15.0,7.0,3.0,,53.0,299.0,8.0,6.0,28.0,91.0,,,,0.0,4.0,6.0,2.0,,,2.0,2.0,0.0,,,,46.9,17.0,,7.0,5.0,51.0,8.0,4.0,383.0,11.0,12.0,12.0,6.0,,12.0,1.0,,243.0,9.0,12.0,15.0,60.0,21.0,,3.0,6.0,15.0,,1.0,12.0,2.0,23.0,3.0,10.0,8.0,,,3.0,1.0,1.0,,,5.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
