gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,totalFastbreak,attSvHighLeft,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attFreekickTotal,attOboxBlocked,attMissHighRight,attSvHighRight,freekickCross,freekickTotal,crosses18yardplus,accurateFreekickCross,attMissHigh,attAssistSetplay,attSvLowRight,accurateCrossNocorner,foulThrowIn,attHdMiss,attBxLeft,attFreekickMiss,attSvLowCentre,contentiousDecision,attCmissHigh,ownGoals,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,attGoalHighCentre,penaltySave,attIboxPost,cleanSheet,attMissHighLeft,penaltyConceded,penaltyFaced,attOboxGoal,midfielderGoals,attGoalHighLeft,attFreekickGoal,attCmissHighRight,errorLeadToGoal,accuratePullBack,totalPullBack,goalsConcededObox,attHdTarget,errorLeadToShot,sixYardBlock,attLgCentre,attHdPost,attPostHigh,attGoalHighRight,attObxdLeft,attObxLeft,attCmissHighLeft,clearanceOffLine,penGoalsConceded,attFreekickTarget,attSvHighCentre,attCorner,attPostLeft
10,694999,2013-11-02 15:00:00,"Boleyn Ground, London",34977,Away,Aston Villa,West Ham United,0,0,D,0,0,0,0,1.0,,58.0,,,1.0,,28.0,45.0,4.0,2.0,,4.0,,,149.0,,3.0,4.0,,,8.0,,2.0,88.0,140.0,57.0,,8.0,15.0,2.0,,,1.0,,,,2.0,8.0,20.0,,45.0,1.0,23.0,21.0,,124.0,,0.0,87.0,15.0,,1.0,,,,4.0,34.0,46.0,4.0,72.0,3.0,,7.0,8.0,,2.0,140.0,2.0,10.0,66.0,561.0,7.0,8.0,,1.0,13.0,259.0,21.0,6.0,22.0,,1.0,2.0,6.0,4.0,18.0,359.0,66.0,,90590,3.0,147.0,2.0,2.0,,172.0,6.0,,8.0,14.0,45.0,,,1.0,4.0,,7.0,7.0,4.0,,65.0,268.0,8.0,10.0,40.0,101.0,,,2.0,0.0,1.0,5.0,3.0,,,,2.0,0.0,,,2.0,40.6,15.0,4.0,4.0,2.0,40.0,1.0,5.0,375.0,13.0,3.0,11.0,4.0,,13.0,1.0,1.0,211.0,4.0,19.0,21.0,45.0,22.0,,1.0,22.0,24.0,,,7.0,1.0,7.0,1.0,6.0,1.0,2.0,,2.0,1.0,,,,5.0,,,1.0,1.0,2.0,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
11,695001,2013-11-09 15:00:00,"Villa Park, Birmingham",35809,Home,Aston Villa,Cardiff City,2,0,W,0,0,0,0,,,49.0,,1.0,1.0,,32.0,24.0,10.0,2.0,,2.0,,3.0,146.0,,7.0,8.0,2.0,2.0,12.0,1.0,6.0,67.0,164.0,58.0,,17.0,26.0,1.0,1.0,1.0,,1.0,1.0,,2.0,25.0,18.0,3.0,24.0,4.0,2.0,22.0,,136.0,,0.0,107.0,10.0,,1.0,1.0,,3.0,1.0,62.0,37.0,7.0,54.0,2.0,4.0,21.0,22.0,,3.0,164.0,,5.0,74.0,543.0,10.0,14.0,,,10.0,228.0,19.0,9.0,13.0,1.0,1.0,1.0,1.0,5.0,31.0,325.0,66.0,,90590,5.0,110.0,,12.0,,136.0,2.0,1.0,22.0,7.0,52.0,1.0,,5.0,,1.0,11.0,3.0,3.0,,69.0,239.0,3.0,3.0,43.0,96.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,,,2.0,0.0,1.0,1.0,5.0,43.1,23.0,4.0,,4.0,53.0,5.0,1.0,341.0,10.0,9.0,12.0,7.0,,19.0,3.0,4.0,230.0,10.0,2.0,26.0,63.0,21.0,1.0,1.0,13.0,22.0,1.0,,15.0,2.0,14.0,1.0,13.0,5.0,,1.0,4.0,,,,1.0,9.0,,,1.0,1.0,4.0,,3.0,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,2.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,
12,695018,2013-11-25 20:00:00,"The Hawthorns, West Bromwich",24902,Away,Aston Villa,West Bromwich Albion,2,2,D,0,2,0,0,1.0,1.0,52.0,,1.0,2.0,,44.0,33.0,12.0,4.0,,2.0,,3.0,170.0,1.0,2.0,1.0,2.0,1.0,10.0,,7.0,94.0,176.0,52.0,,15.0,32.0,1.0,,1.0,1.0,1.0,1.0,,,15.0,14.0,4.0,33.0,2.0,10.0,33.0,,151.0,,0.0,136.0,14.0,,,,,3.0,4.0,45.0,33.0,6.0,68.0,,2.0,13.0,21.0,,4.0,176.0,1.0,9.0,88.0,609.0,9.0,16.0,,1.0,12.0,283.0,16.0,18.0,20.0,1.0,1.0,2.0,2.0,4.0,24.0,394.0,93.0,,90255,1.0,151.0,,6.0,2.0,179.0,1.0,2.0,21.0,7.0,65.0,,,5.0,3.0,2.0,11.0,2.0,3.0,,76.0,300.0,8.0,11.0,42.0,92.0,,,1.0,0.0,4.0,4.0,,1.0,1.0,2.0,6.0,0.0,1.0,,,48.6,15.0,3.0,3.0,2.0,42.0,2.0,4.0,420.0,12.0,8.0,17.0,6.0,,16.0,,1.0,256.0,11.0,8.0,23.0,80.0,19.0,,,20.0,20.0,,2.0,12.0,3.0,3.0,,8.0,2.0,2.0,,2.0,1.0,,1.0,,6.0,,1.0,,,2.0,,,1.0,,2.0,,,,,,,,,,,1.0,,,1.0,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
13,695021,2013-11-30 15:00:00,"Villa Park, Birmingham",33036,Home,Aston Villa,Sunderland,0,0,D,0,0,0,0,1.0,,52.0,,,,1.0,25.0,16.0,7.0,2.0,,1.0,,4.0,161.0,,3.0,7.0,,1.0,11.0,,4.0,98.0,163.0,43.0,,13.0,21.0,1.0,,1.0,,,,,4.0,31.0,9.0,3.0,16.0,7.0,12.0,25.0,,230.0,,0.0,139.0,14.0,,1.0,,,1.0,,72.0,75.0,4.0,74.0,,,24.0,13.0,,4.0,163.0,,3.0,99.0,627.0,8.0,7.0,,,10.0,327.0,20.0,3.0,8.0,,,2.0,1.0,7.0,33.0,410.0,85.0,,90255,4.0,114.0,,15.0,,133.0,1.0,,13.0,6.0,55.0,,,2.0,2.0,,19.0,4.0,4.0,,54.0,341.0,12.0,7.0,31.0,88.0,,3.0,,0.0,,6.0,1.0,,,,1.0,0.0,,,2.0,50.9,27.0,2.0,2.0,2.0,48.0,7.0,,432.0,10.0,8.0,15.0,7.0,,15.0,1.0,3.0,330.0,8.0,8.0,17.0,95.0,23.0,,2.0,8.0,10.0,,,11.0,3.0,14.0,2.0,11.0,7.0,,,1.0,1.0,,1.0,,8.0,,,3.0,2.0,2.0,,2.0,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,
14,695035,2013-12-04 19:45:00,"St. Mary's Stadium, Southampton",29814,Away,Aston Villa,Southampton,3,2,W,1,0,0,0,1.0,2.0,52.0,,1.0,2.0,,18.0,35.0,3.0,1.0,,7.0,1.0,,107.0,1.0,3.0,3.0,3.0,,5.0,,3.0,33.0,145.0,57.0,,6.0,16.0,,2.0,,,1.0,3.0,2.0,,8.0,17.0,,35.0,2.0,10.0,24.0,1.0,60.0,,0.0,52.0,13.0,,6.0,4.0,,,3.0,34.0,40.0,3.0,22.0,1.0,1.0,6.0,10.0,,1.0,145.0,2.0,12.0,34.0,397.0,1.0,9.0,,,16.0,87.0,22.0,9.0,16.0,3.0,2.0,2.0,5.0,2.0,19.0,170.0,42.0,,90255,3.0,46.0,,4.0,,67.0,3.0,1.0,10.0,10.0,47.0,,,6.0,1.0,3.0,10.0,9.0,6.0,,50.0,103.0,9.0,6.0,35.0,82.0,2.0,,1.0,0.0,4.0,8.0,5.0,2.0,,2.0,3.0,0.0,2.0,3.0,2.0,21.9,12.0,2.0,1.0,1.0,35.0,2.0,3.0,196.0,16.0,11.0,6.0,2.0,,7.0,2.0,1.0,137.0,3.0,6.0,25.0,16.0,18.0,2.0,6.0,16.0,24.0,1.0,2.0,5.0,3.0,8.0,6.0,7.0,2.0,,,1.0,1.0,,,,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
15,695043,2013-12-08 13:30:00,"Craven Cottage, London",22288,Away,Aston Villa,Fulham,0,2,L,0,2,0,0,1.0,,56.0,,,2.0,1.0,34.0,53.0,6.0,3.0,,6.0,,2.0,165.0,,3.0,11.0,,4.0,8.0,1.0,2.0,64.0,150.0,67.0,,10.0,21.0,,1.0,,,1.0,,,,24.0,15.0,2.0,53.0,7.0,21.0,29.0,,134.0,,0.0,125.0,13.0,,4.0,1.0,,,2.0,33.0,38.0,5.0,58.0,3.0,2.0,17.0,11.0,,1.0,150.0,,17.0,88.0,618.0,7.0,18.0,,,13.0,274.0,24.0,10.0,31.0,,2.0,2.0,6.0,3.0,22.0,353.0,87.0,,90255,3.0,154.0,,12.0,1.0,165.0,1.0,,11.0,10.0,63.0,,,1.0,2.0,,6.0,5.0,6.0,,70.0,285.0,11.0,12.0,36.0,94.0,1.0,,,0.0,4.0,4.0,6.0,,,2.0,3.0,0.0,,1.0,2.0,47.1,18.0,3.0,2.0,4.0,47.0,7.0,2.0,375.0,13.0,8.0,15.0,4.0,,22.0,,3.0,234.0,5.0,17.0,25.0,64.0,18.0,,,31.0,22.0,,2.0,8.0,3.0,23.0,,9.0,7.0,,1.0,3.0,,1.0,1.0,1.0,4.0,,1.0,1.0,,3.0,,2.0,,1.0,1.0,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,,,,
16,695051,2013-12-15 13:30:00,"Villa Park, Birmingham",42682,Home,Aston Villa,Manchester United,0,3,L,0,2,0,0,,,44.0,,,,3.0,29.0,17.0,8.0,2.0,,2.0,,6.0,148.0,,7.0,6.0,,3.0,13.0,,6.0,106.0,136.0,48.0,,17.0,13.0,2.0,,3.0,,,,,2.0,24.0,19.0,4.0,17.0,3.0,5.0,27.0,,198.0,,0.0,134.0,15.0,,,,,1.0,2.0,55.0,66.0,8.0,59.0,1.0,2.0,21.0,9.0,,2.0,136.0,,12.0,81.0,588.0,13.0,15.0,,,11.0,297.0,16.0,8.0,6.0,,,4.0,3.0,5.0,26.0,378.0,85.0,,90255,5.0,117.0,,11.0,,134.0,4.0,,9.0,11.0,52.0,,,2.0,,,13.0,2.0,10.0,,46.0,308.0,8.0,9.0,21.0,79.0,,,,0.0,1.0,4.0,2.0,,,3.0,5.0,0.0,,1.0,2.0,44.0,25.0,1.0,,5.0,50.0,3.0,2.0,394.0,11.0,9.0,16.0,6.0,,15.0,1.0,4.0,284.0,13.0,5.0,14.0,86.0,20.0,,3.0,6.0,21.0,,3.0,16.0,3.0,12.0,3.0,7.0,3.0,,1.0,2.0,,1.0,2.0,1.0,8.0,1.0,2.0,,1.0,6.0,,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
17,695067,2013-12-21 15:00:00,"bet365 Stadium, Stoke",26003,Away,Aston Villa,Stoke City,1,2,L,0,0,0,0,,1.0,49.0,,1.0,,1.0,16.0,19.0,8.0,4.0,,,,1.0,135.0,,3.0,6.0,1.0,4.0,10.0,1.0,4.0,41.0,168.0,52.0,,14.0,47.0,3.0,,1.0,,,,,1.0,21.0,20.0,,19.0,5.0,8.0,36.0,1.0,103.0,,0.0,115.0,17.0,,,,,1.0,3.0,49.0,43.0,7.0,35.0,,1.0,16.0,10.0,,3.0,168.0,,8.0,45.0,455.0,9.0,7.0,,,6.0,145.0,14.0,5.0,8.0,,,5.0,3.0,3.0,28.0,232.0,88.0,,90255,5.0,58.0,,5.0,,77.0,4.0,1.0,10.0,10.0,78.0,,,3.0,3.0,1.0,12.0,4.0,1.0,,51.0,158.0,13.0,3.0,28.0,89.0,,,,0.0,3.0,6.0,,1.0,,2.0,,0.0,,,1.0,46.5,19.0,3.0,3.0,6.0,28.0,7.0,3.0,256.0,6.0,10.0,8.0,4.0,,22.0,1.0,1.0,200.0,9.0,6.0,16.0,59.0,19.0,1.0,5.0,8.0,22.0,,2.0,11.0,2.0,12.0,5.0,7.0,7.0,1.0,1.0,5.0,2.0,,3.0,1.0,8.0,1.0,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,
19,695081,2013-12-28 15:00:00,"Villa Park, Birmingham",37028,Home,Aston Villa,Swansea City,1,1,D,1,1,0,0,,1.0,50.0,1.0,,1.0,,18.0,32.0,5.0,2.0,,2.0,,,137.0,,1.0,5.0,1.0,,5.0,1.0,3.0,38.0,152.0,48.0,,7.0,17.0,,,,,,1.0,,,15.0,18.0,2.0,32.0,2.0,7.0,19.0,1.0,77.0,,0.0,85.0,13.0,,,,1.0,,4.0,30.0,34.0,3.0,37.0,1.0,1.0,13.0,13.0,,2.0,152.0,1.0,7.0,42.0,444.0,4.0,15.0,,,14.0,136.0,22.0,10.0,12.0,1.0,,3.0,9.0,2.0,26.0,231.0,70.0,1.0,90255,1.0,70.0,,9.0,,95.0,4.0,1.0,12.0,12.0,48.0,1.0,,1.0,3.0,1.0,8.0,10.0,6.0,,59.0,146.0,8.0,11.0,40.0,92.0,,,,0.0,1.0,8.0,1.0,1.0,,1.0,2.0,0.0,1.0,,,27.0,19.0,4.0,3.0,1.0,36.0,2.0,4.0,254.0,14.0,5.0,4.0,3.0,,11.0,1.0,1.0,174.0,5.0,6.0,14.0,35.0,10.0,1.0,1.0,12.0,22.0,,1.0,7.0,3.0,7.0,1.0,8.0,2.0,2.0,,1.0,2.0,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,695098,2014-01-01 15:00:00,"Stadium of Light, Sunderland",39757,Away,Aston Villa,Sunderland,1,0,W,1,0,0,0,1.0,1.0,46.0,,,1.0,3.0,21.0,28.0,4.0,7.0,,1.0,1.0,3.0,121.0,1.0,1.0,7.0,1.0,,10.0,,5.0,56.0,120.0,42.0,,13.0,10.0,2.0,1.0,2.0,,,,,,9.0,13.0,2.0,28.0,2.0,16.0,19.0,2.0,127.0,,0.0,91.0,11.0,,1.0,2.0,,1.0,2.0,53.0,39.0,6.0,58.0,,2.0,7.0,11.0,,2.0,120.0,2.0,6.0,50.0,479.0,10.0,4.0,,,10.0,205.0,18.0,8.0,15.0,,,3.0,8.0,4.0,20.0,267.0,52.0,1.0,83564,3.0,88.0,3.0,3.0,,107.0,1.0,,11.0,10.0,47.0,1.0,,1.0,4.0,1.0,13.0,11.0,8.0,,44.0,214.0,6.0,10.0,28.0,68.0,1.0,,,0.0,1.0,10.0,,1.0,,,1.0,0.0,,,,35.2,14.0,3.0,4.0,3.0,38.0,2.0,3.0,285.0,10.0,9.0,9.0,5.0,,13.0,1.0,3.0,187.0,6.0,13.0,10.0,59.0,15.0,1.0,10.0,15.0,19.0,,,13.0,1.0,15.0,10.0,7.0,2.0,1.0,,,1.0,1.0,,,4.0,,2.0,,2.0,,1.0,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
21,695101,2014-01-13 20:00:00,"Villa Park, Birmingham",36097,Home,Aston Villa,Arsenal,1,2,L,0,2,0,0,,1.0,66.0,1.0,,1.0,,47.0,21.0,7.0,4.0,4.0,2.0,,1.0,149.0,,5.0,2.0,1.0,2.0,8.0,1.0,5.0,73.0,152.0,52.0,,11.0,18.0,1.0,,,,1.0,1.0,,,22.0,16.0,3.0,21.0,3.0,7.0,28.0,,161.0,,0.0,135.0,12.0,,1.0,,1.0,,1.0,30.0,71.0,5.0,73.0,2.0,2.0,19.0,12.0,7.0,2.0,152.0,2.0,5.0,74.0,552.0,7.0,13.0,16.0,,11.0,261.0,27.0,22.0,7.0,1.0,1.0,2.0,2.0,3.0,17.0,346.0,85.0,,90255,4.0,121.0,1.0,8.0,,138.0,3.0,,9.0,5.0,63.0,1.0,,4.0,1.0,1.0,14.0,3.0,2.0,,74.0,277.0,9.0,9.0,44.0,81.0,,,2.0,0.0,,5.0,1.0,1.0,,2.0,5.0,0.0,1.0,,2.0,36.0,17.0,5.0,1.0,2.0,48.0,3.0,1.0,369.0,11.0,18.0,15.0,4.0,,34.0,,2.0,253.0,5.0,7.0,19.0,77.0,26.0,1.0,1.0,7.0,22.0,1.0,2.0,9.0,2.0,9.0,1.0,9.0,3.0,2.0,1.0,2.0,,,1.0,1.0,10.0,,1.0,,2.0,5.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,
22,695114,2014-01-18 17:30:00,"Anfield, Liverpool",44737,Away,Aston Villa,Liverpool,2,2,D,2,1,0,0,,2.0,49.0,,,2.0,3.0,28.0,28.0,3.0,3.0,,4.0,,1.0,160.0,2.0,4.0,4.0,2.0,2.0,9.0,2.0,3.0,73.0,173.0,63.0,,12.0,13.0,1.0,1.0,2.0,1.0,,2.0,,2.0,21.0,15.0,,28.0,3.0,8.0,30.0,1.0,139.0,,0.0,146.0,18.0,,2.0,1.0,,,2.0,52.0,33.0,4.0,48.0,,2.0,18.0,16.0,,3.0,173.0,3.0,6.0,54.0,524.0,5.0,19.0,,1.0,3.0,207.0,22.0,16.0,10.0,2.0,,4.0,1.0,5.0,23.0,312.0,88.0,1.0,90255,5.0,86.0,1.0,16.0,,105.0,6.0,1.0,16.0,17.0,55.0,2.0,,1.0,2.0,2.0,9.0,8.0,9.0,,57.0,221.0,12.0,9.0,38.0,102.0,1.0,,,0.0,3.0,2.0,2.0,2.0,,2.0,6.0,0.0,2.0,2.0,3.0,44.2,19.0,5.0,2.0,3.0,51.0,3.0,2.0,335.0,3.0,9.0,10.0,6.0,1.0,23.0,2.0,2.0,251.0,6.0,7.0,29.0,79.0,15.0,2.0,,10.0,20.0,1.0,2.0,8.0,3.0,11.0,,7.0,3.0,,,,1.0,,1.0,,1.0,,,2.0,,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,
23,695121,2014-01-29 19:45:00,"Villa Park, Birmingham",36083,Home,Aston Villa,West Bromwich Albion,4,3,W,3,3,0,0,,2.0,55.0,1.0,1.0,2.0,,42.0,14.0,2.0,3.0,,2.0,1.0,1.0,149.0,,6.0,6.0,4.0,2.0,8.0,1.0,6.0,80.0,162.0,53.0,,10.0,12.0,2.0,,,,,2.0,,1.0,16.0,19.0,,14.0,3.0,8.0,27.0,1.0,153.0,1.0,0.0,114.0,14.0,,,,,,1.0,68.0,38.0,6.0,57.0,,1.0,13.0,19.0,,,162.0,2.0,6.0,72.0,549.0,6.0,15.0,,,16.0,235.0,22.0,16.0,5.0,2.0,,1.0,2.0,2.0,22.0,332.0,85.0,,90255,5.0,104.0,1.0,7.0,,130.0,3.0,3.0,19.0,14.0,53.0,,,8.0,1.0,3.0,7.0,7.0,9.0,1.0,77.0,251.0,9.0,6.0,46.0,100.0,,,,0.0,,3.0,,4.0,,3.0,3.0,0.0,1.0,1.0,,43.7,19.0,4.0,1.0,2.0,52.0,3.0,1.0,358.0,16.0,12.0,15.0,2.0,,13.0,2.0,2.0,244.0,7.0,6.0,14.0,62.0,19.0,2.0,4.0,5.0,23.0,,2.0,8.0,3.0,16.0,4.0,11.0,3.0,1.0,,2.0,,,,,6.0,,,,,4.0,,,2.0,,1.0,,,1.0,1.0,,,2.0,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,
