gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,totalFastbreak,attSvHighLeft,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attFreekickTotal,attOboxBlocked,attMissHighRight,attSvHighRight,freekickCross,freekickTotal,crosses18yardplus,accurateFreekickCross,attMissHigh,attAssistSetplay,attSvLowRight,accurateCrossNocorner,foulThrowIn,attHdMiss,attBxLeft,attFreekickMiss,attSvLowCentre,contentiousDecision,attCmissHigh,ownGoals,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,attGoalHighCentre,penaltySave,attIboxPost,cleanSheet,attMissHighLeft,penaltyConceded,penaltyFaced,attOboxGoal,midfielderGoals,attGoalHighLeft,attFreekickGoal,attCmissHighRight,errorLeadToGoal,accuratePullBack,totalPullBack,goalsConcededObox,attHdTarget,errorLeadToShot,sixYardBlock,attLgCentre,attHdPost,attPostHigh,attGoalHighRight,attObxdLeft,attObxLeft,attCmissHighLeft,clearanceOffLine,penGoalsConceded,attFreekickTarget,attSvHighCentre,attCorner,attPostLeft
24,695133,2014-02-01 15:00:00,"Goodison Park, Liverpool",39469,Away,Aston Villa,Everton,1,2,L,1,0,0,0,1.0,,35.0,,,1.0,,17.0,31.0,3.0,,,4.0,,,124.0,1.0,2.0,1.0,1.0,,3.0,,1.0,31.0,133.0,44.0,,4.0,12.0,,,1.0,,1.0,1.0,,,5.0,14.0,,31.0,1.0,14.0,11.0,,76.0,,0.0,87.0,18.0,,,,,,1.0,62.0,18.0,2.0,38.0,,,4.0,12.0,,2.0,133.0,,8.0,46.0,403.0,1.0,13.0,,,12.0,132.0,14.0,14.0,14.0,1.0,1.0,0.0,5.0,1.0,32.0,216.0,63.0,,90255,,66.0,,1.0,,85.0,4.0,1.0,12.0,6.0,52.0,,,3.0,,1.0,2.0,5.0,2.0,,52.0,140.0,4.0,9.0,55.0,82.0,,,,0.0,1.0,13.0,3.0,1.0,,2.0,3.0,0.0,1.0,1.0,,29.0,25.0,,,1.0,28.0,1.0,1.0,239.0,12.0,10.0,5.0,2.0,,13.0,1.0,,159.0,4.0,10.0,21.0,38.0,14.0,,5.0,14.0,18.0,,1.0,3.0,3.0,5.0,5.0,8.0,1.0,,,1.0,2.0,,,,3.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
25,695141,2014-02-08 15:00:00,"Villa Park, Birmingham",36261,Home,Aston Villa,West Ham United,0,2,L,0,0,0,0,1.0,,55.0,,,,1.0,43.0,22.0,7.0,4.0,,,,,206.0,,7.0,1.0,,1.0,14.0,,1.0,132.0,177.0,40.0,,16.0,24.0,1.0,,,2.0,,,,6.0,43.0,7.0,,22.0,8.0,8.0,28.0,,275.0,,0.0,196.0,8.0,,,,,,3.0,65.0,84.0,5.0,74.0,,,35.0,7.0,,2.0,177.0,1.0,8.0,111.0,721.0,11.0,22.0,,2.0,8.0,403.0,17.0,20.0,10.0,,,0.0,5.0,9.0,34.0,507.0,100.0,,90255,8.0,146.0,1.0,18.0,1.0,170.0,1.0,,7.0,10.0,46.0,,,2.0,2.0,,10.0,2.0,7.0,,66.0,414.0,8.0,4.0,42.0,87.0,,5.0,1.0,0.0,2.0,10.0,,,1.0,2.0,7.0,0.0,,2.0,6.0,67.8,31.0,2.0,2.0,5.0,56.0,8.0,3.0,523.0,8.0,6.0,13.0,10.0,,33.0,4.0,6.0,396.0,6.0,6.0,24.0,134.0,29.0,,7.0,10.0,8.0,,2.0,11.0,3.0,6.0,7.0,2.0,8.0,,,4.0,1.0,1.0,1.0,,16.0,,1.0,3.0,,3.0,1.0,4.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,1.0
26,695152,2014-02-11 19:45:00,"Cardiff City Stadium, Cardiff",27597,Away,Aston Villa,Cardiff City,0,0,D,0,0,0,0,,,56.0,,,,2.0,28.0,35.0,9.0,4.0,,3.0,,3.0,175.0,,14.0,9.0,,,15.0,,6.0,79.0,190.0,75.0,,18.0,28.0,4.0,,1.0,,1.0,,,4.0,44.0,16.0,2.0,35.0,8.0,8.0,23.0,,191.0,,0.0,145.0,9.0,,1.0,,,1.0,1.0,71.0,56.0,9.0,58.0,1.0,,36.0,10.0,,5.0,190.0,2.0,7.0,81.0,643.0,13.0,18.0,,,18.0,265.0,19.0,13.0,14.0,,1.0,0.0,3.0,6.0,34.0,382.0,75.0,,90255,8.0,97.0,2.0,21.0,,125.0,5.0,,10.0,6.0,61.0,,,3.0,3.0,,9.0,5.0,2.0,,63.0,274.0,5.0,9.0,48.0,103.0,,3.0,1.0,0.0,1.0,7.0,3.0,,,,4.0,0.0,,1.0,3.0,54.6,26.0,,3.0,4.0,50.0,9.0,2.0,393.0,18.0,9.0,10.0,8.0,,26.0,2.0,3.0,312.0,9.0,6.0,38.0,94.0,30.0,,3.0,14.0,24.0,,,14.0,1.0,16.0,3.0,7.0,9.0,1.0,,2.0,2.0,1.0,1.0,,14.0,1.0,1.0,2.0,1.0,12.0,,1.0,,,3.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,2.0,,,,,,,,,1.0,,,,,,
27,695166,2014-02-23 13:30:00,"St. James' Park, Newcastle",50417,Away,Aston Villa,Newcastle United,0,1,L,0,0,0,0,,,60.0,,,3.0,1.0,33.0,34.0,7.0,3.0,,4.0,,1.0,168.0,,4.0,3.0,,4.0,6.0,1.0,2.0,69.0,166.0,62.0,,10.0,27.0,1.0,1.0,2.0,,2.0,,,2.0,18.0,18.0,1.0,34.0,1.0,10.0,35.0,,147.0,,0.0,118.0,10.0,,2.0,1.0,1.0,,2.0,30.0,53.0,4.0,54.0,,2.0,17.0,13.0,,4.0,166.0,,7.0,58.0,564.0,6.0,21.0,,,15.0,225.0,25.0,21.0,21.0,,2.0,2.0,5.0,2.0,23.0,326.0,80.0,,90255,1.0,96.0,,11.0,1.0,122.0,4.0,,13.0,11.0,68.0,,,3.0,3.0,,7.0,16.0,7.0,,68.0,239.0,12.0,10.0,50.0,96.0,1.0,1.0,,0.0,3.0,10.0,1.0,,,1.0,7.0,0.0,,,,45.3,20.0,2.0,3.0,3.0,54.0,1.0,2.0,349.0,15.0,14.0,13.0,5.0,,25.0,1.0,1.0,245.0,7.0,9.0,27.0,66.0,21.0,,8.0,21.0,20.0,,1.0,7.0,2.0,11.0,8.0,7.0,1.0,1.0,2.0,2.0,,,1.0,2.0,5.0,,1.0,,,3.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,1.0,,
28,695171,2014-03-02 16:30:00,"Villa Park, Birmingham",30303,Home,Aston Villa,Norwich City,4,1,W,4,1,0,0,,,52.0,2.0,,2.0,,31.0,21.0,3.0,3.0,,3.0,1.0,,177.0,,6.0,4.0,4.0,1.0,9.0,,4.0,104.0,164.0,59.0,,10.0,12.0,1.0,1.0,1.0,,,2.0,1.0,,22.0,20.0,,21.0,6.0,14.0,29.0,,231.0,,0.0,141.0,12.0,,2.0,2.0,,,,70.0,61.0,6.0,105.0,,2.0,16.0,19.0,,,164.0,,4.0,103.0,700.0,5.0,20.0,,,14.0,367.0,18.0,15.0,13.0,3.0,,0.0,1.0,3.0,39.0,470.0,89.0,1.0,90255,4.0,155.0,,7.0,,180.0,6.0,1.0,19.0,8.0,45.0,1.0,,1.0,2.0,2.0,10.0,3.0,6.0,,71.0,380.0,9.0,2.0,49.0,105.0,1.0,,,0.0,3.0,2.0,1.0,4.0,,1.0,7.0,0.0,2.0,2.0,3.0,55.1,35.0,1.0,2.0,3.0,59.0,6.0,,489.0,14.0,11.0,12.0,3.0,,24.0,5.0,3.0,331.0,4.0,11.0,21.0,92.0,25.0,2.0,,13.0,25.0,1.0,1.0,8.0,2.0,12.0,,14.0,6.0,,,3.0,,,1.0,,8.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
29,695185,2014-05-07 19:45:00,"Etihad Stadium, Manchester",47023,Away,Aston Villa,Manchester City,0,4,L,0,0,0,0,,,34.0,,,2.0,,19.0,36.0,2.0,1.0,,5.0,,,104.0,,3.0,3.0,,2.0,5.0,,,54.0,110.0,35.0,,5.0,17.0,,1.0,,1.0,1.0,,,,11.0,13.0,,36.0,2.0,2.0,17.0,,95.0,,0.0,76.0,9.0,,4.0,1.0,,,3.0,39.0,46.0,3.0,42.0,2.0,1.0,9.0,8.0,,,110.0,1.0,12.0,57.0,427.0,5.0,8.0,,1.0,14.0,175.0,13.0,3.0,18.0,,1.0,2.0,4.0,2.0,19.0,238.0,49.0,,90255,,91.0,1.0,6.0,1.0,109.0,8.0,,8.0,9.0,42.0,,,,6.0,,7.0,6.0,4.0,,54.0,183.0,7.0,6.0,25.0,63.0,1.0,,,0.0,1.0,7.0,3.0,,,4.0,2.0,0.0,,,1.0,26.7,14.0,,6.0,3.0,26.0,2.0,3.0,257.0,14.0,9.0,5.0,2.0,,7.0,,1.0,159.0,3.0,2.0,10.0,39.0,9.0,,4.0,18.0,16.0,,3.0,4.0,3.0,4.0,4.0,5.0,2.0,,,3.0,,,1.0,,2.0,1.0,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,
30,695191,2014-03-15 17:30:00,"Villa Park, Birmingham",40084,Home,Aston Villa,Chelsea,1,0,W,0,0,0,2,,,65.0,,1.0,1.0,1.0,30.0,42.0,6.0,4.0,,2.0,1.0,1.0,135.0,,4.0,14.0,1.0,1.0,12.0,2.0,4.0,59.0,140.0,70.0,,13.0,20.0,2.0,,1.0,,3.0,1.0,,1.0,21.0,21.0,1.0,42.0,3.0,10.0,27.0,,147.0,,0.0,113.0,14.0,,1.0,,1.0,,2.0,40.0,62.0,6.0,43.0,1.0,4.0,18.0,13.0,,3.0,140.0,1.0,7.0,63.0,522.0,10.0,19.0,,1.0,14.0,197.0,19.0,16.0,16.0,1.0,3.0,4.0,6.0,6.0,17.0,279.0,56.0,,90255,6.0,70.0,1.0,9.0,,85.0,9.0,,13.0,10.0,55.0,7.0,,3.0,1.0,1.0,11.0,8.0,4.0,,53.0,213.0,6.0,14.0,30.0,87.0,,1.0,,0.0,1.0,5.0,1.0,1.0,,,4.0,0.0,1.0,1.0,3.0,38.6,10.0,3.0,1.0,3.0,49.0,4.0,2.0,300.0,14.0,4.0,12.0,6.0,,20.0,2.0,3.0,236.0,6.0,7.0,24.0,68.0,32.0,,4.0,16.0,26.0,,,12.0,2.0,18.0,4.0,6.0,4.0,1.0,,2.0,,,1.0,,8.0,,1.0,1.0,,2.0,,2.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,
31,695201,2014-03-23 16:00:00,"Villa Park, Birmingham",30292,Home,Aston Villa,Stoke City,1,4,L,1,3,0,0,,,49.0,,,1.0,3.0,25.0,15.0,5.0,5.0,,1.0,1.0,,164.0,,5.0,6.0,1.0,6.0,10.0,,3.0,116.0,154.0,42.0,,12.0,29.0,1.0,,1.0,,,1.0,,2.0,28.0,14.0,1.0,15.0,4.0,7.0,17.0,,229.0,,0.0,159.0,16.0,,1.0,,,,1.0,85.0,59.0,6.0,68.0,,1.0,24.0,8.0,,3.0,154.0,,4.0,116.0,668.0,7.0,6.0,,,8.0,366.0,16.0,4.0,9.0,1.0,,5.0,1.0,4.0,35.0,447.0,71.0,,90255,6.0,156.0,,10.0,2.0,175.0,9.0,,8.0,5.0,67.0,,,2.0,6.0,1.0,24.0,6.0,3.0,,53.0,380.0,10.0,9.0,17.0,76.0,,,,0.0,3.0,3.0,,1.0,,4.0,2.0,0.0,1.0,,3.0,50.4,33.0,3.0,6.0,4.0,41.0,5.0,1.0,464.0,8.0,10.0,5.0,5.0,,21.0,2.0,2.0,317.0,4.0,7.0,7.0,117.0,21.0,1.0,1.0,9.0,20.0,,3.0,8.0,3.0,10.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,,3.0,1.0,11.0,1.0,,2.0,2.0,3.0,,2.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
32,695215,2014-03-29 12:45:00,"Old Trafford, Manchester",75368,Away,Aston Villa,Manchester United,1,4,L,1,2,0,0,,,49.0,,,1.0,1.0,30.0,18.0,5.0,1.0,,2.0,,,142.0,,5.0,4.0,1.0,3.0,9.0,1.0,1.0,80.0,142.0,45.0,,10.0,14.0,,,,,1.0,,,2.0,19.0,20.0,,18.0,5.0,16.0,29.0,1.0,171.0,,0.0,116.0,17.0,,1.0,,,,4.0,59.0,57.0,2.0,61.0,1.0,2.0,14.0,17.0,,3.0,142.0,3.0,7.0,89.0,561.0,7.0,5.0,,,7.0,279.0,16.0,7.0,7.0,,1.0,4.0,2.0,6.0,28.0,354.0,74.0,,90255,2.0,122.0,3.0,9.0,1.0,133.0,9.0,1.0,17.0,6.0,54.0,,,2.0,4.0,,14.0,2.0,2.0,,63.0,288.0,9.0,6.0,32.0,83.0,,,,0.0,,,1.0,,,4.0,1.0,0.0,,2.0,2.0,44.1,22.0,2.0,4.0,2.0,38.0,5.0,4.0,372.0,7.0,12.0,13.0,7.0,,14.0,,4.0,258.0,7.0,15.0,9.0,73.0,19.0,,3.0,7.0,24.0,,4.0,8.0,2.0,10.0,3.0,10.0,5.0,,1.0,1.0,,,2.0,1.0,3.0,1.0,3.0,1.0,,5.0,,2.0,2.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,
33,695221,2014-04-05 15:00:00,"Villa Park, Birmingham",33532,Home,Aston Villa,Fulham,1,2,L,0,0,0,0,,,50.0,,1.0,3.0,,42.0,35.0,4.0,2.0,,5.0,,4.0,161.0,,6.0,8.0,1.0,3.0,10.0,1.0,6.0,96.0,152.0,43.0,,12.0,25.0,4.0,,3.0,,,,,,23.0,10.0,1.0,35.0,2.0,8.0,30.0,,141.0,,0.0,119.0,10.0,,3.0,,,1.0,,45.0,58.0,7.0,61.0,,2.0,21.0,15.0,,,152.0,,5.0,92.0,612.0,9.0,4.0,,1.0,4.0,300.0,30.0,11.0,16.0,1.0,,3.0,5.0,3.0,28.0,395.0,72.0,,90255,4.0,174.0,,11.0,,202.0,5.0,,15.0,9.0,61.0,,,,3.0,,8.0,11.0,7.0,,81.0,309.0,13.0,12.0,41.0,81.0,,,,0.0,2.0,7.0,3.0,1.0,,2.0,,0.0,1.0,2.0,3.0,50.1,21.0,3.0,3.0,3.0,42.0,2.0,,410.0,4.0,12.0,11.0,3.0,,22.0,2.0,3.0,231.0,7.0,7.0,10.0,70.0,10.0,1.0,4.0,16.0,12.0,1.0,1.0,11.0,2.0,11.0,4.0,9.0,2.0,1.0,,3.0,,3.0,2.0,,8.0,,1.0,,1.0,4.0,,2.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,,1.0,,,,,,,,,1.0,,,,,
34,695231,2014-04-12 15:07:00,"Selhurst Park, London",25564,Away,Aston Villa,Crystal Palace,0,1,L,0,0,0,0,1.0,,47.0,,,1.0,,35.0,36.0,4.0,2.0,,3.0,,2.0,157.0,,4.0,4.0,,,7.0,1.0,4.0,109.0,150.0,57.0,,7.0,27.0,2.0,,,,,,,,23.0,17.0,2.0,36.0,3.0,9.0,41.0,1.0,210.0,,0.0,134.0,12.0,,,,,1.0,2.0,60.0,78.0,4.0,75.0,1.0,2.0,20.0,9.0,,1.0,150.0,1.0,9.0,116.0,667.0,5.0,8.0,,,11.0,352.0,20.0,6.0,15.0,,,2.0,1.0,2.0,28.0,440.0,75.0,,90255,3.0,156.0,1.0,11.0,,176.0,3.0,,9.0,8.0,62.0,,,,4.0,,8.0,5.0,5.0,,73.0,362.0,6.0,6.0,25.0,87.0,,,,0.0,,2.0,2.0,,,1.0,4.0,0.0,,,1.0,57.1,25.0,2.0,4.0,1.0,38.0,4.0,3.0,457.0,11.0,13.0,13.0,2.0,,19.0,1.0,1.0,304.0,4.0,7.0,22.0,82.0,15.0,,3.0,15.0,25.0,,1.0,6.0,2.0,13.0,3.0,5.0,4.0,1.0,,1.0,,,,,9.0,,,1.0,1.0,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
35,695241,2014-04-19 15:00:00,"Villa Park, Birmingham",35134,Home,Aston Villa,Southampton,0,0,D,0,0,0,0,,,54.0,,,,1.0,32.0,21.0,4.0,2.0,,2.0,,,129.0,,4.0,4.0,,2.0,5.0,,1.0,59.0,160.0,50.0,,6.0,23.0,,,2.0,,,,,2.0,23.0,14.0,1.0,21.0,5.0,4.0,25.0,,97.0,,0.0,83.0,11.0,,1.0,,1.0,,3.0,48.0,34.0,1.0,31.0,,2.0,18.0,15.0,,3.0,160.0,,3.0,44.0,456.0,4.0,13.0,,,10.0,156.0,22.0,11.0,5.0,,,0.0,1.0,4.0,29.0,245.0,58.0,,90255,,76.0,,11.0,,105.0,5.0,,15.0,8.0,54.0,,,5.0,2.0,,14.0,,3.0,,61.0,169.0,11.0,4.0,30.0,77.0,,1.0,,0.0,,3.0,2.0,,,,2.0,0.0,,,,31.6,24.0,2.0,2.0,1.0,38.0,5.0,3.0,263.0,10.0,11.0,10.0,4.0,,17.0,1.0,1.0,181.0,4.0,4.0,18.0,47.0,19.0,,3.0,5.0,18.0,,,6.0,2.0,10.0,3.0,9.0,5.0,1.0,,,,,3.0,,4.0,1.0,,1.0,,3.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
36,695259,2014-04-26 15:00:00,"Swansea.com Stadium, Swansea",20701,Away,Aston Villa,Swansea City,1,4,L,1,2,0,0,,1.0,57.0,,,3.0,,37.0,25.0,9.0,2.0,,4.0,,2.0,152.0,1.0,3.0,9.0,1.0,5.0,8.0,,3.0,106.0,145.0,44.0,,11.0,16.0,,,,,,1.0,,1.0,30.0,10.0,2.0,25.0,5.0,7.0,28.0,,223.0,,0.0,172.0,12.0,,4.0,,,,5.0,74.0,92.0,5.0,64.0,,,25.0,15.0,,3.0,145.0,1.0,5.0,93.0,610.0,7.0,5.0,,,14.0,314.0,17.0,5.0,13.0,1.0,,3.0,1.0,3.0,32.0,397.0,82.0,,90255,,109.0,,15.0,,130.0,3.0,1.0,15.0,5.0,41.0,,,1.0,5.0,1.0,9.0,6.0,2.0,,53.0,329.0,9.0,7.0,24.0,74.0,,,2.0,0.0,3.0,9.0,1.0,1.0,,4.0,1.0,0.0,1.0,1.0,,52.4,24.0,4.0,5.0,5.0,44.0,6.0,6.0,415.0,14.0,6.0,16.0,3.0,,13.0,,,315.0,9.0,4.0,15.0,123.0,28.0,1.0,4.0,13.0,11.0,,2.0,7.0,3.0,11.0,4.0,6.0,6.0,,3.0,5.0,1.0,,1.0,3.0,9.0,,,,1.0,3.0,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,1.0,,,1.0,1.0,1.0,,
37,695262,2014-05-03 15:00:00,"Villa Park, Birmingham",37182,Home,Aston Villa,Hull City,3,1,W,3,1,0,0,1.0,1.0,57.0,,2.0,2.0,1.0,20.0,29.0,4.0,3.0,,2.0,,2.0,155.0,,6.0,2.0,3.0,2.0,9.0,,9.0,72.0,158.0,57.0,,15.0,23.0,6.0,,3.0,,1.0,2.0,,,22.0,10.0,,29.0,8.0,11.0,28.0,,157.0,,0.0,137.0,14.0,,2.0,,,,5.0,75.0,58.0,6.0,51.0,,1.0,14.0,19.0,,3.0,158.0,,6.0,80.0,554.0,6.0,14.0,,1.0,17.0,247.0,17.0,3.0,15.0,2.0,1.0,0.0,2.0,3.0,27.0,340.0,68.0,,90255,6.0,100.0,,8.0,,121.0,5.0,1.0,19.0,6.0,46.0,,,,4.0,2.0,8.0,3.0,1.0,,62.0,251.0,9.0,,37.0,88.0,,,,0.0,5.0,5.0,,3.0,,1.0,4.0,0.0,2.0,,5.0,44.2,22.0,2.0,4.0,2.0,32.0,8.0,5.0,358.0,17.0,7.0,14.0,4.0,,15.0,3.0,1.0,259.0,7.0,9.0,36.0,79.0,28.0,2.0,2.0,15.0,12.0,2.0,1.0,12.0,3.0,7.0,2.0,10.0,8.0,1.0,,1.0,2.0,1.0,2.0,,4.0,,1.0,1.0,1.0,3.0,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,2.0,,3.0,,,,,,,,,,,,,2.0,,
38,695279,2014-05-11 15:00:00,"White Hart Lane, London",35826,Away,Aston Villa,Tottenham Hotspur,0,3,L,0,3,0,0,1.0,,44.0,,,,1.0,34.0,20.0,3.0,2.0,,4.0,,,143.0,,6.0,3.0,,3.0,3.0,,1.0,106.0,140.0,41.0,,4.0,21.0,,,,,2.0,,,1.0,16.0,12.0,1.0,20.0,1.0,3.0,34.0,,237.0,,0.0,176.0,11.0,,3.0,,,1.0,1.0,89.0,80.0,2.0,86.0,1.0,1.0,15.0,10.0,,2.0,140.0,,9.0,126.0,639.0,3.0,7.0,,,23.0,351.0,15.0,10.0,11.0,,2.0,0.0,2.0,1.0,25.0,440.0,70.0,,90255,1.0,136.0,,5.0,,159.0,5.0,,10.0,7.0,54.0,,,,3.0,,9.0,4.0,1.0,,60.0,367.0,11.0,7.0,30.0,76.0,,1.0,,0.0,2.0,5.0,4.0,,,3.0,2.0,0.0,,,,45.3,23.0,1.0,3.0,1.0,40.0,1.0,1.0,461.0,23.0,14.0,17.0,2.0,,19.0,1.0,,318.0,2.0,3.0,11.0,123.0,23.0,,3.0,11.0,17.0,,3.0,4.0,2.0,6.0,3.0,6.0,1.0,1.0,,,,,2.0,,8.0,,,,,5.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
