gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attRfTarget,fouledFinalThird,attOboxBlocked,attMissHighRight,midfielderGoals,freekickCross,attOboxMiss,attBxLeft,blockedScoringAtt,attIboxBlocked,attBxRight,attHdTarget,sixYardBlock,attSetpiece,clearanceOffLine,goalsConcededObox,contentiousDecision,hitWoodwork,errorLeadToShot,punches,goalsConceded,goalsConcededIbox,attGoalLowLeft,accuratePullBack,attMissRight,penaltyConceded,totalPullBack,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attCmissRight,attFreekickTotal,freekickTotal,foulThrowIn,postScoringAtt,attOboxPost,attPostHigh,errorLeadToGoal,attGoalLowRight,attLfGoal,attGoalLowCentre,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,penaltySave,attCmissHigh,attFreekickMiss,attOboxGoal,secondYellow,accurateFreekickCross,attMissHighLeft,goalAssistSetplay,attObpGoal,attOneOnOne,penaltyWon,attSvHighLeft,attPenGoal,attIboxPost,ptsGainedLosingPos,attHdPost,attFreekickTarget,goalAssistDeadball,attSvHighRight,attPostLeft,attObxdLeft,ownGoals,attIboxOwnGoal
11,918995,2017-11-04 15:00:00,"John Smith's Stadium, Huddersfield",24169,Home,Huddersfield Town,West Bromwich Albion,1,0,W,1,0,1,0,1.0,,58.0,2.0,38.0,33.0,5.0,3.0,2.0,3.0,143.0,2.0,5.0,1.0,5.0,3.0,105.0,131.0,58.0,7.0,17.0,,,1.0,1.0,1.0,16.0,12.0,1.0,2.0,33.0,3.0,6.0,31.0,163.0,1.0,0.0,117.0,8.0,2.0,,5.0,76.0,72.0,3.0,71.0,,13.0,11.0,5.0,1.0,131.0,,3.0,102.0,618.0,4.0,8.0,9.0,17.0,317.0,27.0,8.0,20.0,1.0,,1.0,4.0,2.0,22.0,391.0,55.0,,87428,1.0,178.0,,10.0,191.0,4.0,1.0,11.0,7.0,46.0,1.0,4.0,5.0,1.0,14.0,6.0,4.0,2.0,70.0,339.0,15.0,9.0,,21.0,77.0,,1.0,,0.0,,5.0,1.0,,,1.0,1.0,,1.0,,50.1,18.0,,3.0,,5.0,45.0,3.0,5.0,421.0,17.0,6.0,13.0,3.0,17.0,1.0,2.0,246.0,4.0,6.0,19.0,74.0,17.0,,2.0,20.0,20.0,,5.0,3.0,12.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
12,919003,2017-11-18 15:00:00,"Vitality Stadium, Bournemouth",10879,Away,Huddersfield Town,Bournemouth,0,4,L,0,2,0,1,,,54.0,,43.0,10.0,9.0,6.0,10.0,1.0,168.0,9.0,11.0,,14.0,3.0,145.0,162.0,55.0,19.0,22.0,,1.0,,1.0,6.0,46.0,11.0,,3.0,10.0,7.0,7.0,43.0,261.0,,0.0,178.0,10.0,,1.0,1.0,72.0,101.0,8.0,82.0,1.0,39.0,15.0,9.0,13.0,162.0,,6.0,144.0,736.0,12.0,9.0,29.0,10.0,415.0,20.0,11.0,3.0,,1.0,2.0,,6.0,25.0,511.0,78.0,,87428,4.0,189.0,,23.0,208.0,6.0,,15.0,6.0,45.0,1.0,,1.0,,13.0,3.0,6.0,,84.0,441.0,13.0,4.0,2.0,33.0,78.0,,,,0.0,2.0,8.0,1.0,,3.0,0.0,7.0,,,2.0,69.3,25.0,2.0,5.0,1.0,1.0,42.0,11.0,1.0,539.0,10.0,9.0,22.0,10.0,52.0,2.0,6.0,377.0,11.0,6.0,12.0,133.0,26.0,,,3.0,19.0,,14.0,3.0,14.0,,4.0,11.0,1.0,3.0,5.0,2.0,1.0,,3.0,4.0,3.0,6.0,4.0,1.0,,3.0,2.0,,,1.0,,,1.0,4.0,4.0,,,3.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
13,919015,2017-11-26 16:00:00,"John Smith's Stadium, Huddersfield",24121,Home,Huddersfield Town,Manchester City,1,2,L,1,0,1,0,,,54.0,,21.0,25.0,2.0,1.0,2.0,3.0,109.0,3.0,8.0,1.0,2.0,,24.0,138.0,51.0,4.0,11.0,,,,,1.0,10.0,11.0,,,25.0,3.0,3.0,16.0,50.0,,0.0,75.0,10.0,3.0,,,20.0,45.0,,22.0,2.0,7.0,20.0,2.0,2.0,138.0,1.0,10.0,29.0,357.0,2.0,14.0,8.0,23.0,79.0,34.0,8.0,9.0,,,2.0,2.0,2.0,19.0,151.0,43.0,,87428,1.0,47.0,1.0,5.0,69.0,5.0,,20.0,15.0,57.0,1.0,3.0,,,12.0,4.0,8.0,,65.0,94.0,8.0,15.0,,35.0,62.0,,,,0.0,,7.0,3.0,1.0,1.0,1.0,2.0,,,,20.5,14.0,,5.0,,,20.0,3.0,,184.0,23.0,10.0,7.0,3.0,15.0,1.0,1.0,125.0,3.0,3.0,19.0,31.0,9.0,,1.0,9.0,16.0,,3.0,3.0,19.0,1.0,11.0,3.0,,,1.0,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,2.0,2.0,,,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
14,919024,2017-11-29 19:45:00,"Emirates Stadium, London",59285,Away,Huddersfield Town,Arsenal,0,5,L,0,1,0,0,1.0,,50.0,1.0,22.0,30.0,2.0,3.0,5.0,1.0,132.0,2.0,7.0,,6.0,2.0,81.0,130.0,45.0,7.0,13.0,1.0,2.0,,1.0,,10.0,7.0,,1.0,30.0,2.0,12.0,32.0,91.0,,0.0,63.0,12.0,1.0,,,35.0,36.0,4.0,46.0,1.0,8.0,10.0,2.0,3.0,130.0,,16.0,78.0,518.0,4.0,7.0,10.0,15.0,239.0,24.0,6.0,8.0,,3.0,1.0,7.0,2.0,22.0,312.0,40.0,1.0,87428,2.0,170.0,,3.0,192.0,7.0,,10.0,9.0,48.0,1.0,3.0,3.0,,17.0,5.0,6.0,3.0,48.0,259.0,9.0,7.0,2.0,18.0,58.0,,,,0.0,1.0,7.0,1.0,,1.0,0.0,1.0,,,2.0,29.7,18.0,2.0,2.0,1.0,3.0,27.0,2.0,,337.0,15.0,15.0,20.0,3.0,14.0,1.0,2.0,155.0,2.0,11.0,16.0,34.0,20.0,,2.0,8.0,13.0,,4.0,3.0,11.0,2.0,3.0,2.0,2.0,1.0,3.0,,,,2.0,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,,1.0,,1.0,,5.0,5.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
15,919037,2017-12-02 15:00:00,"Goodison Park, Liverpool",39167,Away,Huddersfield Town,Everton,0,2,L,0,0,0,0,,,56.0,2.0,42.0,34.0,2.0,2.0,3.0,2.0,165.0,3.0,7.0,,3.0,3.0,96.0,169.0,70.0,5.0,40.0,2.0,1.0,,1.0,1.0,27.0,15.0,,1.0,34.0,5.0,6.0,41.0,159.0,,0.0,164.0,9.0,1.0,1.0,2.0,68.0,66.0,1.0,56.0,1.0,22.0,24.0,2.0,6.0,169.0,,3.0,79.0,605.0,2.0,17.0,12.0,13.0,268.0,24.0,12.0,16.0,,1.0,1.0,1.0,2.0,31.0,375.0,86.0,,87428,1.0,125.0,,14.0,146.0,6.0,,24.0,4.0,65.0,1.0,,2.0,,12.0,3.0,3.0,,94.0,281.0,12.0,4.0,1.0,43.0,77.0,,,1.0,0.0,1.0,2.0,,,2.0,0.0,1.0,,1.0,1.0,52.9,27.0,,,1.0,2.0,35.0,5.0,2.0,396.0,13.0,9.0,19.0,2.0,37.0,2.0,1.0,277.0,2.0,6.0,29.0,92.0,27.0,,,16.0,23.0,,2.0,2.0,11.0,,10.0,5.0,,2.0,3.0,,1.0,,2.0,1.0,1.0,,,,1.0,,1.0,,,,,,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
16,919045,2017-12-09 15:00:00,"John Smith's Stadium, Huddersfield",24018,Home,Huddersfield Town,Brighton and Hove Albion,2,0,W,2,0,0,0,3.0,1.0,71.0,2.0,29.0,16.0,7.0,10.0,12.0,2.0,221.0,5.0,6.0,2.0,14.0,6.0,113.0,195.0,74.0,19.0,22.0,3.0,,,3.0,4.0,28.0,20.0,,1.0,16.0,7.0,12.0,35.0,241.0,1.0,0.0,182.0,6.0,,,,109.0,103.0,9.0,102.0,,21.0,23.0,7.0,6.0,195.0,2.0,2.0,105.0,746.0,12.0,18.0,33.0,10.0,386.0,28.0,14.0,8.0,2.0,,0.0,3.0,5.0,28.0,516.0,82.0,,87428,5.0,167.0,1.0,14.0,196.0,5.0,,23.0,6.0,50.0,,1.0,2.0,,10.0,5.0,3.0,3.0,75.0,403.0,10.0,5.0,,49.0,102.0,,1.0,1.0,0.0,1.0,1.0,,2.0,6.0,0.0,3.0,2.0,3.0,2.0,58.4,23.0,1.0,4.0,,2.0,51.0,8.0,1.0,541.0,10.0,13.0,19.0,8.0,27.0,2.0,4.0,373.0,6.0,11.0,35.0,118.0,34.0,2.0,4.0,8.0,23.0,1.0,12.0,3.0,10.0,4.0,6.0,8.0,,1.0,2.0,2.0,,,1.0,4.0,2.0,5.0,3.0,1.0,,,,,,,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,
17,919055,2017-12-12 20:00:00,"John Smith's Stadium, Huddersfield",24169,Home,Huddersfield Town,Chelsea,1,3,L,0,2,0,0,1.0,,41.0,,20.0,16.0,4.0,3.0,3.0,2.0,128.0,1.0,8.0,1.0,4.0,2.0,106.0,99.0,30.0,7.0,11.0,1.0,,1.0,,2.0,9.0,4.0,,,16.0,1.0,7.0,24.0,126.0,,0.0,62.0,11.0,,,,50.0,64.0,3.0,68.0,1.0,8.0,10.0,4.0,3.0,99.0,1.0,10.0,129.0,558.0,3.0,6.0,5.0,11.0,340.0,23.0,3.0,3.0,1.0,,0.0,3.0,1.0,15.0,404.0,32.0,,87428,2.0,238.0,1.0,5.0,259.0,6.0,,10.0,9.0,44.0,,2.0,2.0,1.0,10.0,2.0,7.0,1.0,48.0,363.0,3.0,12.0,,18.0,60.0,,1.0,2.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,35.8,15.0,,1.0,,2.0,34.0,1.0,,431.0,11.0,7.0,12.0,4.0,13.0,,1.0,181.0,3.0,6.0,11.0,40.0,13.0,,3.0,3.0,8.0,1.0,7.0,3.0,11.0,3.0,4.0,1.0,,,,1.0,,,,3.0,1.0,1.0,,,,,,,,,,2.0,,3.0,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,
18,919071,2017-12-16 15:00:00,"Vicarage Road, Watford",20026,Away,Huddersfield Town,Watford,4,1,W,2,0,1,1,2.0,3.0,61.0,,22.0,20.0,2.0,6.0,13.0,2.0,143.0,4.0,7.0,4.0,10.0,9.0,53.0,147.0,66.0,15.0,21.0,5.0,,2.0,3.0,,17.0,15.0,,,20.0,5.0,3.0,29.0,109.0,,0.0,89.0,17.0,2.0,1.0,,45.0,66.0,7.0,60.0,,12.0,23.0,2.0,1.0,147.0,4.0,10.0,54.0,508.0,7.0,13.0,24.0,10.0,211.0,24.0,5.0,10.0,2.0,,2.0,3.0,3.0,19.0,285.0,44.0,,87428,4.0,120.0,2.0,8.0,141.0,8.0,3.0,23.0,10.0,65.0,1.0,3.0,,2.0,19.0,3.0,4.0,1.0,57.0,225.0,11.0,10.0,1.0,28.0,67.0,,,,0.0,1.0,8.0,2.0,4.0,8.0,1.0,3.0,1.0,,3.0,40.6,11.0,3.0,5.0,,,29.0,7.0,,310.0,10.0,12.0,14.0,4.0,18.0,1.0,3.0,186.0,6.0,3.0,24.0,54.0,31.0,2.0,5.0,10.0,24.0,,9.0,3.0,13.0,5.0,14.0,7.0,,3.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,,,,,1.0,,,,,1.0,,4.0,,2.0,,,,,,1.0,1.0,1.0,,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,
19,919079,2017-12-23 15:00:00,"St. Mary's Stadium, Southampton",29675,Away,Huddersfield Town,Southampton,1,1,D,0,1,0,0,1.0,1.0,85.0,4.0,30.0,25.0,2.0,2.0,8.0,5.0,169.0,6.0,10.0,1.0,6.0,2.0,71.0,181.0,61.0,10.0,22.0,1.0,2.0,1.0,1.0,,21.0,11.0,,,25.0,1.0,5.0,20.0,125.0,,0.0,119.0,9.0,1.0,,1.0,46.0,94.0,4.0,51.0,1.0,20.0,23.0,2.0,7.0,181.0,2.0,8.0,54.0,558.0,5.0,15.0,15.0,19.0,206.0,40.0,13.0,11.0,1.0,2.0,1.0,2.0,2.0,23.0,315.0,76.0,,86176,7.0,104.0,1.0,11.0,133.0,5.0,,23.0,5.0,52.0,1.0,4.0,1.0,1.0,16.0,4.0,4.0,,84.0,223.0,16.0,8.0,,55.0,88.0,,,,0.0,4.0,9.0,1.0,1.0,2.0,0.0,5.0,1.0,1.0,3.0,47.4,17.0,1.0,3.0,,1.0,31.0,1.0,1.0,345.0,19.0,5.0,7.0,4.0,24.0,1.0,1.0,233.0,5.0,4.0,19.0,58.0,32.0,1.0,3.0,11.0,17.0,1.0,6.0,3.0,19.0,3.0,10.0,1.0,,,3.0,,1.0,,2.0,2.0,,4.0,4.0,,,,2.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,
20,919086,2017-12-26 15:00:00,"John Smith's Stadium, Huddersfield",24047,Home,Huddersfield Town,Stoke City,1,1,D,1,0,0,0,2.0,1.0,70.0,1.0,28.0,20.0,5.0,8.0,13.0,4.0,179.0,5.0,8.0,1.0,14.0,7.0,126.0,172.0,51.0,18.0,34.0,4.0,,1.0,2.0,3.0,34.0,11.0,,2.0,20.0,7.0,14.0,24.0,224.0,,0.0,137.0,9.0,4.0,2.0,,84.0,75.0,6.0,80.0,,27.0,25.0,5.0,9.0,172.0,2.0,11.0,115.0,735.0,13.0,8.0,34.0,7.0,404.0,26.0,4.0,10.0,1.0,,2.0,5.0,8.0,29.0,484.0,51.0,1.0,86176,4.0,197.0,1.0,15.0,213.0,7.0,,25.0,4.0,84.0,2.0,2.0,4.0,1.0,17.0,4.0,3.0,2.0,50.0,416.0,11.0,10.0,,21.0,72.0,,2.0,2.0,0.0,4.0,5.0,5.0,1.0,2.0,0.0,5.0,1.0,,,58.3,24.0,,5.0,,4.0,49.0,8.0,,500.0,7.0,19.0,14.0,8.0,44.0,,7.0,321.0,10.0,14.0,15.0,100.0,35.0,,1.0,10.0,17.0,,14.0,3.0,20.0,1.0,11.0,8.0,,4.0,6.0,2.0,1.0,1.0,3.0,1.0,5.0,3.0,1.0,3.0,,,,2.0,,1.0,,1.0,,1.0,1.0,,,2.0,,,,,2.0,,2.0,2.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
21,919096,2017-12-30 15:00:00,"John Smith's Stadium, Huddersfield",24095,Home,Huddersfield Town,Burnley,0,0,D,0,0,0,0,,,61.0,1.0,33.0,33.0,3.0,1.0,,4.0,161.0,2.0,10.0,,2.0,1.0,91.0,163.0,69.0,3.0,24.0,,,,,,22.0,11.0,,1.0,33.0,5.0,4.0,38.0,108.0,1.0,0.0,89.0,14.0,2.0,,,43.0,55.0,1.0,42.0,4.0,17.0,16.0,3.0,3.0,163.0,,9.0,90.0,591.0,2.0,12.0,7.0,16.0,265.0,28.0,8.0,17.0,,,2.0,2.0,1.0,28.0,358.0,62.0,,87856,,178.0,,11.0,206.0,10.0,,16.0,8.0,62.0,2.0,,3.0,,14.0,2.0,5.0,1.0,74.0,284.0,12.0,8.0,,25.0,81.0,,,,0.0,4.0,4.0,3.0,,4.0,0.0,2.0,,,,56.9,20.0,,1.0,1.0,3.0,39.0,5.0,,384.0,16.0,11.0,14.0,2.0,29.0,,,200.0,2.0,2.0,31.0,43.0,25.0,,1.0,17.0,16.0,,1.0,3.0,16.0,1.0,6.0,5.0,,1.0,3.0,,1.0,,3.0,2.0,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
22,919107,2018-01-01 15:00:00,"King Power Stadium, Leicester",31748,Away,Huddersfield Town,Leicester City,0,3,L,0,0,0,0,1.0,,66.0,,37.0,43.0,4.0,3.0,2.0,2.0,165.0,1.0,11.0,,5.0,1.0,102.0,150.0,73.0,6.0,25.0,,1.0,,,1.0,17.0,18.0,,1.0,43.0,1.0,10.0,35.0,149.0,,0.0,98.0,9.0,,,1.0,46.0,70.0,2.0,61.0,,16.0,21.0,4.0,8.0,150.0,,8.0,127.0,673.0,5.0,17.0,2.0,16.0,352.0,23.0,9.0,17.0,,1.0,1.0,,3.0,20.0,432.0,53.0,1.0,86176,1.0,221.0,,7.0,236.0,6.0,,21.0,6.0,64.0,1.0,1.0,4.0,,23.0,3.0,5.0,,75.0,369.0,7.0,16.0,,27.0,89.0,,1.0,,0.0,2.0,4.0,2.0,,8.0,0.0,1.0,,,,48.6,13.0,,6.0,,4.0,46.0,1.0,1.0,455.0,16.0,10.0,15.0,3.0,20.0,,1.0,236.0,3.0,9.0,26.0,67.0,29.0,,1.0,17.0,29.0,,6.0,3.0,15.0,1.0,9.0,1.0,,,1.0,1.0,1.0,,1.0,2.0,,2.0,1.0,1.0,,,,,1.0,1.0,,1.0,3.0,3.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
23,919116,2018-01-13 15:00:00,"John Smith's Stadium, Huddersfield",24105,Home,Huddersfield Town,West Ham United,1,4,L,1,1,0,0,,,61.0,1.0,34.0,20.0,4.0,2.0,4.0,1.0,192.0,4.0,11.0,1.0,4.0,2.0,140.0,163.0,51.0,8.0,17.0,,,1.0,,,23.0,9.0,,1.0,20.0,7.0,15.0,22.0,186.0,,0.0,129.0,7.0,,1.0,,72.0,84.0,2.0,79.0,,16.0,23.0,4.0,7.0,163.0,,6.0,137.0,736.0,2.0,14.0,11.0,9.0,423.0,21.0,11.0,12.0,1.0,,1.0,1.0,2.0,26.0,522.0,61.0,,87856,2.0,261.0,1.0,9.0,282.0,4.0,,23.0,6.0,59.0,,,4.0,1.0,14.0,2.0,4.0,2.0,76.0,443.0,9.0,14.0,1.0,34.0,87.0,,,,0.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,,,2.0,64.8,25.0,2.0,4.0,,4.0,51.0,7.0,,548.0,9.0,15.0,9.0,4.0,25.0,3.0,3.0,289.0,4.0,14.0,18.0,76.0,30.0,,1.0,12.0,13.0,,4.0,2.0,17.0,1.0,6.0,7.0,,1.0,2.0,2.0,,1.0,,1.0,,2.0,,1.0,,,,1.0,,,,,,4.0,4.0,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,1.0,,,,,,
