gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attRfTarget,fouledFinalThird,attOboxBlocked,attMissHighRight,midfielderGoals,freekickCross,attOboxMiss,attBxLeft,blockedScoringAtt,attIboxBlocked,attBxRight,attHdTarget,sixYardBlock,attSetpiece,clearanceOffLine,goalsConcededObox,contentiousDecision,hitWoodwork,errorLeadToShot,punches,goalsConceded,goalsConcededIbox,attGoalLowLeft,accuratePullBack,attMissRight,penaltyConceded,totalPullBack,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attCmissRight,attFreekickTotal,freekickTotal,foulThrowIn,postScoringAtt,attOboxPost,attPostHigh,errorLeadToGoal,attGoalLowRight,attLfGoal,attGoalLowCentre,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,penaltySave,attCmissHigh,attFreekickMiss,attOboxGoal,secondYellow,accurateFreekickCross,attMissHighLeft,goalAssistSetplay,attObpGoal,attOneOnOne,penaltyWon,attSvHighLeft,attPenGoal,attIboxPost,ptsGainedLosingPos,attHdPost,attFreekickTarget,goalAssistDeadball,attSvHighRight,attPostLeft,attObxdLeft,ownGoals,attIboxOwnGoal
24,919130,2018-01-20 15:00:00,"bet365 Stadium, Stoke",29785,Away,Huddersfield Town,Stoke City,0,2,L,0,0,0,0,,,61.0,,28.0,17.0,3.0,,3.0,4.0,197.0,3.0,7.0,,4.0,3.0,58.0,220.0,71.0,6.0,63.0,1.0,,,2.0,,17.0,11.0,,2.0,17.0,2.0,8.0,28.0,109.0,,0.0,113.0,13.0,2.0,1.0,1.0,61.0,70.0,1.0,44.0,1.0,15.0,19.0,3.0,2.0,220.0,,10.0,54.0,554.0,3.0,13.0,7.0,6.0,175.0,23.0,15.0,14.0,,,1.0,1.0,3.0,41.0,309.0,71.0,,86176,2.0,88.0,,8.0,128.0,3.0,,19.0,10.0,103.0,,,4.0,,12.0,1.0,5.0,,100.0,194.0,17.0,9.0,1.0,60.0,109.0,,,,0.0,,3.0,4.0,,,0.0,2.0,,,1.0,51.5,28.0,1.0,2.0,,4.0,32.0,2.0,1.0,353.0,6.0,13.0,5.0,3.0,25.0,1.0,2.0,242.0,5.0,5.0,36.0,50.0,23.0,,2.0,14.0,14.0,,3.0,3.0,16.0,2.0,5.0,2.0,1.0,3.0,5.0,,,,5.0,1.0,1.0,,,,,,3.0,,,,,,,2.0,2.0,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
25,919133,2018-01-30 20:00:00,"John Smith's Stadium, Huddersfield",24121,Home,Huddersfield Town,Liverpool,0,3,L,0,2,0,0,,,56.0,3.0,17.0,38.0,1.0,3.0,4.0,4.0,138.0,1.0,5.0,,2.0,1.0,68.0,138.0,40.0,5.0,15.0,1.0,,,1.0,1.0,8.0,10.0,,,38.0,1.0,6.0,31.0,93.0,,0.0,73.0,8.0,3.0,,2.0,31.0,47.0,2.0,47.0,1.0,7.0,24.0,1.0,2.0,138.0,,8.0,55.0,485.0,2.0,10.0,11.0,12.0,201.0,22.0,3.0,12.0,,,0.0,4.0,,15.0,280.0,46.0,,87856,2.0,122.0,,5.0,150.0,2.0,,24.0,7.0,42.0,,3.0,1.0,,14.0,6.0,2.0,,47.0,214.0,8.0,6.0,,15.0,64.0,,,1.0,0.0,,4.0,1.0,,2.0,0.0,1.0,,,,25.3,8.0,,1.0,,1.0,33.0,1.0,2.0,308.0,12.0,6.0,16.0,2.0,21.0,,1.0,166.0,2.0,3.0,16.0,33.0,23.0,,2.0,12.0,11.0,,2.0,3.0,12.0,2.0,13.0,1.0,,1.0,1.0,,,,,1.0,1.0,2.0,2.0,1.0,,,,,1.0,1.0,,1.0,1.0,3.0,2.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,919150,2018-02-03 15:00:00,"Old Trafford, Manchester",74742,Away,Huddersfield Town,Manchester United,0,2,L,0,0,0,0,,,61.0,2.0,22.0,33.0,1.0,,3.0,5.0,126.0,3.0,4.0,,2.0,,47.0,118.0,49.0,4.0,14.0,,1.0,,,,11.0,16.0,,,33.0,2.0,3.0,20.0,85.0,,0.0,73.0,19.0,3.0,,,31.0,41.0,2.0,32.0,5.0,9.0,16.0,1.0,4.0,118.0,,9.0,60.0,446.0,1.0,14.0,11.0,14.0,175.0,32.0,8.0,13.0,,1.0,4.0,5.0,,8.0,238.0,39.0,,87856,1.0,108.0,,5.0,128.0,15.0,,16.0,7.0,75.0,,,2.0,,13.0,7.0,4.0,,49.0,190.0,5.0,27.0,1.0,18.0,55.0,,,,0.0,5.0,5.0,3.0,,2.0,0.0,1.0,,1.0,,25.7,6.0,,1.0,,2.0,27.0,2.0,,265.0,14.0,10.0,9.0,1.0,17.0,2.0,,148.0,3.0,3.0,18.0,40.0,18.0,,1.0,13.0,22.0,,1.0,3.0,9.0,1.0,12.0,2.0,,,,,,,,1.0,1.0,3.0,3.0,,,1.0,,,,,,,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
27,919155,2018-02-11 12:00:00,"John Smith's Stadium, Huddersfield",23823,Home,Huddersfield Town,Bournemouth,4,1,W,2,1,0,0,,2.0,82.0,1.0,38.0,22.0,6.0,4.0,9.0,1.0,182.0,5.0,10.0,4.0,10.0,4.0,89.0,178.0,65.0,15.0,14.0,1.0,1.0,1.0,,1.0,18.0,15.0,,,22.0,2.0,6.0,39.0,173.0,,0.0,137.0,12.0,,,,63.0,74.0,7.0,67.0,2.0,16.0,28.0,6.0,3.0,178.0,3.0,4.0,100.0,661.0,7.0,9.0,24.0,21.0,306.0,40.0,15.0,9.0,2.0,1.0,0.0,3.0,3.0,27.0,419.0,77.0,,87856,6.0,151.0,2.0,9.0,179.0,7.0,1.0,28.0,4.0,53.0,,3.0,,1.0,14.0,3.0,4.0,2.0,89.0,319.0,12.0,11.0,1.0,50.0,94.0,,1.0,1.0,0.0,3.0,6.0,,4.0,1.0,0.0,5.0,2.0,,3.0,51.0,19.0,1.0,8.0,,,49.0,2.0,,438.0,21.0,11.0,19.0,5.0,29.0,,3.0,277.0,7.0,6.0,23.0,78.0,30.0,1.0,4.0,9.0,21.0,1.0,10.0,3.0,17.0,4.0,15.0,2.0,1.0,,6.0,4.0,,2.0,4.0,2.0,1.0,6.0,2.0,1.0,1.0,,2.0,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,,2.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,3.0,,1.0,,,1.0,,1.0,,,,,1.0,,,,,
28,919172,2018-02-24 15:00:00,"The Hawthorns, West Bromwich",25920,Away,Huddersfield Town,West Bromwich Albion,2,1,W,0,0,0,0,1.0,1.0,76.0,2.0,22.0,38.0,8.0,2.0,8.0,2.0,183.0,2.0,8.0,2.0,13.0,7.0,58.0,192.0,79.0,16.0,27.0,2.0,,2.0,1.0,1.0,12.0,17.0,,3.0,38.0,3.0,8.0,28.0,143.0,,0.0,135.0,9.0,1.0,2.0,1.0,64.0,76.0,11.0,54.0,,9.0,13.0,8.0,3.0,192.0,1.0,6.0,65.0,579.0,10.0,9.0,15.0,7.0,217.0,27.0,5.0,21.0,2.0,,1.0,2.0,2.0,24.0,328.0,79.0,1.0,86176,5.0,90.0,,4.0,122.0,7.0,2.0,13.0,10.0,60.0,1.0,5.0,1.0,2.0,19.0,4.0,6.0,2.0,71.0,231.0,11.0,11.0,1.0,34.0,73.0,,,1.0,0.0,5.0,6.0,,2.0,3.0,0.0,1.0,2.0,1.0,1.0,46.7,13.0,1.0,7.0,,1.0,30.0,3.0,1.0,360.0,7.0,9.0,9.0,4.0,19.0,1.0,1.0,250.0,13.0,4.0,31.0,72.0,34.0,1.0,3.0,21.0,29.0,,12.0,3.0,12.0,3.0,7.0,3.0,,4.0,3.0,2.0,,1.0,2.0,3.0,2.0,5.0,3.0,,,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,
29,919181,2018-03-03 15:00:00,"Wembley Stadium, London",68311,Away,Huddersfield Town,Tottenham Hotspur,0,2,L,0,1,0,0,1.0,,79.0,2.0,26.0,36.0,2.0,1.0,1.0,5.0,136.0,1.0,7.0,,2.0,3.0,49.0,147.0,58.0,3.0,13.0,1.0,1.0,,,,14.0,16.0,,2.0,36.0,1.0,3.0,31.0,72.0,,0.0,100.0,8.0,2.0,2.0,,31.0,48.0,2.0,42.0,1.0,13.0,24.0,2.0,5.0,147.0,,8.0,40.0,463.0,2.0,9.0,4.0,12.0,155.0,43.0,5.0,13.0,,1.0,1.0,5.0,,15.0,241.0,54.0,1.0,86176,,98.0,,8.0,129.0,5.0,,24.0,6.0,49.0,4.0,2.0,3.0,,13.0,7.0,4.0,,63.0,169.0,6.0,18.0,,19.0,59.0,,,,0.0,3.0,8.0,3.0,,,0.0,1.0,,,,25.5,7.0,,4.0,1.0,3.0,21.0,1.0,,267.0,12.0,6.0,12.0,,24.0,,,152.0,2.0,3.0,16.0,53.0,21.0,,1.0,13.0,29.0,,3.0,3.0,11.0,1.0,17.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
30,919187,2018-03-10 15:00:00,"John Smith's Stadium, Huddersfield",23567,Home,Huddersfield Town,Swansea City,0,0,D,0,0,0,1,2.0,,55.0,,38.0,10.0,11.0,7.0,18.0,,197.0,13.0,7.0,,26.0,4.0,207.0,157.0,55.0,30.0,24.0,3.0,,,,4.0,64.0,8.0,,1.0,10.0,11.0,8.0,33.0,474.0,1.0,0.0,322.0,9.0,,1.0,1.0,138.0,146.0,11.0,89.0,,54.0,17.0,12.0,17.0,157.0,1.0,,186.0,912.0,24.0,5.0,50.0,7.0,596.0,18.0,4.0,10.0,,,2.0,,15.0,34.0,665.0,90.0,,86176,13.0,147.0,1.0,36.0,158.0,8.0,,17.0,2.0,55.0,2.0,2.0,4.0,,12.0,,2.0,3.0,49.0,608.0,9.0,5.0,2.0,7.0,56.0,,2.0,1.0,0.0,3.0,,,,3.0,0.0,12.0,,,8.0,81.2,33.0,6.0,9.0,1.0,4.0,48.0,12.0,1.0,679.0,7.0,11.0,19.0,15.0,76.0,2.0,10.0,585.0,14.0,7.0,30.0,272.0,24.0,,,10.0,10.0,,23.0,3.0,13.0,,3.0,12.0,,1.0,3.0,7.0,,,1.0,4.0,2.0,11.0,4.0,3.0,1.0,1.0,,,,,2.0,,,,,,,7.0,,,,,,5.0,2.0,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,
31,919195,2018-03-17 15:00:00,"John Smith's Stadium, Huddersfield",23980,Home,Huddersfield Town,Crystal Palace,0,2,L,0,1,0,0,,,73.0,1.0,24.0,18.0,3.0,1.0,3.0,3.0,203.0,1.0,10.0,,3.0,2.0,111.0,210.0,66.0,6.0,32.0,,1.0,,1.0,2.0,19.0,14.0,,2.0,18.0,3.0,3.0,39.0,174.0,,0.0,149.0,11.0,2.0,,,76.0,87.0,1.0,58.0,,16.0,27.0,3.0,4.0,210.0,,11.0,98.0,700.0,2.0,5.0,12.0,12.0,313.0,29.0,7.0,8.0,,1.0,3.0,8.0,2.0,38.0,448.0,72.0,,87428,3.0,153.0,,8.0,201.0,10.0,,27.0,8.0,87.0,,1.0,2.0,,14.0,7.0,3.0,,58.0,326.0,12.0,15.0,1.0,26.0,60.0,,1.0,,0.0,2.0,7.0,3.0,,1.0,0.0,,,,,54.6,36.0,,9.0,,2.0,34.0,4.0,,470.0,12.0,16.0,20.0,3.0,31.0,1.0,2.0,288.0,5.0,2.0,21.0,77.0,30.0,,3.0,8.0,24.0,,4.0,3.0,23.0,3.0,9.0,4.0,,2.0,3.0,,,,4.0,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,919209,2018-03-31 15:00:00,"St. James' Park, Newcastle",52261,Away,Huddersfield Town,Newcastle United,0,1,L,0,0,0,0,,,62.0,,28.0,34.0,3.0,1.0,1.0,2.0,183.0,4.0,6.0,,4.0,,50.0,173.0,55.0,4.0,18.0,,2.0,,,1.0,13.0,18.0,,,34.0,3.0,9.0,21.0,128.0,,0.0,121.0,10.0,1.0,,1.0,62.0,75.0,2.0,54.0,3.0,10.0,21.0,3.0,4.0,173.0,2.0,10.0,52.0,546.0,2.0,16.0,11.0,16.0,203.0,32.0,10.0,16.0,,2.0,4.0,6.0,1.0,22.0,307.0,72.0,,87428,1.0,98.0,2.0,5.0,128.0,6.0,,21.0,13.0,48.0,,1.0,1.0,,18.0,8.0,4.0,,71.0,222.0,9.0,4.0,1.0,37.0,76.0,,,,0.0,3.0,3.0,2.0,,3.0,0.0,2.0,,,,37.0,13.0,,4.0,,1.0,33.0,3.0,1.0,339.0,16.0,11.0,9.0,2.0,22.0,2.0,,224.0,2.0,7.0,17.0,66.0,17.0,,4.0,16.0,24.0,,3.0,3.0,11.0,4.0,14.0,3.0,,,1.0,1.0,,,1.0,2.0,,2.0,1.0,,,,,,,1.0,,1.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,919215,2018-04-07 15:00:00,"Amex Stadium, Falmer",30501,Away,Huddersfield Town,Brighton and Hove Albion,1,1,D,1,1,0,1,1.0,1.0,56.0,2.0,26.0,20.0,7.0,6.0,8.0,4.0,223.0,8.0,10.0,1.0,12.0,5.0,108.0,173.0,74.0,15.0,34.0,1.0,1.0,,,,25.0,12.0,,3.0,20.0,3.0,7.0,33.0,210.0,,0.0,156.0,7.0,2.0,3.0,,86.0,78.0,7.0,94.0,,22.0,14.0,7.0,6.0,173.0,,9.0,100.0,721.0,11.0,14.0,24.0,11.0,393.0,17.0,5.0,6.0,,1.0,0.0,3.0,5.0,18.0,498.0,73.0,,86176,5.0,210.0,,12.0,239.0,5.0,,14.0,11.0,67.0,,3.0,2.0,1.0,14.0,5.0,6.0,2.0,63.0,412.0,13.0,9.0,1.0,25.0,83.0,,,,0.0,4.0,5.0,2.0,1.0,5.0,0.0,6.0,,,3.0,59.2,13.0,3.0,5.0,,2.0,43.0,3.0,,525.0,11.0,14.0,13.0,5.0,32.0,2.0,4.0,311.0,6.0,5.0,34.0,104.0,30.0,1.0,1.0,6.0,19.0,,13.0,3.0,13.0,1.0,8.0,3.0,,3.0,4.0,3.0,,,4.0,1.0,,5.0,2.0,,,,1.0,,,,,,2.0,1.0,1.0,,,3.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,1.0,1.0
34,919225,2018-04-14 15:00:00,"John Smith's Stadium, Huddersfield",23961,Home,Huddersfield Town,Watford,1,0,W,0,0,0,0,,1.0,64.0,1.0,26.0,22.0,3.0,3.0,6.0,2.0,165.0,3.0,3.0,1.0,7.0,1.0,89.0,179.0,49.0,9.0,19.0,,,1.0,,1.0,24.0,10.0,,,22.0,7.0,6.0,50.0,174.0,1.0,0.0,145.0,9.0,,,1.0,68.0,93.0,5.0,45.0,1.0,17.0,15.0,3.0,4.0,179.0,1.0,2.0,66.0,563.0,6.0,10.0,17.0,16.0,240.0,14.0,4.0,12.0,1.0,,2.0,2.0,2.0,29.0,343.0,66.0,,86176,4.0,83.0,,12.0,105.0,5.0,,15.0,9.0,52.0,,2.0,6.0,1.0,13.0,2.0,7.0,,60.0,254.0,7.0,5.0,,20.0,77.0,,,,0.0,1.0,6.0,1.0,1.0,4.0,0.0,2.0,1.0,,1.0,48.7,20.0,1.0,,,7.0,40.0,9.0,1.0,365.0,16.0,14.0,24.0,3.0,39.0,1.0,1.0,284.0,5.0,6.0,21.0,88.0,41.0,,1.0,12.0,18.0,,7.0,3.0,9.0,1.0,2.0,9.0,,,2.0,1.0,,,1.0,2.0,1.0,5.0,4.0,1.0,,,,,,1.0,,,1.0,,,,,2.0,,,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,919236,2018-05-09 19:45:00,"Stamford Bridge, London",38910,Away,Huddersfield Town,Chelsea,1,1,D,0,0,0,0,,1.0,78.0,,22.0,64.0,2.0,1.0,1.0,4.0,142.0,1.0,3.0,1.0,1.0,2.0,39.0,142.0,54.0,3.0,19.0,,,,1.0,,4.0,17.0,,1.0,64.0,,1.0,15.0,58.0,,0.0,54.0,10.0,3.0,,,30.0,48.0,1.0,30.0,1.0,4.0,18.0,2.0,,142.0,1.0,17.0,32.0,456.0,1.0,11.0,3.0,18.0,125.0,49.0,9.0,25.0,,,1.0,11.0,,10.0,218.0,43.0,1.0,86176,1.0,80.0,1.0,2.0,113.0,6.0,1.0,18.0,15.0,59.0,1.0,,1.0,1.0,12.0,5.0,7.0,,79.0,137.0,7.0,17.0,,53.0,75.0,,,,0.0,3.0,10.0,4.0,1.0,3.0,0.0,1.0,,,,22.1,5.0,,1.0,,1.0,28.0,,1.0,243.0,18.0,10.0,7.0,1.0,5.0,,,134.0,2.0,1.0,21.0,18.0,23.0,1.0,9.0,25.0,24.0,,3.0,3.0,6.0,9.0,11.0,,,1.0,3.0,,,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,2.0,1.0,,,,,,,1.0,,,,2.0,1.0,2.0,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
36,919245,2018-04-28 15:00:00,"John Smith's Stadium, Huddersfield",24121,Home,Huddersfield Town,Everton,0,2,L,0,1,0,0,1.0,,75.0,,31.0,15.0,5.0,5.0,4.0,3.0,203.0,2.0,5.0,,8.0,2.0,123.0,193.0,48.0,9.0,19.0,1.0,1.0,,1.0,,16.0,11.0,,1.0,15.0,3.0,8.0,55.0,236.0,,0.0,178.0,9.0,1.0,1.0,,106.0,86.0,6.0,59.0,4.0,13.0,20.0,5.0,6.0,193.0,1.0,4.0,114.0,719.0,7.0,18.0,19.0,20.0,364.0,20.0,3.0,6.0,,1.0,1.0,1.0,2.0,40.0,477.0,90.0,,85368,3.0,148.0,1.0,6.0,170.0,8.0,,20.0,7.0,58.0,1.0,1.0,6.0,,21.0,3.0,3.0,2.0,70.0,382.0,8.0,7.0,1.0,19.0,87.0,,,,0.0,4.0,3.0,3.0,,8.0,0.0,1.0,,2.0,1.0,53.7,27.0,,3.0,,6.0,49.0,4.0,,499.0,20.0,16.0,28.0,2.0,34.0,1.0,1.0,345.0,3.0,7.0,20.0,119.0,43.0,,2.0,6.0,15.0,,7.0,3.0,12.0,2.0,13.0,5.0,,,1.0,3.0,,,1.0,1.0,1.0,5.0,2.0,,1.0,,,,1.0,,,,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,919259,2018-05-06 13:30:00,"Etihad Stadium, Manchester",54350,Away,Huddersfield Town,Manchester City,0,0,D,0,0,0,0,1.0,,57.0,,16.0,55.0,3.0,3.0,2.0,2.0,113.0,,3.0,,3.0,3.0,29.0,123.0,49.0,5.0,15.0,1.0,,,1.0,1.0,8.0,10.0,,2.0,55.0,1.0,1.0,18.0,69.0,1.0,0.0,80.0,4.0,2.0,1.0,,26.0,65.0,2.0,20.0,5.0,7.0,18.0,3.0,1.0,123.0,1.0,9.0,31.0,382.0,2.0,11.0,7.0,16.0,93.0,35.0,1.0,20.0,,,3.0,3.0,1.0,23.0,163.0,52.0,,85368,1.0,39.0,1.0,6.0,58.0,3.0,,18.0,15.0,40.0,1.0,1.0,,,7.0,6.0,9.0,,50.0,108.0,9.0,7.0,1.0,19.0,53.0,,1.0,,0.0,,10.0,2.0,,3.0,0.0,,,2.0,,20.8,15.0,,5.0,,,18.0,1.0,,193.0,16.0,9.0,7.0,2.0,12.0,,1.0,143.0,2.0,1.0,20.0,34.0,12.0,,3.0,20.0,18.0,,4.0,3.0,8.0,3.0,8.0,1.0,,2.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,919265,2018-05-13 15:00:00,"John Smith's Stadium, Huddersfield",24122,Home,Huddersfield Town,Arsenal,0,1,L,0,1,0,0,1.0,,67.0,1.0,34.0,19.0,6.0,5.0,13.0,3.0,147.0,11.0,4.0,,14.0,3.0,93.0,144.0,52.0,19.0,13.0,3.0,,,1.0,4.0,33.0,12.0,,,19.0,7.0,9.0,51.0,182.0,,0.0,148.0,11.0,1.0,1.0,1.0,80.0,53.0,4.0,59.0,2.0,26.0,25.0,6.0,10.0,144.0,1.0,4.0,100.0,603.0,11.0,12.0,29.0,22.0,300.0,31.0,12.0,13.0,,,1.0,2.0,10.0,23.0,384.0,70.0,,86176,7.0,137.0,1.0,13.0,161.0,8.0,,25.0,6.0,45.0,,,4.0,,16.0,5.0,2.0,1.0,69.0,308.0,7.0,12.0,3.0,23.0,59.0,,1.0,2.0,0.0,,4.0,2.0,,4.0,0.0,7.0,,,6.0,45.0,19.0,4.0,9.0,,4.0,29.0,7.0,1.0,399.0,22.0,8.0,28.0,11.0,47.0,4.0,8.0,271.0,8.0,8.0,23.0,99.0,21.0,,,13.0,18.0,,8.0,3.0,7.0,,13.0,7.0,1.0,,2.0,4.0,2.0,,3.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,3.0,,,,1.0,,,1.0,1.0,,1.0,3.0,,1.0,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,
