gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,postScoringAtt,attMissLeft,attIboxPost,bigChanceCreated,attHdPost,hitWoodwork,outfielderBlock,accurateThroughBall,bigChanceMissed,totalOffside,attMissHigh,attAssistSetplay,attSvLowRight,attPostHigh,attHdMiss,attBxLeft,accurateCornersIntobox,attLfTarget,attGoalLowLeft,savedObox,goals,attBxRight,goalAssistOpenplay,divingSave,goodHighClaim,goalAssist,totalKeeperSweeper,penaltyConceded,attRfGoal,attCmissHigh,goalsOpenplay,attIboxGoal,attCmissHighRight,goalAssistIntentional,penaltyFaced,penGoalsConceded,forwardGoals,bigChanceScored,attSvHighRight,attSvHighLeft,ptsDroppedWinningPos,attGoalLowCentre,attCmissRight,shotFastbreak,penaltyWon,ptsGainedLosingPos,totalFastbreak,midfielderGoals,attSvLowLeft,attObxdRight,attObxdLeft,attPenGoal,attFastbreak,attFreekickTarget,attSvHighCentre,goalsConcededObox,accurateKeeperSweeper,attCmissLeft,shieldBallOop,attOneOnOne,cleanSheet,punches,attObxLeft,errorLeadToGoal,foulThrowIn,attLfGoal,accuratePullBack,secondYellow,totalPullBack,attCmissHighLeft,errorLeadToShot,attFreekickMiss,attGoalHighCentre,clearanceOffLine,goalAssistSetplay,attGoalHighRight,attGoalLowRight,goalFastbreak,attPenTarget,attHdGoal,defenderGoals,goalAssistDeadball,attGoalHighLeft,attPostRight,penaltySave
1,1059708,2019-08-10 15:00:00,"Vicarage Road, Watford",20245.0,Home,Watford,Brighton and Hove Albion,0,3,L,0,1,0,0,1.0,49.0,1.0,24.0,10.0,7.0,3.0,4.0,1.0,2.0,154.0,4.0,9.0,4.0,5.0,3.0,102.0,145.0,46.0,2.0,11.0,3.0,19.0,2.0,3.0,14.0,4.0,1.0,10.0,4.0,3.0,25.0,177.0,2.0,0.0,118.0,15.0,2.0,63.0,49.0,3.0,60.0,2.0,1.0,10.0,19.0,7.0,2.0,3.0,3.0,145.0,1.0,4.0,98.0,602.0,5.0,10.0,15.0,1.0,12.0,308.0,18.0,1.0,9.0,7.0,0.0,2.0,26.0,392.0,59.0,1.0,94924,4.0,152.0,5.0,1.0,3.0,170.0,9.0,19.0,7.0,62.0,1.0,1.0,2.0,11.0,2.0,4.0,44.0,325.0,11.0,6.0,19.0,1.0,62.0,0.0,3.0,2.0,1.0,3.0,4.0,0.0,4.0,1.0,48.2,18.0,3.0,2.0,4.0,37.0,5.0,1.0,414.0,12.0,18.0,14.0,4.0,29.0,1.0,258.0,7.0,3.0,14.0,72.0,24.0,3.0,1.0,7.0,12.0,3.0,5.0,2.0,15.0,3.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059716,2019-08-17 15:00:00,"Goodison Park, Liverpool",39066.0,Away,Watford,Everton,0,1,L,0,1,0,0,,47.0,1.0,32.0,13.0,3.0,,5.0,1.0,2.0,142.0,6.0,8.0,3.0,6.0,2.0,91.0,168.0,79.0,,8.0,1.0,28.0,1.0,,20.0,19.0,1.0,13.0,6.0,5.0,34.0,132.0,,0.0,140.0,11.0,3.0,55.0,44.0,4.0,63.0,,,14.0,17.0,3.0,,5.0,1.0,168.0,1.0,7.0,92.0,611.0,5.0,16.0,29.0,,9.0,267.0,18.0,,8.0,6.0,3.0,2.0,38.0,365.0,62.0,,94924,3.0,154.0,6.0,,,170.0,6.0,17.0,8.0,76.0,,2.0,2.0,13.0,5.0,2.0,68.0,280.0,11.0,19.0,26.0,3.0,75.0,0.0,4.0,4.0,1.0,1.0,7.0,0.0,4.0,2.0,55.9,30.0,2.0,2.0,2.0,31.0,7.0,,388.0,9.0,11.0,14.0,4.0,43.0,2.0,238.0,6.0,4.0,27.0,86.0,23.0,,,6.0,34.0,1.0,5.0,3.0,17.0,,12.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059730,2019-08-24 15:00:00,"Vicarage Road, Watford",20035.0,Home,Watford,West Ham United,1,3,L,1,1,0,0,,61.0,7.0,20.0,12.0,4.0,6.0,19.0,7.0,1.0,153.0,6.0,8.0,2.0,22.0,3.0,141.0,123.0,53.0,,23.0,3.0,17.0,2.0,2.0,26.0,12.0,,12.0,7.0,2.0,29.0,232.0,3.0,0.0,164.0,12.0,2.0,59.0,65.0,13.0,64.0,4.0,,19.0,15.0,4.0,,6.0,1.0,123.0,,13.0,107.0,667.0,18.0,1.0,42.0,,11.0,370.0,15.0,2.0,3.0,4.0,1.0,9.0,15.0,443.0,57.0,1.0,94924,10.0,164.0,11.0,1.0,2.0,180.0,8.0,15.0,5.0,56.0,,,8.0,9.0,3.0,5.0,39.0,390.0,11.0,10.0,11.0,3.0,61.0,0.0,,7.0,6.0,3.0,,0.0,4.0,1.0,54.9,15.0,5.0,9.0,10.0,45.0,8.0,1.0,465.0,11.0,12.0,15.0,10.0,53.0,8.0,311.0,14.0,1.0,16.0,119.0,29.0,1.0,,4.0,17.0,3.0,18.0,3.0,13.0,1.0,9.0,8.0,1.0,2.0,1.0,3.0,,1.0,2.0,,3.0,1.0,2.0,3.0,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059739,2019-08-31 15:00:00,"St. James' Park, Newcastle",44157.0,Away,Watford,Newcastle United,1,1,D,1,1,0,0,,62.0,2.0,22.0,24.0,5.0,2.0,8.0,4.0,1.0,168.0,4.0,7.0,,8.0,3.0,143.0,160.0,50.0,,13.0,3.0,18.0,1.0,,13.0,9.0,1.0,24.0,5.0,6.0,35.0,195.0,,0.0,126.0,11.0,1.0,52.0,63.0,5.0,61.0,1.0,1.0,8.0,18.0,5.0,,2.0,1.0,160.0,1.0,8.0,126.0,682.0,6.0,4.0,20.0,1.0,12.0,375.0,19.0,1.0,4.0,8.0,3.0,3.0,17.0,476.0,53.0,,94924,6.0,193.0,5.0,1.0,,211.0,6.0,18.0,7.0,52.0,,1.0,7.0,23.0,5.0,2.0,68.0,384.0,5.0,13.0,21.0,4.0,90.0,0.0,,6.0,1.0,1.0,,0.0,1.0,2.0,51.2,14.0,5.0,7.0,5.0,41.0,5.0,1.0,498.0,12.0,7.0,14.0,5.0,22.0,4.0,300.0,9.0,6.0,24.0,73.0,22.0,1.0,,8.0,14.0,1.0,9.0,3.0,11.0,1.0,9.0,5.0,,2.0,,,,,5.0,1.0,,,1.0,2.0,,,1.0,1.0,3.0,,1.0,3.0,1.0,,,2.0,1.0,,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059750,2019-09-15 16:30:00,"Vicarage Road, Watford",21360.0,Home,Watford,Arsenal,2,2,D,0,2,0,0,2.0,63.0,1.0,22.0,15.0,13.0,6.0,16.0,2.0,7.0,119.0,5.0,16.0,2.0,23.0,10.0,157.0,97.0,45.0,1.0,31.0,5.0,4.0,3.0,2.0,22.0,9.0,5.0,15.0,7.0,4.0,20.0,298.0,1.0,0.0,184.0,14.0,,102.0,86.0,12.0,80.0,1.0,6.0,15.0,11.0,15.0,1.0,5.0,5.0,97.0,1.0,4.0,143.0,679.0,21.0,4.0,48.0,,10.0,434.0,16.0,1.0,2.0,5.0,3.0,11.0,10.0,488.0,37.0,,96767,13.0,149.0,10.0,,,164.0,7.0,11.0,6.0,42.0,,,5.0,9.0,3.0,3.0,34.0,442.0,4.0,13.0,3.0,4.0,58.0,0.0,,1.0,2.0,2.0,3.0,0.0,3.0,1.0,52.4,10.0,12.0,5.0,6.0,46.0,7.0,,499.0,10.0,7.0,12.0,15.0,31.0,10.0,357.0,24.0,3.0,8.0,156.0,30.0,,,5.0,17.0,2.0,25.0,3.0,22.0,,8.0,7.0,,3.0,,2.0,,,1.0,,1.0,1.0,4.0,1.0,1.0,,1.0,3.0,2.0,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,2.0,,1.0,2.0,,,,,,2.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1059758,2019-09-21 15:00:00,"Etihad Stadium, Manchester",54273.0,Away,Watford,Manchester City,0,8,L,0,5,0,0,,47.0,1.0,18.0,20.0,1.0,1.0,4.0,3.0,2.0,112.0,,7.0,2.0,4.0,4.0,86.0,108.0,28.0,1.0,5.0,,11.0,3.0,3.0,4.0,5.0,1.0,20.0,4.0,4.0,22.0,71.0,,0.0,46.0,9.0,,25.0,46.0,4.0,68.0,2.0,,,10.0,1.0,1.0,,,108.0,,20.0,70.0,486.0,3.0,2.0,11.0,1.0,12.0,253.0,22.0,,5.0,9.0,2.0,,15.0,312.0,27.0,,96767,,194.0,,,,208.0,7.0,10.0,10.0,56.0,,,5.0,10.0,8.0,,58.0,265.0,5.0,18.0,23.0,,65.0,0.0,1.0,5.0,1.0,8.0,1.0,0.0,,1.0,31.3,13.0,6.0,5.0,1.0,25.0,4.0,1.0,336.0,12.0,7.0,7.0,,12.0,,132.0,3.0,3.0,4.0,21.0,11.0,1.0,,9.0,12.0,7.0,3.0,3.0,18.0,1.0,6.0,4.0,,,,,,,4.0,,,2.0,,1.0,,,,1.0,,1.0,,2.0,,1.0,,2.0,1.0,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1059771,2019-09-28 15:00:00,"Molineux Stadium, Wolverhampton",30711.0,Away,Watford,Wolverhampton Wanderers,0,2,L,0,1,0,0,1.0,60.0,2.0,23.0,7.0,4.0,2.0,10.0,1.0,2.0,175.0,4.0,8.0,3.0,11.0,5.0,185.0,154.0,50.0,,14.0,1.0,12.0,4.0,1.0,20.0,10.0,1.0,7.0,5.0,4.0,37.0,295.0,,0.0,158.0,6.0,2.0,71.0,109.0,6.0,99.0,,1.0,15.0,10.0,4.0,,8.0,2.0,154.0,,7.0,169.0,801.0,11.0,2.0,24.0,1.0,5.0,522.0,17.0,,3.0,3.0,1.0,5.0,32.0,612.0,69.0,,94924,2.0,239.0,5.0,,,256.0,2.0,10.0,6.0,46.0,1.0,,2.0,14.0,,1.0,58.0,530.0,5.0,8.0,16.0,1.0,92.0,0.0,,1.0,1.0,2.0,,0.0,3.0,2.0,60.9,28.0,5.0,2.0,3.0,55.0,6.0,,628.0,5.0,13.0,13.0,6.0,36.0,4.0,392.0,9.0,2.0,22.0,111.0,33.0,,1.0,3.0,15.0,2.0,13.0,2.0,16.0,,8.0,6.0,,4.0,,,,,,,1.0,1.0,1.0,,2.0,,1.0,4.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1059780,2019-10-05 15:00:00,"Vicarage Road, Watford",20811.0,Home,Watford,Sheffield United,0,0,D,0,0,0,0,,65.0,,15.0,34.0,3.0,1.0,5.0,3.0,1.0,155.0,3.0,10.0,,7.0,2.0,85.0,163.0,59.0,,8.0,2.0,25.0,2.0,2.0,20.0,7.0,,34.0,5.0,4.0,37.0,145.0,1.0,0.0,123.0,7.0,,30.0,86.0,4.0,49.0,4.0,1.0,15.0,3.0,3.0,,7.0,1.0,163.0,,5.0,71.0,542.0,6.0,7.0,16.0,1.0,9.0,241.0,30.0,,7.0,18.0,0.0,3.0,16.0,341.0,47.0,,94924,4.0,110.0,8.0,,1.0,135.0,1.0,3.0,7.0,53.0,,,3.0,15.0,4.0,4.0,57.0,252.0,6.0,7.0,31.0,2.0,77.0,0.0,2.0,7.0,2.0,,3.0,0.0,3.0,3.0,39.5,13.0,2.0,4.0,2.0,26.0,7.0,,360.0,9.0,6.0,14.0,4.0,25.0,3.0,245.0,4.0,4.0,26.0,84.0,25.0,3.0,,18.0,17.0,,4.0,3.0,19.0,3.0,2.0,7.0,,1.0,,3.0,,,2.0,,3.0,2.0,1.0,1.0,,,2.0,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,1059790,2019-10-19 15:00:00,"Tottenham Hotspur Stadium, London",58754.0,Away,Watford,Tottenham Hotspur,1,1,D,1,0,0,0,1.0,65.0,2.0,17.0,52.0,2.0,2.0,4.0,1.0,1.0,145.0,2.0,14.0,2.0,4.0,2.0,53.0,135.0,57.0,2.0,7.0,1.0,16.0,,,5.0,12.0,1.0,52.0,2.0,2.0,28.0,82.0,,0.0,71.0,9.0,,48.0,37.0,3.0,60.0,1.0,1.0,3.0,9.0,3.0,2.0,2.0,1.0,135.0,1.0,7.0,55.0,503.0,3.0,8.0,10.0,,14.0,200.0,32.0,,5.0,28.0,3.0,1.0,15.0,290.0,44.0,,94924,3.0,126.0,1.0,,,150.0,3.0,9.0,8.0,47.0,,,3.0,9.0,5.0,1.0,77.0,206.0,5.0,12.0,39.0,,87.0,0.0,,11.0,,1.0,2.0,0.0,1.0,,30.6,11.0,2.0,3.0,3.0,32.0,2.0,2.0,313.0,14.0,9.0,13.0,2.0,9.0,1.0,168.0,5.0,1.0,18.0,35.0,20.0,3.0,,28.0,20.0,1.0,5.0,3.0,16.0,3.0,3.0,2.0,,1.0,,1.0,,,6.0,,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,2.0,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,2.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
