gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,postScoringAtt,attMissLeft,attIboxPost,bigChanceCreated,attHdPost,hitWoodwork,outfielderBlock,accurateThroughBall,bigChanceMissed,totalOffside,attMissHigh,attAssistSetplay,attSvLowRight,attPostHigh,attHdMiss,attBxLeft,accurateCornersIntobox,attLfTarget,attGoalLowLeft,savedObox,goals,attBxRight,goalAssistOpenplay,divingSave,goodHighClaim,goalAssist,totalKeeperSweeper,penaltyConceded,attRfGoal,attCmissHigh,goalsOpenplay,attIboxGoal,attCmissHighRight,goalAssistIntentional,penaltyFaced,penGoalsConceded,forwardGoals,bigChanceScored,attSvHighRight,attSvHighLeft,ptsDroppedWinningPos,attGoalLowCentre,attCmissRight,shotFastbreak,penaltyWon,ptsGainedLosingPos,totalFastbreak,midfielderGoals,attSvLowLeft,attObxdRight,attObxdLeft,attPenGoal,attFastbreak,attFreekickTarget,attSvHighCentre,goalsConcededObox,accurateKeeperSweeper,attCmissLeft,shieldBallOop,attOneOnOne,cleanSheet,punches,attObxLeft,errorLeadToGoal,foulThrowIn,attLfGoal,accuratePullBack,secondYellow,totalPullBack,attCmissHighLeft,errorLeadToShot,attFreekickMiss,attGoalHighCentre,clearanceOffLine,goalAssistSetplay,attGoalHighRight,attGoalLowRight,goalFastbreak,attPenTarget,attHdGoal,defenderGoals,goalAssistDeadball,attGoalHighLeft,attPostRight,penaltySave
10,1059800,2019-10-26 15:00:00,"Vicarage Road, Watford",20821.0,Home,Watford,Bournemouth,0,0,D,0,0,0,0,,64.0,1.0,27.0,23.0,4.0,5.0,3.0,5.0,1.0,131.0,1.0,9.0,1.0,3.0,3.0,78.0,148.0,47.0,,7.0,,15.0,1.0,1.0,19.0,13.0,2.0,23.0,5.0,6.0,31.0,139.0,1.0,0.0,99.0,14.0,2.0,50.0,59.0,2.0,60.0,4.0,,14.0,17.0,4.0,,4.0,2.0,148.0,,6.0,68.0,545.0,3.0,4.0,16.0,,12.0,246.0,25.0,2.0,7.0,11.0,5.0,1.0,18.0,320.0,45.0,1.0,96767,3.0,115.0,8.0,,,133.0,6.0,17.0,4.0,55.0,,,5.0,21.0,9.0,2.0,59.0,253.0,6.0,10.0,26.0,2.0,72.0,0.0,,10.0,3.0,,1.0,0.0,1.0,,40.2,15.0,2.0,5.0,1.0,39.0,5.0,1.0,337.0,12.0,9.0,18.0,3.0,27.0,1.0,223.0,2.0,5.0,12.0,65.0,28.0,3.0,,11.0,20.0,,5.0,3.0,16.0,3.0,7.0,5.0,,,,,,1.0,7.0,,1.0,5.0,,,1.0,,,,,2.0,,2.0,,,,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
11,1059810,2019-11-02 17:30:00,"Vicarage Road, Watford",21011.0,Home,Watford,Chelsea,1,2,L,0,1,0,0,,69.0,1.0,20.0,20.0,4.0,5.0,8.0,8.0,,129.0,6.0,10.0,2.0,11.0,3.0,84.0,128.0,42.0,,12.0,3.0,12.0,2.0,1.0,17.0,6.0,,20.0,1.0,4.0,24.0,161.0,,0.0,101.0,8.0,1.0,60.0,61.0,6.0,57.0,,,16.0,15.0,4.0,,6.0,1.0,128.0,1.0,11.0,103.0,555.0,10.0,9.0,25.0,1.0,8.0,282.0,22.0,1.0,4.0,6.0,4.0,5.0,16.0,361.0,42.0,1.0,96767,7.0,137.0,9.0,,2.0,151.0,5.0,15.0,6.0,50.0,,,5.0,14.0,5.0,4.0,51.0,292.0,5.0,14.0,21.0,1.0,72.0,0.0,2.0,6.0,6.0,2.0,2.0,0.0,6.0,4.0,32.8,12.0,7.0,5.0,4.0,42.0,1.0,,373.0,8.0,8.0,13.0,5.0,19.0,4.0,239.0,3.0,4.0,11.0,66.0,31.0,,,6.0,16.0,2.0,8.0,3.0,18.0,,6.0,2.0,,4.0,,1.0,,,4.0,,1.0,,,1.0,1.0,,3.0,,,1.0,1.0,2.0,1.0,1.0,,5.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1059818,2019-11-08 20:00:00,"Carrow Road, Norwich",27074.0,Away,Watford,Norwich City,2,0,W,1,0,1,0,,79.0,2.0,24.0,36.0,5.0,5.0,7.0,5.0,,132.0,3.0,14.0,1.0,8.0,2.0,56.0,125.0,56.0,,12.0,2.0,8.0,,,10.0,13.0,,36.0,4.0,7.0,30.0,143.0,1.0,0.0,91.0,13.0,1.0,72.0,33.0,3.0,51.0,3.0,1.0,6.0,22.0,5.0,,1.0,3.0,125.0,,7.0,76.0,522.0,6.0,9.0,20.0,,15.0,219.0,37.0,1.0,8.0,14.0,2.0,5.0,13.0,292.0,34.0,,94924,4.0,92.0,4.0,,,117.0,9.0,22.0,8.0,56.0,,,2.0,15.0,10.0,4.0,56.0,232.0,7.0,17.0,21.0,1.0,59.0,0.0,1.0,10.0,2.0,,3.0,1.0,2.0,1.0,34.2,12.0,8.0,2.0,4.0,33.0,4.0,,315.0,15.0,10.0,14.0,6.0,13.0,3.0,208.0,6.0,6.0,10.0,61.0,22.0,2.0,,14.0,25.0,,11.0,3.0,22.0,2.0,8.0,4.0,,1.0,,1.0,,,5.0,,1.0,,2.0,1.0,,,1.0,1.0,1.0,,2.0,3.0,2.0,1.0,1.0,2.0,,1.0,1.0,,1.0,,2.0,2.0,,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
13,1059830,2019-11-23 15:00:00,"Vicarage Road, Watford",19711.0,Home,Watford,Burnley,0,3,L,0,0,0,0,,56.0,5.0,24.0,23.0,7.0,3.0,8.0,2.0,4.0,149.0,6.0,6.0,6.0,11.0,4.0,73.0,148.0,60.0,3.0,15.0,2.0,23.0,2.0,1.0,33.0,9.0,2.0,23.0,6.0,6.0,40.0,158.0,1.0,0.0,138.0,14.0,3.0,69.0,54.0,8.0,64.0,,,27.0,9.0,7.0,3.0,11.0,3.0,148.0,,7.0,110.0,582.0,10.0,3.0,28.0,,1.0,290.0,28.0,,6.0,17.0,1.0,3.0,27.0,380.0,52.0,1.0,96767,6.0,150.0,13.0,3.0,2.0,171.0,9.0,9.0,3.0,51.0,,,3.0,16.0,4.0,2.0,62.0,302.0,13.0,8.0,24.0,1.0,68.0,0.0,1.0,5.0,2.0,3.0,1.0,0.0,6.0,1.0,61.9,25.0,3.0,3.0,7.0,28.0,7.0,1.0,396.0,1.0,5.0,16.0,4.0,38.0,1.0,258.0,10.0,6.0,31.0,96.0,22.0,1.0,,17.0,11.0,3.0,9.0,3.0,7.0,1.0,2.0,7.0,,1.0,,,,1.0,3.0,,,2.0,2.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,1.0,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
14,1059839,2019-11-30 17:30:00,"St. Mary's Stadium, Southampton",26929.0,Away,Watford,Southampton,1,2,L,1,0,0,0,,60.0,,14.0,32.0,2.0,1.0,4.0,3.0,2.0,148.0,5.0,7.0,,4.0,3.0,62.0,167.0,52.0,,6.0,,12.0,1.0,2.0,20.0,10.0,1.0,32.0,6.0,3.0,34.0,102.0,,0.0,88.0,10.0,2.0,52.0,40.0,1.0,54.0,2.0,1.0,14.0,15.0,2.0,,4.0,1.0,167.0,1.0,7.0,51.0,519.0,3.0,4.0,14.0,,13.0,193.0,22.0,,6.0,10.0,0.0,3.0,26.0,297.0,46.0,1.0,96767,2.0,107.0,8.0,,1.0,148.0,6.0,15.0,7.0,59.0,,,5.0,11.0,4.0,3.0,62.0,204.0,6.0,20.0,39.0,1.0,63.0,0.0,2.0,6.0,3.0,2.0,2.0,0.0,5.0,1.0,37.2,19.0,3.0,5.0,,25.0,7.0,2.0,315.0,13.0,9.0,15.0,3.0,25.0,2.0,187.0,4.0,3.0,21.0,49.0,26.0,3.0,,10.0,18.0,1.0,4.0,3.0,15.0,3.0,7.0,7.0,,1.0,,,,,3.0,,,4.0,1.0,1.0,,,1.0,,,,,1.0,1.0,2.0,,,2.0,,2.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
15,1059844,2019-12-04 19:30:00,"King Power Stadium, Leicester",31763.0,Away,Watford,Leicester City,0,2,L,0,0,0,0,,55.0,1.0,26.0,30.0,2.0,2.0,2.0,3.0,,127.0,5.0,7.0,1.0,4.0,1.0,77.0,160.0,57.0,,4.0,1.0,23.0,,1.0,23.0,12.0,1.0,30.0,1.0,3.0,44.0,140.0,,0.0,101.0,16.0,4.0,33.0,80.0,3.0,43.0,1.0,1.0,22.0,19.0,2.0,,8.0,,160.0,,12.0,77.0,526.0,4.0,7.0,20.0,,15.0,214.0,19.0,,6.0,11.0,2.0,1.0,27.0,299.0,47.0,,96767,2.0,91.0,10.0,,,111.0,5.0,19.0,4.0,62.0,,,1.0,19.0,,,63.0,226.0,10.0,13.0,27.0,,72.0,0.0,3.0,7.0,4.0,2.0,2.0,0.0,4.0,1.0,37.0,17.0,,1.0,2.0,34.0,2.0,,324.0,15.0,3.0,21.0,1.0,21.0,1.0,236.0,1.0,2.0,23.0,61.0,27.0,1.0,,11.0,17.0,2.0,4.0,3.0,15.0,1.0,7.0,2.0,,,,,,,3.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,
16,1059860,2019-12-07 15:00:00,"Vicarage Road, Watford",20070.0,Home,Watford,Crystal Palace,0,0,D,0,0,0,0,,59.0,3.0,40.0,15.0,5.0,2.0,8.0,,1.0,165.0,6.0,12.0,3.0,11.0,3.0,84.0,161.0,69.0,1.0,13.0,3.0,22.0,3.0,1.0,28.0,10.0,,15.0,5.0,2.0,39.0,155.0,2.0,0.0,142.0,15.0,4.0,49.0,58.0,7.0,68.0,,1.0,23.0,11.0,5.0,1.0,5.0,2.0,161.0,,3.0,67.0,580.0,10.0,9.0,26.0,1.0,11.0,271.0,24.0,1.0,12.0,4.0,4.0,4.0,27.0,360.0,82.0,1.0,96767,5.0,131.0,14.0,,2.0,152.0,5.0,11.0,8.0,61.0,,,2.0,14.0,,4.0,90.0,280.0,16.0,12.0,35.0,1.0,79.0,0.0,,2.0,,,3.0,0.0,4.0,2.0,50.2,22.0,8.0,3.0,6.0,35.0,6.0,3.0,384.0,11.0,6.0,18.0,4.0,34.0,2.0,260.0,9.0,2.0,28.0,81.0,21.0,1.0,,4.0,14.0,,9.0,2.0,20.0,1.0,5.0,6.0,,,,2.0,,,1.0,,2.0,1.0,,1.0,,,1.0,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,2.0,,1.0,,,,2.0,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
17,1059867,2019-12-14 12:30:00,"Anfield, Liverpool",53311.0,Away,Watford,Liverpool,0,2,L,0,1,0,0,1.0,67.0,,20.0,35.0,3.0,1.0,5.0,4.0,2.0,149.0,1.0,10.0,2.0,6.0,2.0,57.0,160.0,49.0,,8.0,,25.0,2.0,2.0,9.0,15.0,,35.0,3.0,6.0,34.0,120.0,1.0,0.0,109.0,6.0,3.0,79.0,23.0,2.0,51.0,3.0,2.0,6.0,14.0,3.0,,1.0,3.0,160.0,,14.0,52.0,514.0,6.0,6.0,18.0,,13.0,192.0,28.0,,6.0,16.0,1.0,4.0,15.0,279.0,59.0,,96767,4.0,79.0,2.0,,1.0,99.0,3.0,14.0,11.0,53.0,,1.0,2.0,16.0,2.0,1.0,66.0,198.0,7.0,10.0,23.0,,71.0,0.0,2.0,6.0,4.0,2.0,1.0,0.0,1.0,,32.1,10.0,4.0,2.0,,23.0,3.0,1.0,309.0,13.0,11.0,11.0,6.0,24.0,3.0,219.0,7.0,5.0,11.0,51.0,22.0,2.0,,16.0,21.0,2.0,7.0,2.0,13.0,2.0,11.0,3.0,,2.0,,1.0,,1.0,2.0,,2.0,4.0,1.0,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,
18,1059880,2019-12-22 14:00:00,"Vicarage Road, Watford",21488.0,Home,Watford,Manchester United,2,0,W,0,0,0,0,2.0,62.0,4.0,9.0,15.0,3.0,2.0,8.0,8.0,1.0,124.0,4.0,13.0,3.0,6.0,3.0,64.0,156.0,53.0,,11.0,1.0,25.0,,1.0,12.0,9.0,1.0,15.0,3.0,6.0,22.0,123.0,,0.0,120.0,16.0,2.0,71.0,22.0,4.0,54.0,3.0,2.0,9.0,12.0,3.0,,3.0,1.0,156.0,1.0,10.0,71.0,511.0,5.0,8.0,36.0,,14.0,201.0,26.0,1.0,2.0,7.0,3.0,2.0,22.0,283.0,47.0,1.0,94924,7.0,90.0,4.0,2.0,2.0,107.0,6.0,12.0,12.0,73.0,,,3.0,11.0,7.0,3.0,58.0,209.0,10.0,17.0,24.0,1.0,64.0,0.0,3.0,5.0,5.0,,3.0,0.0,4.0,1.0,36.1,15.0,6.0,3.0,5.0,23.0,3.0,,313.0,14.0,8.0,7.0,3.0,22.0,2.0,218.0,8.0,6.0,11.0,66.0,20.0,1.0,,7.0,19.0,,7.0,3.0,23.0,1.0,7.0,3.0,,,,,,,3.0,,,5.0,,,,,1.0,,,,,3.0,2.0,,,2.0,,1.0,1.0,,2.0,,,2.0,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,,
19,1059889,2019-12-26 15:00:00,"Bramall Lane, Sheffield",30222.0,Away,Watford,Sheffield United,1,1,D,1,1,0,0,,58.0,1.0,31.0,27.0,2.0,,3.0,3.0,1.0,162.0,1.0,6.0,3.0,3.0,2.0,85.0,181.0,50.0,2.0,5.0,,35.0,1.0,,10.0,3.0,,27.0,1.0,4.0,27.0,132.0,,0.0,95.0,8.0,2.0,64.0,40.0,3.0,51.0,,1.0,9.0,18.0,2.0,2.0,4.0,2.0,181.0,,12.0,88.0,583.0,2.0,11.0,16.0,,8.0,256.0,27.0,,6.0,15.0,3.0,,24.0,357.0,57.0,,94924,,134.0,3.0,,,167.0,4.0,18.0,9.0,72.0,,,2.0,25.0,4.0,4.0,82.0,265.0,11.0,12.0,37.0,,89.0,0.0,,9.0,3.0,1.0,3.0,0.0,1.0,,41.9,17.0,2.0,2.0,1.0,31.0,1.0,1.0,386.0,8.0,8.0,15.0,2.0,12.0,,229.0,5.0,3.0,26.0,54.0,19.0,3.0,,15.0,7.0,1.0,3.0,3.0,16.0,3.0,10.0,1.0,,,,1.0,,,6.0,,,1.0,1.0,,1.0,,,,,,,,1.0,3.0,1.0,4.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,
20,1059900,2019-12-28 15:00:00,"Vicarage Road, Watford",21348.0,Home,Watford,Aston Villa,3,0,W,1,0,1,0,1.0,68.0,5.0,30.0,23.0,8.0,7.0,12.0,2.0,2.0,148.0,5.0,7.0,4.0,14.0,6.0,102.0,129.0,44.0,,20.0,4.0,22.0,2.0,1.0,21.0,10.0,1.0,23.0,6.0,4.0,40.0,188.0,,0.0,155.0,16.0,2.0,46.0,81.0,11.0,63.0,1.0,,15.0,11.0,8.0,,5.0,3.0,129.0,3.0,5.0,104.0,600.0,11.0,11.0,35.0,,9.0,322.0,29.0,1.0,7.0,9.0,3.0,3.0,19.0,399.0,57.0,1.0,94924,8.0,148.0,8.0,,2.0,163.0,9.0,11.0,3.0,57.0,,,1.0,11.0,6.0,1.0,63.0,331.0,9.0,10.0,24.0,4.0,63.0,0.0,1.0,3.0,1.0,,2.0,1.0,3.0,1.0,48.8,16.0,6.0,1.0,9.0,34.0,6.0,1.0,417.0,9.0,8.0,27.0,5.0,31.0,2.0,275.0,11.0,4.0,14.0,107.0,25.0,,,9.0,14.0,,13.0,3.0,10.0,,3.0,6.0,,2.0,,2.0,,,6.0,,2.0,1.0,2.0,2.0,,,1.0,,2.0,1.0,,1.0,3.0,2.0,1.0,1.0,,1.0,,,2.0,2.0,2.0,3.0,,1.0,,,2.0,3.0,,,,1.0,,1.0,1.0,,2.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,1.0,,,,,1.0,,1.0,2.0,,,,,,,,2.0,1.0,,,,,,,
21,1059910,2020-01-01 15:00:00,"Vicarage Road, Watford",20584.0,Home,Watford,Wolverhampton Wanderers,2,1,W,1,0,1,0,,60.0,1.0,22.0,34.0,3.0,3.0,6.0,3.0,,146.0,2.0,10.0,1.0,8.0,3.0,73.0,143.0,50.0,,9.0,1.0,18.0,1.0,1.0,8.0,7.0,,34.0,1.0,4.0,34.0,138.0,,0.0,108.0,12.0,,51.0,55.0,5.0,56.0,1.0,2.0,7.0,12.0,3.0,,1.0,2.0,143.0,1.0,8.0,68.0,519.0,6.0,15.0,20.0,,12.0,234.0,31.0,,9.0,20.0,3.0,3.0,17.0,315.0,51.0,,94924,3.0,114.0,6.0,,,127.0,6.0,12.0,12.0,71.0,,,1.0,14.0,8.0,5.0,61.0,250.0,4.0,19.0,23.0,1.0,77.0,0.0,,7.0,2.0,1.0,6.0,1.0,2.0,,36.4,12.0,4.0,1.0,2.0,38.0,4.0,1.0,343.0,12.0,10.0,11.0,4.0,14.0,2.0,224.0,6.0,4.0,24.0,64.0,16.0,3.0,,20.0,13.0,,7.0,3.0,23.0,3.0,6.0,4.0,,,,2.0,,,5.0,,1.0,1.0,2.0,,,,,2.0,,1.0,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,,,2.0,,2.0,2.0,,2.0,,,,1.0,,,,,1.0,,,,,2.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,
22,1059912,2020-01-12 14:00:00,"Vitality Stadium, Bournemouth",10384.0,Away,Watford,Bournemouth,3,0,W,1,0,0,0,,69.0,2.0,19.0,36.0,5.0,6.0,13.0,1.0,1.0,169.0,8.0,10.0,,14.0,6.0,80.0,154.0,81.0,,18.0,4.0,30.0,3.0,,18.0,15.0,,36.0,4.0,,32.0,166.0,,0.0,108.0,13.0,,47.0,64.0,10.0,72.0,2.0,2.0,14.0,21.0,5.0,,8.0,1.0,154.0,,2.0,90.0,609.0,11.0,9.0,27.0,,7.0,290.0,29.0,1.0,8.0,22.0,1.0,4.0,16.0,392.0,45.0,,94924,11.0,138.0,6.0,,,168.0,8.0,21.0,11.0,59.0,,3.0,1.0,8.0,8.0,3.0,59.0,296.0,3.0,9.0,24.0,2.0,85.0,0.0,1.0,5.0,,,3.0,0.0,6.0,2.0,43.3,9.0,4.0,1.0,6.0,41.0,5.0,3.0,411.0,7.0,5.0,12.0,6.0,22.0,5.0,261.0,9.0,,42.0,69.0,29.0,2.0,,22.0,27.0,,16.0,3.0,13.0,2.0,12.0,5.0,,2.0,,2.0,,,2.0,1.0,1.0,5.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,3.0,,2.0,1.0,2.0,2.0,,,2.0,,3.0,3.0,,1.0,,,1.0,2.0,,,,,1.0,2.0,,,2.0,1.0,1.0,,,,2.0,,,,,,2.0,,1.0,1.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,
23,1059930,2020-01-18 12:30:00,"Vicarage Road, Watford",21366.0,Home,Watford,Tottenham Hotspur,0,0,D,0,0,0,0,1.0,72.0,4.0,35.0,11.0,4.0,2.0,11.0,4.0,1.0,146.0,6.0,11.0,5.0,11.0,2.0,70.0,171.0,82.0,1.0,15.0,1.0,16.0,2.0,,25.0,7.0,,11.0,1.0,6.0,39.0,160.0,3.0,0.0,138.0,13.0,2.0,51.0,60.0,5.0,55.0,,3.0,24.0,13.0,4.0,1.0,8.0,3.0,171.0,2.0,11.0,71.0,551.0,11.0,10.0,41.0,1.0,13.0,221.0,29.0,,14.0,5.0,2.0,6.0,22.0,317.0,57.0,,94924,7.0,82.0,14.0,,1.0,102.0,8.0,13.0,9.0,61.0,,,,19.0,5.0,3.0,65.0,236.0,12.0,16.0,32.0,,76.0,0.0,,3.0,4.0,,2.0,0.0,5.0,1.0,41.5,14.0,6.0,,5.0,40.0,3.0,,342.0,13.0,7.0,27.0,8.0,37.0,5.0,265.0,12.0,6.0,34.0,87.0,31.0,2.0,,5.0,25.0,,12.0,2.0,21.0,2.0,3.0,3.0,,2.0,,3.0,,,6.0,,4.0,2.0,,,,,,1.0,1.0,,,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,3.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,1.0,,3.0,,,1.0,,1.0,,,,,1.0,,,,,,
